CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COALICION_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,77,2,74,96,122,8,23,46,10,26,3,15,9,3,2,1,437,34,472,1014
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,78,1,6,30,27,1,6,15,0,5,0,2,5,2,0,0,99,9,108,240
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,79,1,28,73,46,3,14,41,2,26,5,6,7,4,1,40,256,0,296,679
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,80,2,74,161,119,72,44,77,16,40,11,32,10,2,3,0,661,56,717,1362
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,81,3,89,141,78,13,17,36,10,36,5,18,9,3,7,0,462,51,513,1041
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,84,1,44,32,26,2,14,16,7,24,2,6,4,2,2,0,181,6,187,492
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,95,1,28,75,43,6,18,22,5,22,7,8,2,3,3,2,242,24,268,520
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,97,2,68,133,93,8,59,63,8,28,3,9,8,2,0,0,482,38,520,1039
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,198,4,68,287,200,13,72,48,30,71,3,25,20,12,9,0,858,50,908,2377
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,216,3,59,193,151,14,67,60,21,40,9,15,21,7,7,1,664,64,729,1729
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,217,3,62,249,138,17,90,142,18,50,8,19,15,8,11,1,827,71,899,2167
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,218,2,26,124,177,7,25,70,16,24,5,7,13,2,5,0,501,34,535,1089
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,219,3,49,154,168,17,38,89,45,24,3,18,12,66,69,0,752,61,813,1642
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,220,2,50,149,115,11,23,50,22,32,9,7,14,0,7,0,489,54,543,1238
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,237,2,58,134,93,7,32,34,14,45,7,13,11,5,1,1,454,29,484,957
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,238,2,32,99,77,5,22,42,16,20,6,8,7,55,3,1,392,34,427,821
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,239,2,34,116,125,7,17,45,39,28,7,9,7,1,3,0,438,15,453,1211
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,240,2,63,130,99,4,58,31,22,44,8,13,12,7,4,1,495,38,534,1117
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,241,2,43,103,109,8,49,22,11,27,10,10,10,6,9,0,417,28,445,1068
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,242,2,65,117,98,10,34,31,11,19,3,9,5,7,7,2,416,27,445,930
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,243,4,85,296,283,18,96,76,15,71,13,29,25,7,14,0,1028,72,1100,2452
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,244,3,47,268,200,18,24,81,19,30,5,43,10,9,13,0,767,54,821,1741
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,248,2,20,63,45,5,11,99,10,24,2,8,0,77,52,0,416,37,453,945
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,249,2,31,76,136,28,19,40,21,19,2,5,14,11,13,1,415,12,428,848
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,250,2,45,99,71,9,39,42,15,30,5,18,1,3,7,1,384,29,414,893
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,253,2,81,108,99,2,15,33,11,35,6,23,9,0,0,0,422,41,463,919
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,254,3,80,214,150,14,39,99,27,70,11,18,14,1,2,0,739,68,807,1647
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,255,3,155,148,97,0,0,85,34,54,8,19,12,88,56,0,756,34,790,1591
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,256,7,206,529,331,23,141,290,61,150,19,41,58,32,14,4,1895,155,2054,4734
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,257,3,71,208,179,24,39,97,23,59,3,21,36,2,4,2,766,38,806,1804
