CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,MC,PSD,MORENA,ES,PH,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0198,C01,39,61,20,6,,,,,106,5,11,38,25,10,13,3,334,23,360,688,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0198,C02,47,41,17,3,,,,,95,3,16,51,19,21,11,0,324,19,343,687,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0199,B,39,37,27,10,,,,,82,7,19,48,33,18,12,0,332,44,376,708,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0199,C01,44,42,20,13,,,,,62,4,15,53,33,20,11,1,317,30,348,707,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0199,C02,59,53,28,7,,,,,78,7,15,51,25,7,12,3,342,34,379,707,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0199,C03,52,46,18,5,,,,,76,3,12,68,41,14,12,1,347,20,368,707,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0219,B,69,37,18,18,,,,,49,6,9,32,29,7,10,1,284,20,305,589,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0219,C01,56,32,11,10,,,,,36,4,15,43,24,16,18,3,265,29,297,589,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0219,C02,61,38,14,13,,,,,33,5,15,26,29,13,22,2,269,31,302,588,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0220,B,93,43,12,0,,,,,24,2,16,23,28,10,18,2,269,47,318,721,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0220,C01,98,43,19,6,,,,,26,2,19,26,22,10,17,3,288,45,336,721,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0220,E01,55,46,14,7,,,,,38,8,13,61,26,16,12,0,296,23,319,677,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0220,E01C01,52,37,16,5,,,,,37,3,14,58,22,14,17,4,275,23,302,677,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0220,E01C02,51,29,24,5,,,,,31,3,8,55,17,10,9,0,242,20,262,677,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0220,E01C03,46,35,21,8,,,,,42,6,16,49,21,9,18,4,271,26,301,677,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0220,E01C04,33,39,8,8,,,,,28,6,13,55,27,14,12,0,243,23,266,677,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0220,E01C05,64,42,16,6,,,,,34,7,13,51,21,10,24,1,288,25,314,676,ACTA LEVANTADA EN CONSEJO,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0221,B,45,42,9,3,,,,,25,4,6,28,24,13,15,0,214,20,234,545,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0221,C01,34,34,13,5,,,,,15,7,5,30,28,17,21,2,209,9,220,545,ACTA LEVANTADA EN CONSEJO,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0221,C02,45,30,12,8,,,,,27,5,11,28,20,9,15,3,210,19,232,544,ACTA LEVANTADA EN CONSEJO,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0222,B,34,46,20,4,,,,,26,7,7,43,38,11,23,1,259,24,284,628,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0222,C01,37,63,26,12,,,,,32,3,10,37,33,15,15,1,283,15,299,628,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0222,C02,29,39,28,6,,,,,33,2,18,34,32,8,16,1,245,23,269,627,ACTA LEVANTADA EN CONSEJO,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0222,E01,41,111,16,6,,,,,44,4,14,34,21,11,9,0,311,30,341,708,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0222,E01C01,29,94,30,5,,,,,53,7,11,39,26,14,16,1,324,27,352,708,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0222,E01C02,37,140,26,8,,,,,55,4,8,33,29,4,18,0,362,21,383,708,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0222,E01C03,33,121,24,6,,,,,43,4,9,36,15,11,7,1,309,21,331,707,ACTA CASILLA,,,
