ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,PRI_PVEM_NVA_ALIANZA,PAN_PT,PRD_PT,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,1,ACAMBAY DE RUIZ CASTAÑEDA,32,82,8617,10561,797,1020,453,0,1473,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23431,1209,24661,43206,0.5708
15,MEXICO,2,ACOLMAN,26,114,1127,,7030,,1282,771,,2656,700,2049,0,21150,0,0,2644,0,0,0,0,0,0,0,138,39409,1100,40647,72755,0.5587
15,MEXICO,3,ACULCO,23,57,2018,11156,2841,379,477,0,804,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18710,968,19692,30662,0.6422
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,3940,,52,,221,29,,38,116,0,29,4266,0,0,0,0,0,0,0,0,0,0,0,8691,133,8824,11259,0.7837
15,MEXICO,5,ALMOLOYA DE JUAREZ,57,171,6506,18909,7995,3251,7023,2380,2682,1772,2599,1586,232,0,0,0,0,0,0,0,0,0,0,0,34,54935,2516,57485,103614,0.5548
15,MEXICO,6,ALMOLOYA DEL RIO,5,13,,,1315,,,0,,125,0,784,0,1615,1023,0,0,0,0,0,0,0,0,0,6,4862,148,5016,7737,0.6483
15,MEXICO,7,AMANALCO,10,28,2290,,628,,4428,0,,80,0,0,0,4151,0,0,0,0,0,0,0,0,0,0,5,11577,308,11890,16143,0.7365
15,MEXICO,8,AMATEPEC,27,46,3236,,6733,,55,19,,206,0,0,0,4498,0,0,0,0,0,0,0,0,0,0,0,14747,488,15235,20617,0.739
15,MEXICO,9,AMECAMECA,26,65,,,4479,,,1280,,1065,0,6775,1042,6031,995,0,0,0,0,0,0,0,0,0,9,21667,732,22408,36762,0.6095
15,MEXICO,10,APAXCO,14,33,,,219,,,3207,,105,110,1825,0,3751,2668,0,0,0,0,0,0,0,0,0,13,11885,297,12195,19755,0.6173
15,MEXICO,11,ATENCO,14,55,,,1802,,,359,,4011,455,612,0,7280,5218,0,0,0,0,0,0,0,0,0,13,19737,521,20271,36365,0.5574
15,MEXICO,12,ATIZAPAN,3,13,357,1538,397,43,887,0,411,858,0,0,0,0,62,0,0,0,0,0,0,0,0,0,2,4553,160,4715,7460,0.632
15,MEXICO,13,ATIZAPAN DE ZARAGOZA,167,594,,,6616,,,4214,,15134,0,9846,1210,52474,65607,0,0,0,0,0,0,0,0,0,302,155101,7572,162975,378410,0.4307
