ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_NVA_ALIANZA_PSD,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,PLANILLA_UNICA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,515,SANTO DOMINGO TEHUANTEPEC,30,84,1202,4908,6863,386,6033,65,966,99,343,6452,,81,310,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,4,28181,846,29031,46588,0.6231
20,OAXACA,6,ASUNCION IXTALTEPEC,14,25,103,4672,2467,127,15,,,1012,,183,7,,101,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8751,192,8943,11756,0.7607
20,OAXACA,41,CIUDAD IXTEPEC,17,37,209,2385,672,141,3750,39,60,77,,5471,82,150,49,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,5,13230,335,13570,19987,0.6789
20,OAXACA,76,SALINA CRUZ,41,105,5817,10298,1530,245,4075,284,602,440,94,4285,,244,384,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833,,,,,,,,,,,10,29338,665,30013,61755,0.4860
20,OAXACA,121,SAN BLAS ATEMPA,6,22,47,3867,4866,91,39,,,24,51,1275,,,48,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10355,155,10510,13539,0.7763
20,OAXACA,303,SAN PEDRO COMITANCILLO,2,5,10,987,887,6,9,125,,,,628,,,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2676,51,2727,3373,0.8085
20,OAXACA,306,SAN PEDRO HUILOTEPEC,1,3,7,551,146,7,170,0,404,62,,243,,37,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1637,34,1671,2213,0.7551
20,OAXACA,442,SANTA MARIA XADANI ,4,10,11,739,6,1094,10,9,69,,,8,,1875,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3844,8,3852,5705,0.6752
20,OAXACA,30,EL ESPINAL,7,14,16,1352,223,19,34,11,1466,,,1951,,,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5105,76,5181,6596,0.7855
20,OAXACA,43,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,48,115,816,10477,10525,574,1344,926,307,164,127,3247,,40,269,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,7324,1053,,,,,,,,8,38033,1297,36958,66299,0.5574
20,OAXACA,127,SAN DIONISIO DEL MAR,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2244,0,2244,187,2431,3812,0.6377
20,OAXACA,138,SAN FRANCISCO DEL MAR,5,11,3,2156,17,14,2,,2016,,,4,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4213,32,4245,5244,0.8095
20,OAXACA,140,SAN FRANCISCO IXHUATAN,8,14,1119,1902,907,456,29,6,,,,475,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5064,99,5163,6929,0.7451
20,OAXACA,557,UNION HIDALGO,11,19,210,1932,1420,82,2480,2,,40,15,414,,376,127,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,,,,,,,1,7678,194,7873,10499,0.7499
20,OAXACA,28,HEROICA CIUDAD DE EJUTLA DE CRESPO,18,30,4484,2766,147,73,434,101,170,96,454,1233,159,,162,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10330,480,10810,16162,0.6689
20,OAXACA,48,MAGDALENA OCOTLAN,1,2,8,175,292,5,7,,,,57,112,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,662,25,687,824,0.8337
