CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,PT_MC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,494,2,8,171,15,127,134,0,2,127,23,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,28,677,1097
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,495,2,3,182,16,29,139,0,2,58,13,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,22,482,753
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,496,3,0,404,67,219,221,0,6,70,28,9,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,36,1131,1694
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,497,3,5,334,73,352,258,0,5,159,20,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,39,1259,1813
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,498,3,3,283,64,187,173,0,2,63,35,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,106,947,1512
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,499,2,1,380,17,44,247,0,5,54,7,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,40,833,1183
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,500,4,7,605,72,96,447,0,8,245,20,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,33,1544,2087
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,501,2,1,267,126,19,131,0,3,212,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,13,792,1161
2,7,CHIAPAS,16,HUIXTLA,37,HUEHUETAN,540,5,3,225,131,51,507,0,44,155,269,0,12,260,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1661,68,1729,2542
2,7,CHIAPAS,16,HUIXTLA,37,HUEHUETAN,541,3,4,88,69,53,333,0,46,170,284,0,2,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1334,54,1389,2038
2,7,CHIAPAS,16,HUIXTLA,37,HUEHUETAN,542,4,4,85,77,26,309,0,18,68,211,0,8,206,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1015,27,1042,1516
2,7,CHIAPAS,16,HUIXTLA,37,HUEHUETAN,543,4,7,167,105,101,353,0,9,178,285,0,4,301,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1513,26,1539,2188
2,7,CHIAPAS,16,HUIXTLA,37,HUEHUETAN,544,2,0,115,67,36,163,0,0,30,91,0,1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,25,634,992
