CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,PUP,NVA_ALIANZA,PSD,MORENA,PRS,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,154,SAN JACINTO AMILPAS,918,4,151,338,253,27,257,22,14,26,403,37,9,1,9,0,0,1,1547,37,1585,2811
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,154,SAN JACINTO AMILPAS,919,6,176,515,331,15,379,111,23,34,680,46,24,4,6,0,0,1,2344,65,2410,4361
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,400,SANTA MARIA ATZOMPA,1784,11,253,717,320,32,524,96,19,34,1081,53,41,1,34,1,0,2,3206,70,3278,7705
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,400,SANTA MARIA ATZOMPA,1785,15,375,915,442,63,651,143,34,70,1491,82,41,12,24,1,2,1,4346,107,4454,10554
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,400,SANTA MARIA ATZOMPA,1786,5,98,374,125,20,229,69,12,50,252,8,9,5,8,0,0,0,1259,65,1324,3154
3,20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,66,OAXACA DE JUAREZ,470,10,413,588,267,104,284,56,18,41,1251,78,37,8,23,5,1,2,3174,92,3268,6903
3,20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,66,OAXACA DE JUAREZ,471,9,402,633,270,140,316,46,16,31,761,70,36,5,37,0,0,2,2763,86,2851,6025
3,20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,66,OAXACA DE JUAREZ,472,4,217,351,125,56,145,15,11,23,449,36,16,5,13,3,0,0,1465,36,1501,2782
3,20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,66,OAXACA DE JUAREZ,473,3,96,180,83,19,113,15,16,18,291,24,7,3,5,4,2,0,876,21,897,1653
3,20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,66,OAXACA DE JUAREZ,474,3,140,179,86,30,123,25,11,11,233,18,13,2,9,0,0,0,880,16,896,1728
