MUNICIPIO,SECCION,CASILLA,TIPO,PAN,PRI,PRD-PC,PT,PVEM,VALIDOS,NULOS,TOTAL
CD. MADERO,194,,BAS,23,139,91,24,,277,7,284
CD. MADERO,194,,CONT1,17,142,98,26,,283,6,289
CD. MADERO,194,,CONT2,19,145,87,35,,286,10,296
CD. MADERO,195,,BAS,33,130,53,47,,263,9,272
CD. MADERO,195,,CONT,49,106,58,19,,232,1,233
CD. MADERO,196,,BAS,70,147,47,46,,310,2,312
CD. MADERO,196,,CONT,63,125,63,38,,289,2,291
CD. MADERO,197,,BAS,86,151,53,73,,363,2,365
CD. MADERO,197,,CONT,99,131,79,64,,373,4,377
CD. MADERO,198,,BAS,114,142,68,65,,389,9,398
CD. MADERO,198,,CONT,120,151,72,55,,398,6,404
CD. MADERO,199,,BAS,72,173,58,39,,342,1,343
CD. MADERO,199,,CONT,85,131,53,50,,319,5,324
CD. MADERO,200,,BAS,109,130,63,47,,349,2,351
CD. MADERO,200,,CONT,125,107,64,42,,338,2,340
CD. MADERO,201,,BAS,45,125,50,29,,249,2,251
CD. MADERO,201,,CONT,55,125,50,27,,257,5,262
CD. MADERO,202,,BAS,53,140,48,63,,304,4,308
CD. MADERO,202,,CONT,58,116,63,73,,310,3,313
CD. MADERO,203,,BAS,44,135,52,42,,273,3,276
CD. MADERO,203,,CONT,53,126,47,44,,270,1,271
CD. MADERO,204,,BAS,73,119,73,44,,309,11,320
CD. MADERO,204,,CONT,72,122,69,65,,328,9,337
CD. MADERO,205,,BAS,78,141,85,80,,384,2,386
CD. MADERO,205,,CONT,69,124,74,68,,335,16,351
CD. MADERO,206,,BAS,44,97,63,45,,249,4,253
CD. MADERO,206,,CONT1,60,126,67,40,,293,8,301
CD. MADERO,206,,CONT2,48,90,80,41,,259,5,264
CD. MADERO,207,,BAS,57,152,63,47,,319,5,324
CD. MADERO,207,,CONT,48,152,55,52,,307,5,312
CD. MADERO,208,,BAS,30,106,53,61,,250,8,258
CD. MADERO,208,,CONT1,35,106,78,46,,265,10,275
CD. MADERO,208,,CONT2,52,105,77,63,,297,8,305
CD. MADERO,209,,BAS,55,150,93,61,,359,4,363
