MUNICIPIO,SECCION,TCAS,ID MPIO,PAN,PRI,PRD,PC,PT,PVEM,PPS,PDM
Champotón,321,,4,8,253,195,2,9,1,0,0
Champotón,322,,4,17,217,168,0,6,0,0,0
Champotón,323,C,4,18,141,137,0,7,0,0,0
Champotón,323,,4,10,126,120,0,2,0,0,0
Champotón,324,C,4,16,120,164,0,9,0,0,0
Champotón,324,,4,16,116,125,0,6,0,0,0
Champotón,325,,4,20,154,221,1,10,0,0,0
Champotón,326,,4,7,166,140,1,25,0,0,0
Champotón,327,C,4,6,177,151,0,1,0,0,0
Champotón,327,,4,4,170,144,1,2,0,0,1
Champotón,328,,4,0,238,261,0,4,0,0,0
Champotón,329,,4,7,280,178,0,11,0,0,0
Champotón,330,,4,16,356,107,0,41,0,1,0
Champotón,331,C,4,4,199,76,0,30,1,0,0
Champotón,331,,4,8,184,84,2,42,2,0,0
Champotón,332,,4,9,126,128,9,5,0,0,0
Champotón,333,C,4,0,255,107,1,21,0,1,0
Champotón,333,,4,6,140,104,2,21,1,0,0
Champotón,334,X,4,1,30,36,0,2,0,0,0
Champotón,334,,4,0,180,125,0,36,0,0,0
Champotón,335,,4,7,27,301,1,1,2,0,0
Champotón,336,,4,0,188,140,0,0,0,0,0
Champotón,337,,4,0,148,256,0,0,0,0,0
Champotón,338,,4,2,60,72,1,0,0,1,0
Champotón,339,,4,7,166,218,2,7,0,0,0
Champotón,340,C,4,2,124,110,0,6,1,0,1
Champotón,340,,4,0,118,115,2,7,0,0,0
Champotón,341,C,4,6,108,126,2,5,1,0,0
Champotón,341,,4,3,97,148,0,0,0,0,0
Champotón,342,C,4,0,161,139,0,8,0,0,0
Champotón,342,,4,6,160,143,0,6,0,0,1
Champotón,343,,4,11,240,137,1,8,0,0,0
Champotón,344,,4,9,190,150,2,4,0,0,0
Champotón,345,,4,4,82,230,1,1,7,0,0
Champotón,346,,4,8,174,234,3,1,2,0,0
Champotón,347,,4,5,370,102,0,0,0,0,0
Champotón,348,,4,6,182,82,0,0,0,1,1
Champotón,349,,4,4,206,203,1,27,3,0,0
Champotón,350,,4,7,268,211,0,0,0,0,0
Champotón,351,,4,7,89,65,1,5,0,0,0
Champotón,352,,4,0,104,98,0,0,0,0,0
Champotón,353,,4,1,110,37,1,2,0,0,1
Champotón,354,,4,19,78,148,0,6,0,0,0
Champotón,355,,4,1,84,40,0,1,0,0,0
Calakmul,356,X,10,0,121,101,1,4,0,0,0
Calakmul,356,X,10,1,78,11,2,72,1,0,0
Calakmul,356,,10,1,188,81,6,3,4,0,1
Calakmul,357,,10,0,231,19,0,0,0,0,0
Calakmul,358,,10,0,81,37,0,4,2,0,0
Calakmul,359,,10,0,215,134,0,37,0,0,0
Calakmul,360,X,10,2,142,48,0,15,0,0,0
Calakmul,360,,10,0,184,163,0,0,0,0,0
Calakmul,361,X,10,3,127,71,0,2,0,0,0
Calakmul,361,,10,0,184,163,0,0,0,0,0
Calakmul,362,,10,1,119,74,0,2,0,0,0
Hecelchakán,363,C,5,9,230,93,0,105,0,0,2
Hecelchakán,363,,5,7,197,97,3,129,0,0,5
Hecelchakán,364,C,5,14,177,91,1,124,0,0,0
Hecelchakán,364,E,5,0,9,21,0,10,0,0,0
Hecelchakán,364,,5,13,168,103,1,103,0,0,0
Hecelchakán,365,,5,18,227,87,1,182,0,0,0
Hecelchakán,366,C,5,5,148,75,0,81,0,0,0
Hecelchakán,366,,5,5,133,66,0,86,0,0,0
Hecelchakán,367,,5,13,256,144,1,120,1,0,0
Hecelchakán,368,,5,16,213,120,2,155,1,1,0
Hecelchakán,369,,5,0,0,0,0,0,0,0,0
Hecelchakán,370,C,5,0,222,75,1,7,0,0,1
Hecelchakán,370,,5,1,259,56,0,11,0,0,0
Hecelchakán,371,,5,1,122,134,1,56,0,0,0
Hecelchakán,372,,5,6,266,139,0,132,1,0,0
Hecelchakán,373,,5,0,124,40,0,136,0,0,0
Hecelchakán,374,,5,1,97,27,1,34,0,0,0
Hecelchakán,375,C,5,2,140,29,0,143,0,0,0
Hecelchakán,375,,5,4,101,43,0,124,0,0,0
Hecelchakán,376,C,5,2,113,43,0,110,1,0,0
Hecelchakán,376,,5,1,111,31,2,136,0,0,0
Hecelchakán,377,C,5,3,125,58,0,99,0,0,0
Hecelchakán,377,,5,1,124,64,1,93,0,1,0
Hecelchakán,378,,5,12,186,59,0,239,0,0,0
Hecelchakán,379,,5,0,152,39,1,201,1,14,1
Hecelchakán,380,,5,1,159,32,0,28,0,0,0
Hopelchén,381,C,6,17,215,36,1,31,1,1,1
Hopelchén,381,,6,16,237,35,0,24,0,0,0
Hopelchén,382,C,6,13,273,40,2,39,0,0,0
Hopelchén,382,,6,27,269,49,2,20,0,0,0
Hopelchén,383,C,6,18,204,28,0,14,0,0,0
Hopelchén,383,E,6,3,37,15,0,0,1,0,0
Hopelchén,383,,6,13,208,27,2,10,0,0,0
Hopelchén,384,,6,21,294,63,1,46,2,0,0
Hopelchén,385,,6,4,93,27,2,21,0,0,0
Hopelchén,386,,6,0,123,10,0,4,0,0,0
Hopelchén,387,,6,0,70,7,0,12,0,0,0
Hopelchén,388,C,6,15,178,122,0,108,0,0,0
Hopelchén,388,,6,12,241,101,0,131,0,0,0
Hopelchén,389,,6,8,180,116,5,71,0,0,0
Hopelchén,390,,6,0,86,24,0,1,0,0,0
Hopelchén,391,,6,4,64,25,3,104,0,0,0
Hopelchén,392,,6,1,35,19,0,10,0,0,0
Hopelchén,393,,6,0,61,9,0,0,0,0,0
Hopelchén,394,,6,12,201,57,3,84,0,0,0
Hopelchén,395,,6,4,126,99,0,0,0,0,0
Hopelchén,396,,6,3,177,57,0,38,0,0,0
Hopelchén,397,,6,8,130,121,10,31,0,0,0
Hopelchén,398,,6,1,130,163,1,23,0,0,0
Hopelchén,399,,6,7,114,33,3,40,0,0,0
Hopelchén,400,,6,8,375,100,0,2,0,0,0
Hopelchén,401,C,6,6,222,66,0,0,0,0,0
Hopelchén,401,,6,1,194,106,0,3,0,0,0
Hopelchén,402,,6,0,79,3,0,0,0,0,0
Hopelchén,403,,6,11,245,137,0,17,0,0,0
Hopelchén,404,,6,7,250,93,0,47,0,0,0
Hopelchén,405,,6,1,51,12,0,5,0,0,0
Hopelchén,406,,6,0,97,49,0,35,0,0,0
Hopelchén,407,,6,6,313,66,5,19,0,0,0
Hopelchén,408,,6,2,137,24,0,4,0,0,0
Hopelchén,409,,6,4,215,50,0,11,0,0,0
Hopelchén,410,,6,17,318,119,1,83,0,0,0
Hopelchén,411,,6,6,88,12,0,10,0,0,0
Hopelchén,412,,6,0,69,56,0,23,0,0,0
Calakmul,413,X,10,1,38,20,0,0,0,0,0
Hopelchén,413,,6,4,56,29,1,1,0,0,0
Calakmul,414,,10,2,96,32,0,0,0,0,0
Calakmul,415,C,10,25,181,109,0,2,1,0,0
Calakmul,415,,10,13,197,114,1,2,1,0,0
Calakmul,416,,10,1,19,31,1,4,0,0,0
Calakmul,417,C,10,43,147,58,0,7,1,0,0
Calakmul,417,,10,46,152,55,1,5,0,0,0
Calakmul,418,,10,6,26,35,0,0,0,0,0
Calakmul,419,,10,6,103,32,1,1,2,0,0
Calakmul,420,,10,14,51,10,0,0,0,0,0
Calakmul,421,C,10,18,72,120,0,20,0,0,0
Calakmul,421,,10,12,84,126,0,12,0,0,0
Calakmul,422,,10,8,133,118,1,9,0,0,0
Calakmul,423,,10,0,18,75,0,0,0,0,0
Calakmul,424,,10,3,109,79,0,0,0,0,0
Calakmul,425,,10,1,50,104,2,2,2,0,0
Calakmul,426,,10,4,205,160,1,4,2,0,0
Calakmul,427,,10,0,137,15,0,0,0,0,0
Palizada,428,C,7,9,238,52,0,8,0,0,0
Palizada,428,,7,10,228,76,0,2,0,0,0
Palizada,429,C,7,6,285,71,0,9,0,0,0
Palizada,429,,7,7,308,99,0,8,0,0,0
Palizada,430,,7,4,72,41,0,1,0,0,0
Palizada,431,,7,8,264,77,0,1,0,0,0
Palizada,432,,7,2,167,43,0,0,0,0,0
Palizada,433,,7,8,128,55,0,6,0,0,0
Palizada,434,,7,1,26,7,0,0,0,0,0
Palizada,435,,7,8,175,44,0,1,0,0,0
Palizada,436,,7,3,23,14,0,1,0,0,0
Palizada,437,,7,10,26,7,0,0,0,0,0
Palizada,438,,7,6,20,3,0,1,0,0,0
Palizada,439,,7,23,89,31,0,0,0,0,0
Tenabo,440,C,8,3,127,78,2,48,1,0,15
Tenabo,440,,8,4,134,84,1,41,2,1,6
Tenabo,441,C,8,6,116,148,0,54,3,0,4
Tenabo,441,,8,13,141,117,0,52,1,0,4
Tenabo,442,C,8,6,170,105,0,36,0,0,2
Tenabo,442,E,8,1,6,8,0,2,0,0,0
Tenabo,442,,8,9,164,99,1,45,2,1,7
Tenabo,443,C,8,6,187,90,0,58,0,0,5
Tenabo,443,,8,7,188,99,0,51,2,0,7
Tenabo,444,,8,0,19,35,0,2,0,0,12
Tenabo,445,,8,4,284,116,1,109,3,0,1
Tenabo,446,,8,0,16,33,1,8,0,0,0
Tenabo,447,,8,1,127,78,0,1,0,0,0
Escárcega,448,C,9,9,157,95,0,7,0,2,0
Escárcega,448,,9,4,150,97,0,5,0,0,2
Escárcega,449,C,9,7,120,72,0,3,0,1,0
Escárcega,449,,9,1,178,96,1,1,0,0,2
Escárcega,450,C,9,4,126,73,0,10,1,0,1
Escárcega,450,,9,2,137,85,1,7,3,0,1
Escárcega,451,C,9,9,192,74,1,6,0,0,1
Escárcega,451,,9,10,181,73,3,5,0,0,2
Escárcega,452,,9,4,219,135,0,14,1,0,1
Escárcega,453,C,9,4,132,86,0,4,0,0,0
Escárcega,453,,9,4,125,82,1,2,2,0,0
Escárcega,454,C,9,2,136,90,1,4,0,0,0
Escárcega,454,,9,2,173,82,0,3,1,1,0
Escárcega,455,X,9,4,180,82,2,0,0,1,0
Escárcega,455,,9,4,133,36,0,14,1,0,1
Escárcega,456,,9,11,162,85,1,10,1,0,1
Escárcega,457,,9,4,215,117,4,9,1,0,0
Escárcega,458,,9,12,311,125,0,8,0,1,0
Escárcega,459,,9,7,224,120,3,12,5,0,1
Escárcega,460,E,9,3,44,31,0,1,1,1,0
Escárcega,460,,9,5,243,110,1,10,3,1,8
Escárcega,461,,9,9,288,131,0,17,2,0,2
Escárcega,462,,9,9,215,108,0,11,2,1,1
Escárcega,463,,9,5,301,84,0,10,0,0,0
Escárcega,464,C,9,9,138,72,0,7,1,0,1
Escárcega,464,,9,6,107,97,1,5,1,0,6
Escárcega,465,X,9,4,64,42,0,1,0,0,0
Escárcega,465,,9,4,50,8,0,0,0,0,0
Escárcega,466,X,9,1,43,4,0,26,0,0,0
Escárcega,466,,9,4,47,32,0,2,0,0,0
Escárcega,467,,9,3,147,81,0,4,1,1,0
Escárcega,468,X,9,13,124,29,1,6,0,2,3
Escárcega,468,,9,3,231,111,1,10,0,3,0
Escárcega,469,X,9,1,22,27,1,0,0,1,1
Escárcega,469,,9,4,83,86,0,5,0,3,0
Escárcega,470,,9,3,250,128,0,6,0,3,0
Escárcega,471,X,9,1,74,96,2,0,1,0,1
Escárcega,471,,9,12,128,69,0,8,0,1,0
Carmen,472,,9,11,164,126,4,1,2,0,0
Carmen,473,X,9,8,177,44,1,1,0,0,0
Carmen,473,,9,12,157,52,0,14,0,0,0
Carmen,474,,9,0,64,3,1,0,0,0,0
Escárcega,475,,9,8,123,143,22,3,1,1,1
Escárcega,476,,9,7,130,153,15,0,1,0,0
Escárcega,477,,9,1,130,209,14,3,2,0,2
Carmen,478,C,9,7,109,78,0,0,0,0,0
Carmen,478,,9,4,93,71,0,1,0,0,0
Carmen,479,,9,3,141,96,0,20,1,0,0
Escárcega,480,,9,6,224,127,0,0,0,0,0
Escárcega,481,X,9,0,64,32,0,12,0,0,0
Escárcega,481,,9,1,238,113,1,1,0,1,0
Escárcega,482,,9,3,137,61,0,17,0,0,1
Carmen,483,,9,1,80,47,1,7,1,0,1
Carmen,484,X,9,1,66,26,0,0,1,0,0
Carmen,484,X,9,6,80,8,1,0,0,0,0
Carmen,484,,9,6,165,52,1,15,0,1,0
Escárcega,485,X,9,0,44,20,0,1,0,0,0
Escárcega,485,,9,16,101,50,0,25,2,0,0
Carmen,486,C,9,0,86,98,0,2,2,2,0
Carmen,486,,9,2,112,88,0,2,0,0,0
Carmen,487,,9,5,177,174,0,4,1,1,0
Carmen,488,X,9,0,59,16,0,0,0,0,0
Carmen,488,,9,2,117,40,0,9,0,0,0
Escárcega,489,,9,12,203,67,0,10,1,0,0
