CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,PCPP,PSI,MORENA,ES,PAN_PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA_PCPP,PAN_PT_NVA_ALIANZA_PSI,PAN_PT_PCPP_PSI,PAN_NVA_ALIANZA_PCPP_PSI,PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA,PAN_PT_PCPP,PAN_PT_PSI,PAN_NVA_ALIANZA_PCPP,PAN_NVA_ALIANZA_PSI,PAN_PCPP_PSI,PT_NVA_ALIANZA_PCPP,PT_NVA_ALIANZA_PSI,PT_PCPP_PSI,NVA_ALIANZA_PCPP_PSI,PAN_PT,PAN_NVA_ALIANZA,PAN_PCPP,PAN_PSI,PT_NVA_ALIANZA,PT_PCPP,PT_PSI,NVA_ALIANZA_PCPP,NVA_ALIANZA_PSI,PCPP_PSI,PRI_PVEM_ES,PRI_PVEM,PRI_ES,PVEM_ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0892,1,91,47,3,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,153,5,158,243
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0893,2,279,165,42,4,11,10,12,1,7,8,2,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,4,1,565,15,580,1324
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0894,2,324,73,16,5,3,9,2,2,22,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,466,30,496,756
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0895,1,79,49,2,2,2,2,1,0,7,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,158,6,164,305
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0896,3,391,169,47,12,9,15,12,4,42,3,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,8,1,0,0,0,1,0,0,0,1,7,0,0,9,0,738,81,819,1701
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,112,PANTEPEC,0912,2,542,239,8,4,1,9,1,1,11,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,825,29,854,1131
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,112,PANTEPEC,0913,4,807,326,5,49,12,8,3,1,18,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,9,1,0,0,0,1,0,0,0,1,6,0,0,3,1,1257,27,1284,1835
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,112,PANTEPEC,0914,1,306,192,2,3,1,4,2,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,528,3,531,706
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,112,PANTEPEC,0915,3,663,243,7,7,3,14,3,2,15,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,2,0,0,1,0,0,0,1,3,0,0,1,0,977,18,995,1328
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,112,PANTEPEC,0916,2,377,180,4,3,1,6,1,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,585,9,594,797
