id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PSN,PC,PAS,PRI-PVEM,Nulos,Total
13,10/11/2002,12,Ayuntamientos,13,0,1056,1,B,Basica,0,53,SAN FELIPE ORIZATLAN,387,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1056,136,120,0,1,0,0,0,0,0,11,268
13,10/11/2002,12,Ayuntamientos,13,0,1061,1,B,Basica,0,53,SAN FELIPE ORIZATLAN,654,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1061,199,156,0,0,0,0,0,0,0,13,368
13,10/11/2002,12,Ayuntamientos,13,0,1062,1,B,Basica,0,53,SAN FELIPE ORIZATLAN,521,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1062,191,150,0,5,0,0,0,0,0,22,368
13,10/11/2002,12,Ayuntamientos,13,0,1351,2,C,Contigua,0,68,TIZAYUCA,570,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1351,108,138,0,8,0,0,0,2,0,20,276
13,10/11/2002,12,Ayuntamientos,13,0,1354,1,B,Basica,0,68,TIZAYUCA,597,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1354,156,74,0,6,0,0,0,0,0,10,246
13,10/11/2002,12,Ayuntamientos,13,0,1355,1,B,Basica,0,68,TIZAYUCA,507,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1355,101,89,0,9,0,0,0,2,0,14,215
13,10/11/2002,12,Ayuntamientos,13,0,1360,1,B,Basica,0,68,TIZAYUCA,584,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1360,62,102,0,5,0,0,0,2,0,11,182
13,10/11/2002,12,Ayuntamientos,13,0,1361,1,B,Basica,0,68,TIZAYUCA,473,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1361,58,92,0,4,0,0,0,4,0,4,162
13,10/11/2002,12,Ayuntamientos,13,0,1361,1,C,Contigua,0,68,TIZAYUCA,473,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1361,65,87,0,4,0,0,0,2,0,13,171
13,10/11/2002,12,Ayuntamientos,13,0,1364,1,B,Basica,0,68,TIZAYUCA,499,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1364,57,88,0,10,0,0,0,0,0,14,169
13,10/11/2002,12,Ayuntamientos,13,0,1366,1,B,Basica,0,68,TIZAYUCA,659,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1366,123,97,0,9,0,0,0,2,0,17,248
