MUNICIPIO,SECCION,CASILLA,TIPO,PAN,PRI,PPS,PRD,PFCRN,PDM,PRT,PTC,NO REG.,NULOS,TOTAL
MINATITLAN,274,274,E2,1,75,0,0,0,0,0,0,0,6,82
MINATITLAN,275,275,B,93,322,0,0,0,0,0,0,0,40,455
MINATITLAN,276,276,B,16,186,0,0,0,0,0,0,0,17,219
MINATITLAN,276,276,E1,1,45,0,0,0,0,0,0,0,4,50
MINATITLAN,276,276,E2,14,65,0,0,0,0,0,0,0,1,80
,,,,,,,,,,,,,,
TECOMAN,277,277, B,64,195,1,99,19,1,0,0,2,25,406
TECOMAN,277,277,C,60,213,1,123,11,8,0,3,0,17,436
TECOMAN,278,278,B,64,174,0,67,15,0,0,3,1,7,331
TECOMAN,278,278,C,62,149,1,96,25,9,0,3,0,0,345
TECOMAN,279,279,B,83,163,1,54,10,1,0,1,0,12,325
TECOMAN,280,280, B,57,298,1,155,32,2,0,5,0,12,562
TECOMAN,281,281,B,88,163,1,68,14,5,0,1,0,0,340
TECOMAN,281,281,C,110,157,1,70,7,1,0,2,0,4,352
TECOMAN,282,282, B,108,303,0,111,17,0,0,1,0,16,556
TECOMAN,282,282,C,101,240,1,113,7,4,0,1,0,27,494
TECOMAN,283,283, B,97,161,0,84,0,0,0,0,0,0,342
TECOMAN,283,283,C1,95,176,3,53,14,6,0,4,0,4,355
TECOMAN,283,283,C2,101,163,0,51,11,4,0,2,0,17,349
TECOMAN,284,284,B,61,150,0,82,6,1,0,0,0,13,313
TECOMAN,284,284,C,85,159,2,64,7,0,0,3,0,6,326
TECOMAN,285,285,B,74,271,0,93,10,4,0,1,0,4,457
TECOMAN,286,286,B,113,311,0,86,11,5,0,1,0,21,548
TECOMAN,287,287,B,91,254,1,98,10,4,0,0,0,11,469
TECOMAN,288,288,B,69,293,0,52,4,2,0,2,0,16,438
TECOMAN,289,289,B,112,225,4,60,11,1,0,2,0,13,428
TECOMAN,289,289,C,115,216,0,54,14,4,0,1,0,193,597
TECOMAN,290,290,B,98,215,1,59,21,0,0,2,1,10,407
TECOMAN,290,290,C,85,206,0,55,24,4,0,3,0,9,386
TECOMAN,291,291, B,41,213,2,42,24,0,1,2,0,42,367
TECOMAN,291,291,C,41,170,0,72,39,0,0,0,0,0,322
TECOMAN,292,292,B,74,190,0,62,8,0,0,1,0,0,335
TECOMAN,292,292,C,86,191,2,59,12,3,4,0,0,11,368
TECOMAN,293,293,B,61,163,0,67,5,1,0,0,2,14,313
TECOMAN,293,293,C,53,157,1,59,9,2,0,0,0,5,286
TECOMAN,294,294,B,131,285,3,55,6,1,0,0,0,0,481
TECOMAN,295,295,B,54,205,0,36,7,2,0,2,1,7,314
TECOMAN,295,295,C,77,191,1,40,9,2,0,1,0,4,325
TECOMAN,296,296,B,67,162,1,41,4,0,0,0,0,19,294
TECOMAN,296,296,C,56,142,1,53,12,0,0,2,0,17,283
TECOMAN,297,297,B,62,178,1,55,19,1,0,2,0,14,332
TECOMAN,297,297,C,80,198,0,48,14,1,0,3,0,12,356
TECOMAN,298,298,B,63,176,1,58,9,3,0,0,0,36,346
TECOMAN,298,298,C,87,161,2,63,11,2,0,0,0,18,344
TECOMAN,299,299,B,98,221,0,45,12,2,0,2,0,11,391
TECOMAN,299,299,C,150,461,0,104,18,1,0,5,0,0,739
TECOMAN,300,300,B,75,196,0,59,6,3,0,0,0,15,354
TECOMAN,300,300,C,62,209,1,54,4,2,0,0,0,9,341
TECOMAN,300,300,S,0,0,0,0,0,0,0,0,0,0,0
TECOMAN,301,301,B,82,188,1,53,4,1,0,0,0,5,334
TECOMAN,301,301,C,72,214,0,60,5,4,0,0,0,7,362
TECOMAN,302,302,B,69,234,2,91,5,4,0,1,0,9,415
TECOMAN,303,303,B,129,256,14,115,15,3,0,2,0,31,565
TECOMAN,304,304,B,60,143,4,70,10,1,0,0,2,10,300
TECOMAN,304,304,C,51,153,3,57,7,4,0,1,0,11,287
TECOMAN,305,305,B,88,239,0,96,15,3,0,1,0,14,456
TECOMAN,305,305,C,102,232,3,96,11,6,0,4,0,0,454
TECOMAN,306,306,B,70,150,0,72,3,2,0,2,0,0,299
TECOMAN,306,306,C,48,192,0,55,1,1,5,2,0,2,306
TECOMAN,307,307,B,58,207,1,35,5,2,0,2,0,6,316
TECOMAN,307,307,C,68,151,1,38,5,2,0,2,0,8,275
TECOMAN,308,308,B,73,133,3,97,15,3,0,2,1,23,350
TECOMAN,308,308,C,62,146,5,76,13,3,0,5,0,17,327
TECOMAN,309,309,B,81,277,6,51,4,2,0,5,0,7,433
TECOMAN,310,310,B,89,228,2,85,20,6,0,0,0,14,444
TECOMAN,311,311, B,101,231,3,98,32,5,0,4,0,10,484
TECOMAN,311,311,C,101,230,0,112,33,4,0,5,0,16,501
TECOMAN,312,312, B,90,199,0,71,20,7,0,4,0,23,414
TECOMAN,312,312,C1,71,238,2,78,24,0,0,1,0,17,431
TECOMAN,312,312,C2,68,236,2,62,17,3,0,3,0,25,416
TECOMAN,313,313,B,71,175,1,37,13,5,0,0,2,24,328
TECOMAN,313,313,C,52,201,0,26,20,8,0,3,1,12,323
TECOMAN,314,314,B,69,225,0,114,22,4,0,2,0,11,447
TECOMAN,315,315,B,72,262,1,91,13,10,0,0,0,0,449
TECOMAN,316,316,B,38,176,1,91,8,2,0,1,0,17,334
TECOMAN,316,316,C,50,142,2,93,8,2,0,0,0,0,297
TECOMAN,317,317,B,56,269,2,143,2,0,5,1,0,23,501
TECOMAN,318,318,B,26,207,2,232,1,0,0,0,0,15,483
TECOMAN,319,319,B,44,226,1,136,3,1,0,0,0,25,436
TECOMAN,320,320,B,63,243,5,36,11,3,0,1,0,41,403
TECOMAN,320,320,E,2,20,1,4,10,2,0,0,0,2,41
TECOMAN,321,321,B,36,182,2,91,45,4,0,0,0,17,377
TECOMAN,321,321,C,50,163,1,89,41,1,0,0,0,11,356
TECOMAN,322,322,B,62,134,1,46,8,3,0,1,0,10,265
TECOMAN,323,323,B,37,112,1,40,2,2,0,1,0,5,200
TECOMAN,324,324,B,103,259,3,66,29,0,0,2,0,22,484
TECOMAN,325,325,B,66,160,2,70,19,3,0,6,0,12,338
TECOMAN,326,326,B,72,190,0,84,13,3,0,1,0,18,381
TECOMAN,327,327,B,33,22,0,12,3,0,0,0,0,6,76
TECOMAN,328,328,B,43,111,3,57,48,0,0,0,0,8,270
TECOMAN,329,329,B,47,192,4,107,13,4,0,1,0,13,381
TECOMAN,329,329,C,56,211,3,105,13,4,0,1,0,11,404
TECOMAN,330,330,B,7,36,0,13,3,0,0,0,0,2,61
TECOMAN,331,331,B,3,37,0,60,4,0,0,0,0,1,105
TECOMAN,332,332,B,9,0,1,68,0,0,0,0,0,0,78
TECOMAN,333,333,B,6,128,0,4,2,0,0,0,0,4,144
TECOMAN,334,334,B,34,187,1,257,17,1,0,3,0,14,514
TECOMAN,335,335,B,15,114,0,160,6,0,0,1,0,7,303
TECOMAN,335,335,C,13,122,0,128,2,0,0,1,0,13,279
TECOMAN,336,336,B,18,183,4,188,5,0,0,0,0,10,408
TECOMAN,336,336,C,24,156,1,220,1,0,0,1,0,12,415
,,,,,,,,,,,,,,
VILLA DE ALVAREZ,138,138,B,69,183,0,38,47,9,0,0,0,17,363
VILLA DE ALVAREZ,139,139,B,106,214,0,55,13,7,0,0,0,20,415
VILLA DE ALVAREZ,140,140,B,145,237,0,33,10,6,0,0,0,19,450
VILLA DE ALVAREZ,140,140,C1,141,203,0,38,13,4,0,0,0,40,439
VILLA DE ALVAREZ,141,141,B,77,102,0,32,3,4,0,0,1,7,226
VILLA DE ALVAREZ,142,142,B,154,259,0,43,6,11,0,0,0,19,492
VILLA DE ALVAREZ,143,143,B,163,324,0,48,19,19,0,0,1,40,614
VILLA DE ALVAREZ,144,144,B,121,172,0,26,5,4,0,0,3,11,342
VILLA DE ALVAREZ,144,144,C,120,176,0,41,7,8,0,0,0,9,361
VILLA DE ALVAREZ,145,145,B,154,269,0,78,16,2,0,0,0,29,548
VILLA DE ALVAREZ,145,145,C1,139,277,0,78,7,10,0,0,0,45,556
VILLA DE ALVAREZ,146,146,B,90,197,0,72,5,4,0,0,0,12,380
VILLA DE ALVAREZ,147,147,B,182,221,0,44,9,6,0,0,0,18,480
VILLA DE ALVAREZ,147,147,C1,164,318,0,40,4,3,0,0,0,19,548
VILLA DE ALVAREZ,148,148,B,144,237,0,13,4,5,0,0,1,9,413
VILLA DE ALVAREZ,148,148,C1,128,230,0,22,8,5,0,0,0,15,408
VILLA DE ALVAREZ,148,148,C2,152,247,0,19,3,4,0,0,0,7,432
VILLA DE ALVAREZ,149,149,B,168,216,0,30,10,9,0,0,0,15,448
VILLA DE ALVAREZ,149,149,C,133,238,0,42,7,3,0,0,0,11,434
VILLA DE ALVAREZ,150,150,B,97,185,0,24,5,7,0,0,1,21,340
VILLA DE ALVAREZ,150,150,C,110,187,0,12,6,3,0,0,0,17,335
VILLA DE ALVAREZ,151,151,B,115,202,0,21,4,9,0,0,0,10,361
VILLA DE ALVAREZ,151,151,C,120,191,0,30,6,12,0,0,0,7,366
VILLA DE ALVAREZ,152,152,B,83,187,0,22,7,0,0,0,0,29,328
VILLA DE ALVAREZ,152,152,C,78,188,0,28,9,4,0,0,0,11,318
VILLA DE ALVAREZ,153,153,B,100,153,0,23,10,2,0,0,0,12,300
VILLA DE ALVAREZ,153,153,C,127,227,0,44,10,4,0,0,0,9,421
VILLA DE ALVAREZ,154,154,B,121,174,0,26,8,3,0,0,0,17,349
VILLA DE ALVAREZ,154,154,C,118,207,0,28,4,4,0,0,1,9,371
VILLA DE ALVAREZ,155,155,B,142,285,0,28,8,6,0,0,0,4,473
VILLA DE ALVAREZ,155,155,C,119,259,0,39,0,0,0,0,1,12,430
VILLA DE ALVAREZ,156,156,B,116,195,0,26,10,5,0,0,0,15,367
VILLA DE ALVAREZ,156,156,C,116,175,0,31,18,6,0,0,0,8,354
VILLA DE ALVAREZ,157,157,B,141,229,0,22,4,3,0,0,0,16,415
VILLA DE ALVAREZ,157,157,C,133,212,0,29,4,3,0,0,0,19,400
VILLA DE ALVAREZ,158,158,B,152,207,0,44,10,3,0,0,2,10,428
VILLA DE ALVAREZ,159,159,B,147,230,0,58,21,12,0,0,5,16,489
VILLA DE ALVAREZ,159,159,C1,157,247,0,52,18,5,0,0,3,23,505
VILLA DE ALVAREZ,160,160,B,83,245,0,25,16,2,0,0,0,12,383
VILLA DE ALVAREZ,160,160,C,83,209,0,34,0,3,0,0,0,23,352
VILLA DE ALVAREZ,161,161,B,179,297,0,67,7,7,0,0,6,15,578
VILLA DE ALVAREZ,161,161,C1,169,310,0,80,6,4,0,0,2,27,598
VILLA DE ALVAREZ,162,162,B,129,176,0,42,3,6,0,0,0,13,369
VILLA DE ALVAREZ,163,163,B,163,284,0,46,4,6,0,0,0,11,514
VILLA DE ALVAREZ,163,163,C1,178,275,0,41,10,4,0,0,0,14,522
VILLA DE ALVAREZ,163,163,C2,162,275,0,35,7,0,0,0,0,11,490
VILLA DE ALVAREZ,163,163,C3,137,300,0,33,9,5,0,0,2,14,500
VILLA DE ALVAREZ,164,164,B,165,257,0,41,10,1,0,0,0,11,485
VILLA DE ALVAREZ,164,164,C1,163,246,0,46,9,6,0,0,0,15,485
VILLA DE ALVAREZ,165,165,B,118,140,0,42,6,5,0,0,0,8,319
VILLA DE ALVAREZ,165,165,C,127,138,0,34,6,1,0,0,0,0,306
VILLA DE ALVAREZ,166,166,B,13,98,0,0,1,1,0,0,0,0,113
VILLA DE ALVAREZ,166,166,E,8,32,0,0,1,2,0,0,0,3,46
VILLA DE ALVAREZ,167,167,B,7,108,0,4,2,0,0,0,0,1,122
VILLA DE ALVAREZ,167,167,E1,29,86,0,1,3,0,0,0,0,9,128
VILLA DE ALVAREZ,167,167,E2,1,71,0,0,1,0,0,0,0,0,73
VILLA DE ALVAREZ,168,168,1,23,135,0,19,6,0,0,0,0,6,189
VILLA DE ALVAREZ,169,169,1,24,84,0,2,2,1,0,0,0,8,121
