CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1174,3,412,498,99,2,7,11,2,1,3,0,0,0,0,0,1035,43,1078,1756
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1175,1,133,152,41,1,1,6,4,0,1,2,3,0,0,0,344,17,361,585
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1176,2,156,364,14,1,1,3,11,0,3,1,0,0,0,0,554,20,574,889
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1177,2,284,325,80,4,6,43,7,0,1,7,3,6,0,0,766,34,800,1290
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1178,2,176,247,49,2,1,45,11,0,0,7,7,15,0,0,560,16,576,796
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1179,1,175,197,23,1,6,5,0,1,0,5,1,0,0,0,414,10,424,608
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1180,2,283,333,101,3,1,6,0,0,0,0,7,1,0,0,735,16,751,1146
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1181,3,570,476,120,4,10,62,3,0,1,10,4,2,5,0,1267,40,1307,1898
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1182,2,297,395,64,6,8,11,2,1,0,8,7,1,0,0,800,31,831,1200
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1183,3,375,459,130,6,15,6,3,3,6,10,5,1,0,0,1019,33,1052,1655
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1184,3,444,561,141,1,7,12,6,2,1,10,11,2,0,0,1198,41,1239,1961
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1185,2,205,256,40,7,6,14,2,0,0,3,4,2,0,0,539,12,551,851
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1186,2,236,364,54,0,4,8,11,0,1,2,2,1,0,0,683,11,694,1159
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1187,2,220,394,112,13,5,3,9,1,8,21,18,0,0,0,804,26,830,1367
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1188,2,274,349,148,0,8,5,7,2,2,13,6,1,1,0,816,23,839,1487
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1189,2,351,395,49,1,6,3,5,3,3,7,7,0,0,0,830,13,843,1322
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1190,4,671,835,58,10,4,36,22,5,1,11,15,3,0,0,1671,19,1690,2566
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1191,2,207,273,22,2,6,8,14,2,0,6,9,0,0,0,549,13,562,908
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1192,2,391,387,34,2,9,7,6,1,0,3,3,3,0,0,846,7,853,1251
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1193,2,234,331,9,8,3,8,2,0,1,12,0,0,0,0,608,0,608,944
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1194,2,241,334,14,3,2,9,6,2,1,7,11,0,0,0,630,2,632,982
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1195,5,883,700,62,6,12,15,19,2,1,9,12,6,0,5,1727,31,1763,3042
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1196,1,194,159,5,1,2,4,3,3,2,2,2,1,0,0,378,5,383,577
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1197,2,353,456,23,4,5,3,7,3,1,10,12,0,0,0,877,8,885,1405
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1198,3,470,783,17,16,5,10,4,3,4,16,17,2,0,0,1347,11,1358,885
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1199,3,521,562,36,3,6,9,11,0,2,10,11,2,0,0,1173,19,1192,1902
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1200,1,171,181,13,3,2,3,4,0,0,0,0,0,0,0,377,5,382,572
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1201,3,504,396,29,1,6,2,6,1,0,10,11,1,4,0,971,17,988,1650
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1202,2,389,273,21,2,2,6,5,1,1,4,7,1,0,0,712,16,728,1141
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1203,5,664,849,56,6,8,13,9,1,0,17,34,3,0,0,1660,43,1703,3034
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1204,1,203,188,37,0,7,4,2,0,0,4,3,0,0,0,448,16,464,737
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1205,2,320,397,42,2,3,9,3,0,0,6,10,2,0,0,794,9,803,1188
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1206,2,332,388,34,4,1,6,3,1,0,8,18,3,0,0,798,15,813,1211
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1207,2,290,345,24,4,6,7,1,0,0,8,27,4,0,0,716,16,732,1048
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1208,2,365,323,82,2,4,4,2,3,0,11,14,2,0,0,812,23,835,1208
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1209,3,477,430,82,1,17,5,8,1,0,7,5,1,0,1,1034,25,1060,1508
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1210,2,408,327,35,3,3,1,10,1,1,1,3,0,0,0,793,12,805,1185
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1211,3,681,474,46,3,11,2,18,0,2,3,4,2,0,0,1246,13,1259,1852
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1212,3,562,479,69,6,3,5,42,2,0,4,8,2,0,0,1182,21,1203,1787
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1213,2,412,505,42,6,1,5,6,1,0,10,7,1,0,0,996,14,1010,1431
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1214,2,328,267,25,8,19,12,1,0,0,12,12,4,2,0,690,11,701,969
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1215,3,447,391,96,3,2,11,3,1,0,12,20,3,0,0,989,21,1010,1529
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1216,3,602,392,252,11,7,29,14,0,11,19,16,2,0,0,1355,38,1393,2198
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1217,3,675,576,90,21,14,11,14,1,0,3,16,2,4,0,1427,19,1446,2031
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1218,4,624,603,156,13,9,23,7,1,0,15,28,8,3,0,1490,41,1531,2299
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1219,2,257,332,14,1,2,1,4,0,0,2,11,0,0,0,624,7,631,890
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1220,2,466,297,68,8,9,11,32,2,0,1,3,1,0,0,898,21,919,1313
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1221,2,335,326,49,4,12,20,22,3,1,5,6,0,0,0,783,13,796,1218
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1222,2,284,345,35,3,3,8,5,1,3,2,2,0,0,0,691,19,710,1077
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1223,1,141,219,24,11,2,25,0,0,1,0,0,0,0,0,423,0,423,550
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1224,2,250,249,13,1,3,3,4,1,2,1,0,1,0,0,528,18,546,1001
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1225,2,300,398,30,4,1,6,4,3,1,5,2,0,0,0,754,8,762,1255
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1226,2,263,299,93,1,3,14,7,0,2,1,5,1,0,1,689,22,712,1259
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1227,1,102,142,8,1,1,2,0,0,1,2,5,0,0,0,264,7,271,393
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1228,4,458,575,95,0,3,8,4,1,1,5,10,0,1,0,1161,53,1214,1896
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1229,3,411,522,36,4,6,17,8,0,0,6,19,0,0,1,1029,14,1044,1623
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1230,3,489,436,11,3,4,9,18,1,21,2,8,2,0,8,1004,22,1034,1844
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1231,2,181,228,4,2,5,8,10,0,2,1,4,0,0,0,445,15,460,804
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1232,2,390,336,10,13,5,3,6,4,2,3,5,0,0,0,777,13,790,1240
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1233,2,257,214,9,21,1,0,7,0,6,0,3,0,0,0,518,9,527,843
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1234,3,510,829,16,11,10,5,21,2,3,7,14,0,0,0,1428,15,1443,1267
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1235,2,280,262,5,1,4,4,9,0,0,2,3,1,0,1,571,12,584,1074
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1236,2,363,384,11,23,8,9,15,2,0,1,0,0,1,0,817,15,832,1476
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1237,2,234,299,10,5,6,10,16,2,7,2,3,2,0,0,596,15,611,1200
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1238,2,180,235,11,5,4,3,9,1,3,2,11,1,0,0,465,17,482,1029
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1239,3,371,307,12,3,4,10,13,2,2,1,3,1,0,0,729,14,743,1555
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1240,1,83,94,3,2,1,1,1,0,1,1,1,0,0,0,188,3,191,299
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1241,1,95,94,3,4,2,1,5,0,0,1,0,0,0,0,205,2,207,373
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1242,1,117,169,5,3,2,1,6,1,1,2,3,0,0,0,310,0,310,561
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1243,3,506,416,21,2,12,10,11,2,18,2,6,1,0,3,1007,19,1029,2088
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1244,2,330,370,9,10,16,4,15,2,7,1,4,1,0,0,769,13,782,1479
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1245,2,242,243,9,2,2,3,6,0,2,3,4,0,0,1,516,10,527,876
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1246,2,317,321,13,4,3,2,25,3,4,0,0,1,0,1,693,13,707,1150
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1247,2,371,273,13,8,6,9,17,2,7,2,5,2,1,0,716,18,734,1220
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1248,2,239,764,11,8,2,4,19,2,3,3,4,1,0,1,1060,12,1073,566
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1249,2,245,280,6,9,3,6,15,3,3,3,12,1,0,0,586,10,596,1140
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1250,2,172,242,9,5,2,6,11,1,1,1,6,0,0,0,456,11,467,916
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1251,5,754,797,34,11,22,51,51,11,9,9,12,1,5,1,1767,31,1799,3637
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1252,4,538,412,19,8,12,15,38,2,9,4,1,0,1,0,1059,33,1092,2399
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1253,2,301,318,30,13,6,7,21,3,3,1,3,0,0,1,706,13,720,1454
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1254,2,278,372,29,5,9,11,22,6,3,0,6,0,0,1,741,24,766,1332
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1255,2,322,225,15,6,3,5,8,1,4,4,0,2,0,0,595,9,604,1005
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1256,2,327,324,18,6,7,13,25,4,7,1,2,0,0,0,734,22,756,1379
1,26,SONORA,19,NAVOJOA NORTE,65,NAVOJOA,1257,3,384,351,6,5,12,13,24,1,4,1,2,0,0,0,803,24,827,1549
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1258,2,294,302,8,6,6,10,10,3,12,5,6,4,0,0,666,13,679,1297
