id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,PAN-PNA,PRI,PRI-PVEM,PRI-PVEM-PS,PRI-PS,PRD,PRD-PC-PT,PRD-PC,PRD-PT,PRD-PT2,PRD-PC-PT2,PT,PT-PC,PVEM,CONVERGENCIA,PS,PAC,PP,PLT,PPT,Nulos,Total
29,4/7/2010,12,Ayuntamientos,29,0,13,1,C,Contigua,0,3,APIZACO,632,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,65,,77,,,104,,,,,,72,,,9,8,7,0,1,9,17,369
29,4/7/2010,12,Ayuntamientos,29,0,30,1,C,Contigua,0,3,APIZACO,742,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,79,,76,,,98,,,,,,96,,,16,3,15,1,6,5,10,405
29,4/7/2010,12,Ayuntamientos,29,0,30,2,C,Contigua,0,3,APIZACO,742,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,88,,88,,,93,,,,,,82,,,13,3,25,4,0,0,13,409
29,4/7/2010,12,Ayuntamientos,29,0,30,3,C,Contigua,0,3,APIZACO,742,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,80,,76,,,99,,,,,,80,,,11,2,20,2,5,4,19,398
29,4/7/2010,12,Ayuntamientos,29,0,31,1,C,Contigua,0,3,APIZACO,671,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,75,,56,,,80,,,,,,45,,,9,1,26,3,2,1,17,315
29,4/7/2010,12,Ayuntamientos,29,0,32,2,C,Contigua,0,3,APIZACO,593,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,72,,63,,,58,,,,,,90,,,7,8,5,0,5,1,11,320
29,4/7/2010,12,Ayuntamientos,29,0,39,1,B,Basica,0,3,APIZACO,471,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,73,,95,,,63,,,,,,17,,,23,14,9,1,9,11,10,325
29,4/7/2010,12,Ayuntamientos,29,0,121,1,C,Contigua,0,9,CUAXOMULCO,478,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,70,110,,,,,,,,,98,,,83,,,,,0,0,0,361
29,4/7/2010,12,Ayuntamientos,29,0,529,1,C,Contigua,0,38,TZOMPANTEPEC,662,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,106,127,,,,42,,,,,,21,,12,,8,22,143,5,13,22,521
29,4/7/2010,12,Ayuntamientos,29,0,530,1,C,Contigua,0,38,TZOMPANTEPEC,488,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,45,65,,,,29,,,,,,9,,46,,2,16,67,1,24,23,327
29,4/7/2010,12,Ayuntamientos,29,0,534,1,C,Contigua,0,50,SAN JOSE TEACALCO,519,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,69,65,,,,61,,,,,,,107,74,,2,,,0,0,10,388
29,4/7/2010,12,Ayuntamientos,29,0,535,1,B,Basica,0,50,SAN JOSE TEACALCO,561,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,69,99,,,,69,,,,,,,105,22,,14,,,0,0,12,390
29,4/7/2010,12,Ayuntamientos,29,0,60,1,B,Basica,0,5,ATLTZAYANCA,624,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,82,,135,,,,,,,,94,,,,,111,,,0,0,21,443
29,4/7/2010,12,Ayuntamientos,29,0,62,1,B,Basica,0,5,ATLTZAYANCA,293,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,22,,39,,,,,,,,6,,,,,118,,,0,0,14,199
29,4/7/2010,12,Ayuntamientos,29,0,600,2,C,Contigua,0,44,ZACATELCO,823,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,143,,184,,,41,,,,,,,30,,,73,,28,,24,14,537
29,4/7/2010,12,Ayuntamientos,29,0,309,1,B,Basica,0,22,ACUAMANALA DE MIGUEL HIDALGO,565,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,101,,222,,,82,,,,,,,24,,,3,,,0,0,9,441
29,4/7/2010,12,Ayuntamientos,29,0,387,1,B,Basica,0,29,TEPEYANCO,782,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,109,,114,,,,91,,,,,7,,,,75,61,53,,7,16,533
29,4/7/2010,12,Ayuntamientos,29,0,424,1,C,Contigua,0,32,TETLATLAHUCA,616,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,35,29,,,,33,,,,,,1,,126,22,170,,,,,16,432
29,4/7/2010,12,Ayuntamientos,29,0,428,1,C,Contigua,0,32,TETLATLAHUCA,722,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,28,27,,,,83,,,,,,15,,42,48,177,,,,,19,439
29,4/7/2010,12,Ayuntamientos,29,0,604,2,C,Contigua,0,48,SANTA CATARINA AYOMETLA,638,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,113,,65,,,35,,,,,,98,,,,4,,,,78,12,405
29,4/7/2010,12,Ayuntamientos,29,0,605,1,C,Contigua,0,48,SANTA CATARINA AYOMETLA,517,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,103,,67,,,46,,,,,,61,,,,5,,,,45,,327
29,4/7/2010,12,Ayuntamientos,29,0,289,1,C,Contigua,0,19,TEPETITLA DE LARDIZABAL,682,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,100,49,,,,12,,,,,,18,,18,178,17,15,,0,4,26,437
29,4/7/2010,12,Ayuntamientos,29,0,290,1,B,Basica,0,19,TEPETITLA DE LARDIZABAL,727,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,57,63,,,,29,,,,,,19,,45,221,18,9,,0,12,23,496
29,4/7/2010,12,Ayuntamientos,29,0,323,1,B,Basica,0,23,NATIVITAS,799,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,18,,60,,,366,,,,,,36,,,1,1,,,0,0,25,507
29,4/7/2010,12,Ayuntamientos,29,0,324,1,B,Basica,0,23,NATIVITAS,595,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,,72,,,263,,,,,,25,,,0,2,,,0,0,14,387
29,4/7/2010,12,Ayuntamientos,29,0,326,1,C,Contigua,0,23,NATIVITAS,664,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,42,,145,,,51,,,,,,180,,,0,26,,,0,0,21,465
29,4/7/2010,12,Ayuntamientos,29,0,328,1,B,Basica,0,23,NATIVITAS,802,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,64,,156,,,24,,,,,,164,,,4,35,,,0,0,29,476
29,4/7/2010,12,Ayuntamientos,29,0,234,1,B,Basica,0,15,IXTACUIXTLA DE MARIANO MATAMOROS,612,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,181,155,,,,,,,,,18,,,,,,,,0,0,14,368
29,4/7/2010,12,Ayuntamientos,29,0,241,1,C,Contigua,0,15,IXTACUIXTLA DE MARIANO MATAMOROS,760,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,136,172,,,,,,,,,43,,,,,,,,0,0,29,380
29,4/7/2010,12,Ayuntamientos,29,0,245,2,C,Contigua,0,15,IXTACUIXTLA DE MARIANO MATAMOROS,707,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,112,277,,,,,,,,,67,,,,,,,,0,0,17,473
29,4/7/2010,12,Ayuntamientos,29,0,251,2,C,Contigua,0,15,IXTACUIXTLA DE MARIANO MATAMOROS,848,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,154,202,,,,,,,,,124,,,,,,,,,,24,504
29,4/7/2010,12,Ayuntamientos,29,0,403,1,B,Basica,0,30,TERRENATE,567,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,38,,24,,,8,,,,,,15,,,18,205,8,,0,,25,341
29,4/7/2010,12,Ayuntamientos,29,0,404,1,B,Basica,0,30,TERRENATE,681,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,54,,38,,,6,,,,,,87,,,51,125,25,,0,,32,418
29,4/7/2010,12,Ayuntamientos,29,0,404,1,C,Contigua,0,30,TERRENATE,682,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,53,,40,,,17,,,,,,74,,,76,91,25,,0,,31,407
29,4/7/2010,12,Ayuntamientos,29,0,405,1,B,Basica,0,30,TERRENATE,206,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,31,,30,,,2,,,,,,4,,,6,62,13,,0,,11,159
29,4/7/2010,12,Ayuntamientos,29,0,541,2,C,Contigua,0,39,XALOZTOC,798,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,56,,107,,,66,,,,,,,31,,,48,13,82,0,98,15,516
29,4/7/2010,12,Ayuntamientos,29,0,608,1,B,Basica,0,54,EMILIANO ZAPATA,589,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,40,,58,,,194,,,,,,35,,,67,39,,,0,,23,456
29,4/7/2010,12,Ayuntamientos,29,0,181,1,B,Basica,0,13,HUAMANTLA,706,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,127,,230,,,14,,,,,,5,,,,0,2,11,0,,10,399
29,4/7/2010,12,Ayuntamientos,29,0,181,1,C,Contigua,0,13,HUAMANTLA,707,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,122,,241,,,21,,,,,,11,,,,0,6,7,0,,13,421
29,4/7/2010,12,Ayuntamientos,29,0,183,1,C,Contigua,0,13,HUAMANTLA,833,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,99,,306,,,24,,,,,,6,,,,0,6,9,0,,20,470
29,4/7/2010,12,Ayuntamientos,29,0,185,1,C,Contigua,0,13,HUAMANTLA,663,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,94,,215,,,22,,,,,,3,,,,0,5,2,0,,15,356
29,4/7/2010,12,Ayuntamientos,29,0,192,2,C,Contigua,0,13,HUAMANTLA,580,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,127,,147,,,24,,,,,,15,,,,0,14,8,0,,17,352
29,4/7/2010,12,Ayuntamientos,29,0,206,1,B,Basica,0,13,HUAMANTLA,773,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,217,,217,,,30,,,,,,24,,,,0,77,2,0,,33,600
29,4/7/2010,12,Ayuntamientos,29,0,208,1,B,Basica,0,13,HUAMANTLA,634,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,173,,194,,,32,,,,,,15,,,,0,45,2,0,,0,461
29,4/7/2010,12,Ayuntamientos,29,0,215,1,B,Basica,0,13,HUAMANTLA,255,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,83,,87,,,11,,,,,,1,,,,0,11,0,0,,8,201
29,4/7/2010,12,Ayuntamientos,29,0,103,1,C,Contigua,0,7,EL CARMEN TEQUEXQUITLA,528,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,73,,48,,,117,,,,,,,5,,,37,,,,,33,313
29,4/7/2010,12,Ayuntamientos,29,0,108,1,B,Basica,0,8,CUAPIAXTLA,693,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,141,,1129,,,35,,,,,,,76,,,14,58,,,,0,1453
29,4/7/2010,12,Ayuntamientos,29,0,113,1,B,Basica,0,8,CUAPIAXTLA,238,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,34,,46,,,4,,,,,,,51,,,11,26,,,,12,184
29,4/7/2010,12,Ayuntamientos,29,0,203,1,C,Contigua,0,13,HUAMANTLA,581,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,157,,175,,,25,,,,,,2,,,,5,,6,,,24,394
29,4/7/2010,12,Ayuntamientos,29,0,213,2,C,Contigua,0,13,HUAMANTLA,784,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,131,,260,,,60,,,,,,6,,,,26,,24,,,33,540
29,4/7/2010,12,Ayuntamientos,29,0,522,1,B,Basica,0,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,655,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,102,,58,,,26,,,,,,90,,,6,23,9,,4,,31,349
29,4/7/2010,12,Ayuntamientos,29,0,526,1,B,Basica,0,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,175,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,32,,37,,,2,,,,,,2,,,38,0,0,,0,,4,115
29,4/7/2010,12,Ayuntamientos,29,0,152,1,C,Contigua,0,52,LA MAGDALENA TLALTELULCO,795,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,93,62,,,,66,,,,,,,50,172,,61,,,22,,20,546
29,4/7/2010,12,Ayuntamientos,29,0,154,1,C,Contigua,0,52,LA MAGDALENA TLALTELULCO,701,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,82,49,,,,68,,,,,,,58,46,,64,,,86,,14,467
29,4/7/2010,12,Ayuntamientos,29,0,156,1,B,Basica,0,10,CHIAUTEMPAN,639,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,78,,76,,,59,,,,,,,97,,,9,5,,,6,21,351
29,4/7/2010,12,Ayuntamientos,29,0,158,3,C,Contigua,0,51,SAN FRANCISCO TETLANOHCAN,707,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,164,,221,,,28,,,,,,,20,,,19,,,,,13,465
29,4/7/2010,12,Ayuntamientos,29,0,159,2,C,Contigua,0,51,SAN FRANCISCO TETLANOHCAN,707,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,144,,215,,,40,,,,,,,40,,,22,,,,,10,471
29,4/7/2010,12,Ayuntamientos,29,0,383,1,B,Basica,0,28,TEOLOCHOLCO,654,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,75,,139,,,105,,,,,,,,,,91,50,,,,19,479
29,4/7/2010,12,Ayuntamientos,29,0,350,4,C,Contigua,0,25,SAN PABLO DEL MONTE,695,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,59,,,,149,121,,,,,,,84,36,,,44,4,,1,20,518
29,4/7/2010,12,Ayuntamientos,29,0,351,2,C,Contigua,0,25,SAN PABLO DEL MONTE,672,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,74,,,,132,92,,,,,,,53,13,,,80,3,,2,0,449
29,4/7/2010,12,Ayuntamientos,29,0,353,1,C,Contigua,0,25,SAN PABLO DEL MONTE,815,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,81,,,,126,176,,,,,,,57,20,,,45,4,,1,14,524
29,4/7/2010,12,Ayuntamientos,29,0,358,2,C,Contigua,0,25,SAN PABLO DEL MONTE,847,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,,,,,,,,,,,,,,,,,,,,,,0
