CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,602,1,68,39,11,22,6,2,37,16,7,2,1,0,0,1,211,9,221,437
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,603,1,20,15,10,26,1,0,17,8,3,6,0,0,0,0,106,2,108,319
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,604,2,98,79,50,55,10,3,54,30,13,4,14,0,1,0,411,13,424,768
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,605,1,64,36,11,13,2,4,50,24,8,3,4,0,0,0,219,10,229,521
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,606,1,99,61,23,30,12,5,54,15,6,0,6,0,0,1,311,19,331,654
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,607,1,88,61,19,73,9,2,52,22,8,1,4,0,0,0,339,10,349,646
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,608,1,85,41,12,59,4,5,52,14,10,1,0,0,1,0,284,13,297,544
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,609,1,85,56,25,21,3,3,44,28,5,1,1,1,0,0,273,12,285,617
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,610,1,101,28,3,30,2,1,62,17,9,0,2,0,0,0,255,8,263,515
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,611,1,146,49,20,27,5,5,55,27,5,1,4,0,0,0,344,11,355,730
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,612,2,126,48,33,38,7,5,69,14,9,1,7,0,0,1,357,9,367,779
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,613,1,85,54,11,40,3,4,58,15,8,2,2,0,0,0,282,8,290,687
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,614,1,125,98,21,15,4,4,51,27,4,0,2,2,0,0,353,9,362,586
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,615,1,112,47,11,22,5,3,64,26,6,0,0,0,0,1,296,5,302,573
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,616,1,138,49,27,41,10,1,79,20,9,2,4,0,0,0,380,7,387,740
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,617,1,91,43,19,27,9,6,57,21,8,2,2,0,0,0,285,5,290,650
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,618,1,43,37,16,82,1,0,19,9,13,5,15,0,0,0,240,8,248,444
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,619,2,65,97,33,131,3,2,53,14,3,11,21,0,0,0,433,14,447,792
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,620,2,72,81,28,109,4,4,35,9,15,7,14,0,0,0,378,11,389,868
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,621,1,170,50,25,14,6,3,85,21,5,1,3,0,0,1,383,9,393,746
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,622,1,169,44,19,22,3,4,65,18,12,0,1,0,0,0,357,8,365,680
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,623,2,155,45,28,38,2,9,83,24,10,1,0,0,0,0,395,11,406,759
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,624,1,69,16,9,16,3,2,47,13,8,2,2,0,0,1,187,6,194,377
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,625,1,120,52,28,42,5,4,70,18,11,0,4,0,0,2,354,14,370,681
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,626,10,1700,467,191,103,41,40,598,202,121,11,15,0,0,15,3489,94,3598,7433
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,627,2,288,87,43,34,12,7,134,42,15,3,0,0,0,1,665,16,682,1362
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,628,2,261,90,51,45,12,16,150,38,22,1,10,0,0,2,696,25,723,1478
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,629,2,188,48,27,45,7,5,72,18,11,2,3,0,0,1,426,17,444,931
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,630,1,26,23,12,112,1,1,25,9,4,6,7,0,0,0,226,11,237,430
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,631,3,159,207,53,485,22,9,87,47,28,18,48,1,3,0,1167,46,1213,1923
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,632,4,282,283,57,150,21,14,250,79,30,5,21,1,0,2,1193,26,1221,2883
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,633,3,100,144,72,401,8,12,55,26,19,17,49,2,1,0,906,38,944,1568
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,634,1,37,63,31,201,4,5,24,18,13,1,15,0,0,0,412,0,412,692
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,635,1,41,66,17,203,3,2,18,5,7,4,23,0,0,0,389,13,402,688
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,636,1,28,66,11,149,5,2,35,10,7,6,21,0,0,0,340,16,356,678
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,637,1,12,27,8,100,0,1,10,5,3,0,11,0,0,0,177,7,184,323
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,638,2,39,92,22,263,5,5,44,15,10,5,20,4,0,0,524,17,541,1009
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,639,1,32,67,20,125,7,6,38,5,6,6,7,0,1,0,320,6,326,644
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,640,2,54,96,39,224,5,5,55,19,10,10,46,0,0,0,563,19,582,1138
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,641,1,26,87,9,128,6,3,18,17,9,10,23,0,0,0,336,10,346,569
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,642,2,173,48,16,26,4,4,42,12,10,4,2,0,1,2,342,9,353,770
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,643,1,95,59,20,72,3,3,41,10,11,2,5,0,1,0,322,13,335,700
