ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,16,AXAPUSCO,20,33,1704,4486,230,2621,145,111,272,3721,188,145,38,15,5,0,122,112,4,10,,13929,8,384,14321,17874,
15,MEXICO,17,AYAPANGO,5,9,161,1268,1232,61,90,102,51,1128,33,50,22,13,1,6,11,5,0,0,,4234,24,114,4372,5683,
15,MEXICO,18,CALIMAYA,16,60,5806,5754,443,792,1204,340,591,9097,357,1452,60,33,9,0,109,50,14,36,,26147,16,820,26983,37607,
15,MEXICO,19,CAPULHUAC,12,40,929,3984,602,402,1288,162,1131,5300,204,707,41,12,2,1,104,25,1,11,,14906,3,516,15425,25014,
15,MEXICO,20,COACALCO,106,351,21677,24325,8793,3325,5096,2173,3435,71002,3549,4787,671,190,67,36,0,0,0,0,,149126,117,5599,154842,223214,
15,MEXICO,21,COATEPEC HARINAS,19,50,3100,4666,523,3948,490,220,337,3767,264,198,29,21,8,10,123,153,16,18,,17891,4,746,18641,26702,
15,MEXICO,22,COCOTITLAN,6,17,831,1576,1001,155,562,605,244,3343,124,92,4,4,1,0,36,8,1,7,,8594,0,299,8893,11388,
15,MEXICO,23,COYOTEPEC,11,54,3314,3834,416,546,1425,406,827,10389,451,913,133,22,18,2,254,77,9,45,,23081,9,650,23740,36152,
15,MEXICO,24,CUAUTITLAN,27,123,7404,11477,1489,1138,1363,928,2298,25845,1253,1594,156,39,18,11,511,102,15,101,,55742,43,1475,57260,81448,
15,MEXICO,25,CUAUTITLAN IZCALLI,258,674,64741,38996,5254,5270,11350,5395,8697,118505,5676,8960,1306,260,218,53,2757,571,70,614,,278693,192,7518,286403,408508,
15,MEXICO,26,CHALCO,71,356,10392,26277,7836,3606,3425,7120,2238,71485,4923,3107,553,100,107,188,2510,426,161,589,,145043,175,4799,150017,239188,
15,MEXICO,27,CHAPA DE MOTA,14,39,5013,3967,183,218,551,160,2427,3230,203,274,62,34,12,2,50,10,1,29,,16426,1,698,17125,20760,
15,MEXICO,28,CHAPULTEPEC,2,12,545,1629,111,312,435,107,145,1880,93,401,15,1,1,0,31,13,1,2,,5722,1,145,5868,7927,
15,MEXICO,29,CHIAUTLA,12,35,899,4733,224,141,602,209,277,8472,195,182,17,3,2,2,73,20,0,35,,16086,5,393,16484,21271,
15,MEXICO,30,CHICOLOAPAN,70,207,4295,20341,6223,1398,2850,988,1642,35735,1637,1719,233,74,37,20,1159,201,37,249,,78838,53,2815,81706,129663,
