municipality,section,PAN,PRI,PRD,PT,PC,PVEM,PANAL,PSD,CC_PRI_PANAL,PRI_PANAL,C_PRI_PANAL,PRD_PT_PC,C_PRD_PT_PC,PRD_PC,C_PRD_PC,PVEM_PANAL,C_PVEM_PANAL,PRI_PVEM,C_PRI_PVEM,Nulos
CUERNAVACA,307,142,0,152,19,24,18,0,29,323,,,54,249,,,,,48,389,16
CUERNAVACA,308,186,0,189,17,14,40,0,35,299,,,43,267,,,,,59,398,23
CUERNAVACA,309,340,0,410,53,21,62,0,62,567,,,121,605,,,,,92,721,37
CUERNAVACA,310,160,0,125,13,12,20,0,12,221,,,33,183,,,,,41,282,13
CUERNAVACA,311,173,0,150,28,24,37,0,19,264,,,42,334,,,,,47,348,18
CUERNAVACA,312,164,0,177,25,25,22,0,17,299,,,49,277,,,,,50,361,25
CUERNAVACA,313,72,0,55,11,8,11,0,7,104,,,13,87,,,,,16,131,7
CUERNAVACA,314,102,0,114,23,21,28,0,19,193,,,40,198,,,,,34,255,13
CUERNAVACA,315,140,0,134,13,16,20,0,13,235,,,40,203,,,,,48,303,18
CUERNAVACA,316,156,0,204,24,17,31,0,22,230,,,65,310,,,,,35,296,20
CUERNAVACA,317,211,0,296,48,42,46,0,39,352,,,73,447,,,,,60,458,28
CUERNAVACA,318,147,0,159,29,16,40,0,14,324,,,72,276,,,,,82,446,31
CUERNAVACA,319,58,0,58,10,10,15,0,9,109,,,12,90,,,,,15,139,6
CUERNAVACA,320,226,0,315,32,26,60,0,22,450,,,54,427,,,,,66,576,71
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CUERNAVACA,321,143,0,220,47,11,27,0,15,265,,,55,333,,,,,39,331,22
CUERNAVACA,322,125,0,165,25,20,28,0,28,289,,,61,271,,,,,54,371,16
CUERNAVACA,323,66,0,74,10,13,19,0,4,121,,,23,120,,,,,18,158,12
CUERNAVACA,324,135,0,112,19,15,23,0,16,207,,,32,178,,,,,46,276,16
CUERNAVACA,325,70,0,47,12,10,14,0,11,58,,,16,85,,,,,14,86,5
CUERNAVACA,326,35,0,30,6,4,5,0,11,83,,,10,50,,,,,13,100,3
CUERNAVACA,327,151,0,165,26,22,32,0,18,252,,,38,251,,,,,30,314,13
CUERNAVACA,328,147,0,117,20,8,24,0,12,222,,,24,169,,,,,34,280,11
CUERNAVACA,329,158,0,73,10,9,11,0,14,167,,,18,110,,,,,20,198,15
CUERNAVACA,330,180,0,115,19,13,16,0,12,209,,,28,175,,,,,27,252,11
CUERNAVACA,331,141,0,120,18,15,19,0,18,207,,,32,190,,,,,41,267,18
CUERNAVACA,332,227,0,221,47,25,31,0,19,368,,,61,354,,,,,51,450,18
CUERNAVACA,333,188,0,266,37,26,29,0,22,408,,,74,403,,,,,65,512,28
CUERNAVACA,334,204,0,243,27,18,33,0,26,364,,,67,355,,,,,60,457,15
CUERNAVACA,335,207,0,270,36,28,37,0,33,329,,,71,405,,,,,61,510,26
CUERNAVACA,336,170,0,220,33,19,27,0,16,265,,,29,301,,,,,27,319,20
CUERNAVACA,337,140,0,169,36,8,25,0,19,187,,,66,279,,,,,28,240,21
CUERNAVACA,338,276,0,206,28,19,31,0,30,463,,,76,329,,,,,101,585,30
CUERNAVACA,339,132,0,207,34,13,24,0,14,232,,,49,303,,,,,33,289,15
CUERNAVACA,340,287,0,332,29,30,50,0,36,419,,,80,481,,,,,83,552,41
CUERNAVACA,341,131,0,107,12,7,18,0,18,193,,,37,163,,,,,28,239,5
CUERNAVACA,342,168,0,122,10,11,14,0,9,223,,,22,165,,,,,17,254,23
CUERNAVACA,343,183,0,128,22,13,19,0,22,244,,,26,189,,,,,30,293,16
CUERNAVACA,344,206,0,179,24,19,35,0,13,406,,,45,267,,,,,62,503,22
CUERNAVACA,345,91,0,59,9,4,33,0,4,163,,,11,83,,,,,25,221,10
CUERNAVACA,346,68,0,80,7,12,20,0,9,158,,,16,115,,,,,0,178,7
CUERNAVACA,347,64,0,45,6,6,10,0,3,99,,,13,70,,,,,15,124,7
CUERNAVACA,348,151,0,174,18,29,36,0,29,283,,,58,275,,,,,48,328,23
CUERNAVACA,349,218,0,213,31,28,33,0,25,291,,,75,347,,,,,50,374,24
CUERNAVACA,350,198,0,177,46,21,35,0,31,381,,,57,301,,,,,45,461,16
CUERNAVACA,351,67,0,108,19,7,22,0,6,154,,,21,155,,,,,15,191,7
CUERNAVACA,352,63,0,93,15,8,16,0,6,142,,,16,132,,,,,21,179,4
CUERNAVACA,353,103,0,87,21,10,22,0,23,156,,,24,142,,,,,33,211,12
CUERNAVACA,354,194,0,131,22,10,41,0,23,258,,,38,201,,,,,44,343,12
CUERNAVACA,355,295,0,298,48,33,66,0,39,508,,,70,451,,,,,70,544,28
CUERNAVACA,356,155,0,136,21,9,33,0,20,368,,,30,196,,,,,58,459,15
CUERNAVACA,357,177,0,125,21,11,18,0,21,195,,,29,186,,,,,33,246,23
CUERNAVACA,358,56,0,65,7,2,9,0,6,128,,,22,96,,,,,21,158,6
CUERNAVACA,359,131,0,140,16,17,22,0,24,222,,,50,223,,,,,32,276,18
CUERNAVACA,360,117,0,221,60,15,30,0,32,297,,,97,395,,,,,29,366,17
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CUERNAVACA,361,156,0,121,22,15,15,0,15,238,,,32,185,,,,,35,288,12
CUERNAVACA,362,95,0,83,10,12,15,0,8,119,,,17,122,,,,,17,151,9
CUERNAVACA,363,99,0,119,13,12,10,0,10,184,,,0,144,,,,,0,194,172
CUERNAVACA,364,148,0,175,24,16,41,0,40,299,,,53,268,,,,,47,387,14
CUERNAVACA,365,333,0,260,41,25,67,0,34,439,,,79,405,,,,,85,591,44
CUERNAVACA,366,194,0,260,21,15,31,0,37,311,,,77,373,,,,,60,402,30
CUERNAVACA,367,167,0,219,36,17,44,0,39,258,,,67,329,,,,,43,345,23
CUERNAVACA,368,139,0,130,25,14,22,0,14,248,,,27,196,,,,,33,303,19
CUERNAVACA,369,175,0,143,34,22,38,0,19,272,,,42,241,,,,,56,366,24
CUERNAVACA,370,211,0,247,29,24,47,0,26,350,,,81,381,,,,,62,459,27
CUERNAVACA,371,187,0,135,20,16,30,0,18,220,,,51,222,,,,,31,281,21
CUERNAVACA,372,148,0,108,14,14,29,0,9,230,,,20,156,,,,,18,277,19
CUERNAVACA,373,205,0,251,25,24,40,0,22,311,,,75,375,,,,,54,405,38
CUERNAVACA,374,88,0,165,14,19,24,0,23,252,,,49,247,,,,,43,319,20
CUERNAVACA,375,351,0,386,57,39,70,0,57,674,,,98,570,,,,,74,818,31
CUERNAVACA,376,117,0,93,13,14,27,0,3,179,,,15,135,,,,,24,230,13
CUERNAVACA,377,115,0,118,12,11,12,0,15,217,,,37,178,,,,,25,254,21
CUERNAVACA,378,174,0,201,27,26,33,0,24,281,,,77,331,,,,,26,340,17
CUERNAVACA,379,192,0,182,19,23,24,0,29,261,,,37,261,,,,,38,323,16
CUERNAVACA,380,127,0,44,7,3,23,0,3,160,,,6,60,,,,,9,192,8
CUERNAVACA,381,123,0,107,7,9,16,0,10,201,,,0,123,,,,,0,217,11
CUERNAVACA,382,302,0,275,40,42,38,0,68,482,,,49,406,,,,,78,598,39
CUERNAVACA,383,313,0,341,51,23,44,0,42,473,,,90,505,,,,,64,581,35
CUERNAVACA,384,223,0,187,14,19,25,0,25,280,,,39,259,,,,,42,347,21
CUERNAVACA,385,249,0,337,44,25,34,0,87,550,,,73,479,,,,,67,651,32
CUERNAVACA,386,229,0,255,33,16,41,0,53,553,,,65,369,,,,,62,656,19
CUERNAVACA,387,388,0,348,25,21,100,0,92,410,,,117,511,,,,,103,613,36
CUERNAVACA,388,333,0,291,38,22,112,0,53,501,,,70,421,,,,,132,745,39
CUERNAVACA,389,232,0,60,11,3,27,0,23,74,,,36,146,,,,,29,130,33
CUERNAVACA,390,69,0,42,7,5,12,0,8,86,,,10,64,,,,,14,112,7
CUERNAVACA,612,177,0,181,20,13,34,0,26,290,,,39,253,,,,,48,372,46
CUERNAVACA,907,83,0,74,10,6,8,0,12,95,,,29,119,,,,,18,121,0
,,,,,,,,,,,,,,,,,,,,,
EMILIANO ZAPATA,391,172,161,574,19,11,707,152,42,0,,,108,712,,,,,,,108
EMILIANO ZAPATA,392,130,87,199,4,8,370,107,10,0,,,36,247,,,,,,,75
EMILIANO ZAPATA,393,367,217,571,28,61,277,160,48,0,,,84,744,,,,,,,77
EMILIANO ZAPATA,394,220,71,220,6,9,281,154,23,0,,,43,278,,,,,,,41
EMILIANO ZAPATA,395,71,89,259,10,4,213,81,10,0,,,43,316,,,,,,,46
EMILIANO ZAPATA,396,270,223,462,29,20,595,275,47,0,,,118,629,,,,,,,89
EMILIANO ZAPATA,397,217,160,175,15,8,294,150,30,0,,,35,233,,,,,,,35
EMILIANO ZAPATA,398,329,144,201,3,3,250,149,32,0,,,26,233,,,,,,,33
EMILIANO ZAPATA,399,314,100,227,4,5,306,480,45,0,,,28,264,,,,,,,57
EMILIANO ZAPATA,400,234,154,187,4,7,311,315,16,0,,,20,218,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
EMILIANO ZAPATA,401,227,137,194,7,10,205,243,70,0,,,42,253,,,,,,,39
EMILIANO ZAPATA,402,369,218,385,16,10,405,378,139,0,,,86,497,,,,,,,111
EMILIANO ZAPATA,403,384,210,377,23,21,240,434,73,0,,,80,501,,,,,,,92
EMILIANO ZAPATA,404,232,199,261,15,11,181,50,47,0,,,75,362,,,,,,,34
EMILIANO ZAPATA,405,138,200,158,13,7,82,37,31,0,,,40,218,,,,,,,39
EMILIANO ZAPATA,406,467,543,889,34,34,676,303,117,0,,,188,1145,,,,,,,183
EMILIANO ZAPATA,407,194,177,457,29,8,196,117,63,0,,,112,606,,,,,,,62
EMILIANO ZAPATA,408,312,128,160,11,18,176,164,84,0,,,32,221,,,,,,,69
EMILIANO ZAPATA,409,214,285,234,6,9,326,114,192,0,,,35,284,,,,,,,83
EMILIANO ZAPATA,410,332,229,300,13,31,230,116,89,0,,,55,399,,,,,,,77
EMILIANO ZAPATA,411,711,541,552,35,73,391,251,128,0,,,111,771,,,,,,,136
HUITZILAC,412,348,238,29,36,10,104,133,235,0,,,5,552,,,,,,,48
HUITZILAC,413,340,195,38,31,4,118,84,148,0,,,20,443,,,,,,,43
HUITZILAC,414,308,203,49,52,17,60,52,155,0,,,14,399,,,,,,,29
HUITZILAC,415,57,16,0,0,1,25,1,14,0,,,0,41,,,,,,,4
HUITZILAC,416,228,274,49,40,4,195,224,130,0,,,21,663,,,,,,,43
HUITZILAC,417,266,265,69,48,9,431,203,103,0,,,15,878,,,,,,,62
HUITZILAC,418,208,112,52,46,5,190,135,101,0,,,19,548,,,,,,,26
HUITZILAC,419,182,244,56,60,14,192,115,119,0,,,29,585,,,,,,,60
HUITZILAC,420,120,103,46,27,5,68,43,27,0,,,16,232,,,,,,,25
HUITZILAC,421,87,108,40,17,1,56,13,16,0,,,10,153,,,,,,,21
HUITZILAC,422,61,93,65,20,8,72,31,46,0,,,13,255,,,,,,,31
JANTETELCO,423,153,345,25,81,27,134,88,28,0,,,15,148,,,,,,,28
JANTETELCO,424,125,306,8,41,14,114,72,29,0,,,8,132,,,,,,,17
JANTETELCO,425,154,323,9,73,31,128,49,33,0,,,8,121,,,,,,,20
JANTETELCO,426,341,25,16,350,7,322,11,220,0,,,50,423,,,,,,,42
JANTETELCO,427,256,17,20,164,2,302,4,179,0,,,38,224,,,,,,,33
JANTETELCO,428,223,24,21,138,3,372,5,115,0,,,27,189,,,,,,,32
JANTETELCO,429,34,600,11,150,4,349,2,116,0,,,14,179,,,,,,,37
JANTETELCO,430,226,116,14,189,15,432,16,54,0,,,32,250,,,,,,,36
JIUTEPEC,431,181,0,235,25,13,40,0,21,252,,,65,574,,,,,,,56
JIUTEPEC,432,210,0,191,11,19,43,0,37,227,,,59,276,,,,,,,40
JIUTEPEC,433,329,0,253,36,19,80,0,49,269,,,81,389,,,,,,,51
JIUTEPEC,434,365,0,208,28,16,71,0,59,299,,,40,443,,,,,,,67
JIUTEPEC,435,355,0,280,25,29,65,0,36,284,,,40,394,,,,,,,51
JIUTEPEC,436,359,0,320,33,18,78,0,46,332,,,52,315,,,,,,,79
JIUTEPEC,437,327,0,385,34,29,83,0,38,383,,,123,409,,,,,,,87
JIUTEPEC,438,390,0,385,36,16,73,0,39,325,,,212,540,,,,,,,46
JIUTEPEC,439,355,0,308,26,36,48,0,50,260,,,84,454,,,,,,,40
JIUTEPEC,440,94,0,81,9,8,9,0,45,90,,,23,121,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
JIUTEPEC,441,278,0,197,31,19,46,0,44,154,,,48,295,,,,,,,33
JIUTEPEC*,442,89,0,58,2,8,15,0,17,61,,,15,83,,,,,,,11
JIUTEPEC,443,245,0,138,20,21,50,0,26,150,,,31,210,,,,,,,35
JIUTEPEC*,444,157,0,124,6,7,14,0,8,121,,,27,164,,,,,,,26
JIUTEPEC,445,315,0,266,21,14,33,0,27,286,,,91,392,,,,,,,61
JIUTEPEC,446,146,0,129,19,22,41,0,20,118,,,32,202,,,,,,,22
JIUTEPEC,447,157,0,143,22,12,42,0,37,117,,,33,210,,,,,,,27
JIUTEPEC,448,378,0,363,40,31,68,0,49,418,,,113,388,,,,,,,69
JIUTEPEC*,449,422,0,380,47,46,69,0,59,487,,,102,575,,,,,,,86
JIUTEPEC,450,431,0,381,57,35,40,0,43,396,,,94,567,,,,,,,51
JIUTEPEC,451,275,0,183,12,12,68,0,56,120,,,40,247,,,,,,,22
JIUTEPEC,452,281,0,188,20,8,61,0,28,161,,,42,258,,,,,,,31
JIUTEPEC*,453,535,0,237,26,16,89,0,87,374,,,61,463,,,,,,,88
JIUTEPEC,454,476,0,461,47,29,67,0,36,409,,,82,357,,,,,,,174
JIUTEPEC,455,558,0,437,41,20,106,0,36,683,,,133,631,,,,,,,132
JIUTEPEC,456,383,0,299,88,18,61,0,29,432,,,99,724,,,,,,,89
JIUTEPEC,457,363,0,267,30,20,24,0,12,243,,,78,596,,,,,,,33
JIUTEPEC,458,239,0,273,14,5,19,0,21,278,,,37,214,,,,,,,40
JIUTEPEC,459,228,0,234,30,8,25,0,21,232,,,50,322,,,,,,,42
JIUTEPEC,460,142,0,166,9,4,14,0,18,126,,,16,195,,,,,,,26
JIUTEPEC,461,155,0,148,14,11,30,0,24,198,,,29,202,,,,,,,30
JIUTEPEC,462,152,0,205,17,14,17,0,20,181,,,49,438,,,,,,,25
JIUTEPEC,463,284,0,198,21,14,21,0,15,252,,,57,290,,,,,,,40
JIUTEPEC,464,547,0,428,54,36,52,0,44,453,,,63,444,,,,,,,72
JIUTEPEC*,465,918,0,758,75,42,82,0,62,972,,,157,1284,,,,,,,154
JIUTEPEC,466,170,0,70,8,5,26,0,21,148,,,9,187,,,,,,,31
JIUTEPEC,467,214,0,163,10,14,29,0,42,208,,,32,219,,,,,,,37
JIUTEPEC,468,833,0,492,34,35,60,0,50,454,,,99,522,,,,,,,63
JIUTEPEC,469,322,0,292,16,9,44,0,30,409,,,82,266,,,,,,,55
JIUTEPEC,470,283,0,202,25,21,44,0,20,426,,,74,322,,,,,,,59
JIUTEPEC,471,308,0,354,37,21,44,0,17,343,,,86,498,,,,,,,60
JIUTEPEC,472,371,0,391,44,26,44,0,28,558,,,107,568,,,,,,,98
JIUTEPEC,473,385,0,175,16,14,21,0,15,287,,,39,244,,,,,,,71
JIUTEPEC,474,254,0,176,21,8,41,0,18,326,,,42,246,,,,,,,37
JIUTEPEC,475,180,0,127,11,6,19,0,22,199,,,45,303,,,,,,,28
JIUTEPEC,476,321,0,224,25,26,20,0,26,238,,,22,194,,,,,,,52
JIUTEPEC,477,1032,0,691,59,51,96,0,118,1095,,,125,926,,,,,,,108
JIUTEPEC,478,259,0,133,10,1,16,0,13,156,,,17,69,,,,,,,27
JIUTEPEC,479,184,0,194,16,13,32,0,26,212,,,45,268,,,,,,,24
JIUTEPEC,480,183,0,117,12,9,13,0,20,159,,,24,162,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
JIUTEPEC,481,705,0,497,39,28,50,0,33,848,,,66,566,,,,,,,107
JIUTEPEC,482,324,0,224,23,11,19,0,23,525,,,59,599,,,,,,,31
JIUTEPEC,483,607,0,267,37,23,32,0,17,629,,,37,280,,,,,,,55
JIUTEPEC,484,357,0,186,14,17,40,0,19,548,,,39,391,,,,,,,54
JIUTEPEC,485,379,0,456,16,12,32,0,56,761,,,41,677,,,,,,,91
JIUTEPEC,486,780,0,617,51,58,57,0,43,695,,,170,896,,,,,,,103
JIUTEPEC,487,570,0,539,117,31,107,0,66,701,,,212,1034,,,,,,,162
JIUTEPEC,488,524,0,435,66,30,71,0,25,795,,,120,651,,,,,,,111
JIUTEPEC,489,472,0,271,40,23,59,0,17,405,,,87,421,,,,,,,95
JIUTEPEC,490,146,0,147,20,7,30,0,8,237,,,47,221,,,,,,,56
JIUTEPEC,491,192,0,129,17,12,27,0,4,201,,,22,180,,,,,,,40
JIUTEPEC,492,251,0,126,26,5,58,0,5,181,,,32,189,,,,,,,51
JIUTEPEC,493,232,0,160,32,6,48,0,12,154,,,64,262,,,,,,,37
JIUTEPEC,494,175,0,105,18,8,30,0,8,181,,,24,155,,,,,,,35
JIUTEPEC,495,261,0,187,60,14,37,0,42,216,,,52,197,,,,,,,51
JIUTEPEC,496,495,0,219,18,14,47,0,23,572,,,67,318,,,,,,,88
JIUTEPEC,497,604,0,327,17,24,49,0,12,748,,,84,452,,,,,,,101
JIUTEPEC,498,288,0,289,25,7,20,0,10,308,,,48,369,,,,,,,30
JIUTEPEC,499,230,0,135,0,0,25,0,9,300,,,0,133,,,,,,,46
JIUTEPEC,500,184,0,103,16,2,12,0,6,171,,,20,141,,,,,,,17
JOJUTLA,501,189,0,434,39,32,23,0,8,305,,,92,597,,,,,,,36
JOJUTLA,502,105,0,244,25,28,9,0,12,162,,,25,322,,,,,,,16
JOJUTLA,503,45,0,178,10,3,4,0,1,76,,,22,213,,,,,,,4
JOJUTLA,504,191,0,506,60,36,20,0,17,272,,,107,709,,,,,,,54
JOJUTLA,505,158,0,374,46,24,14,0,10,319,,,100,544,,,,,,,34
JOJUTLA,506,137,0,150,18,15,10,0,5,95,,,35,218,,,,,,,9
JOJUTLA,507,104,0,223,45,33,2,0,4,104,,,13,314,,,,,,,11
JOJUTLA,508,111,0,168,33,14,11,0,3,131,,,53,268,,,,,,,18
JOJUTLA,509,26,0,53,4,1,2,0,0,12,,,8,66,,,,,,,1
JOJUTLA,510,142,0,352,23,12,7,0,5,192,,,56,443,,,,,,,17
JOJUTLA,511,148,0,340,26,38,32,0,5,159,,,93,497,,,,,,,9
JOJUTLA,512,132,0,198,26,22,6,0,5,119,,,34,280,,,,,,,6
JOJUTLA,513,172,0,334,33,7,17,0,21,182,,,65,439,,,,,,,26
JOJUTLA,514,111,0,200,36,15,38,0,10,119,,,44,295,,,,,,,21
JOJUTLA,515,86,0,206,20,9,22,0,7,80,,,48,283,,,,,,,9
JOJUTLA,516,110,0,385,54,17,26,0,4,534,,,70,526,,,,,,,30
JOJUTLA,517,36,0,91,10,8,1,0,0,34,,,19,128,,,,,,,5
JOJUTLA,518,141,0,225,28,11,147,0,9,176,,,42,306,,,,,,,39
JOJUTLA,519,161,0,305,37,3,66,0,7,142,,,69,414,,,,,,,33
JOJUTLA,520,133,0,193,18,12,95,0,3,148,,,34,257,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
JOJUTLA,521,176,0,286,63,26,23,0,6,200,,,57,432,,,,,,,41
JOJUTLA,522,159,0,164,24,8,3,0,5,91,,,68,264,,,,,,,9
JOJUTLA,523,171,0,183,13,16,5,0,3,64,,,54,266,,,,,,,14
JOJUTLA,524,219,0,186,14,18,7,0,9,106,,,49,267,,,,,,,11
JOJUTLA,525,188,0,726,73,29,45,0,20,503,,,146,974,,,,,,,66
JOJUTLA,526,111,0,350,167,16,48,0,5,315,,,95,634,,,,,,,34
JOJUTLA,527,83,0,196,24,15,6,0,3,95,,,53,288,,,,,,,28
JOJUTLA,528,77,0,251,29,8,19,0,11,157,,,65,353,,,,,,,34
JOJUTLA,529,135,0,452,65,23,21,0,17,241,,,125,665,,,,,,,46
JOJUTLA,530,172,0,515,48,34,27,0,21,330,,,112,709,,,,,,,39
JOJUTLA,531,66,0,342,39,31,21,0,6,393,,,82,494,,,,,,,36
JOJUTLA,532,95,0,162,45,11,63,0,0,139,,,27,245,,,,,,,40
JOJUTLA,533,257,0,189,29,19,214,0,7,165,,,32,269,,,,,,,65
JOJUTLA,534,286,0,252,41,16,113,0,6,165,,,47,356,,,,,,,35
JOJUTLA,535,254,0,276,32,41,138,0,7,205,,,52,401,,,,,,,52
JOJUTLA,536,181,0,121,28,29,36,0,0,108,,,19,197,,,,,,,38
JONACATEPEC,537,171,75,31,201,2,11,90,52,0,,,,,0,33,,,,,15
JONACATEPEC,538,247,123,43,341,2,27,159,99,0,,,,,3,48,,,,,43
JONACATEPEC,539,123,57,20,301,11,24,119,28,0,,,,,1,32,,,,,20
JONACATEPEC,540,108,156,24,305,1,42,175,64,0,,,,,1,26,,,,,22
JONACATEPEC,541,91,118,16,288,4,27,164,55,0,,,,,1,21,,,,,30
JONACATEPEC,542,113,132,30,279,4,53,201,40,0,,,,,6,40,,,,,16
JONACATEPEC,543,17,50,35,85,1,41,23,69,0,,,,,1,37,,,,,16
JONACATEPEC,544,99,156,164,361,6,48,144,72,0,,,,,9,179,,,,,63
JONACATEPEC,545,46,38,209,112,1,28,62,31,0,,,,,11,221,,,,,19
JONACATEPEC,546,28,45,199,110,4,5,33,22,0,,,,,14,217,,,,,24
JONACATEPEC,547,70,30,296,99,4,45,99,54,0,,,,,14,314,,,,,32
MAZATEPEC,548,317,421,148,4,0,28,28,22,0,,,24,176,,,,,,,45
MAZATEPEC,549,331,428,79,3,0,18,12,28,0,,,7,89,,,,,,,29
MAZATEPEC,550,270,287,44,1,3,25,14,14,0,,,1,49,,,,,,,38
MAZATEPEC,551,298,327,146,3,1,17,10,7,0,,,10,160,,,,,,,28
MAZATEPEC,552,206,293,158,1,1,26,6,14,0,,,8,168,,,,,,,33
MAZATEPEC,553,137,224,172,3,5,32,8,6,0,,,16,196,,,,,,,18
MAZATEPEC,554,236,183,176,1,1,29,23,37,0,,,6,184,,,,,,,32
MIACATLAN,555,86,0,363,8,4,7,0,173,315,,,35,408,,,,,,,38
MIACATLAN,556,85,0,298,8,3,5,0,116,227,,,53,362,,,,,,,29
MIACATLAN,557,207,0,373,5,3,1,0,136,495,,,70,451,,,,,,,79
MIACATLAN,558,90,0,415,12,1,10,0,108,292,,,81,509,,,,,,,37
MIACATLAN,559,40,0,169,2,0,4,0,22,177,,,20,191,,,,,,,17
MIACATLAN,560,64,0,547,18,2,5,0,198,475,,,102,669,,,,,,,77
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MIACATLAN,561,68,0,231,31,2,6,0,62,227,,,104,368,,,,,,,33
MIACATLAN,562,39,0,227,5,2,1,0,126,281,,,46,280,,,,,,,49
MIACATLAN,563,84,0,176,6,1,2,0,151,199,,,33,216,,,,,,,43
MIACATLAN,564,243,0,377,11,2,6,0,147,324,,,69,458,,,,,,,50
MIACATLAN,565,227,0,394,15,4,4,0,160,396,,,87,500,,,,,,,73
MIACATLAN,566,89,0,119,4,0,2,0,56,110,,,11,134,,,,,,,27
MIACATLAN,567,95,0,268,9,3,3,0,167,230,,,54,334,,,,,,,44
MIACATLAN,568,112,0,309,9,4,6,0,163,318,,,50,372,,,,,,,61
OCUITUCO,569,76,434,123,9,18,526,0,212,0,,,25,175,,,,,,,47
OCUITUCO,570,19,227,78,5,11,225,0,62,0,,,7,101,,,,,,,19
OCUITUCO,571,44,106,120,9,9,282,0,153,0,,,20,158,,,,,,,20
OCUITUCO,572,49,295,182,8,1,361,0,25,0,,,25,216,,,,,,,26
OCUITUCO,573,22,173,48,4,3,270,0,105,0,,,32,87,,,,,,,29
OCUITUCO,574,75,156,199,9,0,101,0,87,0,,,14,222,,,,,,,17
OCUITUCO,575,269,345,101,10,0,335,0,64,0,,,22,133,,,,,,,34
OCUITUCO,576,267,305,85,8,3,181,0,39,0,,,15,111,,,,,,,32
OCUITUCO,577,34,118,85,8,3,210,0,45,0,,,16,112,,,,,,,7
OCUITUCO,578,63,123,600,22,10,195,0,61,0,,,94,726,,,,,,,29
PUENTE DE IXTLA,579,274,0,87,18,12,215,0,6,209,,,,,4,103,,,,,63
PUENTE DE IXTLA,580,298,0,109,18,40,265,0,8,317,,,,,17,166,,,,,63
PUENTE DE IXTLA,581,189,0,40,3,25,225,0,7,165,,,,,8,73,,,,,61
PUENTE DE IXTLA,582,87,0,77,9,7,305,0,8,244,,,,,7,91,,,,,31
PUENTE DE IXTLA,583,119,0,52,14,2,329,0,7,239,,,,,12,66,,,,,26
PUENTE DE IXTLA,584,107,0,54,15,5,332,0,9,253,,,,,8,67,,,,,43
PUENTE DE IXTLA,585,165,0,102,17,12,373,0,7,446,,,,,11,125,,,,,60
PUENTE DE IXTLA,586,129,0,61,18,10,279,0,5,389,,,,,10,81,,,,,49
PUENTE DE IXTLA,587,105,0,72,11,6,254,0,2,243,,,,,7,85,,,,,41
PUENTE DE IXTLA,588,52,0,64,6,5,188,0,5,174,,,,,12,81,,,,,20
PUENTE DE IXTLA,589,68,0,69,6,5,193,0,3,156,,,,,10,84,,,,,29
PUENTE DE IXTLA,590,45,0,54,5,11,280,0,21,321,,,,,4,69,,,,,40
PUENTE DE IXTLA,591,65,0,93,7,17,258,0,12,312,,,,,13,123,,,,,45
PUENTE DE IXTLA,592,124,0,70,12,8,266,0,8,368,,,,,10,88,,,,,61
PUENTE DE IXTLA,593,158,0,99,69,12,115,0,7,185,,,,,9,120,,,,,75
PUENTE DE IXTLA,594,105,0,122,262,40,128,0,33,397,,,,,14,177,,,,,98
PUENTE DE IXTLA,595,147,0,134,243,25,105,0,52,434,,,,,13,172,,,,,97
PUENTE DE IXTLA,596,178,0,104,213,19,124,0,59,560,,,,,4,127,,,,,111
PUENTE DE IXTLA,597,169,0,84,267,11,115,0,63,316,,,,,10,105,,,,,99
PUENTE DE IXTLA,598,166,0,193,351,27,185,0,112,623,,,,,21,241,,,,,119
PUENTE DE IXTLA,599,183,0,138,269,36,180,0,54,443,,,,,53,227,,,,,92
PUENTE DE IXTLA,600,187,0,117,193,26,87,0,72,314,,,,,19,162,,,,,80
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PUENTE DE IXTLA,601,112,0,103,30,36,219,0,9,465,,,,,15,154,,,,,73
PUENTE DE IXTLA,602,94,0,136,45,28,220,0,8,458,,,,,25,179,,,,,76
PUENTE DE IXTLA,603,6,0,36,16,2,23,0,1,74,,,,,5,43,,,,,19
PUENTE DE IXTLA,604,22,0,20,3,1,123,0,0,120,,,,,1,22,,,,,27
PUENTE DE IXTLA,605,35,0,88,22,10,209,0,11,279,,,,,7,105,,,,,81
PUENTE DE IXTLA,606,76,0,57,13,13,155,0,2,276,,,,,5,75,,,,,69
PUENTE DE IXTLA,607,72,0,73,17,10,141,0,3,350,,,,,4,87,,,,,66
PUENTE DE IXTLA,608,71,0,97,19,8,179,0,2,229,,,,,9,114,,,,,54
PUENTE DE IXTLA,609,64,0,114,13,6,159,0,17,376,,,,,2,72,,,,,56
