MUNICIPIO,SECION,CASILLA,PAN,PRI,PRD,PFCRN,PT,PVEM,VALIDA,No Registrados,Nulos,Total
DUANGO,282,B,65,39,3,1,47,3,158,0,4,162
DUANGO,283,B,71,88,8,0,191,3,361,0,4,365
DUANGO,284,B,77,74,4,1,185,5,346,0,12,358
DUANGO,285,B,69,65,6,2,155,4,301,0,15,316
DUANGO,286,C,213,136,11,1,352,11,724,0,27,751
DUANGO,287,B,138,61,1,1,108,3,312,0,6,318
DUANGO,288,C,126,132,6,0,214,7,485,0,11,496
DUANGO,289,C,142,113,5,0,219,5,484,0,7,491
DUANGO,290,C,138,140,8,1,212,5,504,0,3,507
DUANGO,291,B,107,102,7,0,161,3,380,0,12,392
DUANGO,292,C,139,125,7,0,219,7,497,0,6,503
DUANGO,293,C,191,137,6,2,206,5,547,0,16,563
DUANGO,294,C,217,188,13,2,253,8,681,12,11,704
DUANGO,295,C,196,124,6,1,238,5,570,0,8,578
DUANGO,296,C,281,122,8,1,252,7,671,0,8,679
DUANGO,297,C,131,104,5,0,209,4,453,0,8,461
DUANGO,298,B,96,68,3,0,78,0,245,0,0,245
DUANGO,299,C,103,100,7,0,215,2,427,0,17,444
DUANGO,300,B,30,42,2,2,281,2,359,0,8,367
DUANGO,301,C,51,58,2,0,384,6,501,0,31,532
DUANGO,302,B,36,33,3,1,301,0,374,0,13,387
DUANGO,303,B,38,217,2,2,71,0,330,0,10,340
DUANGO,304,B,110,30,1,1,148,7,297,0,4,301
DUANGO,305,B,156,107,2,0,138,3,406,0,16,422
DUANGO,306,C,191,115,14,0,271,4,595,0,14,609
DUANGO,307,C,205,130,6,0,193,3,537,0,17,554
DUANGO,308,C,222,139,11,0,208,8,588,0,28,616
DUANGO,309,C,240,115,11,1,217,5,589,0,17,606
DUANGO,310,C,130,143,12,0,187,7,479,0,9,488
DUANGO,311,B,144,91,12,1,125,7,380,0,11,391
DUANGO,312,C,165,244,16,0,226,10,661,0,10,671
DUANGO,313,B,93,72,8,1,171,9,354,0,0,354
DUANGO,314,C,147,81,5,2,146,2,383,0,13,396
DUANGO,315,C,274,132,8,0,273,9,696,0,25,721
DUANGO,316,C,265,157,13,0,342,11,788,0,19,807
DUANGO,317,B,104,54,9,0,126,6,299,0,6,305
DUANGO,318,B,114,80,2,0,126,2,324,0,12,336
DUANGO,319,C,286,168,17,4,298,7,780,0,13,793
DUANGO,320,C,246,124,22,0,186,14,592,0,16,608
DUANGO,321,C,93,90,0,0,358,6,547,0,16,563
DUANGO,322,B,28,40,4,0,179,0,251,0,8,259
DUANGO,323,C,72,102,0,0,250,8,432,0,18,450
DUANGO,324,C,133,76,7,7,181,2,406,0,12,418
DUANGO,325,C,166,102,14,0,317,8,607,0,13,620
DUANGO,326,B,52,31,3,0,206,0,292,0,7,299
DUANGO,327,C,126,65,6,1,552,2,752,0,29,781
DUANGO,328,C,190,104,4,1,288,5,592,0,20,612
DUANGO,329,B,98,89,2,0,186,1,376,0,23,399
DUANGO,330,C,136,75,9,0,203,3,426,0,15,441
DUANGO,331,C,196,115,15,2,230,9,567,0,5,572
DUANGO,332,C.,128,72,3,0,230,1,434,0,13,447
DUANGO,333,C,171,99,2,0,188,5,465,0,28,493
DUANGO,334,"C,",85,112,9,1,295,5,507,0,18,525
DUANGO,335,C,79,121,4,2,247,12,465,0,19,484
DUANGO,336,C,113,99,5,3,301,10,531,0,22,553
DUANGO,337,C,65,26,4,1,374,2,472,0,14,486
DUANGO,338,C,83,75,8,1,306,4,477,0,13,490
DUANGO,339,B,92,48,4,1,155,3,303,0,23,326
DUANGO,340,B,36,42,1,0,54,1,134,0,6,140
DUANGO,341,B,59,63,10,0,123,1,256,0,18,274
DUANGO,342,B,35,38,6,4,122,1,206,0,7,213
DUANGO,343,B,63,61,3,0,162,3,292,0,9,301
DUANGO,344,C,121,157,13,4,329,0,624,0,27,651
DUANGO,345,C,160,119,9,1,238,8,535,0,9,544
DUANGO,346,C,148,124,13,0,207,5,497,0,8,505
DUANGO,347,C,87,77,3,1,310,7,485,0,19,504
DUANGO,348,B,52,51,0,0,154,0,257,0,10,267
DUANGO,349,B,78,50,7,0,117,4,256,0,14,270
DUANGO,350,B,49,31,2,0,110,3,195,0,3,198
DUANGO,351,B,45,26,2,0,151,2,226,0,11,237
DUANGO,352,B,27,36,0,0,6,1,70,0,10,80
DUANGO,353,B,15,64,0,0,15,0,94,0,7,101
DUANGO,354,B,47,84,1,0,49,1,182,0,8,190
DUANGO,355,B,44,61,2,0,126,1,234,0,10,244
DUANGO,356,B,21,57,3,0,118,3,202,0,7,209
DUANGO,357,B,32,123,1,0,86,1,243,0,3,246
DUANGO,358,B,29,110,2,0,14,0,155,0,8,163
DUANGO,359,B,10,34,0,0,3,0,47,0,2,49
DUANGO,360,B,20,28,0,0,6,0,54,0,0,54
DUANGO,361,B,59,130,0,0,203,0,392,0,20,412
DUANGO,362,B,64,99,8,0,60,0,231,0,13,244
DUANGO,363,B,85,76,3,0,36,3,203,0,6,209
DUANGO,364,B,98,53,0,0,21,0,172,0,5,177
DUANGO,365,B,87,65,1,0,30,0,183,0,4,187
