"NÚMERO","SECCIÓN","CAS.","DIFERENCIA ENTRE 1° Y  2° LUGAR","PAN","PRI","PRD","PVEM","PT","MC","MORENA","RSPD","PAN-PRI-PRD","PAN 
PRI","PAN 
PRD","PRI 
PRD","PVEM-PT-RSPD-MOR","PVEM 
PT 
MOR","PVEM 
PT 
RSPD","PVEM 
RSPD 
MOR","PVEM 
PT","PVEM 
MOR","PVEM 
RSPD","PT 
RSPD 
MOR","PT 
MOR","PT 
RSPD","RSPD 
MOR","VA POR DURANGO","JUNTOS HACEMOS HISTORIA","CAND. 
NO REG.","VOTOS 
NULOS","...32","LISTA NOMINAL","...34","...35","...36","...37","municipality","...25","...27","...28","...29","...30","...31","...33","CAND.  
INDEP.","PVEM 
RSPD 
MOR...21","PVEM 
RSPD 
MOR...25","...38","PARTIDO ACCIÓN NACIONAL","PARTIDO REVOLUCIONARIO INSTITUCIONAL","PARTIDO VERDE ECOLOGISTA DE MÉXICO","PARTIDO DEL TRABAJO","CANDIDATURA NO REGISTRADA","VOTOS NULOS","...12","...14","...26","PVEM 
PT 
RSP","PVEM 
RSP 
MOR","PVEM 
RSPD 
MOR...20","PVEM 
RSPD 
MOR...24"
"MUN 05",230,"1",84,87,49,4,3,15,58,22,3,1,1,0,0,0,0,0,NA,1,0,0,NA,1,0,0,142,45,0,5,NA,418,NA,0.607655502392344,NA,142," DURANGO",NA,NA,NA,NA,NA,NA,254,4,0,0,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",231,"B1",108,104,66,5,1,25,69,44,2,7,2,0,0,0,3,0,NA,0,0,0,NA,1,0,0,184,76,0,7,NA,623,NA,0.548956661316212,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,342,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",231,"1",108,104,66,5,1,25,69,44,2,7,2,0,0,0,3,0,NA,0,0,0,NA,1,0,0,184,76,0,7,NA,623,NA,0.548956661316212,NA,184," DURANGO",NA,NA,NA,NA,NA,NA,342,6,0,0,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334",232,"B1",87,78,60,1,1,20,61,25,2,4,5,0,0,1,1,0,NA,0,0,0,NA,1,0,0,148,51,0,5,NA,396,NA,0.676767676767677,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,268,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",232,"1",87,78,60,1,1,20,61,25,2,4,5,0,0,1,1,0,NA,0,0,0,NA,1,0,0,148,51,0,5,NA,396,NA,0.676767676767677,NA,148," DURANGO",NA,NA,NA,NA,NA,NA,268,3,0,0,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335",233,"B1",133,121,61,0,2,15,55,33,3,2,4,0,0,0,0,0,NA,0,0,0,NA,2,0,0,188,55,2,2,NA,506,NA,0.600790513833992,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,304,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336",233,"S1",19,51,88,5,2,36,44,69,5,5,5,0,0,3,1,0,NA,0,1,0,NA,12,1,3,154,135,1,9,NA,0,NA,0.339566929133858,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,345,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",233,"2",152,172,149,5,4,51,99,102,8,7,9,0,0,3,1,0,NA,0,1,0,NA,14,1,3,342,190,3,11,NA,506,NA,1.28260869565217,NA,342," DURANGO",NA,NA,NA,NA,NA,NA,649,4,0,2,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337",234,"B1",116,111,49,1,2,19,52,20,2,3,4,0,0,0,0,0,NA,0,0,0,NA,0,0,0,168,44,0,2,NA,388,NA,0.685567010309278,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,266,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",234,"1",116,111,49,1,2,19,52,20,2,3,4,0,0,0,0,0,NA,0,0,0,NA,0,0,0,168,44,0,2,NA,388,NA,0.685567010309278,NA,168," DURANGO",NA,NA,NA,NA,NA,NA,266,0,1,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338",235,"B1",139,112,59,0,4,9,39,13,6,4,3,0,0,1,0,0,NA,0,0,0,NA,0,0,0,178,33,0,0,NA,421,NA,0.600950118764846,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,253,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",235,"1",139,112,59,0,4,9,39,13,6,4,3,0,0,1,0,0,NA,0,0,0,NA,0,0,0,178,33,0,0,NA,421,NA,0.600950118764846,NA,178," DURANGO",NA,NA,NA,NA,NA,NA,253,3,0,0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",236,"B1",147,119,69,3,0,17,49,32,1,5,3,1,0,0,0,0,NA,0,0,0,NA,0,1,0,200,53,0,2,NA,482,NA,0.634854771784232,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,306,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340",236,"C1",166,136,66,5,2,14,48,26,0,3,4,0,0,0,0,0,NA,0,0,0,NA,1,0,0,214,43,0,1,NA,482,NA,0.636929460580913,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,307,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",236,"2",317,255,135,8,2,31,97,58,1,8,7,1,0,0,0,0,NA,0,0,0,NA,1,1,0,414,96,0,3,NA,964,NA,0.635892116182573,NA,414," DURANGO",NA,NA,NA,NA,NA,NA,613,3,0,2,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341",237,"B1",270,205,125,4,7,20,82,46,4,8,9,1,0,0,0,0,NA,0,0,0,NA,1,0,1,352,79,0,4,NA,742,NA,0.69811320754717,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,518,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",237,"C1",259,214,111,6,3,24,82,42,2,5,5,0,0,1,0,0,NA,0,0,0,NA,0,0,0,341,72,0,1,NA,742,NA,0.672506738544474,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,499,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343",237,"C2",252,193,118,3,3,19,71,41,8,7,7,0,0,1,2,0,NA,0,0,0,NA,0,1,0,328,76,0,3,NA,742,NA,0.6455525606469,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,479,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",237,"3",786,612,354,13,13,63,235,129,14,20,21,1,0,2,2,0,NA,0,0,0,NA,1,1,1,1021,227,0,8,NA,2226,NA,0.672057502246181,NA,1021," DURANGO",NA,NA,NA,NA,NA,NA,1496,5,0,1,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",238,"B1",194,171,98,4,1,32,67,48,8,7,9,0,0,3,1,0,NA,0,0,0,NA,2,0,0,289,95,0,1,NA,696,NA,0.656609195402299,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,457,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",238,"C1",174,154,94,3,1,23,85,49,1,6,2,0,0,0,1,0,NA,0,0,0,NA,2,0,1,259,78,0,7,NA,696,NA,0.617816091954023,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,430,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",238,"2",375,325,192,7,2,55,152,97,9,13,11,0,0,3,2,0,NA,0,0,0,NA,4,0,1,548,173,0,8,NA,1392,NA,0.637212643678161,NA,548," DURANGO",NA,NA,NA,NA,NA,NA,887,6,0,0,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346",239,"B1",164,164,98,4,7,33,122,50,3,10,10,0,0,0,0,0,NA,0,0,0,NA,1,0,0,286,94,0,8,NA,741,NA,0.690958164642375,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,512,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",239,"1",164,164,98,4,7,33,122,50,3,10,10,0,0,0,0,0,NA,0,0,0,NA,1,0,0,286,94,0,8,NA,741,NA,0.690958164642375,NA,286," DURANGO",NA,NA,NA,NA,NA,NA,512,2,0,0,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",240,"B1",189,165,82,5,6,14,78,27,1,8,7,0,0,0,1,0,NA,0,0,0,NA,0,0,1,267,50,0,1,NA,585,NA,0.678632478632479,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,397,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",240,"1",189,165,82,5,6,14,78,27,1,8,7,0,0,0,1,0,NA,0,0,0,NA,0,0,1,267,50,0,1,NA,585,NA,0.678632478632479,NA,267," DURANGO",NA,NA,NA,NA,NA,NA,397,1,0,0,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348",241,"B1",111,78,81,2,0,21,54,21,2,1,3,0,0,0,0,0,NA,0,0,0,NA,3,0,0,165,47,1,1,NA,501,NA,0.540918163672655,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,271,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",241,"1",111,78,81,2,0,21,54,21,2,1,3,0,0,0,0,0,NA,0,0,0,NA,3,0,0,165,47,1,1,NA,501,NA,0.540918163672655,NA,165," DURANGO",NA,NA,NA,NA,NA,NA,271,3,0,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",242,"B1",79,103,63,4,4,38,89,43,9,2,7,0,0,1,1,0,NA,0,0,0,NA,4,0,0,179,100,0,4,NA,629,NA,0.600953895071542,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,378,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",242,"1",79,103,63,4,4,38,89,43,9,2,7,0,0,1,1,0,NA,0,0,0,NA,4,0,0,179,100,0,4,NA,629,NA,0.600953895071542,NA,179," DURANGO",NA,NA,NA,NA,NA,NA,378,6,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350",243,"B1",112,79,80,3,1,17,56,28,4,4,2,0,0,0,0,0,NA,0,0,0,NA,1,0,0,168,52,0,2,NA,454,NA,0.618942731277533,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,281,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",243,"C1",108,83,65,5,0,21,35,26,3,5,5,0,0,0,0,0,NA,0,0,0,NA,5,0,0,163,55,0,5,NA,454,NA,0.577092511013216,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,262,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",243,"2",224,162,145,8,1,38,91,54,7,9,7,0,0,0,0,0,NA,0,0,0,NA,6,0,0,331,107,0,7,NA,908,NA,0.598017621145374,NA,331," DURANGO",NA,NA,NA,NA,NA,NA,543,7,1,0,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",244,"B1",84,78,68,2,0,23,48,42,2,3,7,1,0,0,0,0,NA,0,0,0,NA,8,0,0,159,75,0,7,NA,543,NA,0.537753222836096,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,292,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",244,"1",84,78,68,2,0,23,48,42,2,3,7,1,0,0,0,0,NA,0,0,0,NA,8,0,0,159,75,0,7,NA,543,NA,0.537753222836096,NA,159," DURANGO",NA,NA,NA,NA,NA,NA,292,3,0,0,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",245,"B1",22,57,46,1,1,23,40,46,5,1,1,0,0,0,0,0,NA,1,0,0,NA,5,2,1,106,84,0,5,NA,427,NA,0.552693208430913,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,236,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354",245,"C1",29,57,42,3,0,29,43,42,1,2,1,0,0,0,0,0,NA,1,0,0,NA,2,0,1,105,76,0,5,NA,426,NA,0.539906103286385,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,230,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",245,"2",51,114,88,4,1,52,83,88,6,3,2,0,0,0,0,0,NA,2,0,0,NA,7,2,2,211,160,0,10,NA,853,NA,0.54630715123095,NA,211," DURANGO",NA,NA,NA,NA,NA,NA,466,2,0,0,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355",246,"B1",67,68,66,4,1,29,62,39,3,2,3,0,0,1,0,0,NA,1,0,0,NA,1,1,0,143,76,0,6,NA,456,NA,0.638157894736842,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,291,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",246,"1",67,68,66,4,1,29,62,39,3,2,3,0,0,1,0,0,NA,1,0,0,NA,1,1,0,143,76,0,6,NA,456,NA,0.638157894736842,NA,143," DURANGO",NA,NA,NA,NA,NA,NA,291,4,0,0,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356",247,"B1",64,74,86,4,3,41,64,52,3,2,3,0,0,0,0,0,NA,0,1,0,NA,5,0,0,169,105,7,10,NA,725,NA,0.489655172413793,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,355,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357",247,"C1",26,77,58,1,3,43,74,64,4,4,7,0,0,0,0,0,NA,0,0,0,NA,5,1,0,147,121,0,12,NA,725,NA,0.499310344827586,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,362,8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358",247,"C2",52,66,74,3,1,39,72,49,6,7,5,0,0,2,2,0,NA,0,0,0,NA,0,0,0,155,103,0,8,NA,725,NA,0.470344827586207,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,341,3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",247,"3",142,217,218,8,7,123,210,165,13,13,15,0,0,2,2,0,NA,0,1,0,NA,10,1,0,471,329,7,30,NA,2175,NA,0.486436781609195,NA,471," DURANGO",NA,NA,NA,NA,NA,NA,1058,11,0,5,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359",248,"B1",57,68,79,5,1,34,60,58,2,5,4,0,0,1,0,0,NA,0,1,0,NA,7,0,0,161,104,0,10,NA,696,NA,0.487068965517241,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,339,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360",248,"C1",73,73,80,6,4,35,55,51,5,4,9,0,0,0,1,0,NA,0,0,0,NA,3,0,0,172,99,0,4,NA,696,NA,0.479885057471264,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,334,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",248,"2",130,141,159,11,5,69,115,109,7,9,13,0,0,1,1,0,NA,0,1,0,NA,10,0,0,333,203,0,14,NA,1392,NA,0.483477011494253,NA,333," DURANGO",NA,NA,NA,NA,NA,NA,673,8,0,0,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361",249,"B1",78,79,81,4,5,40,73,43,7,6,7,0,0,2,0,0,NA,0,0,0,NA,2,0,0,177,99,0,2,NA,607,NA,0.584843492586491,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,355,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362",249,"C1",57,83,76,4,3,43,71,60,3,5,5,0,0,1,0,0,NA,0,0,0,NA,5,0,0,173,116,0,7,NA,606,NA,0.612211221122112,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,371,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363",249,"C2",39,68,77,3,0,49,58,58,4,3,4,0,0,1,1,0,NA,0,0,0,NA,3,0,0,155,116,0,7,NA,606,NA,0.559405940594059,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,339,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",249,"3",174,230,234,11,8,132,202,161,14,14,16,0,0,4,1,0,NA,0,0,0,NA,10,0,0,505,331,0,16,NA,1819,NA,0.585486531061023,NA,505," DURANGO",NA,NA,NA,NA,NA,NA,1065,11,0,1,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364",250,"B1",12,29,40,0,2,23,32,47,4,3,3,0,1,0,1,0,NA,0,0,0,NA,9,2,0,76,88,0,8,NA,469,NA,0.44136460554371,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,207,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365",250,"C1",20,24,57,2,3,18,35,33,3,1,2,0,0,0,0,0,NA,0,1,0,NA,7,1,0,86,66,0,4,NA,468,NA,0.414529914529915,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,194,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",250,"2",8,53,97,2,5,41,67,80,7,4,5,0,1,0,1,0,NA,0,1,0,NA,16,3,0,162,154,0,12,NA,937,NA,0.427961579509071,NA,162," DURANGO",NA,NA,NA,NA,NA,NA,401,6,0,0,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",251,"B1",11,17,45,2,2,30,16,42,2,4,5,0,0,1,0,0,NA,0,0,0,NA,4,1,2,73,84,0,2,NA,447,NA,0.393736017897092,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,176,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367",251,"C1",21,32,50,2,1,19,21,45,2,2,6,0,1,0,0,0,NA,0,0,0,NA,4,0,1,93,72,0,5,NA,447,NA,0.429530201342282,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,192,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",251,"2",10,49,95,4,3,49,37,87,4,6,11,0,1,1,0,0,NA,0,0,0,NA,8,1,3,166,156,0,7,NA,894,NA,0.411633109619687,NA,166," DURANGO",NA,NA,NA,NA,NA,NA,368,2,0,0,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368",252,"B1",34,33,58,3,8,24,34,25,1,0,5,0,0,0,0,0,NA,0,0,0,NA,6,0,0,99,65,0,5,NA,587,NA,0.350936967632027,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,206,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369",252,"C1",12,35,59,3,0,31,38,50,2,1,3,0,0,0,1,0,NA,1,0,0,NA,4,0,0,101,89,0,4,NA,587,NA,0.400340715502555,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,235,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",252,"C2",36,31,71,3,4,32,22,33,3,2,7,0,0,0,0,0,NA,0,0,0,NA,6,0,0,114,78,0,11,NA,586,NA,0.389078498293515,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,228,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",252,"3",82,99,188,9,12,87,94,108,6,3,15,0,0,0,1,0,NA,1,0,0,NA,16,0,0,314,232,0,20,NA,1760,NA,0.380113636363636,NA,314," DURANGO",NA,NA,NA,NA,NA,NA,669,9,0,1,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371",253,"B1",40,40,56,5,2,26,26,35,2,1,6,1,1,0,1,0,NA,0,0,0,NA,3,0,0,110,70,0,10,NA,683,NA,0.317715959004392,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,217,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372",253,"C1",23,35,47,8,2,23,31,39,5,3,3,1,0,0,0,0,NA,1,0,0,NA,3,0,1,97,74,0,4,NA,683,NA,0.307467057101025,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,210,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",253,"C2",11,34,50,2,1,28,36,47,4,1,6,0,0,0,0,0,NA,0,0,0,NA,2,0,0,93,82,0,4,NA,683,NA,0.314787701317716,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,215,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",253,"C3",30,34,65,4,3,33,17,45,2,2,12,0,0,0,0,0,NA,0,1,0,NA,2,0,0,117,87,0,7,NA,683,NA,0.333821376281113,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,228,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375",253,"C4",53,33,76,3,1,23,29,34,5,3,6,0,0,0,1,0,NA,0,0,0,NA,2,0,2,121,68,0,7,NA,683,NA,0.329428989751098,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,225,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376",253,"C5",30,40,57,3,2,32,27,35,3,1,9,0,0,0,0,0,NA,0,1,0,NA,3,3,0,110,80,0,4,NA,683,NA,0.32796486090776,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,224,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",253,"C6",33,48,63,2,2,33,30,42,3,2,3,0,0,0,0,0,NA,0,0,0,NA,5,0,0,118,85,0,5,NA,683,NA,0.352855051244509,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,241,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",253,"C7",24,39,60,2,1,30,25,44,3,1,6,0,0,0,0,0,NA,0,0,0,NA,3,0,0,108,84,0,4,NA,682,NA,0.326979472140762,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,223,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",253,"C8",5,30,47,3,2,33,17,38,4,1,8,0,0,0,2,0,NA,0,0,0,NA,4,0,0,89,84,0,7,NA,682,NA,0.288856304985337,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,197,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380",253,"C9",3,36,56,4,1,28,23,59,5,1,4,0,0,0,0,0,NA,0,1,0,NA,2,0,0,101,98,0,2,NA,682,NA,0.331378299120235,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,226,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",253,"C10",4,32,49,3,1,22,41,53,4,2,4,0,0,0,0,0,NA,0,0,0,NA,4,0,1,90,86,0,2,NA,682,NA,0.324046920821114,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,221,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",253,"11",256,401,626,39,18,311,302,471,40,18,67,2,1,0,4,0,NA,1,3,0,NA,33,3,4,1154,898,0,56,NA,7509,NA,0.323212145425489,NA,1154," DURANGO",NA,NA,NA,NA,NA,NA,2427,17,0,10,898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",254,"B1",25,45,72,2,3,37,47,48,4,0,4,0,0,0,0,0,NA,0,0,0,NA,4,0,0,123,98,0,7,NA,726,NA,0.381542699724518,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,277,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",254,"C1",4,36,66,4,3,36,36,51,8,1,4,0,0,0,0,1,NA,0,0,0,NA,8,0,0,111,107,0,10,NA,726,NA,0.367768595041322,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,267,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",254,"C2",19,38,63,2,4,28,45,43,4,2,1,2,0,0,1,0,NA,0,0,0,NA,7,0,1,108,89,0,7,NA,725,NA,0.346206896551724,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,251,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 05",254,"3",48,119,201,8,10,101,128,142,16,3,9,2,0,0,1,1,NA,0,0,0,NA,19,0,1,342,294,0,24,NA,2177,NA,0.36518144235186,NA,342," DURANGO",NA,NA,NA,NA,NA,NA,795,7,0,3,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",255,"B1",11,41,62,7,6,39,40,46,5,1,1,0,0,0,0,0,NA,0,0,0,NA,2,2,0,112,101,0,5,NA,658,NA,0.401215805471125,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,264,6,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",255,"C1",31,60,68,5,3,34,50,61,3,0,5,0,0,0,0,0,NA,0,1,0,NA,3,0,0,138,107,0,4,NA,658,NA,0.457446808510638,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,301,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",255,"C2",58,48,81,7,1,25,45,53,2,2,11,0,0,0,1,0,NA,0,0,0,NA,6,1,0,149,91,0,5,NA,658,NA,0.445288753799392,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,293,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388",255,"C3",25,33,57,7,1,52,41,65,0,2,5,0,0,0,2,0,NA,0,0,0,NA,8,0,0,104,129,0,5,NA,657,NA,0.427701674277017,NA,NA," DURANGO",NA,NA,NA,NA,NA,NA,281,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
