MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD-PT,PVEM,PC,PSN,PAS,PD,VALIDOS,No Registrados,Nulos,TOTAL
DURANGO,316,B,146,149,76,1,1,0,0,0,373,0,9,382
DURANGO,316,C,144,133,61,7,0,1,0,2,348,0,8,356
DURANGO,317,B,109,113,53,7,0,0,3,4,289,0,9,298
DURANGO,318,B,121,112,48,3,1,0,0,2,287,0,6,293
DURANGO,319,B,105,114,57,2,0,1,0,3,282,0,7,289
DURANGO,319,C,132,87,47,2,0,0,0,2,270,0,6,276
DURANGO,319,C,124,87,64,2,2,0,2,5,286,0,4,290
DURANGO,320,B,168,107,48,7,0,0,1,2,333,0,2,335
DURANGO,320,C,172,108,49,3,0,0,0,4,336,0,10,346
DURANGO,321,B,74,91,115,5,1,0,0,5,291,0,6,297
DURANGO,321,C,57,119,117,4,0,0,0,3,300,0,8,308
DURANGO,322,B,65,92,148,3,1,0,1,1,311,0,10,321
DURANGO,323,B,32,87,95,0,0,0,0,0,214,0,4,218
DURANGO,323,C,38,73,94,3,0,0,1,1,210,0,7,217
DURANGO,324,B,77,74,46,2,1,0,0,5,205,0,6,211
DURANGO,324,C,65,90,56,3,0,0,0,2,216,1,4,221
DURANGO,325,B,99,119,82,3,0,0,0,3,306,0,9,315
DURANGO,325,C,106,103,98,0,1,0,0,0,308,0,6,314
DURANGO,326,B,64,74,140,8,0,0,0,7,293,0,7,300
DURANGO,327,B,71,47,153,2,0,0,0,2,275,0,10,285
DURANGO,327,C,75,42,143,2,0,0,1,3,266,0,8,274
DURANGO,327,C,64,47,135,2,1,0,0,1,250,0,9,259
DURANGO,328,B,98,86,91,4,0,0,1,4,284,0,2,286
DURANGO,328,C,91,100,86,2,0,0,3,2,284,2,5,291
DURANGO,329,B,61,114,43,3,0,0,0,2,223,0,3,226
DURANGO,329,C,49,96,51,2,0,0,0,3,201,0,3,204
DURANGO,330,B,106,101,47,7,0,1,4,5,271,0,4,275
DURANGO,330,C,118,96,60,3,4,0,2,2,285,0,2,287
DURANGO,331,B,135,102,67,9,1,0,1,4,319,0,6,325
DURANGO,331,C,124,96,71,6,2,0,1,1,301,0,5,306
DURANGO,332,B,77,108,71,4,0,0,0,1,261,0,7,268
DURANGO,332,C,61,92,52,5,0,0,0,2,212,0,3,215
DURANGO,333,B,74,104,54,3,0,0,1,3,239,0,8,247
DURANGO,333,C,86,89,51,4,0,0,1,2,233,0,9,242
DURANGO,334,B,57,95,55,3,0,0,0,10,220,0,3,223
DURANGO,334,C,55,102,83,5,0,0,1,14,260,0,5,265
DURANGO,335,B,51,93,45,4,0,0,0,4,197,0,7,204
DURANGO,335,C,62,75,76,1,0,0,0,0,214,0,4,218
DURANGO,336,B,63,119,69,1,0,0,0,2,254,0,7,261
DURANGO,336,C,79,111,65,2,1,0,0,2,260,0,6,266
DURANGO,337,B,66,37,101,3,0,0,0,6,213,0,1,214
DURANGO,337,C,62,31,83,2,0,0,1,2,181,0,8,189
DURANGO,338,B,71,82,85,3,1,0,0,4,246,0,0,246
DURANGO,338,C,80,87,80,0,0,0,0,2,249,0,8,257
DURANGO,339,B,37,64,58,4,0,0,1,0,164,0,5,169
DURANGO,339,C,50,84,60,6,0,0,0,1,201,0,0,201
DURANGO,340,B,53,105,77,1,0,0,0,0,236,0,6,242
DURANGO,341,B,55,100,63,3,0,0,0,5,226,0,0,226
DURANGO,342,B,55,108,56,1,0,0,0,3,223,0,5,228
DURANGO,343,B,45,64,38,0,1,0,1,3,152,0,5,157
DURANGO,343,C,40,75,32,3,1,0,0,1,152,0,0,152
DURANGO,344,B,60,80,42,0,1,0,0,5,188,0,4,192
DURANGO,344,C,52,95,37,4,0,0,3,6,197,0,7,204
DURANGO,344,C,47,87,48,6,0,0,2,5,195,0,10,205
DURANGO,345,B,114,111,70,4,1,0,2,6,308,0,0,308
DURANGO,345,C,117,106,65,9,0,0,0,2,299,0,2,301
DURANGO,346,B,123,97,78,1,0,0,0,1,300,0,6,306
DURANGO,346,C,104,122,52,2,0,0,2,2,284,1,5,290
DURANGO,347,B,42,94,79,3,0,0,0,2,220,0,6,226
DURANGO,347,C,45,73,82,3,0,0,0,2,205,0,4,209
DURANGO,348,B,61,120,106,6,0,0,0,6,299,0,7,306
DURANGO,349,B,64,108,93,3,1,0,0,4,273,0,9,282
DURANGO,349,C,60,106,98,4,0,0,0,4,272,0,13,285
DURANGO,350,B,58,81,105,3,1,0,1,1,250,0,7,257
DURANGO,351,B,52,85,93,4,0,0,0,5,239,0,1,240
DURANGO,352,B,18,94,4,1,0,0,0,0,117,0,0,117
DURANGO,353,B,4,75,4,0,0,0,0,0,83,0,1,84
DURANGO,354,B,30,81,9,1,0,0,0,0,121,0,2,123
DURANGO,354,C,27,69,4,1,0,0,0,1,102,0,30,132
DURANGO,355,B,45,101,158,0,0,0,0,0,304,0,0,304
DURANGO,356,B,22,69,78,1,0,0,0,1,171,0,1,172
DURANGO,357,B,14,101,146,2,0,0,0,3,266,0,3,269
DURANGO,358,B,7,141,2,1,0,0,0,0,151,0,1,152
DURANGO,359,B,6,36,2,0,0,0,0,0,44,0,0,44
DURANGO,360,B,9,22,4,1,0,0,0,0,36,0,4,40
DURANGO,361,B,20,129,77,0,0,0,0,0,226,0,8,234
DURANGO,361,C,32,116,60,0,0,0,0,1,209,0,4,213
DURANGO,362,B,52,146,53,1,0,0,0,4,256,0,0,256
DURANGO,363,B,60,99,35,0,0,0,0,2,196,0,8,204
DURANGO,364,B,78,61,22,2,0,0,0,0,163,0,4,167
DURANGO,365,B,70,78,17,1,0,0,0,0,166,0,1,167
DURANGO,366,B,26,27,26,2,1,0,0,0,82,0,6,88
DURANGO,367,B,9,16,3,0,0,0,0,0,28,0,0,28
DURANGO,368,B,40,30,7,0,0,0,0,1,78,0,0,78
DURANGO,369,B,46,72,36,2,0,0,0,3,159,0,2,161
DURANGO,369,C,70,86,26,2,0,0,0,1,185,0,5,190
DURANGO,371,B,52,176,67,2,13,0,0,1,311,0,4,315
DURANGO,372,B,25,94,39,1,0,0,0,1,160,0,3,163
DURANGO,373,B,21,76,3,0,0,0,0,0,100,0,6,106
DURANGO,374,B,40,170,32,0,0,0,0,1,243,0,5,248
DURANGO,375,B,3,47,50,1,0,0,0,2,103,0,3,106
DURANGO,376,B,46,93,111,1,0,0,0,0,251,0,4,255
DURANGO,376,C,64,103,116,3,0,0,0,5,291,0,0,291
DURANGO,377,B,38,82,44,1,0,0,1,2,168,0,4,172
DURANGO,377,C,28,95,47,0,0,0,0,0,170,0,5,175
DURANGO,378,B,57,144,32,3,0,0,1,1,238,0,10,248
DURANGO,379,B,26,31,106,0,0,0,0,0,163,0,7,170
DURANGO,379,C,17,22,116,0,0,0,0,1,156,0,8,164
DURANGO,380,B,22,58,70,2,0,0,0,2,154,0,2,156
DURANGO,380,C,23,86,68,1,0,0,0,0,178,0,6,184
DURANGO,381,B,23,82,86,1,1,0,2,10,205,0,3,208
DURANGO,381,C,33,80,110,3,0,0,0,10,236,0,10,246
DURANGO,382,B,46,62,44,2,0,0,0,14,168,0,2,170
DURANGO,383,B,66,51,18,0,0,0,1,12,148,0,5,153
DURANGO,383,C,74,66,23,1,0,0,0,10,174,0,7,181
DURANGO,384,B,53,91,55,0,0,0,0,1,200,0,6,206
DURANGO,385,B,33,89,58,0,0,0,0,5,185,0,13,198
DURANGO,385,C,50,85,80,2,1,0,0,1,219,0,7,226
DURANGO,386,B,20,107,4,2,0,0,0,2,135,0,4,139
DURANGO,387,B,1,63,16,1,0,0,0,0,81,0,1,82
DURANGO,388,B,10,131,111,5,0,0,0,4,261,0,11,272
DURANGO,389,B,18,53,142,3,0,0,1,5,222,0,10,232
DURANGO,389,C,27,51,119,4,1,0,1,1,204,0,8,212
DURANGO,390,B,24,65,111,1,0,0,0,2,203,0,11,214
DURANGO,391,B,52,116,114,1,1,0,0,0,284,0,4,288
DURANGO,392,B,18,65,85,0,0,0,0,2,170,0,4,174
DURANGO,392,C,23,71,84,1,0,0,0,2,181,0,4,185
DURANGO,393,B,33,79,81,4,0,0,0,3,200,0,2,202
DURANGO,393,C,32,86,74,1,1,0,1,0,195,0,8,203
DURANGO,394,B,54,61,71,4,0,0,1,0,191,0,6,197
DURANGO,395,B,30,66,56,0,0,0,0,0,152,0,5,157
DURANGO,395,C,32,66,45,0,0,0,0,5,148,0,0,148
DURANGO,396,B,24,76,111,0,1,0,0,2,214,0,4,218
DURANGO,397,B,17,56,121,1,0,0,1,1,197,0,6,203
DURANGO,397,C,21,82,124,2,0,0,0,2,231,0,0,231
DURANGO,398,B,69,156,60,3,0,0,0,2,290,0,9,299
DURANGO,398,C,78,139,92,6,0,0,1,2,318,0,8,326
DURANGO,399,B,38,69,64,1,0,0,0,1,173,0,5,178
DURANGO,399,C,74,90,49,2,0,0,0,1,216,0,2,218
DURANGO,400,B,32,80,80,0,0,0,1,0,193,0,2,195
DURANGO,401,B,29,262,21,0,0,0,1,0,313,0,5,318
DURANGO,402,B,83,98,137,2,1,0,1,2,324,0,7,331
DURANGO,403,B,29,75,60,0,0,0,0,2,166,0,7,173
DURANGO,403,C,31,98,42,1,0,0,0,3,175,0,2,177
DURANGO,404,B,12,52,58,2,0,0,0,0,124,0,0,124
DURANGO,405,B,21,79,51,0,0,0,0,1,152,0,0,152
DURANGO,405,C,14,70,49,3,0,0,0,1,137,0,6,143
DURANGO,406,B,3,15,17,0,0,0,0,0,35,0,3,38
DURANGO,407,B,27,103,16,0,0,0,0,0,146,0,0,146
DURANGO,408,B,27,45,37,1,0,0,1,1,112,0,9,121
DURANGO,409,B,27,176,93,1,1,0,0,1,299,0,6,305
DURANGO,409,C,33,200,95,0,0,0,0,1,329,0,5,334
DURANGO,410,B,64,62,95,0,0,0,0,0,221,0,15,236
DURANGO,410,C,118,132,224,0,0,0,7,1,482,0,0,482
DURANGO,411,B,33,116,54,8,1,0,0,0,212,0,7,219
DURANGO,411,C,40,99,58,1,1,0,1,1,201,0,3,204
DURANGO,412,B,14,125,36,2,0,0,0,1,178,0,5,183
DURANGO,412,C,23,121,49,0,0,0,0,0,193,0,10,203
DURANGO,413,B,27,115,32,0,0,0,0,0,174,0,5,179
DURANGO,414,B,14,95,96,0,0,0,0,5,210,0,14,224
DURANGO,415,B,13,31,28,0,0,0,0,0,72,0,1,73
DURANGO,416,B,5,132,27,1,1,0,1,0,167,0,5,172
DURANGO,417,B,4,136,6,1,0,0,0,0,147,0,3,150
DURANGO,418,B,3,55,4,0,0,0,0,0,62,0,3,65
DURANGO,419,B,5,12,42,0,0,0,0,1,60,0,2,62
