Municipio,Seccion,Tipo,PAN-PRD-PC,PRI-PVEM-PANAL-PD,PT,Validos,No Registrados,Nulos,Total,Nominal,,
DURANGO,216,B ,167,157,40,364,1,6,371,529, ,
DURANGO,217,B ,115,77,46,238,0,4,242,411, ,
DURANGO,217,C ,123,99,43,265,0,4,269,411, ,
DURANGO,218,B ,133,175,126,434,0,6,440,642, ,
DURANGO,218,C 1 ,142,154,109,405,0,9,414,642, ,
DURANGO,218,C 2 ,134,146,125,405,1,7,413,643, ,
DURANGO,218,C 3 ,140,161,111,412,0,10,422,643, ,
DURANGO,219,B ,65,78,68,211,0,5,216,440, ,
DURANGO,220,B ,80,172,67,319,0,16,335,686, ,
DURANGO,221,B ,94,155,67,316,0,15,331,729, ,
DURANGO,222,B ,78,155,71,304,0,10,314,708, ,
DURANGO,222,C ,96,132,113,341,0,8,349,708, ,
DURANGO,223,B ,108,156,88,352,2,10,364,712, ,
DURANGO,223,C ,116,141,89,346,0,12,358,712, ,
DURANGO,224,B ,79,92,84,255,0,12,267,516, ,
DURANGO,224,C 1 ,131,83,72,286,0,13,299,516, ,
,,,,,,,,,,,,
DURANGO,224,C 2 ,122,102,66,290,1,13,304,516, ,
DURANGO,225,B ,149,132,130,411,0,10,421,737, ,
DURANGO,225,C ,163,146,110,419,0,11,430,738, ,
DURANGO,226,B ,185,139,87,411,0,9,420,641, ,
DURANGO,227,B ,157,121,111,389,0,14,403,641, ,
DURANGO,227,C ,129,95,119,343,0,9,352,641, ,
DURANGO,228,B ,125,114,91,330,0,10,340,592, ,
DURANGO,228,C ,140,131,91,362,0,13,375,593, ,
DURANGO,229,B ,163,148,57,368,0,17,385,643, ,
DURANGO,230,B ,148,128,60,336,0,4,340,574, ,
DURANGO,231,B ,170,106,78,354,1,13,368,722, ,
DURANGO,232,B ,163,107,54,324,1,7,332,544, ,
DURANGO,233,B ,159,116,58,333,0,7,340,648, ,
DURANGO,234,B ,156,115,72,343,1,8,352,543, ,
DURANGO,235,B ,133,115,46,294,0,6,300,486, ,
DURANGO,236,B ,121,98,44,263,0,6,269,422, ,
DURANGO,236,C ,154,86,14,254,0,6,260,422, ,
DURANGO,237,B ,163,147,49,359,0,7,366,533, ,
DURANGO,237,C 1 ,174,130,54,358,0,7,365,533, ,
DURANGO,237,C 2 ,148,126,57,331,0,6,337,533, ,
DURANGO,238,B ,184,167,116,467,0,14,481,747, ,
DURANGO,238,C ,192,154,107,453,2,10,465,748, ,
DURANGO,239,B ,122,95,65,282,0,9,291,441, ,
DURANGO,239,C ,117,105,66,288,0,4,292,441, ,
DURANGO,240,B ,88,102,46,236,0,4,240,376, ,
DURANGO,240,C ,111,93,34,238,0,6,244,376, ,
DURANGO,241,B ,138,119,73,330,0,8,338,652, ,
DURANGO,242,B ,87,84,70,241,0,7,248,396, ,
DURANGO,242,C ,93,89,53,235,0,6,241,396, ,
DURANGO,243,B ,129,129,79,337,3,8,348,534, ,
,,,,,,,,,,,,
DURANGO,243,C ,115,126,86,327,0,5,332,535, ,
DURANGO,244,B ,111,138,86,335,0,3,338,625, ,
DURANGO,245,B ,84,81,85,250,1,3,254,524, ,
DURANGO,245,C ,88,98,89,275,0,6,281,524, ,
DURANGO,246,B ,116,94,98,308,0,9,317,497, ,
DURANGO,247,B ,120,134,80,334,1,12,347,668, ,
DURANGO,247,C 1 ,99,135,108,342,0,7,349,669, ,
DURANGO,247,C 2 ,107,135,103,345,0,5,350,669, ,
DURANGO,248,B ,112,138,138,388,0,14,402,729, ,
DURANGO,248,C ,122,134,115,371,3,10,384,730, ,
DURANGO,249,B ,123,153,141,417,0,3,420,639, ,
DURANGO,249,C 1 ,139,153,101,393,0,8,401,639, ,
DURANGO,249,C 2 ,124,154,108,386,0,3,389,640, ,
DURANGO,250,B ,56,79,76,211,0,9,220,532, ,
DURANGO,250,C ,67,93,74,234,0,8,242,533, ,
DURANGO,251,B ,62,75,81,218,0,8,226,478, ,
DURANGO,251,C ,55,99,64,218,0,9,227,478, ,
DURANGO,252,B ,68,87,69,224,0,17,241,542, ,
DURANGO,252,C 1 ,81,95,75,251,0,9,260,543, ,
DURANGO,252,C 2 ,73,90,77,240,1,10,251,543, ,
DURANGO,253,B ,81,125,90,296,0,15,311,635, ,
DURANGO,253,C 1 ,97,113,93,303,0,13,316,635, ,
DURANGO,253,C 2 ,84,138,88,310,0,0,310,635, ,
DURANGO,253,C 3 ,79,134,94,307,0,0,307,636, ,
DURANGO,253,C 4 ,94,138,92,324,0,12,336,636, ,
DURANGO,254,B ,96,98,87,281,0,14,295,630, ,
DURANGO,254,C 1 ,78,99,71,248,0,9,257,630, ,
DURANGO,254,C 2 ,81,112,90,283,0,8,291,631, ,
DURANGO,255,B ,128,107,116,351,1,15,367,724, ,
DURANGO,255,C 1 ,110,111,127,348,0,12,360,724, ,
,,,,,,,,,,,,
DURANGO,255,C 2 ,118,121,114,353,0,12,365,724, ,
DURANGO,256,B ,154,180,103,437,0,3,440,721, ,
DURANGO,256,C ,131,177,125,433,0,5,438,722, ,
DURANGO,257,B ,88,122,81,291,0,5,296,553, ,
DURANGO,257,C ,89,134,76,299,0,6,305,554, ,
DURANGO,258,B ,124,133,80,337,0,7,344,538, ,
DURANGO,258,C ,134,130,90,354,0,7,361,539, ,
DURANGO,259,B ,99,126,52,277,2,9,288,568, ,
DURANGO,259,C ,111,118,68,297,0,8,305,568, ,
DURANGO,260,B ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,260,C ,109,142,95,346,0,2,348,701, ,
DURANGO,261,B ,0,0,0,0,0,0,0,452, ,
DURANGO,261,C ,0,0,0,0,0,0,0,453, ,
DURANGO,262,B ,78,118,134,330,0,7,337,596, ,
DURANGO,262,C 1 ,80,112,127,319,0,6,325,597, ,
DURANGO,262,C 2 ,76,93,139,308,0,9,317,597, ,
DURANGO,263,B ,76,88,55,219,1,3,223,406, ,
DURANGO,263,C ,63,87,58,208,0,4,212,407, ,
DURANGO,264,B ,71,83,71,225,0,4,229,404, ,
DURANGO,264,C ,71,85,55,211,0,6,217,405, ,
DURANGO,265,B ,168,135,74,377,1,10,388,700, ,
DURANGO,266,B ,104,69,54,227,0,5,232,393, ,
DURANGO,266,C ,73,80,64,217,0,2,219,393, ,
DURANGO,267,B ,84,71,50,205,0,3,208,400, ,
DURANGO,267,C ,86,78,59,223,0,3,226,400, ,
DURANGO,268,B ,151,143,86,380,0,10,390,628, ,
DURANGO,269,B ,114,105,103,322,0,5,327,599, ,
DURANGO,269,C ,124,115,95,334,0,8,342,599, ,
DURANGO,270,B ,166,137,87,390,2,9,401,680, ,
DURANGO,270,C ,171,123,109,403,1,0,404,681, ,
,,,,,,,,,,,,
DURANGO,271,B ,116,115,94,325,1,4,330,532, ,
DURANGO,271,C 1 ,131,103,84,318,0,5,323,532, ,
DURANGO,271,C 2 ,112,92,96,300,0,8,308,532, ,
DURANGO,272,B ,90,85,70,245,0,10,255,446, ,
DURANGO,272,C ,95,84,68,247,0,7,254,446, ,
DURANGO,273,B ,108,105,72,285,0,5,290,565, ,
DURANGO,273,C ,97,103,78,278,0,11,289,565, ,
DURANGO,274,B ,103,88,81,272,0,2,274,542, ,
DURANGO,274,C ,80,110,80,270,0,6,276,542, ,
DURANGO,275,B ,87,101,81,269,0,4,273,526, ,
DURANGO,275,C 1 ,97,106,93,296,1,9,306,526, ,
DURANGO,275,C 2 ,103,118,81,302,0,7,309,527, ,
DURANGO,276,B ,0,0,0,0,0,0,0,683, ,
DURANGO,276,C 1 ,0,0,0,0,0,0,0,683, ,
DURANGO,276,C 2 ,0,0,0,0,0,0,0,683, ,
DURANGO,276,C 3 ,0,0,0,0,0,0,0,683, ,
DURANGO,276,C 4 ,0,0,0,0,0,0,0,683, ,
DURANGO,276,C 5 ,0,0,0,0,0,0,0,684, ,
DURANGO,276,C 6 ,0,0,0,0,0,0,0,684, ,
DURANGO,276,C 7 ,0,0,0,0,0,0,0,684, ,
DURANGO,277,B ,84,108,69,261,0,5,266,523, ,
DURANGO,277,C ,84,133,47,264,0,9,273,523, ,
DURANGO,278,B ,77,93,164,334,0,22,356,748, ,
DURANGO,278,C ,64,115,169,348,0,35,383,748, ,
DURANGO,279,B ,76,95,101,272,0,9,281,545, ,
DURANGO,279,C ,63,96,97,256,3,9,268,545, ,
DURANGO,280,B ,107,150,124,381,0,7,388,694, ,
DURANGO,280,C ,118,149,113,380,0,5,385,695, ,
DURANGO,281,B ,93,121,81,295,1,7,303,519, ,
DURANGO,281,C 1 ,85,118,80,283,2,6,291,520, ,
,,,,,,,,,,,,
DURANGO,281,C 2 ,96,117,88,301,0,8,309,520, ,
DURANGO,282,B ,94,113,92,299,0,15,314,553, ,
DURANGO,283,B ,105,123,104,332,0,6,338,508, ,
DURANGO,283,C 1 ,96,125,108,329,0,8,337,508, ,
DURANGO,283,C 2 ,108,123,82,313,1,7,321,509, ,
DURANGO,284,B ,75,132,68,275,0,12,287,525, ,
DURANGO,284,C 1 ,66,144,86,296,0,12,308,525, ,
DURANGO,284,C 2 ,78,108,90,276,0,9,285,526, ,
DURANGO,285,B ,78,96,58,232,0,6,238,481, ,
DURANGO,285,C ,52,108,72,232,0,13,245,482, ,
DURANGO,286,B ,97,119,111,327,0,6,333,591, ,
DURANGO,286,C 1 ,82,109,101,292,0,8,300,591, ,
DURANGO,286,C 2 ,89,86,108,283,0,15,298,592, ,
DURANGO,287,B ,137,113,102,352,0,10,362,615, ,
DURANGO,288,B ,84,142,89,315,0,7,322,528, ,
DURANGO,288,C ,96,115,86,297,0,5,302,528, ,
DURANGO,289,B ,93,123,112,328,0,9,337,606, ,
DURANGO,289,C ,98,127,118,343,0,8,351,607, ,
DURANGO,290,B ,106,127,115,348,0,5,353,642, ,
DURANGO,290,C ,106,153,90,349,0,12,361,643, ,
DURANGO,291,B ,75,156,65,296,0,3,299,529, ,
DURANGO,291,C ,86,127,81,294,0,6,300,530, ,
DURANGO,292,B ,103,146,116,365,0,7,372,651, ,
DURANGO,292,C ,91,145,104,340,0,7,347,651, ,
DURANGO,293,B ,109,111,81,301,1,3,305,521, ,
DURANGO,293,C 1 ,94,99,79,272,0,5,277,522, ,
DURANGO,293,C 2 ,94,108,85,287,0,7,294,522, ,
DURANGO,294,B ,118,159,88,365,0,7,372,682, ,
DURANGO,294,C ,132,177,96,405,0,10,415,683, ,
DURANGO,295,B ,131,143,129,403,0,6,409,661, ,
,,,,,,,,,,,,
DURANGO,295,C ,, ,,,,,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,296,B ,155,186,124,465,0,14,479,718, ,
DURANGO,296,C 1 ,177,149,124,450,0,8,458,718, ,
DURANGO,296,C 2 ,189,132,107,428,1,7,436,719, ,
DURANGO,297,B ,120,120,127,367,1,11,379,657, ,
DURANGO,297,C ,142,124,114,380,0,12,392,657, ,
DURANGO,298,B ,99,126,100,325,0,11,336,573, ,
DURANGO,298,C 1 ,136,119,96,351,0,5,356,573, ,
DURANGO,298,C 2 ,125,98,99,322,0,4,326,573, ,
DURANGO,298,C 3 ,135,110,104,349,0,4,353,574, ,
DURANGO,299,B ,113,119,94,326,0,9,335,648, ,
DURANGO,299,C ,113,103,97,313,0,7,320,649, ,
DURANGO,300,B ,89,110,114,313,0,15,328,666, ,
DURANGO,300,C ,105,103,126,334,1,11,346,666, ,
DURANGO,301,B ,102,97,136,335,0,14,349,648, ,
DURANGO,301,C 1 ,104,104,113,321,0,10,331,649, ,
DURANGO,301,C 2 ,94,108,117,319,0,9,328,649, ,
DURANGO,301,C 3 ,98,100,98,296,0,14,310,649, ,
DURANGO,301,C 4 ,95,124,119,338,0,15,353,649, ,
DURANGO,301,C 5 ,89,113,122,324,1,11,336,649, ,
DURANGO,301,C 6 ,92,97,129,318,0,9,327,649, ,
DURANGO,302,B ,142,138,111,391,1,11,403,676, ,
DURANGO,302,C 1 ,123,134,118,375,0,11,386,676, ,
DURANGO,302,C 2 ,116,140,141,397,0,7,404,676, ,
DURANGO,302,C 3 ,156,107,110,373,0,5,378,677, ,
DURANGO,302,C 4 ,134,156,58,348,3,14,365,677, ,
DURANGO,302,C 5 ,136,143,110,389,0,15,404,677, ,
DURANGO,303,B ,64,154,67,285,0,18,303,586, ,
DURANGO,303,C 1 ,71,171,50,292,3,7,302,587, ,
DURANGO,303,C 2 ,81,168,57,306,0,13,319,587, ,
,,,,,,,,,,,,
DURANGO,303,C 3 ,95,168,48,311,0,9,320,587, ,
DURANGO,304,B ,128,163,111,402,0,9,411,674, ,
DURANGO,304,C 1 ,138,160,107,405,0,8,413,674, ,
DURANGO,304,C 2 ,143,133,111,387,0,6,393,675, ,
DURANGO,305,B ,72,58,78,208,0,5,213,427, ,
DURANGO,305,C ,79,69,69,217,0,2,219,427, ,
DURANGO,306,B ,118,113,114,345,2,12,359,596, ,
DURANGO,306,C ,123,108,128,359,1,7,367,596, ,
DURANGO,307,B ,103,90,90,283,0,8,291,497, ,
DURANGO,307,C ,102,88,98,288,0,10,298,498, ,
DURANGO,308,B ,110,126,75,311,0,8,319,547, ,
DURANGO,308,C ,122,128,64,314,0,9,323,547, ,
DURANGO,309,B ,176,161,114,451,0,17,468,709, ,
DURANGO,309,C ,166,148,124,438,0,10,448,710, ,
DURANGO,310,B ,138,145,98,381,0,7,388,599, ,
DURANGO,310,C ,138,150,84,372,2,12,386,600, ,
DURANGO,311,B ,133,91,105,329,1,9,339,564, ,
DURANGO,311,C ,141,102,97,340,0,11,351,565, ,
DURANGO,312,B ,126,141,135,402,0,9,411,602, ,
DURANGO,312,C 1 ,126,122,129,377,1,16,394,602, ,
DURANGO,312,C 2 ,107,135,130,372,0,5,377,603, ,
DURANGO,313,B ,71,72,69,212,0,4,216,392, ,
DURANGO,313,C ,70,76,47,193,0,6,199,392, ,
DURANGO,314,B ,72,64,72,208,0,6,214,426, ,
DURANGO,314,C ,91,53,66,210,0,12,222,427, ,
DURANGO,315,B ,109,108,83,300,0,6,306,505, ,
DURANGO,315,C 1 ,120,94,86,300,0,10,310,505, ,
DURANGO,315,C 2 ,96,102,93,291,1,8,300,506, ,
DURANGO,316,B ,135,155,114,404,0,4,408,670, ,
DURANGO,316,C ,145,138,122,405,0,11,416,670, ,
,,,,,,,,,,,, 
DURANGO,317,B ,134,107,107,348,0,6,354,628, ,
DURANGO,318,B ,122,86,114,322,0,14,336,587, ,
DURANGO,319,B ,105,96,89,290,0,8,298,549, ,
DURANGO,319,C 1 ,111,110,92,313,0,8,321,549, ,
DURANGO,319,C 2 ,132,94,92,318,0,12,330,549, ,
DURANGO,320,B ,134,114,67,315,0,11,326,524, ,
DURANGO,320,C 1 ,112,85,85,282,0,8,290,524, ,
DURANGO,320,C 2 ,130,87,74,291,0,6,297,524, ,
DURANGO,321,B ,66,88,129,283,0,7,290,532, ,
DURANGO,321,C 1 ,67,71,100,238,0,12,250,533, ,
DURANGO,321,C 2 ,74,78,111,263,0,6,269,533, ,
DURANGO,322,B ,151,137,141,429,0,7,436,673, ,
DURANGO,322,C 1 ,134,132,141,407,0,7,414,674, ,
DURANGO,322,C 2 ,132,135,143,410,0,5,415,674, ,
DURANGO,323,B ,69,106,148,323,0,21,344,715, ,
DURANGO,323,C ,82,100,152,334,0,16,350,716, ,
DURANGO,324,B ,107,114,108,329,0,10,339,589, ,
DURANGO,324,C ,94,108,106,308,1,15,324,589, ,
DURANGO,325,B ,81,126,112,319,0,9,328,573, ,
DURANGO,325,C 1 ,58,104,135,297,0,4,301,574, ,
DURANGO,325,C 2 ,73,90,131,294,0,7,301,574, ,
DURANGO,326,B ,38,41,129,208,0,9,217,401, ,
DURANGO,326,C ,53,43,100,196,0,8,204,401, ,
DURANGO,327,B ,70,52,217,339,0,12,351,642, ,
DURANGO,327,C 1 ,72,39,203,314,2,8,324,643, ,
DURANGO,327,C 2 ,65,50,219,334,0,16,350,643, ,
DURANGO,328,B ,80,65,112,257,1,4,262,509, ,
DURANGO,328,C 1 ,74,78,88,240,0,10,250,509, ,
DURANGO,328,C 2 ,85,77,81,243,0,9,252,509, ,
DURANGO,329,B ,89,88,91,268,0,6,274,513, ,
,,,,,,,,,,,,
DURANGO,329,C ,83,109,87,279,0,8,287,513, ,
DURANGO,330,B ,119,103,110,332,0,14,346,617, ,
DURANGO,330,C ,139,108,100,347,0,14,361,618, ,
DURANGO,331,B ,117,114,106,337,0,8,345,564, ,
DURANGO,331,C 1 ,99,95,98,292,0,8,300,565, ,
DURANGO,331,C 2 ,108,98,118,324,0,8,332,565, ,
DURANGO,332,B ,107,127,106,340,0,9,349,745, ,
DURANGO,332,C ,105,125,102,332,0,20,352,745, ,
DURANGO,333,B ,93,109,84,286,0,16,302,604, ,
DURANGO,333,C ,96,105,101,302,1,13,316,604, ,
DURANGO,334,B ,75,111,105,291,0,13,304,641, ,
DURANGO,334,C ,61,93,123,277,0,26,303,641, ,
DURANGO,335,B ,59,122,109,290,0,7,297,618, ,
DURANGO,335,C ,67,118,113,298,0,16,314,618, ,
DURANGO,336,B ,72,102,134,308,0,17,325,729, ,
DURANGO,336,C ,74,91,117,282,0,20,302,730, ,
DURANGO,337,B ,50,35,218,303,0,8,311,547, ,
DURANGO,337,C ,48,112,120,280,1,8,289,548, ,
DURANGO,338,B ,87,123,228,438,0,10,448,735, ,
DURANGO,338,C ,109,135,191,435,0,11,446,735, ,
DURANGO,339,B ,55,93,135,283,0,11,294,547, ,
DURANGO,339,C 1 ,55,77,134,266,0,5,271,547, ,
DURANGO,339,C 2 ,53,83,149,285,0,11,296,548, ,
DURANGO,340,B ,102,116,119,337,1,12,350,655, ,
DURANGO,340,C 1 ,108,109,115,332,0,7,339,656, ,
DURANGO,340,C 2 ,99,113,130,342,0,11,353,656, ,
DURANGO,341,B ,80,128,99,307,0,17,324,581, ,
DURANGO,341,C ,73,89,121,283,0,11,294,582, ,
DURANGO,342,B ,39,96,69,204,0,8,212,426, ,
DURANGO,342,C ,37,101,86,224,0,6,230,426, ,
,,,,,,,,,,,,
DURANGO,343,B ,65,125,127,317,0,20,337,677, ,
DURANGO,343,C ,65,125,127,317,0,20,337,678, ,
DURANGO,344,B ,78,88,114,280,0,15,295,632, ,
DURANGO,344,C 1 ,73,103,113,289,2,15,306,633, ,
DURANGO,344,C 2 ,79,116,111,306,3,22,331,633, ,
DURANGO,345,B ,148,118,136,402,0,9,411,713, ,
DURANGO,345,C ,151,128,174,453,0,6,459,713, ,
DURANGO,346,B ,125,78,93,296,0,9,305,507, ,
DURANGO,346,C 1 ,89,127,110,326,0,9,335,507, ,
DURANGO,346,C 2 ,120,104,80,304,0,5,309,507, ,
DURANGO,347,B ,55,98,103,256,0,10,266,530, ,
DURANGO,347,C 1 ,53,95,117,265,0,4,269,530, ,
DURANGO,347,C 2 ,53,95,107,255,0,9,264,531, ,
DURANGO,348,B ,56,85,96,237,0,7,244,530, ,
DURANGO,348,C 1 ,68,91,88,247,0,7,254,531, ,
DURANGO,348,C 2 ,71,91,92,254,0,13,267,531, ,
DURANGO,349,B ,88,98,141,327,0,12,339,640, ,
DURANGO,349,C 1 ,82,100,106,288,0,13,301,641, ,
DURANGO,349,C 2 ,88,99,140,327,0,9,336,641, ,
DURANGO,349,C 3 ,74,116,112,302,0,12,314,641, ,
DURANGO,349,C 4 ,74,114,139,327,0,12,339,641, ,
DURANGO,350,B ,57,90,74,221,0,11,232,417, ,
DURANGO,350,C ,64,60,102,226,0,7,233,418, ,
DURANGO,351,B ,62,61,87,210,0,13,223,405, ,
DURANGO,351,C ,58,68,74,200,1,7,208,406, ,
DURANGO,352,B ,54,101,6,161,0,7,168,309, ,
DURANGO,353,B ,45,130,6,181,0,2,183,338, ,
DURANGO,354,B ,90,70,23,183,0,7,190,464, ,
DURANGO,354,C ,90,74,31,195,0,9,204,464, ,
DURANGO,355,B ,99,137,31,267,0,7,274,517, ,
,,,,,,,,,,,,
DURANGO,355,C ,93,143,26,262,0,11,273,517, ,
DURANGO,356,B ,76,129,34,239,0,10,249,482, ,
DURANGO,357,B ,180,141,86,407,0,15,422,648, ,
DURANGO,358,B ,136,108,7,251,0,11,262,448, ,
DURANGO,359,B ,9,28,0,37,0,0,37,71, ,
DURANGO,360,B ,29,41,2,72,0,2,74,156, ,
DURANGO,361,B ,183,108,53,344,0,14,358,632, ,
DURANGO,361,C ,176,104,56,336,0,18,354,632, ,
DURANGO,362,B ,56,77,50,183,0,7,190,416, ,
DURANGO,362,C ,51,79,50,180,0,12,192,417, ,
DURANGO,363,B ,155,144,41,340,0,10,350,710, ,
DURANGO,364,B ,171,101,38,310,0,19,329,657, ,
DURANGO,365,B ,102,110,25,237,1,6,244,561, ,
DURANGO,366,B ,89,53,8,150,0,12,162,295, ,
DURANGO,367,B ,16,12,4,32,0,3,35,89, ,
DURANGO,368,B ,55,51,24,130,0,3,133,268, ,
DURANGO,369,B ,104,79,56,239,0,13,252,552, ,
DURANGO,369,C 1 ,102,99,42,243,1,12,256,553, ,
DURANGO,369,C 2 ,87,96,49,232,0,10,242,553, ,
DURANGO,370,B ,13,30,4,47,0,1,48,393, ,
DURANGO,370,C ,16,30,10,56,0,0,56,393, ,
DURANGO,371,B ,115,97,52,264,0,13,277,451, ,
DURANGO,371,C ,55,131,61,247,0,10,257,452, ,
DURANGO,372,B ,144,138,51,333,0,18,351,608, ,
DURANGO,373,B ,64,86,4,154,0,4,158,243, ,
DURANGO,374,B ,26,221,9,256,1,15,272,602, ,
DURANGO,375,B ,12,45,87,144,0,9,153,290, ,
DURANGO,376,B ,102,143,118,363,0,14,377,712, ,
DURANGO,376,C ,126,111,117,354,0,20,374,712, ,
DURANGO,377,B ,71,131,122,324,0,5,329,626, ,
,,,,,,,,,,,,
DURANGO,377,C ,48,112,120,280,0,9,289,626, ,
DURANGO,378,B ,80,130,36,246,0,14,260,536, ,
DURANGO,378,C ,60,115,42,217,0,6,223,536, ,
DURANGO,379,B ,75,121,45,241,0,17,258,652, ,
DURANGO,379,C ,68,110,55,233,0,12,245,652, ,
DURANGO,380,B ,80,115,51,246,0,12,258,515, ,
DURANGO,380,C ,76,126,37,239,0,11,250,515, ,
DURANGO,381,B ,66,184,84,334,0,13,347,666, ,
DURANGO,381,C ,68,169,91,328,0,14,342,667, ,
DURANGO,382,B ,59,116,101,276,0,4,280,469, ,
DURANGO,383,B ,107,84,41,232,0,11,243,535, ,
DURANGO,383,C ,100,98,46,244,0,6,250,536, ,
DURANGO,384,B ,138,158,57,353,0,10,363,703, ,
DURANGO,385,B ,89,118,75,282,0,13,295,581, ,
DURANGO,385,C ,91,109,60,260,0,13,273,581, ,
DURANGO,385,X ,90,132,77,299,0,13,312,654, ,
DURANGO,386,B ,3,90,4,97,0,0,97,190, ,
DURANGO,386,X ,25,100,3,128,0,7,135,190, ,
DURANGO,387,B ,12,58,3,73,0,8,81,152, ,
DURANGO,388,B ,18,132,51,201,0,8,209,457, ,
DURANGO,388,C ,19,116,43,178,2,2,182,457, ,
DURANGO,389,B ,75,78,154,307,0,13,320,634, ,
DURANGO,389,C ,84,60,156,300,1,15,316,634, ,
DURANGO,390,B ,54,104,108,266,0,19,285,553, ,
DURANGO,391,B ,49,101,61,211,0,14,225,401, ,
DURANGO,391,C ,43,84,69,196,0,11,207,402, ,
DURANGO,392,B ,37,139,60,236,0,11,247,588, ,
DURANGO,392,C ,66,151,53,270,0,15,285,589, ,
DURANGO,393,B ,36,123,35,194,0,20,214,512, ,
DURANGO,393,C 1 ,39,128,32,199,0,0,199,512, ,
,,,,,,,,,,,,
DURANGO,393,C 2 ,26,149,34,209,0,10,219,512, ,
DURANGO,394,B ,59,84,35,178,0,9,187,551, ,
DURANGO,395,B ,47,124,29,200,0,11,211,614, ,
DURANGO,395,C ,64,99,22,185,0,18,203,614, ,
DURANGO,396,B ,84,92,71,247,0,8,255,527, ,
DURANGO,397,B ,109,127,84,320,1,12,333,612, ,
DURANGO,397,C ,111,125,73,309,0,14,323,613, ,
DURANGO,398,B ,132,116,64,312,0,16,328,557, ,
DURANGO,398,C 1 ,157,115,59,331,0,12,343,557, ,
DURANGO,398,C 2 ,151,88,58,297,0,14,311,558, ,
DURANGO,399,B ,100,131,64,295,1,12,308,622, ,
DURANGO,399,C ,92,147,61,300,0,10,310,622, ,
DURANGO,400,B ,70,147,102,319,0,17,336,622, ,
DURANGO,400,C ,70,142,98,310,0,10,320,623, ,
DURANGO,401,B ,17,211,12,240,0,8,248,418, ,
DURANGO,401,C ,18,207,7,232,0,6,238,418, ,
DURANGO,402,B ,122,97,14,233,0,19,252,490, ,
DURANGO,402,C ,116,99,21,236,0,11,247,491, ,
DURANGO,403,B ,120,114,29,263,0,8,271,535, ,
DURANGO,403,C ,188,125,38,351,0,12,363,536, ,
DURANGO,404,B ,58,106,22,186,0,0,186,416, ,
DURANGO,405,B ,59,142,82,283,0,9,292,539, ,
DURANGO,405,C ,57,113,81,251,0,11,262,540, ,
DURANGO,406,B ,9,16,16,41,0,4,45,81, ,
DURANGO,407,B ,21,146,21,188,0,2,190,326, ,
DURANGO,408,B ,31,65,13,109,0,1,110,242, ,
DURANGO,409,B ,80,240,48,368,0,9,377,744, ,
DURANGO,409,C ,80,241,57,378,0,10,388,745, ,
DURANGO,410,B ,146,80,30,256,0,21,277,533, ,
DURANGO,410,C 1 ,137,63,14,214,0,23,237,533, ,
,,,,,,,,,,,,
DURANGO,410,C 2 ,160,48,28,236,1,14,251,533, ,
DURANGO,411,B ,130,181,71,382,0,13,395,698, ,
DURANGO,411,C ,117,169,76,362,0,11,373,698, ,
DURANGO,412,B ,62,150,87,299,0,0,299,630, ,
DURANGO,412,C ,57,137,90,284,0,14,298,631, ,
DURANGO,413,B ,61,150,21,232,0,9,241,537, ,
DURANGO,414,B ,175,96,59,330,0,23,353,731, ,
DURANGO,415,B ,15,40,12,67,0,1,68,140, ,
DURANGO,416,B ,9,116,2,127,0,5,132,278, ,
DURANGO,416,X ,34,142,9,185,0,8,193,298, ,
DURANGO,417,B ,14,93,5,112,0,5,117,267, ,
DURANGO,418,B ,7,58,2,67,0,2,69,182, ,
DURANGO,419,B ,21,42,2,65,0,3,68,148, ,
,,,,,,,,,,,,
SIMON BOLIVAR,420,B ,132,161,24,317,0,6,323,532, ,
SIMON BOLIVAR,420,C ,129,194,18,341,0,6,347,533, ,
SIMON BOLIVAR,421,B ,27,19,2,48,1,2,51,68, ,
SIMON BOLIVAR,422,B ,156,124,8,288,0,13,301,414, ,
SIMON BOLIVAR,422,C ,154,133,4,291,0,12,303,414, ,
SIMON BOLIVAR,423,B ,101,117,2,220,0,7,227,298, ,
SIMON BOLIVAR,424,B ,84,168,2,254,0,8,262,382, ,
SIMON BOLIVAR,424,C ,118,135,3,256,1,21,278,383, ,
SIMON BOLIVAR,425,B ,95,70,3,168,0,4,172,253, ,
SIMON BOLIVAR,426,B ,179,289,11,479,0,21,500,735, ,
SIMON BOLIVAR,427,B ,82,136,3,221,0,10,231,351, ,
SIMON BOLIVAR,428,B ,18,60,9,87,0,3,90,132, ,
SIMON BOLIVAR,428,X ,15,56,4,75,0,4,79,112, ,
SIMON BOLIVAR,429,B ,109,159,11,279,0,6,285,469, ,
SIMON BOLIVAR,429,X ,44,52,10,106,0,3,109,162, ,
SIMON BOLIVAR,430,B ,42,114,7,163,0,3,166,407, ,
SIMON BOLIVAR,430,X ,18,34,31,83,0,1,84,158, ,
SIMON BOLIVAR,431,B ,103,100,4,207,0,6,213,421, ,
SIMON BOLIVAR,431,C ,129,83,4,216,0,12,228,422, ,
SIMON BOLIVAR,432,B ,23,61,1,85,0,1,86,119, ,
SIMON BOLIVAR,433,B ,73,81,6,160,0,10,170,248, ,
