DISTRITO,MUNICIPIO ,SECCION,CASILLAS,PAN,PRI,PRD-PT,PVEM,PSN,CPDPPN,PAS,PRS,NO REGISTRADOS,VALIDOS,NULOS,TOTAL,LISTA NOMINAL
VIII,LOS CABOS,297,0297C,55,36,197,3,0,15,30,0,0,336,11,347,652
VIII,LOS CABOS,316,0316B,137,27,73,10,2,3,9,0,0,261,6,267,628
VIII,LOS CABOS,316,0316C,120,31,80,9,0,0,14,0,0,254,2,256,628
VIII,LOS CABOS,316,0316ESP,25,7,31,1,0,1,1,0,0,66,2,68,0
VIII,LOS CABOS,317,0317B,142,13,95,8,1,4,3,0,0,266,6,272,595
VIII,LOS CABOS,317,0317C1,137,17,91,5,0,4,16,0,0,270,10,280,596
VIII,LOS CABOS,317,0317C2,133,16,73,7,1,5,16,0,0,251,6,257,596
VIII,LOS CABOS,318,0318B,116,35,110,2,4,8,4,0,0,279,14,293,551
VIII,LOS CABOS,318,0318C,144,30,89,5,1,3,16,0,0,288,2,290,551
VIII,LOS CABOS,320,0320B,125,14,136,3,0,5,12,0,0,295,8,303,744
VIII,LOS CABOS,320,0320C,134,17,123,8,1,9,10,0,0,302,11,313,745
VIII,LOS CABOS,321,0321B,96,15,124,9,2,2,14,0,0,262,3,265,629
VIII,LOS CABOS,321,0321C,122,8,112,3,1,2,15,0,0,263,5,268,630
VIII,LOS CABOS,322,0322B,101,24,121,5,2,3,2,0,0,258,6,264,581
VIII,LOS CABOS,322,0322C,128,28,103,5,0,12,9,0,0,285,5,290,582
VIII,LOS CABOS,323,0323B,148,31,122,3,2,0,5,0,0,311,2,313,631
VIII,LOS CABOS,323,0323C,162,26,116,9,0,3,9,0,0,325,4,329,632
VIII,LOS CABOS,324,0324B,127,26,111,1,0,2,15,0,0,282,8,290,657
VIII,LOS CABOS,324,0324C1,128,15,117,0,1,2,14,0,0,277,6,283,658
VIII,LOS CABOS,324,0324C2,143,11,118,4,0,2,19,0,0,297,4,301,658
VIII,LOS CABOS,325,0325B,86,12,132,7,2,2,17,0,0,258,9,267,677
VIII,LOS CABOS,325,0325C1,97,15,138,1,1,2,24,0,0,278,8,286,678
VIII,LOS CABOS,325,0325C2,126,11,102,1,1,0,15,0,1,257,5,262,678
VIII,LOS CABOS,326,0326B,93,21,82,2,0,0,11,0,0,209,7,216,429
VIII,LOS CABOS,326,0326C,106,10,62,4,1,0,9,0,0,192,3,195,429
VIII,LOS CABOS,327,0327B,167,16,133,3,3,3,8,0,0,333,5,338,683
VIII,LOS CABOS,327,0327C,173,20,125,7,2,10,8,0,0,345,6,351,683
VIII,LOS CABOS,328,0328B,144,28,138,0,0,5,7,0,0,322,6,328,706
VIII,LOS CABOS,328,0328C,147,28,181,5,2,5,5,0,0,373,1,374,707
VIII,LOS CABOS,329,0329B,82,13,112,2,2,3,9,0,0,223,2,225,419
VIII,LOS CABOS,329,0329C,82,15,109,1,2,1,9,0,0,219,2,221,419
VIII,LOS CABOS,330,0330B,128,20,158,5,2,3,19,0,0,335,14,349,696
VIII,LOS CABOS,330,0330C1,147,8,120,4,3,1,18,0,0,301,7,308,696
VIII,LOS CABOS,330,0330C2,128,16,126,4,1,0,22,0,0,297,9,306,697
VIII,LOS CABOS,330,0330C3,130,13,130,5,0,11,23,0,0,312,7,319,697
VIII,LOS CABOS,330,0330C4,124,14,141,3,0,5,23,0,0,310,6,316,697
VIII,LOS CABOS,330,0330C5,154,16,139,2,0,0,24,0,0,335,6,341,697
VIII,LOS CABOS,330,0330C6,141,11,135,4,0,2,23,0,0,316,4,320,697
VIII,LOS CABOS,330,0330EXT1,13,4,41,1,0,2,1,0,0,62,4,66,88
VIII,LOS CABOS,330,0330EX2.C1,88,1,130,3,1,0,17,0,0,240,3,243,541
VIII,LOS CABOS,330,0330EX2C2,74,6,129,4,1,3,20,0,0,237,4,241,542
VIII,LOS CABOS,330,0330EXT3,105,15,76,5,0,1,6,0,0,208,5,213,493
VIII,LOS CABOS,330,0330EX3C1,93,8,76,2,0,2,10,0,0,191,1,192,493
VIII,LOS CABOS,330,0330EXT4,91,3,99,1,3,2,5,0,0,204,5,209,406
VIII,LOS CABOS,330,0330EX4C1,91,4,105,3,1,1,3,0,0,208,9,217,406
VIII,LOS CABOS,331,0331B,169,21,117,4,3,10,16,0,0,340,4,344,587
VIII,LOS CABOS,331,0331C,200,15,102,2,2,4,6,0,0,331,2,333,587
VIII,LOS CABOS,332,0332B,109,18,124,1,2,3,7,0,0,264,8,272,598
VIII,LOS CABOS,332,0332C1,103,14,137,3,0,4,11,0,0,272,3,275,599
VIII,LOS CABOS,332,0332C2,121,20,111,4,1,5,13,0,0,275,2,277,599
VIII,LOS CABOS,333,0333B,107,2,110,2,0,1,12,0,0,234,3,237,545
VIII,LOS CABOS,333,0333C1,91,9,106,3,0,4,13,0,0,226,10,236,545
VIII,LOS CABOS,333,0333C2,113,8,95,4,0,2,14,0,0,236,6,242,546
VIII,LOS CABOS,334,0334B,8,11,72,1,0,1,4,0,0,97,5,102,168
VIII,LOS CABOS,334,0334EXT,20,0,11,0,0,0,0,0,0,31,1,32,45
VIII,LOS CABOS,335,0335B,81,17,56,2,0,1,9,0,0,166,2,168,331
VIII,LOS CABOS,336,0336B,52,8,48,2,0,0,6,0,0,116,1,117,238
VIII,LOS CABOS,351,0351B,75,10,62,3,1,2,13,0,0,166,0,166,318
VIII,LOS CABOS,352,0352B,163,20,98,8,1,0,5,0,0,295,2,297,557
IX  ,COMONDU,1,001B,91,153,150,4,2,0,1,1,0,402,,402,677
IX  ,COMONDU,2,002B,50,61,71,7,0,,1,0,0,190,,190,322
IX  ,COMONDU,3,003B,91,67,90,6,0,,3,2,0,259,,259,400
IX  ,COMONDU,3,003C,89,72,70,6,0,,1,0,0,238,,238,401
IX  ,COMONDU,4,004B,146,112,150,4,0,,2,2,0,416,,416,685
IX  ,COMONDU,4,004ESP,39,50,48,1,0,,2,2,0,142,,142,
IX  ,COMONDU,5,005B,81,104,77,5,0,,1,3,0,271,,271,442
IX  ,COMONDU,5,005C,65,102,74,8,1,,4,0,0,254,,254,443
IX  ,COMONDU,6,006B,25,74,26,1,1,,0,1,0,128,,128,397
IX  ,COMONDU,6,006C,29,50,38,5,0,,1,1,0,124,,124,398
IX  ,COMONDU,7,007B,155,148,114,6,0,,1,3,0,427,,427,679
IX  ,COMONDU,8,008B,112,92,112,6,0,,1,10,0,333,,333,594
IX  ,COMONDU,9,009B,104,82,95,8,0,,2,2,0,293,,293,576
IX  ,COMONDU,10,010B,67,70,80,4,1,,1,0,0,223,,223,423
IX  ,COMONDU,10,010C,67,69,73,4,0,,1,0,0,214,,214,424
IX  ,COMONDU,11,011B,92,106,93,5,0,,2,0,0,298,,298,520
IX  ,COMONDU,12,012B,73,72,81,2,2,,2,3,0,235,,235,404
IX  ,COMONDU,13,013B,116,124,101,7,0,0,1,2,0,351,,351,575
IX  ,COMONDU,14,014B,87,120,98,2,0,0,2,2,0,311,,311,542
IX  ,COMONDU,15,015B,137,124,146,6,3,0,2,2,0,420,,420,702
IX  ,COMONDU,16,016B,71,102,56,5,0,0,3,1,0,238,,238,379
IX  ,COMONDU,16,016C,76,92,62,3,0,0,1,1,0,235,,235,379
IX  ,COMONDU,17,017B,62,105,95,2,0,0,4,4,0,272,,272,428
IX  ,COMONDU,33,033B,35,126,73,4,0,0,1,3,0,242,,242,362
IX  ,COMONDU,34,034B,43,113,109,7,2,0,7,1,0,282,,282,448
IX  ,COMONDU,35,035B,9,5,25,3,0,0,0,0,0,42,,42,184
IX  ,COMONDU,35,035EXT,37,11,44,1,0,0,0,0,0,93,,93,126
,,,,,,,,,,,,,,,,
X  ,COMONDU,18,018B,83,97,78,8,0,0,3,3,0,272,,272,447
X  ,COMONDU,18,018C,78,86,90,6,1,0,1,6,0,268,,268,447
X  ,COMONDU,19,019B,103,126,153,7,1,0,3,1,0,394,,394,637
X  ,COMONDU,20,020B,61,76,115,1,1,0,3,4,0,261,,261,443
X  ,COMONDU,20,020C,81,59,108,10,0,0,1,1,0,260,,260,443
X  ,COMONDU,21,021B,86,114,85,6,0,0,0,1,0,292,,292,459
X  ,COMONDU,21,021C,71,107,100,14,1,0,0,0,0,293,,293,460
X  ,COMONDU,22,022B,82,58,90,7,1,0,1,3,0,242,,242,419
X  ,COMONDU,22,022C,72,66,100,8,0,0,3,1,0,250,,250,420
X  ,COMONDU,23,023B,95,86,64,12,1,0,2,5,0,265,,265,443
X  ,COMONDU,23,023C,79,94,80,6,0,0,2,7,0,268,,268,443
X  ,COMONDU,24,024B,99,132,114,6,2,0,2,4,0,359,,359,567
X  ,COMONDU,25,025B,69,90,70,7,0,0,1,5,0,242,,242,459
X  ,COMONDU,25,025C,94,78,74,5,1,0,3,2,0,257,,257,460
X  ,COMONDU,26,026B,80,78,100,3,0,0,5,0,0,266,,266,438
X  ,COMONDU,26,026C,77,80,74,5,0,0,0,0,0,236,,236,438
X  ,COMONDU,27,027B,70,135,135,10,1,0,2,1,0,354,,354,629
X  ,COMONDU,28,028B,91,142,126,7,1,0,1,1,0,369,,369,682
X  ,COMONDU,28,028C,81,135,157,12,2,0,1,2,0,390,,390,683
X  ,COMONDU,29,029B,86,108,86,4,0,0,3,2,0,289,,289,478
X  ,COMONDU,29,029C,72,107,86,6,0,0,5,6,,282,,282,479
X  ,COMONDU,30,030B,73,100,135,12,0,0,2,2,,324,,324,584
X  ,COMONDU,30,030C,96,115,109,14,0,0,0,2,,336,,336,584
X  ,COMONDU,31,031B,72,80,96,6,0,0,2,0,,256,,256,468
X  ,COMONDU,31,031C,75,101,78,7,0,0,2,1,,264,,264,468
X  ,COMONDU,32,032B,90,85,62,8,0,0,2,4,,251,,251,399
X  ,COMONDU,32,032C,74,72,74,6,0,0,0,2,,228,,228,399
X  ,COMONDU,36,036B,12,18,80,4,1,0,1,0,,116,,116,192
X  ,COMONDU,36,036EXT,13,11,37,4,0,0,0,0,,65,,65,103
X  ,COMONDU,37,037B,24,49,77,5,0,0,1,1,,157,,157,246
X  ,COMONDU,38,038B,68,29,67,1,0,0,1,1,,167,,167,218
X  ,COMONDU,39,039B,7,25,69,0,0,0,1,0,,102,,102,176
,,,,,,,,,,,,,,,,
XI,COMONDU,40,040B,82,101,155,30,4,0,34,3,0,409,,409,654
XI,COMONDU,41,041B,79,57,79,8,1,0,14,1,0,239,,239,440
XI,COMONDU,41,041C,70,57,64,6,2,0,18,1,0,218,,218,441
XI,COMONDU,42,042B,90,115,127,10,6,0,36,1,0,385,,385,740
XI,COMONDU,43,043B,102,76,102,4,2,0,17,2,0,305,,305,572
XI,COMONDU,44,044B,149,112,135,3,3,0,6,1,0,409,,409,744
XI,COMONDU,45,045B,107,70,94,3,9,0,12,8,0,303,,303,554
XI,COMONDU,46,046B,101,119,106,7,8,0,13,0,0,354,,354,629
XI,COMONDU,47,047B,73,81,124,9,4,0,6,3,0,300,,300,542
XI,COMONDU,48,048B,32,47,144,1,0,0,2,2,0,228,,228,404
XI,COMONDU,48,048C,44,49,132,2,0,0,3,2,0,232,,232,404
XI,COMONDU,48,048EXT,37,11,32,0,0,0,1,0,0,81,,81,122
XI,COMONDU,49,049B,16,15,40,1,0,0,0,0,0,72,,72,135
XI,COMONDU,50,050B,43,39,32,1,2,0,0,4,0,121,,121,230
XI,COMONDU,51,051B,16,61,42,2,1,0,3,0,0,125,,125,284
XI,COMONDU,52,052B,28,88,92,8,4,0,1,1,0,222,,222,390
XI,COMONDU,53,053B,35,112,48,2,0,0,2,2,0,201,,201,336
XI,COMONDU,54,054B,87,92,147,2,2,0,1,2,0,333,,333,705
XI,COMONDU,54,054EXT,11,11,37,0,0,0,1,0,0,60,,60,94
XI,COMONDU,55,055B,49,26,49,3,1,0,1,1,0,130,,130,232
XI,COMONDU,55,055EXT,14,21,58,1,0,0,1,0,0,95,,95,143
XI,COMONDU,56,056B,47,75,44,5,4,0,2,0,0,177,,177,317
XI,COMONDU,57,057B,136,147,70,8,7,0,1,1,0,370,,370,667
XI,COMONDU,58,058B,105,107,106,16,7,0,1,1,0,343,,343,601
XI,COMONDU,59,059B,24,86,100,4,1,0,0,1,0,216,,216,383
XI,COMONDU,59,059C,31,103,79,0,0,0,2,2,0,217,,217,384
XI,COMONDU,60,060B,59,195,125,6,4,0,5,8,0,402,,402,712
XI,COMONDU,61,061B,35,128,131,3,2,0,5,6,0,310,,310,544
XI,COMONDU,61,061C,41,122,122,2,0,0,4,4,0,295,,295,545
XI,COMONDU,62,062B,20,57,13,1,0,0,1,0,0,92,,92,158
XI,COMONDU,63,063B,57,16,39,2,0,0,0,1,0,115,,115,169
XI,COMONDU,64,064B,12,13,16,1,0,0,0,1,0,43,,43,97
XI,COMONDU,65,065B,,,,,,,,,,,,,46
XI,COMONDU,66,066B,27,13,27,0,0,0,1,0,0,68,,68,139
XI,COMONDU,67,067B,133,105,173,1,0,0,0,1,0,413,,413,576
XI,COMONDU,68,068B,124,29,126,1,0,0,1,1,0,282,,282,426
XI,COMONDU,69,069B,94,30,58,4,0,0,1,0,0,187,,187,275
XI,COMONDU,70,070B,70,20,83,6,0,2,0,0,0,181,,181,243
XI,COMONDU,71,071B,16,38,29,0,0,0,2,0,0,85,,85,175
XI,COMONDU,72,072B,59,135,82,0,6,0,0,0,0,282,,282,416
XI,COMONDU,73,073B,54,111,151,1,0,0,2,0,0,319,,319,518
XI,COMONDU,74,074B,13,30,61,7,0,0,1,1,0,113,,113,164
,,,,,,,,,,,,,,,,
XII,LORETO,337,0337B,16,16,23,,,,0,,,55,,55,61
XII,LORETO,338,0338B,203,129,159,,,,4,,,495,,495,684
XII,LORETO,338,0338EXT,35,21,27,,,,3,,,86,,86,129
XII,LORETO,339,0339B,148,85,153,,,,2,,,388,,388,532
XII,LORETO,339,0339C1,158,115,127,,,,4,,,404,,404,533
XII,LORETO,339,0339C2,140,117,141,,,,7,,,405,,405,533
XII,LORETO,340,0340B,177,52,126,,,,5,,,360,,360,507
XII,LORETO,340,0340C,152,71,147,,,,5,,,375,,375,508
XII,LORETO,341,0341B,148,77,90,,,,3,,,318,,318,458
XII,LORETO,341,0341C,132,115,85,,,,1,,,333,,333,459
XII,LORETO,342,0342B,134,67,109,,,,4,,,314,,314,442
XII,LORETO,342,0342C,120,64,130,,,,7,,,321,,321,442
XII,LORETO,342,0342ESP,0,0,0,,,,0,,,0,,0,0
XII,LORETO,343,0343B,101,41,76,,,,1,,,219,,219,291
XII,LORETO,344,0344B,149,67,129,,,,2,,,347,,347,471
XII,LORETO,344,0344C,127,117,130,,,,5,,,379,,379,472
XII,LORETO,345,0345B,41,18,38,,,,0,,,97,,97,139
XII,LORETO,345,0345EXT,44,3,33,,,,1,,,81,,81,114
XII,LORETO,346,0346B,17,22,57,,,,1,,,97,,97,128
XII,LORETO,346,0346EXT,64,14,52,,,,2,,,132,,132,169
XII,LORETO,347,0347B,19,48,64,,,,0,,,131,,131,189
,,,,,,,,,,,,,,,,
XIII , MULEGE,75,0075B,32,135,107,0,0,3,5,0,0,282,5,287,487
XIII , MULEGE,76,0076B,49,166,101,0,0,3,3,0,0,322,0,322,562
XIII , MULEGE,76,0076C,38,145,137,0,0,4,4,0,0,328,1,329,563
XIII , MULEGE,77,0077B,45,199,111,0,0,0,3,0,0,358,4,362,616
XIII , MULEGE,77,0077ESP,11,48,45,0,0,0,1,0,0,105,1,106,0
XIII , MULEGE,78,0078B,31,149,57,0,0,2,16,0,0,255,3,258,448
XIII , MULEGE,78,0078C,13,159,69,0,0,1,11,0,0,253,10,263,449
XIII , MULEGE,79,0079B,51,203,114,0,0,6,4,0,0,378,8,386,640
XIII , MULEGE,80,0080B,35,142,88,0,0,3,2,0,0,270,6,276,507
XIII , MULEGE,80,0080C,30,143,87,0,0,3,8,0,0,271,6,277,507
XIII , MULEGE,81,0081B,45,208,84,0,0,2,4,0,0,343,8,351,556
XIII , MULEGE,82,0082B,12,181,81,0,0,10,13,0,0,297,7,304,471
XIII , MULEGE,82,0082C,32,162,82,0,0,2,7,0,0,285,6,291,471
XIII , MULEGE,83,0083B,24,112,84,0,0,2,2,0,0,224,7,231,397
XIII , MULEGE,83,0083C,14,137,65,0,0,0,3,0,0,219,4,223,397
XIII , MULEGE,83,0083EXT,42,214,96,0,0,1,15,0,0,368,2,370,565
XIII , MULEGE,84,0084B,21,44,44,0,0,0,6,0,0,115,3,118,364
XIII , MULEGE,85,0085B,19,111,105,0,0,2,16,0,0,253,21,274,430
XIII , MULEGE,85,0085EXT1,1,6,34,0,0,2,0,0,0,43,3,46,89
XIII , MULEGE,85,0085EXT2,9,78,60,0,0,3,0,0,0,150,9,159,486
XIII , MULEGE,86,0086B,3,48,22,0,0,2,0,0,0,75,3,78,132
XIII , MULEGE,87,0087B,19,29,111,0,0,3,1,0,0,163,4,167,297
XIII , MULEGE,88,0088B,15,121,244,0,0,2,3,0,0,385,12,397,723
XIII , MULEGE,89,0089B,21,73,112,0,0,1,0,0,0,207,5,212,379
XIII , MULEGE,89,0089C,15,68,119,0,0,0,0,0,0,202,2,204,379
XIII , MULEGE,90,0090B,13,182,140,0,0,2,5,0,0,342,4,346,643
XIII , MULEGE,91,0091B,14,80,65,0,0,2,2,,0,163,0,163,262
,,,,,,,,,,,,,,,,
XIV , MULEGE,92,092B,19,76,172,,,,,,,267,6,273,505
XIV , MULEGE,93,093B,14,89,188,,,,2,,,293,12,305,607
XIV , MULEGE,94,094B,29,93,108,,,,,,,230,6,236,603
XIV , MULEGE,94,094C1,34,89,112,,,,,,,235,9,244,603
XIV , MULEGE,94,094C2,36,92,124,,,1,1,,,254,0,254,603
XIV , MULEGE,95,095B,34,71,111,,,1,,,,217,11,228,612
XIV , MULEGE,95,095C,18,77,130,,,,,,,225,8,233,612
XIV , MULEGE,96,096B,26,73,107,,,,1,,,207,5,212,670
XIV , MULEGE,96,096C,13,71,93,,,,,,,177,6,183,670
XIV , MULEGE,97,097B,22,74,132,,,,,,,228,6,234,435
XIV , MULEGE,97,097C,20,75,125,,,,,,,220,5,225,436
XIV , MULEGE,98,098B,21,69,169,,,,,,,259,4,263,534
XIV , MULEGE,98,098C,18,77,165,,,,1,,,261,4,265,535
XIV , MULEGE,98,098ESP,9,22,32,,,,,,,63,2,65,
XIV , MULEGE,99,099B,6,100,67,,,,,,,173,6,179,304
XIV , MULEGE,100,100B,5,8,16,,,,,,,29,1,30,56
XIV , MULEGE,101,101B,6,44,33,,,,,,,83,3,86,299
XIV , MULEGE,101,101EXT,10,3,3,,,,,,,16,0,16,40
XIV , MULEGE,102,102B,9,41,65,,,,,,,115,6,121,465
XIV , MULEGE,103,103B,36,212,176,,,,,,,424,4,428,697
XIV , MULEGE,104,104B,58,96,116,,,,,,,270,23,293,584
XIV , MULEGE,104,104C1,57,96,111,,,,1,,,265,12,277,584
XIV , MULEGE,104,104C2,47,135,101,,,,,,,283,4,287,584
XIV , MULEGE,104,104EXT,7,15,14,,,,,,,36,1,37,280
XIV , MULEGE,104,104ESP,3,104,18,,,,1,,,126,2,128,
,,,,,,,,,,,,,,,,
XV , MULEGE,105,0105B,17,26,19,,,0,0,,,62,3,65,193
XV , MULEGE,106,0106B,20,21,2,,,0,0,,,43,2,45,94
XV , MULEGE,107,0107B,28,121,84,,,0,0,,,233,12,245,484
XV , MULEGE,108,0108B,65,115,152,,,1,1,,,334,11,345,602
XV , MULEGE,109,0109B,37,98,130,,,1,2,,,268,9,277,507
XV , MULEGE,109,0109EXT,7,20,8,,,1,0,,,36,1,37,58
XV , MULEGE,110,0110B,5,39,13,,,0,0,,,57,3,60,123
XV , MULEGE,110,0110EXT,1,5,20,,,0,0,,,26,0,26,78
XV , MULEGE,111,0111B,7,53,55,,,0,0,,,115,3,118,201
XV , MULEGE,112,0112B,14,172,108,,,0,1,,,295,11,306,504
XV , MULEGE,113,0113B,17,97,75,,,0,0,,,189,10,199,351
XV , MULEGE,114,0114B,15,166,242,,,1,1,,,425,5,430,625
XV , MULEGE,115,0115B,12,28,60,,,0,0,,,100,3,103,128
XV , MULEGE,115,0115EXT,5,12,21,,,0,0,,,38,0,38,49
XV , MULEGE,116,0116B,51,103,123,,,0,0,,,277,5,282,449
XV , MULEGE,116,0116C,44,123,126,,,1,1,,,295,9,304,449
XV , MULEGE,117,0117B,8,104,30,,,1,0,,,143,1,144,210
XV , MULEGE,117,0117EXT,2,30,19,,,0,0,,,51,2,53,96
XV , MULEGE,118,0118B,2,25,33,,,0,0,,,60,2,62,125
XV , MULEGE,118,0118EXT,0,3,32,,,1,0,,,36,7,43,194
XV , MULEGE,119,0119B,6,37,74,,,0,1,,,118,6,124,218
XV , MULEGE,120,0120B,16,165,164,,,0,4,,,349,3,352,518
