CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,BRE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,293,2,178,196,102,7,7,30,11,8,1,0,10,0,550,28,578,1007
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,294,3,503,242,97,9,4,51,4,1,0,0,19,2,932,20,952,1509
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,295,4,499,379,189,17,14,131,5,9,1,0,20,3,1267,46,1313,2513
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,296,3,349,401,169,13,16,91,5,5,0,0,16,0,1065,24,1089,1840
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,297,2,161,183,84,13,8,31,2,0,0,0,4,2,488,14,502,812
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,316,5,852,247,56,16,8,60,6,4,1,0,28,3,1281,28,1309,3327
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,317,3,289,161,106,6,3,47,2,0,0,0,14,7,635,25,660,2090
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,318,3,438,190,129,13,2,76,6,4,0,0,24,7,889,20,909,1233
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,319,1,97,56,48,2,2,13,0,0,0,0,0,8,226,0,226,541
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,320,3,299,192,124,15,10,45,6,1,0,0,18,9,719,27,746,1923
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,321,3,219,129,124,15,10,31,1,5,0,0,12,4,550,30,580,1558
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,322,3,226,148,111,5,12,62,1,1,0,0,5,4,575,16,591,1554
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,323,2,210,149,85,3,0,32,3,1,0,0,12,3,498,23,521,1371
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,324,3,235,163,155,6,10,59,4,6,0,0,14,3,655,41,696,2018
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,325,3,202,171,145,9,1,78,9,6,2,0,14,2,639,35,674,2134
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,326,2,196,138,78,6,8,22,3,2,0,0,6,0,459,15,474,1218
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,327,3,291,166,112,4,7,40,1,1,0,0,3,1,626,33,659,1729
