CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PRI_PVEM_PD_NVA_ALIANZA,PT,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1024,C03,170,148,9,22,7,0,0,356,5,361,623,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1024C3.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1025,B,13,200,1,9,12,4,0,239,9,248,447,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1025B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1026,B,12,65,2,0,7,0,0,86,6,92,145,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1026B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1027,B,152,191,13,5,3,4,0,368,5,373,633,Grupo de Recuento,,,
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1028,B,109,249,8,7,6,0,0,379,0,379,734,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1028B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1029,B,52,285,7,2,7,1,0,354,10,364,725,Grupo de Recuento,,,
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1030,B,72,175,5,4,7,7,2,270,9,281,457,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1030B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1031,B,59,82,4,3,4,1,0,153,5,158,322,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1031B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1032,B,64,69,5,1,9,2,0,150,6,156,282,Grupo de Recuento,,,
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1033,B,99,104,11,3,8,0,1,225,6,232,401,Grupo de Recuento,,,
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1034,B,135,198,3,5,4,3,1,348,15,364,604,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1034B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1035,B,93,70,3,2,3,2,1,173,7,181,333,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1035B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1036,B,15,50,8,1,0,1,0,75,0,75,115,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1036B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1037,B,119,218,7,7,20,0,0,371,11,382,701,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1037B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1038,B,70,74,4,2,8,1,1,159,0,160,263,Grupo de Recuento,,,
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1039,B,30,83,3,1,6,0,0,123,11,134,327,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1039B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1040,B,193,180,6,2,11,0,0,392,2,394,678,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1040B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1041,B,18,53,4,1,1,2,1,79,9,89,222,Grupo de Recuento,,,
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1042,B,114,123,10,0,0,8,0,255,19,274,442,Grupo de Recuento,,,
