id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PVEM,PC,PRD-PT-PRS,No Registrado,Nulos,Total
18,3/7/2005,12,Ayuntamientos,18,0,115,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,115,11,216,2,1,136,0,23,389
18,3/7/2005,12,Ayuntamientos,18,0,116,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,116,17,195,1,3,207,0,15,438
18,3/7/2005,12,Ayuntamientos,18,0,116,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,116,8,213,0,3,189,0,14,427
18,3/7/2005,12,Ayuntamientos,18,0,117,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,117,9,165,2,0,166,0,10,352
18,3/7/2005,12,Ayuntamientos,18,0,117,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,117,5,152,1,0,163,0,0,321
18,3/7/2005,12,Ayuntamientos,18,0,118,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,118,34,208,1,0,105,0,15,363
18,3/7/2005,12,Ayuntamientos,18,0,118,2,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,118,16,242,2,2,109,0,0,371
18,3/7/2005,12,Ayuntamientos,18,0,118,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,118,21,248,4,1,102,0,13,389
18,3/7/2005,12,Ayuntamientos,18,0,119,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,119,48,221,5,2,165,0,17,458
18,3/7/2005,12,Ayuntamientos,18,0,120,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,120,17,283,3,2,157,0,30,492
18,3/7/2005,12,Ayuntamientos,18,0,120,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,120,22,231,5,1,168,0,15,442
18,3/7/2005,12,Ayuntamientos,18,0,121,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,121,35,291,4,3,179,0,17,529
18,3/7/2005,12,Ayuntamientos,18,0,122,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,122,45,223,7,1,134,0,11,421
18,3/7/2005,12,Ayuntamientos,18,0,123,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,123,39,136,2,2,105,0,9,293
18,3/7/2005,12,Ayuntamientos,18,0,124,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,124,70,197,11,5,86,0,15,384
18,3/7/2005,12,Ayuntamientos,18,0,125,1,C,Contigua,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,125,74,123,2,6,89,0,18,312
18,3/7/2005,12,Ayuntamientos,18,0,125,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,125,68,162,2,4,67,0,12,315
18,3/7/2005,12,Ayuntamientos,18,0,126,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,126,80,220,3,2,102,0,12,419
18,3/7/2005,12,Ayuntamientos,18,0,127,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,127,105,229,5,6,94,0,13,452
18,3/7/2005,12,Ayuntamientos,18,0,128,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,128,141,268,5,1,135,2,14,566
18,3/7/2005,12,Ayuntamientos,18,0,129,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,129,114,128,4,1,79,0,13,339
18,3/7/2005,12,Ayuntamientos,18,0,129,1,C,Contigua,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,129,100,142,2,2,85,0,12,343
18,3/7/2005,12,Ayuntamientos,18,0,130,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,130,113,173,2,4,70,0,14,376
18,3/7/2005,12,Ayuntamientos,18,0,131,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,131,112,206,5,7,65,0,8,403
18,3/7/2005,12,Ayuntamientos,18,0,132,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,132,89,209,2,7,129,1,16,453
18,3/7/2005,12,Ayuntamientos,18,0,133,1,C,Contigua,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,133,24,144,1,8,114,0,0,291
18,3/7/2005,12,Ayuntamientos,18,0,133,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,133,36,155,6,6,74,0,11,288
18,3/7/2005,12,Ayuntamientos,18,0,134,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,134,87,285,5,3,110,0,19,509
18,3/7/2005,12,Ayuntamientos,18,0,135,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,135,96,256,7,4,125,1,13,502
18,3/7/2005,12,Ayuntamientos,18,0,136,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,136,106,221,2,5,129,0,18,481
18,3/7/2005,12,Ayuntamientos,18,0,137,1,E,Extraordinaria,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,137,42,129,2,3,103,0,1,280
18,3/7/2005,12,Ayuntamientos,18,0,137,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,137,77,127,2,1,75,0,7,289
18,3/7/2005,12,Ayuntamientos,18,0,138,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,138,39,102,2,0,84,0,9,236
18,3/7/2005,12,Ayuntamientos,18,0,139,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,139,19,86,17,7,139,2,9,279
18,3/7/2005,12,Ayuntamientos,18,0,140,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,140,15,155,1,5,124,3,10,313
18,3/7/2005,12,Ayuntamientos,18,0,141,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,141,27,177,17,5,43,0,16,285
18,3/7/2005,12,Ayuntamientos,18,0,142,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,142,10,60,1,0,18,0,1,90
18,3/7/2005,12,Ayuntamientos,18,0,143,1,E,Extraordinaria,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,143,4,62,0,0,1,0,0,67
18,3/7/2005,12,Ayuntamientos,18,0,143,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,143,5,70,0,4,25,0,1,105
18,3/7/2005,12,Ayuntamientos,18,0,144,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,144,10,127,0,1,148,0,14,300
18,3/7/2005,12,Ayuntamientos,18,0,145,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,145,7,134,0,2,147,0,5,295
18,3/7/2005,12,Ayuntamientos,18,0,145,1,E,Extraordinaria,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,145,6,34,3,1,27,0,6,77
18,3/7/2005,12,Ayuntamientos,18,0,146,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,146,13,51,2,1,28,0,0,95
18,3/7/2005,12,Ayuntamientos,18,0,147,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,147,8,80,6,1,102,0,10,207
18,3/7/2005,12,Ayuntamientos,18,0,148,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,148,20,171,1,1,165,0,11,369
18,3/7/2005,12,Ayuntamientos,18,0,149,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,149,31,126,0,0,148,0,6,311
18,3/7/2005,12,Ayuntamientos,18,0,150,1,B,Basica,0,5,COMPOSTELA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,150,14,98,0,1,162,0,11,286
