CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PVEM_PRI_PD_NVA_ALIANZA,PRI,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,1,DURANGO,5,DURANGO,132,C01,141,,129,22,4,,3,5,14,4,6,,,,,,,0,328,12,340,672,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0132C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,132,C02,159,,131,20,5,,2,13,10,5,14,,,,,,,0,359,12,371,671,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0132C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,133,B,129,,123,19,3,,1,6,6,9,8,,,,,,,0,304,12,316,683,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0133B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,133,C01,149,,120,24,7,,2,6,10,3,7,,,,,,,0,328,10,338,683,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0133C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,133,C02,121,,135,25,3,,1,5,9,3,10,,,,,,,0,312,10,322,683,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0133C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,134,B,174,,101,26,9,,1,6,11,3,6,,,,,,,11,337,11,359,588,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0134B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,134,C01,99,,89,25,7,,6,11,12,5,12,,,,,,,0,266,11,277,588,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0134C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,135,B,208,,117,26,6,,2,13,11,2,13,,,,,,,1,398,7,406,695,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0135B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,135,C01,191,,96,18,4,,1,3,15,3,16,,,,,,,0,347,9,356,695,Grupo de Recuento,,,
1,10,DURANGO,1,DURANGO,5,DURANGO,135,C02,174,,101,26,9,,1,6,11,3,0,,,,,,,11,331,11,353,695,Grupo de Recuento,,,
