CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,359,C01,138,206,10,4,3,58,6,7,0,4,5,3,0,1,0,0,0,0,0,445,12,457,711,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,359,C02,116,227,6,11,0,58,5,6,0,5,2,5,0,0,0,0,0,0,1,441,5,447,711,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,359,C03,132,205,3,5,1,65,5,11,0,4,1,3,0,0,0,0,0,0,0,435,15,450,711,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,359,C04,143,188,6,10,2,55,2,9,0,3,0,5,0,0,0,0,0,0,0,423,17,440,711,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,359,C05,114,224,4,5,1,47,2,19,0,4,4,3,1,0,0,0,0,0,0,428,10,438,710,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,360,B,115,154,2,3,2,24,2,7,0,27,1,5,2,0,0,0,0,0,0,344,0,344,614,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,360,C01,114,145,1,10,8,25,5,0,0,6,0,3,1,0,0,0,0,0,0,318,0,318,614,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,360,C02,115,133,2,6,3,31,5,6,0,4,0,7,0,0,0,0,0,0,0,312,5,317,614,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,361,B,101,117,4,5,3,11,2,6,0,5,1,5,0,0,0,0,0,0,1,260,10,271,476,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,361,C01,104,105,1,3,2,11,0,6,0,1,2,2,0,0,0,0,0,0,0,237,8,245,476,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,362,B,126,158,5,5,3,16,1,3,0,4,0,13,2,0,0,0,0,0,0,336,8,344,731,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,362,C01,145,145,5,4,7,13,4,3,0,4,1,2,0,0,0,0,0,0,0,333,11,344,731,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,363,B,155,212,0,6,0,10,7,6,0,0,3,5,1,0,0,0,0,0,0,405,9,414,734,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,364,B,114,119,2,4,1,16,2,9,0,3,2,8,0,0,0,0,0,0,0,280,18,298,623,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,364,C01,118,145,2,2,3,23,6,7,0,7,1,2,0,0,0,0,0,0,0,316,6,322,623,Acta casilla,,,
