CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,335,C02,104,135,4,4,2,4,1,0,0,0,7,0,261,6,267,541,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,336,B,72,139,4,1,3,4,2,7,0,1,4,0,237,10,247,521,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,336,C01,94,137,1,3,4,3,4,3,2,1,4,0,256,6,262,520,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,336,C02,116,109,4,2,4,2,2,4,8,0,5,0,256,5,261,520,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,138,B,124,86,19,8,51,17,12,17,5,2,3,0,344,17,361,647,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,138,C01,143,87,10,10,32,27,6,8,4,11,4,0,342,12,354,647,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,138,C02,137,93,12,7,48,19,10,12,10,6,3,3,357,11,371,646,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,138,C03,132,74,19,3,37,20,8,6,7,2,3,0,311,13,324,646,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,138,C04,141,70,14,16,43,28,10,12,3,2,5,0,344,13,357,646,Acta Casilla,,,
5,6,COLIMA,7,NO ESTABLECIDO ACUERDO 27/2014,5,VILLA DE ALVAREZ,138,C05,136,88,16,6,26,24,7,6,3,3,6,0,321,10,331,646,Acta Casilla,,,
