CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2122,3,COQUIMATLAN,109,2,299,315,4,2,12,16,11,0,3,2,6,1,670,13,684,912
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2123,3,COQUIMATLAN,110,2,328,291,6,5,14,36,5,5,3,3,3,0,699,19,718,1039
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2124,3,COQUIMATLAN,111,3,596,748,18,8,30,51,7,6,11,5,17,0,1497,20,1517,2153
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2125,3,COQUIMATLAN,112,2,65,146,1,3,5,21,0,2,0,1,4,0,248,7,255,330
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2126,3,COQUIMATLAN,113,1,106,140,3,7,6,5,1,1,3,0,0,0,272,12,284,391
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2127,3,COQUIMATLAN,114,1,68,86,1,0,4,3,1,3,0,0,0,0,166,2,168,223
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2128,3,COQUIMATLAN,115,1,48,123,3,4,2,5,1,2,2,1,1,0,192,5,197,292
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2129,3,COQUIMATLAN,116,3,382,368,3,2,8,35,5,1,5,11,11,0,831,25,856,1381
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2130,3,COQUIMATLAN,117,2,236,250,1,2,4,18,0,2,2,0,7,0,522,14,536,834
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2131,3,COQUIMATLAN,118,2,126,219,1,2,8,19,2,1,4,3,5,0,390,10,400,612
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2132,3,COQUIMATLAN,119,2,92,173,3,5,22,22,2,0,11,1,1,0,332,7,339,508
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2133,4,CUAUHTEMOC,120,3,330,649,110,9,23,19,19,10,13,0,13,0,1195,40,1235,1938
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2134,4,CUAUHTEMOC,121,2,247,335,42,4,17,16,10,7,8,0,3,0,689,22,711,1075
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2135,4,CUAUHTEMOC,122,2,195,326,55,4,15,23,13,5,3,0,6,0,645,21,666,1024
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2136,4,CUAUHTEMOC,123,2,301,426,70,2,20,22,13,18,6,0,15,0,893,31,924,1394
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2137,4,CUAUHTEMOC,124,3,295,545,75,10,23,17,22,8,5,0,7,0,1007,18,1025,1570
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2138,4,CUAUHTEMOC,125,3,383,322,52,6,12,12,10,14,14,0,2,1,827,21,849,1308
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2139,4,CUAUHTEMOC,126,3,463,346,80,7,11,21,6,22,14,0,10,0,980,12,992,1587
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2140,4,CUAUHTEMOC,127,2,347,255,53,9,15,16,7,15,9,0,2,0,728,7,735,1109
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2141,4,CUAUHTEMOC,128,2,260,200,40,6,11,6,1,7,5,0,2,0,538,12,550,832
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2142,4,CUAUHTEMOC,129,2,293,251,44,3,11,10,3,13,11,0,4,0,643,10,653,940
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2143,4,CUAUHTEMOC,130,2,257,280,56,5,10,20,8,17,7,0,4,0,664,19,683,1015
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2144,4,CUAUHTEMOC,131,3,344,313,41,11,10,16,9,12,18,0,6,0,780,20,800,1228
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2145,4,CUAUHTEMOC,132,3,313,497,181,10,10,11,6,7,17,0,8,0,1060,29,1089,1542
5,6,COLIMA,6,NO ESTABLECIDO ACUERDO 27/2146,4,CUAUHTEMOC,133,2,232,258,32,3,7,0,1,3,0,0,4,0,540,17,557,794
