SECCION ,DF,DL,MUNICIPIO,PAN,PRI,ALIANZA,PT,PVEM,PCD,PARM,DS,VOTOS NULOS,TOTAL,PADRÓN,LISTANOMINAL
869,9,25,LINARES,211,393,25,13,190,2,8,0,40,882,1338,1323
870,9,25,LINARES,35,84,5,6,98,0,0,0,12,240,390,386
871,9,25,LINARES,296,418,35,77,176,2,1,0,39,1044,1586,1575
872,9,25,LINARES,230,376,43,5,127,2,2,0,19,804,1247,1235
873,9,25,LINARES,227,363,40,18,203,4,3,0,19,877,1299,1290
874,9,25,LINARES,105,155,47,9,88,5,4,0,5,418,609,605
875,9,25,LINARES,155,191,29,12,99,9,4,0,5,504,779,774
876,9,25,LINARES,200,367,41,14,150,4,1,0,30,807,1341,1315
877,9,25,LINARES,102,147,7,4,66,1,2,0,6,335,555,552
878,9,25,LINARES,126,159,17,8,60,2,1,0,14,387,668,660
879,9,25,LINARES,198,270,19,21,162,7,2,0,31,710,1237,1223
880,9,25,LINARES,189,225,26,8,82,1,1,0,20,552,959,945
881,9,25,LINARES,121,433,6,6,167,6,4,0,42,785,1330,1317
882,9,25,LINARES,183,334,21,13,127,2,4,0,40,724,1205,1188
883,9,25,LINARES,180,328,10,15,92,4,1,0,25,655,1042,1025
884,9,25,LINARES,153,229,17,11,144,4,3,0,29,590,1036,1021
885,9,25,LINARES,118,309,21,11,107,1,1,0,20,588,919,909
886,9,25,LINARES,261,598,20,30,189,8,2,0,42,1150,1822,1804
887,9,25,LINARES,209,337,28,18,98,27,2,0,33,752,1266,1249
888,9,25,LINARES,95,230,13,6,110,2,1,0,21,478,846,836
889,9,25,LINARES,98,242,10,9,68,2,12,0,33,474,745,740
890,9,25,LINARES,15,61,2,2,31,0,1,0,6,118,173,171
891,9,25,LINARES,27,49,6,1,34,0,0,0,10,127,208,206
892,9,25,LINARES,22,134,6,5,28,0,3,0,14,212,421,420
893,9,25,LINARES,16,103,4,1,71,0,1,0,12,208,332,327
894,9,25,LINARES,18,49,0,3,20,0,0,0,42,132,266,264
895,9,25,LINARES,93,104,2,2,55,0,0,0,22,278,526,514
896,9,25,LINARES,18,92,0,1,53,0,0,0,11,175,304,301
897,9,25,LINARES,145,252,7,6,167,0,12,0,21,610,1174,1153
898,9,25,LINARES,66,335,2,9,49,2,6,0,24,493,883,867
899,9,25,LINARES,18,202,3,0,30,0,0,0,10,263,420,415
900,9,25,LINARES,21,222,2,7,38,0,0,0,14,304,511,502
901,9,25,LINARES,38,201,4,8,12,0,3,0,25,291,466,463
902,9,25,LINARES,106,434,5,10,77,2,0,0,60,694,1267,1255
903,9,25,LINARES,26,92,3,2,16,6,1,0,15,161,287,285
904,9,25,LINARES,20,118,2,2,14,0,0,0,18,174,433,428
905,9,25,LINARES,0,0,0,0,0,0,0,0,0,0,46,46
906,9,25,LINARES,31,121,2,6,35,4,0,0,23,222,419,407
907,9,25,LINARES,83,261,0,11,45,0,2,0,32,434,845,832
908,2,22,MARIN,268,167,0,0,0,0,0,0,3,438,620,618
909,2,22,MARIN,322,147,0,0,0,0,0,0,8,477,595,589
910,2,22,MARIN,500,522,0,0,0,0,0,0,15,1037,1414,1406
911,2,22,MELCHOR OCAMPO,178,177,0,19,0,0,0,0,6,380,514,508
912,2,22,MELCHOR OCAMPO,113,161,0,4,0,0,0,0,6,284,424,416
913,9,26,MIER Y NORIEGA,92,249,6,5,0,0,0,0,0,352,700,695
914,9,26,MIER Y NORIEGA,80,133,3,0,0,0,0,0,6,222,396,392
915,9,26,MIER Y NORIEGA,102,252,47,1,0,0,0,0,6,408,601,594
916,9,26,MIER Y NORIEGA,42,119,9,2,0,0,0,0,6,178,290,288
917,9,26,MIER Y NORIEGA,25,239,39,9,0,0,0,0,14,326,585,583
918,9,26,MIER Y NORIEGA,22,198,1,0,0,0,0,0,13,234,344,341
919,9,26,MIER Y NORIEGA,87,284,38,8,0,0,0,0,14,431,698,694
920,9,26,MIER Y NORIEGA,57,180,2,1,0,0,0,0,0,240,406,401
921,9,26,MIER Y NORIEGA,34,39,1,0,0,0,0,0,3,77,105,103
922,9,26,MIER Y NORIEGA,15,82,0,0,0,0,0,0,3,100,154,149
923,9,26,MIER Y NORIEGA,7,36,0,1,0,0,0,0,0,44,68,68
924,1,20,MINA,238,509,0,229,0,0,0,0,22,998,1420,1402
925,1,20,MINA,205,277,0,69,0,0,0,0,21,572,775,764
926,1,20,MINA,0,0,0,0,0,0,0,0,0,0,37,37
927,1,20,MINA,16,118,0,9,0,0,0,0,3,146,184,178
928,1,20,MINA,7,130,0,7,0,0,0,0,3,147,193,192
929,1,20,MINA,0,0,0,0,0,0,0,0,0,0,42,42
930,1,20,MINA,5,94,0,7,0,0,0,0,2,108,149,149
931,9,24,MONTEMORELOS,72,435,15,6,33,0,0,0,7,568,1485,1466
932,9,24,MONTEMORELOS,156,361,4,23,21,0,0,0,17,582,1130,1118
933,9,24,MONTEMORELOS,354,579,6,32,57,0,0,0,27,1055,1623,1615
934,9,24,MONTEMORELOS,370,400,5,10,46,0,0,0,17,848,1197,1190
935,9,24,MONTEMORELOS,360,440,8,38,42,0,0,0,18,906,1371,1367
936,9,24,MONTEMORELOS,275,336,9,16,27,0,0,0,16,679,965,958
937,9,24,MONTEMORELOS,201,328,18,15,39,0,0,0,11,612,894,887
938,9,24,MONTEMORELOS,367,491,2,21,28,0,0,0,39,948,1535,1528
939,9,24,MONTEMORELOS,687,815,13,23,47,0,0,0,33,1618,2513,2492
940,9,24,MONTEMORELOS,457,358,8,14,15,0,0,0,23,875,1330,1320
