MUNICIPIO,SECCION,TIPO DE CASILLA,LISTA NOMINAL,PAN,CA,PRD,PT,PSN,PAS,CONVERGENCIA,MEXICOPOSIBLE,VOTOS NULOS,TOTAL
GRAL. ESCOBEDO,492,CONTIGUA 3,635,139,194,4,8,,,,2,4,351
GRAL. ESCOBEDO,492,CONTIGUA 4,635,146,169,1,12,,,,1,4,333
GRAL. ESCOBEDO,493,BASICA,656,66,174,1,23,,,,3,10,277
GRAL. ESCOBEDO,493,CONTIGUA 1,656,63,186,1,8,,,,0,11,269
GRAL. ESCOBEDO,493,CONTIGUA 2,656,51,174,2,14,,,,0,11,252
GRAL. ESCOBEDO,493,CONTIGUA 3,657,57,199,18,5,,,,0,3,282
GRAL. ESCOBEDO,493,CONTIGUA 4,657,53,155,1,15,,,,2,15,241
GRAL. ESCOBEDO,493,CONTIGUA 5,657,65,191,1,16,,,,1,6,280
GRAL. ESCOBEDO,493,EXTRAORDINARIA 1,576,193,173,6,6,,,,4,1,383
GRAL. TERÁN,494,BASICA,709,208,202,,28,,,,,6,444
GRAL. TERÁN,494,CONTIGUA 1,710,206,179,,24,,,,,10,419
GRAL. TERÁN,495,BASICA,740,160,225,,24,,,,,14,423
GRAL. TERÁN,495,CONTIGUA 1,741,170,167,,27,,,,,11,375
GRAL. TERÁN,496,BASICA,519,128,159,,8,,,,,7,302
GRAL. TERÁN,496,CONTIGUA 1,519,113,176,,13,,,,,2,304
GRAL. TERÁN,497,BASICA,549,132,138,,38,,,,,1,309
GRAL. TERÁN,497,CONTIGUA 1,550,132,100,,34,,,,,10,276
GRAL. TERÁN,498,BASICA,163,35,56,,4,,,,,0,95
GRAL. TERÁN,499,BASICA,93,19,18,,11,,,,,0,48
GRAL. TERÁN,500,BASICAFUSIONADA,37,6,8,,1,,,,,2,17
GRAL. TERÁN,501,BASICAFUSIONADA,35,4,4,,4,,,,,2,14
GRAL. TERÁN,502,BASICA,707,109,252,,27,,,,,9,397
GRAL. TERÁN,503,BASICA,524,114,83,,49,,,,,5,251
GRAL. TERÁN,504,BASICA,318,75,72,,14,,,,,7,168
GRAL. TERÁN,505,BASICA,419,78,147,,9,,,,,9,243
GRAL. TERÁN,505,CONTIGUA 1,420,105,116,,13,,,,,6,240
GRAL. TERÁN,506,BASICA,460,90,104,,9,,,,,6,209
GRAL. TERÁN,507,BASICA,672,153,174,,22,,,,,9,358
GRAL. TERÁN,508,BASICA,434,90,131,,15,,,,,5,241
GRAL. TERÁN,508,CONTIGUA 1,434,91,149,,14,,,,,6,260
GRAL. TERÁN,509,BASICA,715,149,214,,13,,,,,4,380
GRAL. TERÁN,510,BASICA,78,9,38,,0,,,,,1,48
GRAL. TERÁN,511,BASICA,79,14,33,,2,,,,,3,52
GRAL. TERÁN,512,BASICA,78,36,11,,2,,,,,0,49
GRAL. TERÁN,513,BASICA,284,27,106,,10,,,,,4,147
GRAL. TERÁN,514,BASICA,472,75,152,,18,,,,,8,253
GRAL. TREVIÑO,515,BASICA,144,29,45,23,,,,,,1,98
GRAL. TREVIÑO,516,BASICA,699,105,263,69,,,,,,11,448
GRAL. TREVIÑO,517,BASICA,399,78,137,63,,,,,,2,280
GRAL. TREVIÑO,517,CONTIGUA 1,399,72,149,43,,,,,,6,270
GRAL. ZARAGOZA,518,BASICA,443,135,181,0,,,,,,126,442
GRAL. ZARAGOZA,518,CONTIGUA 1,444,132,170,6,,,,,,10,318
GRAL. ZARAGOZA,519,BASICA,593,155,227,4,,,,,,17,403
GRAL. ZARAGOZA,519,CONTIGUA 1,593,193,229,7,,,,,,12,441
GRAL. ZARAGOZA,520,BASICA,173,20,69,0,,,,,,0,89
GRAL. ZARAGOZA,521,BASICA,72,36,9,1,,,,,,2,48
GRAL. ZARAGOZA,521,EXTRAORDINARIA 1,143,44,23,0,,,,,,1,68
GRAL. ZARAGOZA,522,BASICA,351,81,137,0,,,,,,17,235
GRAL. ZARAGOZA,522,EXTRAORDINARIA 1,278,79,113,0,,,,,,10,202
GRAL. ZUAZUA,523,BASICA,501,95,191,,66,,,,,6,358
GRAL. ZUAZUA,523,CONTIGUA 1,501,139,187,,34,,,,,5,365
GRAL. ZUAZUA,524,BASICA,653,200,231,,66,,,,,4,501
GRAL. ZUAZUA,524,CONTIGUA 1,654,177,238,,63,,,,,9,487
GRAL. ZUAZUA,525,BASICA,572,130,201,,75,,,,,9,415
GRAL. ZUAZUA,525,CONTIGUA 1,573,124,200,,75,,,,,10,409
GRAL. ZUAZUA,525,CONTIGUA 2,573,103,201,,93,,,,,11,408
GUADALUPE,526,BASICA,395,108,91,1,6,,1,,,3,210
GUADALUPE,527,BASICA,730,178,202,7,11,,0,,,12,410
GUADALUPE,528,BASICA,470,121,112,4,7,,0,,,7,251
GUADALUPE,528,CONTIGUA 1,470,109,116,5,13,,1,,,13,257
GUADALUPE,529,BASICA,499,116,143,1,3,,1,,,6,270
GUADALUPE,530,BASICA,441,127,105,0,7,,2,,,3,244
GUADALUPE,531,BASICA,648,111,145,2,16,,1,,,30,305
GUADALUPE,532,BASICA,381,69,92,1,12,,1,,,11,186
GUADALUPE,532,CONTIGUA 1,381,87,83,3,9,,2,,,5,189
GUADALUPE,533,BASICA,724,151,187,0,12,,2,,,14,366
GUADALUPE,533,CONTIGUA 1,725,142,174,0,16,,2,,,8,342
GUADALUPE,534,BASICA,405,133,101,2,10,,1,,,6,253
GUADALUPE,534,CONTIGUA 1,405,107,105,0,0,,0,,,8,220
GUADALUPE,535,BASICA,653,206,152,5,14,,2,,,6,385
GUADALUPE,535,CONTIGUA 1,653,211,140,3,22,,1,,,6,383
GUADALUPE,536,BASICA,610,190,154,6,24,,0,,,0,374
GUADALUPE,536,CONTIGUA 1,611,196,180,10,11,,0,,,3,400
GUADALUPE,537,BASICA,650,198,167,5,19,,1,,,8,398
GUADALUPE,537,CONTIGUA 1,651,235,122,5,13,,0,,,1,376
GUADALUPE,537,CONTIGUA 2,651,191,166,3,19,,0,,,6,385
GUADALUPE,538,BASICA,631,161,164,1,21,,1,,,7,355
GUADALUPE,538,CONTIGUA 1,631,167,136,3,20,,3,,,4,333
GUADALUPE,538,CONTIGUA 2,631,155,149,1,26,,1,,,4,336
GUADALUPE,539,BASICA,599,139,151,3,8,,0,,,8,309
GUADALUPE,539,CONTIGUA 1,599,131,160,8,9,,1,,,11,320
GUADALUPE,539,CONTIGUA 2,,,,,,,,,,,
GUADALUPE,540,BASICA,533,135,117,5,7,,0,,,16,280
GUADALUPE,540,CONTIGUA 1,534,176,116,3,14,,1,,,7,317
GUADALUPE,541,BASICA,747,180,174,9,13,,2,,,7,385
GUADALUPE,541,CONTIGUA 1,747,178,190,4,15,,1,,,17,405
GUADALUPE,542,BASICA,610,163,130,5,12,,1,,,5,316
GUADALUPE,542,CONTIGUA 1,611,177,123,5,15,,1,,,17,338
GUADALUPE,543,BASICA,573,114,128,3,8,,0,,,8,261
GUADALUPE,543,CONTIGUA 1,574,112,135,3,11,,0,,,10,271
GUADALUPE,544,BASICA,591,134,144,2,6,,2,,,11,299
GUADALUPE,544,CONTIGUA 1,592,147,136,7,5,,1,,,7,303
GUADALUPE,544,CONTIGUA 2,592,145,165,4,9,,0,,,3,326
GUADALUPE,545,BASICA,602,239,115,4,10,,0,,,6,374
GUADALUPE,546,BASICA,612,162,141,5,8,,0,,,4,320
GUADALUPE,546,CONTIGUA 1,612,129,150,3,6,,0,,,9,297
GUADALUPE,546,CONTIGUA 2,613,140,143,3,9,,1,,,9,305
GUADALUPE,547,BASICA,392,115,78,4,10,,1,,,8,216
GUADALUPE,547,CONTIGUA 1,392,109,101,2,6,,0,,,4,222
GUADALUPE,548,BASICA,627,200,163,8,33,,0,,,4,408
GUADALUPE,548,CONTIGUA 1,627,182,155,6,31,,1,,,5,380
GUADALUPE,548,CONTIGUA 2,628,188,155,6,26,,1,,,4,380
GUADALUPE,549,BASICA,529,161,135,2,16,,1,,,8,323
GUADALUPE,549,CONTIGUA 1,530,146,137,3,17,,0,,,6,309
GUADALUPE,549,CONTIGUA 2,530,182,110,2,11,,0,,,4,309
GUADALUPE,550,BASICA,452,92,104,4,17,,1,,,10,228
GUADALUPE,550,CONTIGUA 1,452,110,123,6,9,,0,,,9,257
GUADALUPE,551,BASICA,569,120,146,2,5,,3,,,7,283
GUADALUPE,551,CONTIGUA 1,570,112,163,0,11,,0,,,8,294
GUADALUPE,552,BASICA,747,267,152,11,13,,1,,,17,461
GUADALUPE,552,CONTIGUA 1,747,259,165,6,14,,2,,,5,451
GUADALUPE,553,BASICA,443,141,104,3,9,,0,,,4,261
GUADALUPE,553,CONTIGUA 1,443,128,101,1,8,,0,,,2,240
GUADALUPE,554,BASICA,516,142,134,7,6,,0,,,7,296
GUADALUPE,554,CONTIGUA 1,516,154,115,7,10,,4,,,6,296
GUADALUPE,554,CONTIGUA 2,517,155,120,2,13,,1,,,9,300
GUADALUPE,555,BASICA,744,178,187,1,5,,0,,,20,391
GUADALUPE,555,CONTIGUA 1,744,197,195,6,11,,2,,,12,423
GUADALUPE,556,BASICA,523,226,110,2,8,,0,,,1,347
GUADALUPE,556,CONTIGUA 1,524,211,114,5,5,,0,,,1,336
GUADALUPE,556,CONTIGUA 2,524,248,108,3,3,,5,,,1,368
GUADALUPE,557,BASICA,469,192,109,5,5,,0,,,0,311
GUADALUPE,557,CONTIGUA 1,470,188,87,4,10,,0,,,3,292
GUADALUPE,558,BASICA,554,167,117,5,8,,4,,,10,311
GUADALUPE,558,CONTIGUA 1,555,135,127,1,4,,3,,,10,280
GUADALUPE,559,BASICA,394,105,98,3,1,,2,,,4,213
GUADALUPE,559,CONTIGUA 1,394,120,85,4,8,,0,,,8,225
GUADALUPE,560,BASICA,628,210,145,4,17,,1,,,4,381
GUADALUPE,560,CONTIGUA 1,628,196,153,2,14,,0,,,9,374
GUADALUPE,560,CONTIGUA 2,628,181,186,3,18,,1,,,8,397
GUADALUPE,561,BASICA,749,168,166,7,25,,0,,,7,373
GUADALUPE,562,BASICA,382,75,78,4,27,,1,,,7,192
GUADALUPE,562,CONTIGUA 1,383,86,83,1,34,,0,,,8,212
GUADALUPE,563,BASICA,442,127,101,0,16,,0,,,10,254
GUADALUPE,563,CONTIGUA 1,442,107,106,2,24,,0,,,6,245
GUADALUPE,564,BASICA,377,126,78,1,13,,1,,,6,225
GUADALUPE,564,CONTIGUA 1,377,101,104,1,7,,0,,,7,220
GUADALUPE,565,BASICA,660,178,152,8,20,,3,,,11,372
GUADALUPE,566,BASICA,607,108,170,1,18,,2,,,15,314
GUADALUPE,567,BASICA,647,157,172,4,16,,0,,,7,356
GUADALUPE,568,BASICA,638,140,170,4,13,,1,,,12,340
GUADALUPE,568,CONTIGUA 1,638,147,148,6,12,,2,,,7,322
GUADALUPE,569,BASICA,551,125,138,1,9,,1,,,5,279
GUADALUPE,569,CONTIGUA 1,551,129,154,3,5,,0,,,11,302
GUADALUPE,570,BASICA,542,148,126,1,8,,2,,,1,286
GUADALUPE,570,CONTIGUA 1,543,94,148,3,27,,0,,,3,275
GUADALUPE,571,BASICA,688,142,191,4,6,,2,,,12,357
GUADALUPE,571,CONTIGUA 1,,,,,,,,,,,
GUADALUPE,572,BASICA,485,110,146,1,8,,1,,,7,273
GUADALUPE,572,CONTIGUA 1,486,113,115,0,7,,0,,,7,242
GUADALUPE,573,BASICA,382,94,127,6,4,,1,,,8,240
GUADALUPE,573,CONTIGUA 1,,,,,,,,,,,
GUADALUPE,574,BASICA,714,144,191,4,15,,2,,,9,365
GUADALUPE,575,BASICA,669,153,184,5,12,,0,,,12,366
GUADALUPE,576,BASICA,688,168,184,5,16,,1,,,6,380
GUADALUPE,576,CONTIGUA 1,688,216,158,7,16,,2,,,10,409
GUADALUPE,577,BASICA,604,141,140,3,17,,2,,,5,308
GUADALUPE,577,CONTIGUA 1,604,162,128,5,11,,2,,,5,313
GUADALUPE,577,CONTIGUA 2,605,174,164,6,9,,2,,,3,358
GUADALUPE,578,BASICA,500,168,106,3,8,,1,,,5,291
GUADALUPE,578,CONTIGUA 1,501,160,100,2,15,,2,,,4,283
GUADALUPE,578,CONTIGUA 2,501,148,104,2,14,,0,,,9,277
GUADALUPE,579,BASICA,513,140,152,2,13,,3,,,5,315
GUADALUPE,579,CONTIGUA 1,514,178,136,1,10,,6,,,4,335
GUADALUPE,580,BASICA,466,189,131,1,12,,0,,,2,335
GUADALUPE,581,BASICA,655,202,171,8,8,,0,,,1,390
GUADALUPE,581,CONTIGUA 1,656,263,146,6,5,,0,,,1,421
GUADALUPE,581,CONTIGUA 2,656,246,175,7,7,,1,,,5,441
GUADALUPE,581,CONTIGUA 3,656,231,155,6,12,,3,,,0,407
GUADALUPE,582,BASICA,618,156,161,5,19,,3,,,10,354
GUADALUPE,582,CONTIGUA 1,618,188,134,2,10,,1,,,7,342
GUADALUPE,582,CONTIGUA 2,619,173,146,3,20,,0,,,7,349
GUADALUPE,583,BASICA,728,220,204,9,12,,5,,,5,455
GUADALUPE,583,CONTIGUA 1,728,212,179,8,10,,1,,,6,416
GUADALUPE,583,CONTIGUA 2,729,176,175,9,20,,1,,,9,390
GUADALUPE,584,BASICA,743,226,208,7,17,,1,,,7,466
GUADALUPE,584,CONTIGUA 1,743,218,169,2,27,,1,,,8,425
GUADALUPE,584,CONTIGUA 2,744,199,171,7,20,,1,,,6,404
GUADALUPE,585,BASICA,514,135,139,8,18,,2,,,11,313
GUADALUPE,585,CONTIGUA 1,515,143,139,2,7,,2,,,8,301
GUADALUPE,585,CONTIGUA 2,515,119,154,2,15,,0,,,3,293
GUADALUPE,586,BASICA,608,122,110,1,19,,1,,,10,263
GUADALUPE,586,CONTIGUA 1,608,116,151,4,13,,0,,,4,288
GUADALUPE,586,CONTIGUA 2,608,120,150,6,19,,2,,,8,305
GUADALUPE,587,BASICA,675,138,186,4,15,,2,,,10,355
GUADALUPE,587,CONTIGUA 1,676,150,175,4,15,,2,,,21,367
GUADALUPE,588,BASICA,470,115,130,0,6,,0,,,9,260
GUADALUPE,588,CONTIGUA 1,470,113,117,1,15,,1,,,3,250
GUADALUPE,589,BASICA,354,71,104,3,4,,1,,,4,187
GUADALUPE,590,BASICA,702,225,142,6,13,,0,,,4,390
GUADALUPE,590,CONTIGUA 1,703,241,154,5,7,,1,,,6,414
GUADALUPE,591,BASICA,539,161,110,3,14,,3,,,6,297
GUADALUPE,592,BASICA,716,253,176,3,15,,1,,,6,454
GUADALUPE,592,CONTIGUA 1,716,231,185,5,15,,0,,,7,443
GUADALUPE,593,BASICA,619,268,169,3,7,,3,,,8,458
GUADALUPE,593,CONTIGUA 1,619,262,145,9,8,,1,,,3,428
GUADALUPE,593,CONTIGUA 2,620,247,140,7,7,,3,,,6,410
GUADALUPE,594,BASICA,580,216,149,5,10,,2,,,2,384
GUADALUPE,594,CONTIGUA 1,581,244,128,9,7,,1,,,2,391
GUADALUPE,594,CONTIGUA 2,581,224,133,4,4,,0,,,4,369
GUADALUPE,594,CONTIGUA 3,581,255,128,3,8,,1,,,3,398
GUADALUPE,595,BASICA,580,151,163,7,8,,0,,,7,336
GUADALUPE,595,CONTIGUA 1,580,175,148,6,9,,5,,,5,348
GUADALUPE,595,CONTIGUA 2,581,188,144,5,12,,3,,,3,355
GUADALUPE,596,BASICA,712,134,221,3,13,,1,,,21,393
GUADALUPE,596,CONTIGUA 1,712,88,229,3,20,,0,,,12,352
GUADALUPE,596,CONTIGUA 2,712,89,254,3,19,,0,,,22,387
GUADALUPE,597,BASICA,683,184,179,8,14,,1,,,11,397
GUADALUPE,597,CONTIGUA 1,684,180,178,7,16,,2,,,8,391
GUADALUPE,597,CONTIGUA 2,684,174,196,5,13,,3,,,7,398
GUADALUPE,598,BASICA,679,297,162,2,3,,1,,,2,467
GUADALUPE,598,CONTIGUA 1,680,297,151,3,5,,0,,,4,460
GUADALUPE,598,CONTIGUA 2,680,282,144,2,5,,0,,,4,437
GUADALUPE,599,BASICA,591,271,117,4,8,,2,,,2,404
GUADALUPE,599,CONTIGUA 1,592,269,116,6,6,,1,,,2,400
GUADALUPE,600,BASICA,650,260,170,2,5,,4,,,3,444
GUADALUPE,600,CONTIGUA 1,650,285,179,0,5,,1,,,2,472
GUADALUPE,600,CONTIGUA 2,650,281,140,3,6,,1,,,3,434
GUADALUPE,601,BASICA,645,242,193,3,6,,2,,,3,449
GUADALUPE,601,CONTIGUA 1,645,265,169,3,5,,0,,,5,447
GUADALUPE,601,CONTIGUA 2,645,251,176,3,1,,0,,,0,431
GUADALUPE,602,BASICA,674,263,196,5,0,,3,,,2,469
GUADALUPE,602,CONTIGUA 1,675,253,201,5,3,,1,,,2,465
GUADALUPE,602,CONTIGUA 2,675,274,190,4,3,,0,,,4,475
GUADALUPE,603,BASICA,597,244,153,5,5,,2,,,5,414
GUADALUPE,603,CONTIGUA 1,597,249,124,5,4,,2,,,5,389
GUADALUPE,603,CONTIGUA 2,598,224,165,8,6,,3,,,3,409
GUADALUPE,604,BASICA,648,182,163,6,7,,1,,,3,362
GUADALUPE,604,CONTIGUA 1,649,164,145,4,11,,2,,,8,334
GUADALUPE,604,CONTIGUA 2,649,183,139,3,16,,4,,,4,349
GUADALUPE,605,BASICA,688,217,130,6,14,,1,,,3,371
GUADALUPE,605,CONTIGUA 1,688,222,133,7,13,,0,,,3,378
GUADALUPE,605,CONTIGUA 2,689,217,138,5,8,,0,,,2,370
GUADALUPE,606,BASICA,525,144,84,1,11,,0,,,10,250
GUADALUPE,606,CONTIGUA 1,526,153,94,4,8,,0,,,5,264
GUADALUPE,606,CONTIGUA 2,526,166,92,3,6,,0,,,4,271
GUADALUPE,607,BASICA,666,166,125,0,5,,0,,,7,303
GUADALUPE,607,CONTIGUA 1,666,154,142,1,7,,1,,,3,308
GUADALUPE,607,CONTIGUA 2,666,160,136,3,8,,0,,,7,314
GUADALUPE,607,CONTIGUA 3,666,177,132,1,9,,0,,,4,323
GUADALUPE,607,CONTIGUA 4,666,181,120,1,9,,2,,,7,320
GUADALUPE,607,CONTIGUA 5,667,174,130,3,11,,2,,,7,327
GUADALUPE,607,CONTIGUA 6,667,175,113,6,11,,1,,,4,310
GUADALUPE,607,CONTIGUA 7,667,160,118,1,6,,1,,,3,289
GUADALUPE,608,BASICA,572,62,194,3,6,,1,,,12,278
GUADALUPE,608,CONTIGUA 1,572,88,179,0,8,,1,,,12,288
GUADALUPE,608,CONTIGUA 2,573,87,180,1,6,,3,,,6,283
GUADALUPE,609,BASICA,529,67,192,2,10,,0,,,6,277
GUADALUPE,609,CONTIGUA 1,529,65,175,4,11,,1,,,9,265
GUADALUPE,609,CONTIGUA 2,530,59,166,2,11,,5,,,11,254
GUADALUPE,610,BASICA,570,69,182,4,10,,0,,,7,272
GUADALUPE,610,CONTIGUA 1,570,94,175,3,17,,0,,,10,299
GUADALUPE,610,CONTIGUA 2,570,85,168,3,14,,1,,,11,282
GUADALUPE,611,BASICA,622,73,183,2,6,,0,,,9,273
GUADALUPE,611,CONTIGUA 1,623,78,179,2,11,,1,,,4,275
GUADALUPE,611,CONTIGUA 2,623,74,198,2,10,,1,,,11,296
GUADALUPE,612,BASICA,532,86,167,1,1,,1,,,13,269
GUADALUPE,612,CONTIGUA 1,533,85,175,4,3,,0,,,9,276
GUADALUPE,612,CONTIGUA 2,533,67,173,2,4,,1,,,0,247
GUADALUPE,613,BASICA,565,95,137,4,6,,0,,,9,251
GUADALUPE,613,CONTIGUA 1,565,76,165,1,10,,1,,,3,256
GUADALUPE,613,CONTIGUA 2,565,88,182,1,5,,0,,,9,285
GUADALUPE,614,BASICA,528,54,175,3,5,,0,,,17,254
GUADALUPE,614,CONTIGUA 1,529,64,167,4,2,,1,,,9,247
GUADALUPE,614,CONTIGUA 2,529,68,168,5,6,,0,,,3,250
GUADALUPE,615,BASICA,577,76,177,1,8,,0,,,13,275
GUADALUPE,615,CONTIGUA 1,577,61,172,10,10,,1,,,10,264
GUADALUPE,615,CONTIGUA 2,578,69,203,4,7,,1,,,4,288
GUADALUPE,616,BASICA,619,107,188,4,4,,0,,,14,317
GUADALUPE,617,BASICA,596,136,159,2,11,,0,,,2,310
GUADALUPE,617,CONTIGUA 1,597,136,153,5,6,,3,,,5,308
GUADALUPE,617,CONTIGUA 2,597,143,156,4,14,,0,,,3,320
GUADALUPE,618,BASICA,524,110,131,8,10,,1,,,4,264
GUADALUPE,618,CONTIGUA 1,525,123,132,2,5,,3,,,8,273
GUADALUPE,618,CONTIGUA 2,525,104,146,7,9,,0,,,3,269
GUADALUPE,619,BASICA,624,152,135,4,6,,0,,,0,297
GUADALUPE,619,CONTIGUA 1,625,201,125,3,7,,1,,,3,340
GUADALUPE,619,CONTIGUA 2,625,181,138,3,10,,1,,,4,337
GUADALUPE,619,CONTIGUA 3,625,152,150,1,12,,2,,,2,319
GUADALUPE,620,BASICA,705,142,177,1,9,,1,,,58,388
GUADALUPE,620,CONTIGUA 1,705,130,226,2,15,,0,,,40,413
GUADALUPE,621,BASICA,596,93,159,4,11,,1,,,10,278
GUADALUPE,621,CONTIGUA 1,596,114,169,4,8,,2,,,2,299
GUADALUPE,621,CONTIGUA 2,596,118,150,3,10,,2,,,0,283
GUADALUPE,621,CONTIGUA 3,597,94,196,3,14,,1,,,6,314
GUADALUPE,622,BASICA,649,207,124,7,14,,2,,,10,364
GUADALUPE,622,CONTIGUA 1,649,199,140,6,14,,1,,,5,365
GUADALUPE,622,CONTIGUA 2,649,205,135,4,6,,4,,,4,358
GUADALUPE,622,CONTIGUA 3,650,173,130,2,10,,0,,,5,320
GUADALUPE,623,BASICA,695,191,147,8,15,,1,,,7,369
GUADALUPE,623,CONTIGUA 1,696,226,158,2,17,,1,,,4,408
GUADALUPE,623,CONTIGUA 2,696,191,170,11,12,,1,,,4,389
GUADALUPE,623,CONTIGUA 3,696,181,176,5,11,,0,,,4,377
GUADALUPE,623,CONTIGUA 4,696,196,181,11,10,,3,,,7,408
GUADALUPE,624,BASICA,641,207,154,6,11,,0,,,10,388
GUADALUPE,624,CONTIGUA 1,641,236,135,9,12,,0,,,5,397
GUADALUPE,624,CONTIGUA 2,641,209,136,4,10,,1,,,1,361
GUADALUPE,625,BASICA,655,233,148,5,11,,3,,,6,406
GUADALUPE,625,CONTIGUA 1,655,209,151,6,7,,0,,,10,383
GUADALUPE,625,CONTIGUA 2,656,225,164,5,13,,3,,,15,425
GUADALUPE,626,BASICA,710,265,162,6,3,,1,,,6,443
GUADALUPE,626,CONTIGUA 1,710,306,153,7,6,,1,,,6,479
GUADALUPE,626,CONTIGUA 2,711,287,161,9,11,,2,,,0,470
GUADALUPE,627,BASICA,627,261,164,5,6,,3,,,1,440
GUADALUPE,627,CONTIGUA 1,628,262,157,5,7,,1,,,2,434
GUADALUPE,627,CONTIGUA 2,628,255,138,4,9,,1,,,3,410
GUADALUPE,628,BASICA,644,262,141,3,11,,1,,,5,423
GUADALUPE,628,CONTIGUA 1,644,288,137,4,11,,1,,,2,443
GUADALUPE,629,BASICA,537,183,130,3,12,,2,,,2,332
GUADALUPE,629,CONTIGUA 1,537,205,126,3,12,,1,,,8,355
GUADALUPE,629,CONTIGUA 2,538,146,151,2,13,,0,,,7,319
GUADALUPE,630,BASICA,528,175,127,4,8,,0,,,4,318
GUADALUPE,630,CONTIGUA 1,529,184,102,2,7,,1,,,5,301
GUADALUPE,630,CONTIGUA 2,529,143,140,3,5,,0,,,7,298
GUADALUPE,631,BASICA,497,127,114,5,9,,0,,,10,265
GUADALUPE,631,CONTIGUA 1,498,116,122,3,12,,0,,,4,257
GUADALUPE,632,BASICA,674,188,128,3,15,,1,,,5,340
GUADALUPE,632,CONTIGUA 1,674,197,144,9,7,,1,,,9,367
GUADALUPE,633,BASICA,586,213,140,4,7,,0,,,3,367
GUADALUPE,633,CONTIGUA 1,586,199,125,4,8,,1,,,4,341
GUADALUPE,634,BASICA,623,159,180,1,7,,1,,,10,358
GUADALUPE,634,CONTIGUA 1,624,184,142,6,14,,1,,,14,361
GUADALUPE,635,BASICA,536,116,112,4,20,,1,,,9,262
GUADALUPE,635,CONTIGUA 1,537,133,123,6,7,,1,,,7,277
GUADALUPE,635,CONTIGUA 2,537,150,101,3,18,,0,,,5,277
GUADALUPE,636,BASICA,540,160,140,6,10,,1,,,2,319
GUADALUPE,636,CONTIGUA 1,541,169,147,9,6,,1,,,4,336
GUADALUPE,636,CONTIGUA 2,541,166,129,7,11,,0,,,5,318
GUADALUPE,637,BASICA,623,249,164,3,17,,3,,,5,441
GUADALUPE,637,CONTIGUA 1,624,195,198,7,10,,0,,,2,412
GUADALUPE,638,BASICA,563,183,120,2,9,,2,,,5,321
GUADALUPE,638,CONTIGUA 1,564,154,136,3,8,,4,,,10,315
GUADALUPE,639,BASICA,664,270,137,11,11,,2,,,3,434
GUADALUPE,639,CONTIGUA 1,665,264,127,7,9,,2,,,6,415
GUADALUPE,640,BASICA,615,212,127,7,6,,1,,,2,355
GUADALUPE,640,CONTIGUA 1,615,200,154,13,9,,0,,,5,381
GUADALUPE,640,CONTIGUA 2,615,196,181,2,9,,2,,,1,391
GUADALUPE,641,BASICA,576,154,134,4,11,,1,,,8,312
GUADALUPE,641,CONTIGUA 1,576,173,143,2,12,,1,,,2,333
GUADALUPE,641,CONTIGUA 2,577,184,140,4,10,,1,,,6,345
GUADALUPE,642,BASICA,646,202,151,2,4,,1,,,10,370
GUADALUPE,642,CONTIGUA 1,646,189,134,3,14,,0,,,5,345
GUADALUPE,642,CONTIGUA 2,647,178,154,3,2,,2,,,4,343
GUADALUPE,643,BASICA,713,197,145,5,7,,5,,,8,367
GUADALUPE,643,CONTIGUA 1,714,198,166,7,7,,2,,,5,385
GUADALUPE,643,CONTIGUA 2,714,185,169,2,15,,1,,,5,377
GUADALUPE,644,BASICA,731,63,248,2,15,,0,,,5,333
GUADALUPE,644,CONTIGUA 1,732,69,209,1,10,,1,,,0,290
GUADALUPE,645,BASICA,547,61,164,2,4,,0,,,16,247
GUADALUPE,645,CONTIGUA 1,,,,,,,,,,,
GUADALUPE,645,CONTIGUA 2,548,51,177,5,8,,1,,,5,247
GUADALUPE,646,BASICA,537,41,193,1,8,,0,,,12,255
GUADALUPE,646,CONTIGUA 1,538,58,148,0,7,,2,,,12,227
GUADALUPE,646,CONTIGUA 2,538,44,203,1,2,,2,,,10,262
GUADALUPE,647,BASICA,605,70,202,2,17,,0,,,14,305
GUADALUPE,647,CONTIGUA 1,,,,,,,,,,,
GUADALUPE,647,CONTIGUA 2,605,61,176,4,24,,2,,,16,283
GUADALUPE,648,BASICA,664,124,159,4,10,,0,,,8,305
GUADALUPE,648,CONTIGUA 1,664,128,169,2,8,,3,,,6,316
GUADALUPE,648,CONTIGUA 2,664,132,157,4,12,,0,,,7,312
GUADALUPE,648,EXTRAORDINARIA 1,704,188,154,2,8,,1,,,3,356
GUADALUPE,648,EXTRAORDINARIA 2,704,198,130,2,5,,0,,,5,340
GUADALUPE,648,EXTRAORDINARIA 3,705,194,146,3,14,,0,,,5,362
GUADALUPE,648,EXTRAORDINARIA 4,705,163,168,3,10,,1,,,6,351
GUADALUPE,648,EXTRAORDINARIA 5,705,171,170,3,8,,2,,,0,354
GUADALUPE,648,EXTRAORDINARIA 6,119,23,43,0,0,,0,,,0,66
GUADALUPE,649,BASICA,521,112,137,0,10,,0,,,4,263
GUADALUPE,649,CONTIGUA 1,521,120,136,1,11,,0,,,7,275
GUADALUPE,649,CONTIGUA 2,521,104,158,4,9,,1,,,4,280
GUADALUPE,650,BASICA,610,99,164,4,4,,0,,,11,282
GUADALUPE,650,CONTIGUA 1,611,104,147,5,10,,1,,,6,273
GUADALUPE,650,CONTIGUA 2,611,114,146,6,7,,2,,,4,279
