Municipio,Seccion,Tipo Casilla,PAN,PRI_PVEM,PRD,PT_PC,PANAL,VALIDOS,NULOS,TOTAL,ListaNominal,
CAMPECHE,105,C2,104,200,28,13,27,372,12,384,703,
CAMPECHE,105,C3,95,198,29,18,25,365,11,376,703,
CAMPECHE,105,C4,97,224,24,16,11,372,18,390,702,
CAMPECHE,105,C5,105,223,29,4,26,387,21,408,702,
CAMPECHE,105,C6,85,242,30,12,16,385,23,408,702,
CAMPECHE,105,C7,119,213,21,17,21,391,14,405,702,
CAMPECHE,106,B,69,281,42,16,21,429,14,443,593,
CAMPECHE,106,C1,74,280,27,13,27,421,16,437,592,
CAMPECHE,107,B,88,199,38,18,21,364,19,383,632,
CAMPECHE,107,C1,73,217,45,14,30,379,27,406,631,
CAMPECHE,108,B,98,200,31,17,6,352,22,374,685,
CAMPECHE,108,C1,101,200,48,0,17,366,12,378,685,
CAMPECHE,108,C2,90,220,40,17,10,377,22,399,684,
CAMPECHE,108,C3,104,241,26,13,11,395,15,410,684,
CAMPECHE,109,B,82,221,41,10,9,363,19,382,597,
CAMPECHE,109,C1,69,211,22,9,9,320,9,329,597,
CAMPECHE,109,C2,73,219,31,9,14,346,16,362,597,
CAMPECHE,110,B,70,182,22,20,68,362,23,385,556,
CAMPECHE,110,C1,77,185,22,9,80,373,24,397,556,
CAMPECHE,111,B,77,152,49,9,6,293,16,309,526,
CAMPECHE,111,C1,82,218,0,10,7,317,11,328,525,
CAMPECHE,111,C2,71,187,35,8,12,313,15,328,525,
CAMPECHE,112,B,90,227,45,15,22,399,21,420,723,
CAMPECHE,112,C1,110,221,32,13,10,386,9,395,723,
CAMPECHE,112,C2,75,218,42,20,21,376,17,393,723,
CAMPECHE,112,C3,103,209,48,16,18,394,22,416,722,
CAMPECHE,113,B,73,161,24,13,26,297,39,336,441,
CAMPECHE,113,C1,73,159,16,12,41,301,25,326,440,
CAMPECHE,114,B,84,193,44,0,55,376,0,376,594,
CAMPECHE,114,C1,122,189,28,14,56,409,25,434,594,
CAMPECHE,115,B,61,160,17,5,29,272,11,283,414,
CAMPECHE,115,C1,57,161,34,0,27,279,9,288,413,
CAMPECHE,116,B,67,208,23,8,40,346,23,369,507,
CAMPECHE,116,C1,90,195,12,11,26,334,16,350,506,
CAMPECHE,117,B,103,240,27,11,29,410,16,426,690,
,,,,,,,,,,,,
CAMPECHE,117,C1,105,238,24,15,40,422,29,451,690,
CAMPECHE,118,B,59,210,25,5,7,306,16,322,412,
CAMPECHE,118,C1,62,199,25,6,10,302,21,323,412,
CAMPECHE,119,B,45,187,34,2,1,269,7,276,342,
CAMPECHE,120,B,66,325,114,6,13,524,22,546,675,
CAMPECHE,121,B,61,147,40,6,10,264,14,278,376,
CAMPECHE,121,C1,71,140,40,4,10,265,12,277,376,
CAMPECHE,122,B,57,178,26,8,10,279,11,290,431,
CAMPECHE,122,C1,54,189,21,6,8,278,23,301,430,
CAMPECHE,123,B,200,255,24,5,10,494,15,509,606,
CAMPECHE,124,B,93,183,11,0,9,296,11,307,407,
CAMPECHE,124,C1,93,205,15,3,4,320,8,328,406,
CAMPECHE,124,E1,37,105,23,14,10,189,13,202,377,
CAMPECHE,124,E1C1,47,113,22,44,99,195,10,205,376,
CAMPECHE,125,B,122,213,32,15,24,406,20,426,665,
CAMPECHE,125,C1,109,240,40,18,16,423,27,450,664,
CAMPECHE,126,B,103,207,20,17,17,364,10,374,588,
CAMPECHE,126,C1,77,211,31,18,17,354,18,372,587,
CAMPECHE,126,C2,95,193,33,4,15,340,29,369,587,
CAMPECHE,127,B,76,181,13,14,11,295,10,305,462,
CAMPECHE,127,C1,90,172,13,10,16,301,16,317,461,
CAMPECHE,128,B,50,104,4,4,1,163,1,164,195,
CAMPECHE,129,B,110,300,55,16,6,487,20,507,609,
