CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,PUP,NA,MORENA,ES,PSD,PMR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,C_COMUN_PRD_MC_PUP,PRD_MC,PRD_PUP,MC_PUP,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,C_COMUN_PRD_MC,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,20,B,1,0,B,306,117,5,17,8,4,,2,47,1,1,,2,2,1,0,0,3,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,0,26,545,672,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,21,B,1,0,B,198,119,7,65,6,2,,2,93,1,0,,0,2,0,0,2,7,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,0,17,522,623,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,21,E,1,0,E01,160,109,16,0,5,2,,0,110,4,1,,2,0,0,0,0,3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,0,20,433,534,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,22,B,1,0,B,223,65,20,4,4,2,,1,67,5,0,,2,1,0,0,3,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,0,14,413,508,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,23,B,1,0,B,268,113,2,4,4,2,,2,55,0,1,,1,2,0,0,2,3,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,0,15,475,605,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,24,B,1,0,B,146,93,3,13,2,4,,1,19,1,0,,0,1,2,0,0,5,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,0,16,307,390,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,24,C,1,0,C01,135,79,8,11,2,2,,1,16,0,1,,1,3,0,0,3,2,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,0,21,287,389,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,24,E,1,0,E01,108,53,0,3,1,1,,1,21,0,1,,1,1,2,0,0,5,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0,24,224,320,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,25,B,1,0,B,184,61,2,12,3,2,,4,29,1,0,,4,3,1,0,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,0,13,322,416,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,25,C,1,0,C01,188,67,2,12,1,3,,3,27,1,0,,4,1,1,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,0,17,329,416,Recuento,,,
