ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PVEM,MC,PUP,NA,MORENA,PSD,PMR,PAN_PRD_MC,PRI_PVEM_NA,PT_MORENA_ES,C_COMUN_PAN_PRD_MC,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,C_COMUN_PRD_MC,C_COMUN_PRD_MC_PUP,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,459,VILLA DE SANTIAGO CHAZUMBA,9,10,,,,,884,,,,,36,1063,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519,0,124,2643,3386,
20,OAXACA,463,SANTIAGO HUAJOLOTITLAN,4,7,,468,,,,366,,637,,452,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,0,114,2414,3377,
20,OAXACA,486,SANTIAGO TAMAZOLA,6,7,,,,,528,,,,,52,818,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2045,0,79,2124,3138,
20,OAXACA,520,SANTO DOMINGO TONALA,7,11,,,,,,,,,,1217,942,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164,0,159,3323,5802,
20,OAXACA,534,SILACAYOAPAM,15,17,,,,,,,,237,,855,1095,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3046,0,169,3215,5426,
20,OAXACA,568,ZAPOTITLAN LAGUNAS,3,4,,171,,,,,,,3,558,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,0,104,1364,2201,
20,OAXACA,71,PUTLA VILLA DE GUERRERO,18,44,,,,,96,,,978,700,781,1544,4981,,,,,,,,,,,,,,6004,,,,,,,,,,,,,,,,,15084,1,798,15883,23211,
20,OAXACA,85,SAN ANDRES CABECERA NUEVA,3,4,,,,,,,,,,23,697,771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491,1,63,1555,1996,
20,OAXACA,184,SAN JUAN CACAHUATEPEC,7,12,1460,,,30,149,,,74,,,,1913,,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4528,1,143,4672,6420,
20,OAXACA,298,SAN PEDRO AMUZGOS,3,7,,,,,,,,,,1579,1240,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,0,78,3408,4660,
20,OAXACA,378,SANTA CRUZ ITUNDUJIA,8,16,,,,,,,,,1179,2144,1652,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5538,0,277,5815,7571,
20,OAXACA,416,SANTA MARIA IPALAPA,3,8,,,,,508,,,,,986,577,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468,1,108,2577,3505,
20,OAXACA,448,SANTA MARIA ZACATEPEC,10,21,,,,,257,,,,,1770,2581,2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7602,0,335,7937,11712,
20,OAXACA,470,SANTIAGO JUXTLAHUACA,18,44,,5210,,,,,,434,,811,,7165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13620,0,680,14300,22342,
20,OAXACA,16,CHALCATONGO DE HIDALGO,7,14,,366,708,,514,405,,,16,1757,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4101,4,386,4491,6373,
20,OAXACA,78,SAN AGUSTIN ATENANGO,2,3,,,,,,,,,,212,243,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,0,46,904,1530,
20,OAXACA,549,HEROICA VILLA TEZOATLAN DE SEGURA Y LUNA CUNA DE LA INDEPENDENCIA DE OAXACA,13,19,,,,,,,,,,2164,1644,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4804,4,289,5097,9177,
20,OAXACA,553,HEROICA CIUDAD DE TLAXIACO,20,54,,987,3940,,1713,1357,,240,,2926,,4312,,,,,,,,,,,,,,,350,2524,782,,,,,,,,,,,,,,19131,4,671,19806,29287,
20,OAXACA,183,SAN JUAN BAUTISTA VALLE NACIONAL,15,32,,1255,2361,,287,1928,,327,277,1575,,3829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11839,2,614,12455,17192,
20,OAXACA,560,VILLA DE ETLA,4,14,,,,,1259,,,79,83,1939,989,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5345,5,166,5516,7926,
20,OAXACA,12,EL BARRIO DE LA SOLEDAD,10,21,,,,,1332,,,1221,264,342,2397,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6742,0,278,7020,10208,
20,OAXACA,15,CHAHUITES,7,14,,617,1292,,16,,,,,2745,,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5264,0,327,5591,8021,
20,OAXACA,57,MATIAS ROMERO AVENDAÑO,25,58,,,3473,,86,,,,46,1515,,7326,,,,3084,,,,,,,,,,,,,,2331,,,,,,,,,,,,,17861,0,753,18614,29309,
20,OAXACA,72,REFORMA DE PINEDA,2,4,,,,,,41,,,63,26,,271,,,868,,,,,,,,,,,,,,,,500,,,,,,,,,,,,1769,0,69,1838,2140,
20,OAXACA,199,SAN JUAN GUICHICOVI,23,49,,,,,32,,,,,9953,,4040,,2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16376,11,461,16848,22330,
20,OAXACA,325,SAN PEDRO TAPANATEPEC,9,20,,,,,13,,,27,,105,2255,2286,,,,,,,,,,,,,,,,,,,,2694,,,,,,,,,,,7380,0,325,7705,10080,
20,OAXACA,427,SANTA MARIA PETAPA,10,21,,2000,,,17,,,,,379,,4603,,,,,709,,,,,,,,,,,,,,,,,,,,,,,,,,7708,1,237,7946,11413,
20,OAXACA,481,SANTIAGO NILTEPEC,7,9,,1206,,,39,,,961,,512,,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306,0,120,3426,4211,
20,OAXACA,509,SANTO DOMINGO INGENIO,5,12,,,,,,,,,,83,,1928,,2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4459,0,176,4635,6567,
20,OAXACA,525,SANTO DOMINGO ZANATEPEC,9,18,,,,,11,,,,,1108,,1827,,3163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6109,0,157,6266,8595,
20,OAXACA,376,SANTA CRUZ AMILPAS,4,14,,300,,,712,927,,,,1467,,1404,,,,,,,,,,,,,,,,,,,,,1313,,,,,,,,,,6123,2,143,6268,8670,
20,OAXACA,392,SANTA LUCIA DEL CAMINO,23,64,,,,,311,412,,628,598,3361,,12684,,,7562,,,,,,,,,,,,,,,,,,,,,,,,,,,,25556,8,676,26240,38778,
20,OAXACA,537,SOLEDAD ETLA,3,7,,,,,,565,,37,,540,,1555,,,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,3055,0,84,3139,4267,
20,OAXACA,154,SAN JACINTO AMILPAS,3,16,,,,,211,,,1387,,2084,866,2830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7378,5,183,7566,10650,
20,OAXACA,66,OAXACA DE JUAREZ,148,387,,,,,2535,1980,,1180,3273,35263,,75288,,,25620,,,,,,,,,,,,,,,,,,,,,,,,,,,,145139,62,3722,148923,222463,
20,OAXACA,26,CUILAPAM DE GUERRERO,7,26,,,,,1763,,,1251,162,3416,570,3417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10579,2,358,10939,15844,
20,OAXACA,386,SANTA CRUZ XOXOCOTLAN,20,99,,4265,903,,287,154,,279,296,22676,,15188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44048,6,1181,45235,65372,
20,OAXACA,566,VILLA DE ZAACHILA,7,42,,,,,4716,,,981,235,3387,1305,4272,,,,,,,,,,,,,,,,,,,,,,2880,,,,,,,,,17776,2,599,18377,27798,
