CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,303,4,227,89,101,69,57,84,22,520,73,18,29,10,5,25,3,0,12,,,,,,,,,121,,,,,,,1465,0,47,1512,2327
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,304,2,164,45,58,44,36,45,14,370,49,22,18,2,7,12,2,0,7,,,,,,,,,67,,,,,,,962,1,37,1000,1441
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,390,1,43,20,14,9,3,8,3,58,7,3,2,0,0,3,0,0,0,,,,,,,,,19,,,,,,,192,0,8,200,365
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,188,5,273,111,227,63,53,34,74,561,119,88,51,2,10,25,7,2,14,,,,,,,,,,63,104,196,,,,2077,13,111,2201,3707
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,206,3,167,99,84,45,33,21,41,230,44,34,41,0,9,16,1,1,2,,,,,,,,,,49,61,110,,,,1088,1,76,1165,1717
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,207,4,281,138,143,54,38,37,42,322,57,69,40,2,7,29,5,1,8,,,,,,,,,,38,77,135,,,,1523,2,81,1606,2587
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,208,4,219,90,255,51,64,27,75,411,71,105,48,2,19,23,4,0,12,,,,,,,,,,62,75,52,,,,1665,0,81,1746,2541
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,209,6,612,193,230,59,60,58,80,597,71,75,58,2,46,17,6,0,9,,,,,,,,,,76,96,131,,,,2476,4,122,2602,3799
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,210,2,287,59,49,21,15,21,28,224,19,21,23,4,6,9,0,0,1,,,,,,,,,,29,37,24,,,,877,1,48,926,1325
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,211,2,215,66,37,19,16,15,23,181,14,22,20,1,2,4,2,0,4,,,,,,,,,,13,38,24,,,,716,0,44,760,1125
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,238,2,196,54,27,16,9,15,17,122,9,7,18,1,0,2,1,0,0,,,,,,,,,,11,9,14,,,,528,1,23,552,763
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,239,12,1004,394,447,160,129,101,220,1495,182,184,167,8,41,79,7,4,28,,,,,,,,,,185,242,310,,,,5387,8,281,5676,8340
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,240,3,370,118,65,34,17,26,64,364,29,26,51,2,4,7,4,0,6,,,,,,,,,,43,46,41,,,,1317,1,75,1393,1996
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,241,3,125,51,120,27,41,24,52,241,43,54,35,1,21,12,1,0,8,,,,,,,,,,59,44,46,,,,1005,0,68,1073,1670
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,242,2,229,68,82,33,14,20,23,170,23,47,19,2,19,7,2,0,7,,,,,,,,,,29,26,39,,,,859,0,47,906,1373
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,243,2,109,37,52,28,15,16,25,179,17,29,21,0,1,6,1,1,1,,,,,,,,,,28,30,14,,,,610,0,30,640,950
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,244,3,197,36,49,20,24,13,25,190,13,17,36,3,2,6,2,1,5,,,,,,,,,,26,49,43,,,,757,1,41,799,1148
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,271,2,145,49,61,10,8,14,21,151,28,9,30,1,4,4,1,0,2,,,,,,,,,,24,22,34,,,,618,0,33,651,921
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,272,4,178,50,173,45,40,22,31,355,47,63,35,8,32,19,7,5,10,,,,,,,,,,127,41,42,,,,1330,0,75,1405,2300
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,273,2,154,48,68,26,34,19,25,211,31,39,27,1,5,16,0,0,7,,,,,,,,,,55,33,46,,,,845,1,51,897,1338
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,274,2,99,40,117,34,34,14,18,196,42,45,24,2,13,13,2,1,9,,,,,,,,,,39,39,63,,,,844,1,54,899,1403
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,275,2,159,56,48,27,18,20,32,164,18,13,19,4,0,5,2,1,2,,,,,,,,,,27,16,26,,,,657,2,43,702,998
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,276,2,107,44,48,21,17,14,28,169,16,11,22,2,1,9,2,2,1,,,,,,,,,,16,37,42,,,,609,0,26,635,953
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,277,1,86,31,21,10,10,0,16,111,14,7,16,7,0,6,3,0,1,,,,,,,,,,16,15,13,,,,383,1,24,408,596
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,294,2,88,51,40,22,19,13,31,168,24,13,14,2,5,16,0,0,3,,,,,,,,,,14,33,25,,,,581,2,31,614,940
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,295,1,85,39,41,8,12,10,14,104,13,17,12,0,6,7,0,0,1,,,,,,,,,,11,18,17,,,,415,0,22,437,676
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,296,2,58,39,72,12,19,11,21,101,24,21,13,0,6,5,0,1,1,,,,,,,,,,16,17,30,,,,467,1,37,505,834
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,297,2,52,26,69,23,18,8,27,152,17,30,18,3,3,4,3,1,2,,,,,,,,,,27,23,17,,,,523,2,29,554,956
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,298,2,75,51,29,18,14,3,23,152,13,23,22,2,0,10,0,0,2,,,,,,,,,,21,34,29,,,,521,0,27,548,810
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,299,1,50,24,20,8,6,7,14,70,4,5,6,1,1,6,0,1,4,,,,,,,,,,15,8,12,,,,262,2,13,277,397
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,300,2,90,47,63,11,9,11,17,114,7,20,22,3,4,6,0,0,8,,,,,,,,,,16,38,28,,,,514,0,30,544,848
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,301,2,88,39,62,22,18,22,30,201,19,32,16,1,2,10,3,0,4,,,,,,,,,,24,27,40,,,,660,0,37,697,1109
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,311,2,93,56,69,18,21,21,34,216,21,33,21,1,6,3,1,0,8,,,,,,,,,,28,44,89,,,,783,2,44,829,1347
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,312,2,120,50,51,35,31,12,20,231,31,21,18,2,5,10,1,0,2,,,,,,,,,,21,31,59,,,,751,1,52,804,1255
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,313,1,39,17,16,7,10,6,11,77,10,7,8,0,1,3,1,0,2,,,,,,,,,,11,16,16,,,,258,0,13,271,402
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,314,2,44,49,66,14,26,8,13,155,23,41,15,1,3,8,1,0,6,,,,,,,,,,19,34,39,,,,565,1,22,588,979
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,315,2,117,45,67,26,33,21,32,180,26,36,19,1,1,2,1,1,3,,,,,,,,,,40,17,25,,,,693,0,34,727,1076
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,316,2,75,26,88,19,22,13,26,215,27,30,18,0,1,12,2,2,7,,,,,,,,,,50,14,10,,,,657,0,47,704,1290
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,317,3,108,45,104,26,26,22,47,258,44,54,22,1,2,13,4,1,13,,,,,,,,,,227,32,32,,,,1081,0,60,1141,1812
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,318,2,65,36,119,22,23,15,47,174,23,79,14,3,17,18,3,0,8,,,,,,,,,,103,23,31,,,,823,0,58,881,1494
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,319,1,36,23,25,9,8,5,14,79,14,13,5,0,2,3,0,2,0,,,,,,,,,,16,9,7,,,,270,0,7,277,394
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,320,3,136,57,96,49,45,24,52,351,62,73,29,0,6,22,1,2,11,,,,,,,,,,171,42,52,,,,1281,9,75,1365,2110
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,321,2,74,56,45,35,23,17,39,270,41,29,26,0,4,7,2,1,4,,,,,,,,,,79,36,35,,,,823,1,45,869,1261
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,322,2,109,46,55,32,21,17,25,227,43,37,28,3,10,11,3,1,2,,,,,,,,,,57,84,40,,,,851,0,37,888,1295
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,323,1,42,20,40,6,9,3,22,100,20,12,8,2,5,6,1,0,4,,,,,,,,,,24,7,18,,,,349,0,28,377,597
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,324,2,108,53,55,27,21,14,21,177,19,33,19,1,4,14,0,0,6,,,,,,,,,,19,35,30,,,,656,1,39,696,1090
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,325,1,49,22,18,2,5,7,8,68,13,7,7,1,0,2,0,0,4,,,,,,,,,,12,7,20,,,,252,0,17,269,419
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,326,1,28,17,23,12,6,4,8,49,5,5,4,0,0,2,0,0,0,,,,,,,,,,5,16,11,,,,195,0,12,207,288
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,327,2,102,47,93,15,6,29,21,177,30,22,15,2,6,8,4,0,2,,,,,,,,,,21,30,42,,,,672,2,43,717,1016
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,328,2,82,35,73,24,16,13,21,121,23,30,16,1,9,5,2,0,2,,,,,,,,,,14,36,50,,,,573,1,36,610,893
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,329,1,135,23,28,15,11,7,15,87,13,8,16,7,1,2,1,0,0,,,,,,,,,,9,22,28,,,,428,0,20,448,621
