Municipio,Seccion,PAN,PRI,PRD,PVEM,Convergencia,PT,PANAL,PRI-PVEM,VÁLIDOS,NULOS,TOTAL,LISTANOMINAL
Querétaro,409,169,,36,,8,7,7,90,317,11,328,520
Querétaro,410,532,,71,,19,5,18,186,831,17,848,1242
Querétaro,411,264,,35,,16,3,7,90,415,7,422,684
Querétaro,412,252,,21,,14,4,6,135,432,3,435,629
Querétaro,413,395,,66,,10,7,11,155,644,5,649,933
Querétaro,414,291,,29,,19,3,7,178,527,11,538,799
Querétaro,415,411,,47,,22,0,13,169,662,4,666,929
Querétaro,416,542,,154,,71,19,31,610,1427,30,1457,2900
Querétaro,417,382,,53,,12,3,8,167,625,9,634,891
Querétaro,418,445,,41,,17,4,13,176,696,6,702,983
Querétaro,419,276,,22,,11,2,12,128,451,3,454,682
Querétaro,420,698,,45,,17,5,5,198,968,3,971,1223
Querétaro,421,452,,59,,25,7,26,202,771,11,782,1248
Querétaro,422,328,,61,,13,10,13,199,624,13,637,963
Querétaro,423,295,,62,,16,5,24,150,552,10,562,813
Querétaro,424,346,,38,,10,5,14,176,589,9,598,954
Querétaro,425,481,,47,,14,2,9,179,732,17,749,1084
Querétaro,426,556,,42,,30,5,11,221,865,7,872,1270
Querétaro,427,615,,76,,17,5,13,185,911,11,922,1229
Querétaro,428,468,,47,,28,3,11,172,729,6,735,1057
Querétaro,429,385,,40,,17,5,3,180,630,8,638,873
Querétaro,430,510,,66,,27,11,10,265,889,0,889,1264
Querétaro,431,260,,66,,8,2,14,127,477,14,491,799
Querétaro,432,353,,54,,5,5,5,146,568,7,575,809
Querétaro,433,265,,48,,9,4,15,150,491,20,511,809
Querétaro,434,361,,73,,5,7,20,182,648,12,660,1023
Querétaro,435,1065,,134,,63,10,23,353,1648,18,1666,2366
Querétaro,436,392,,47,,18,3,4,144,608,8,616,850
Querétaro,437,480,,84,,21,2,21,200,808,11,819,1234
Querétaro,438,386,,50,,18,2,5,141,602,9,611,938
Querétaro,439,543,,41,,18,1,15,193,811,4,815,1160
Querétaro,440,766,,79,,25,3,14,177,1064,12,1076,1422
Querétaro,441,404,,51,,24,3,7,140,629,11,640,828
Querétaro,442,671,,69,,41,4,16,229,1030,7,1037,1417
Querétaro,443,494,,48,,35,8,18,282,885,3,888,1196
Querétaro,444,666,,104,,39,8,23,272,1112,21,1133,1553
Querétaro,445,760,,91,,30,3,28,302,1214,16,1230,1602
Querétaro,446,653,,63,,14,4,18,174,926,8,934,1276
Querétaro,447,294,,71,,19,3,7,128,522,9,531,730
Querétaro,448,624,,64,,19,3,10,238,958,13,971,1287
Querétaro,449,463,,59,,18,5,16,185,746,5,751,1000
Querétaro,450,590,,70,,33,7,14,176,890,9,899,1194
Querétaro,451,438,,23,,12,1,6,157,637,8,645,848
Querétaro,452,510,,53,,11,8,14,200,796,19,815,1191
Querétaro,453,558,,44,,17,4,9,134,766,13,779,1001
Querétaro,454,684,,38,,28,5,6,190,951,2,953,1266
Querétaro,455,555,,67,,26,7,24,314,993,13,1006,1419
Querétaro,456,686,,59,,26,4,7,124,906,6,912,1232
Querétaro,457,637,,64,,32,6,7,207,953,8,961,1278
Querétaro,458,610,,71,,31,8,26,322,1068,14,1082,1490
Querétaro,459,464,,37,,18,3,7,174,703,3,706,911
Querétaro,476,506,,84,,27,4,16,249,886,13,899,1254
Querétaro,477,468,,73,,17,8,16,275,857,29,886,1452
Querétaro,478,340,,67,,14,6,16,216,659,22,681,1196
Querétaro,479,433,,70,,12,9,14,235,773,17,790,1305
Querétaro,480,453,,74,,11,6,12,223,779,28,807,1386
Querétaro,481,868,,160,,40,8,53,347,1476,9,1485,2000
Querétaro,482,600,,65,,22,6,9,157,859,7,866,1122
Querétaro,483,1086,,115,,36,4,14,236,1491,12,1503,1867
Querétaro,484,638,,47,,29,1,16,155,886,8,894,1161
Querétaro,485,418,,20,,22,2,3,103,568,2,570,734
Querétaro,486,506,,89,,11,10,26,225,867,21,888,1547
Querétaro,487,461,,79,,13,3,7,279,842,10,852,1445
Querétaro,488,521,,112,,23,16,20,365,1057,19,1076,1970
Querétaro,489,361,,81,,8,12,15,227,704,17,721,1200
Querétaro,490,403,,83,,13,8,12,273,792,10,802,1216
Querétaro,491,2199,,185,,72,12,33,518,3019,22,3041,4147
Querétaro,492,629,,180,,25,12,33,383,1262,24,1286,1987
Querétaro,493,397,,109,,49,6,14,256,831,14,845,1476
Querétaro,494,392,,96,,16,4,19,285,812,20,832,1474
Querétaro,495,928,,295,,42,17,32,495,1809,36,1845,3251
Querétaro,496,456,,136,,16,8,18,261,895,20,915,1615
Querétaro,497,456,,113,,22,5,16,250,862,24,886,1523
Querétaro,498,459,,66,,16,12,15,269,837,10,847,1454
Querétaro,499,414,,91,,16,9,13,229,772,22,794,1326
Querétaro,500,469,,90,,27,10,14,318,928,19,947,1566
Querétaro,501,466,,90,,19,14,14,211,814,18,832,1441
Querétaro,502,565,,39,,17,0,12,148,781,5,786,1280
Querétaro,503,428,,92,,14,16,14,232,796,20,816,1473
Querétaro,504,425,,72,,21,5,8,286,817,11,828,1493
Querétaro,505,409,,138,,20,6,10,286,869,36,905,1500
Querétaro,506,434,,99,,19,3,22,240,817,10,827,1189
Querétaro,507,412,,115,,24,5,22,273,851,9,860,1291
Querétaro,508,544,,140,,30,7,20,296,1037,18,1055,1666
Querétaro,509,493,,90,,22,6,17,307,935,10,945,1446
Querétaro,510,659,,160,,19,11,18,317,1184,39,1223,1994
Querétaro,511,510,,104,,19,18,16,293,960,24,984,1758
Querétaro,512,455,,84,,15,7,16,264,841,32,873,1518
Querétaro,513,688,,247,,24,12,19,262,1252,23,1275,2382
Querétaro,514,608,,190,,45,23,26,413,1305,27,1332,2165
Querétaro,515,725,,200,,25,6,42,349,1347,18,1365,2012
Querétaro,516,144,,55,,2,2,2,383,588,24,612,1196
Querétaro,517,783,,71,,12,13,16,331,1226,42,1268,1851
Querétaro,518,649,,87,,16,15,14,363,1144,34,1178,2149
Querétaro,519,104,,152,,25,13,12,524,830,33,863,1764
Querétaro,520,397,,40,,4,1,7,186,635,19,654,951
Querétaro,521,220,,9,,19,3,2,142,395,25,420,741
Querétaro,522,758,,103,,9,14,24,458,1366,27,1393,2536
Querétaro,523,260,,78,,7,8,6,191,550,37,587,1034
Querétaro,524,436,,48,,6,4,8,263,765,56,821,1447
Querétaro,525,402,,69,,18,8,11,296,804,22,826,1358
Querétaro,526,465,,43,,8,7,6,243,772,28,800,1285
Querétaro,527,851,,66,,43,14,45,472,1491,56,1547,3160
Querétaro,528,475,,33,,9,5,9,145,676,10,686,1102
Querétaro,529,781,,59,,17,11,41,559,1468,39,1507,2342
Querétaro,530,203,,29,,9,5,4,129,379,27,406,900
Querétaro,531,390,,65,,11,3,14,216,699,12,711,1248
Querétaro,532,396,,88,,23,10,9,273,799,16,815,1448
Querétaro,533,313,,86,,9,5,12,191,616,21,637,1195
Querétaro,534,461,,72,,22,12,18,345,930,14,944,1573
Querétaro,535,238,,39,,10,5,12,217,521,9,530,949
Querétaro,536,452,,90,,18,14,22,418,1014,31,1045,1910
Querétaro,537,292,,54,,7,12,11,314,690,24,714,1558
Querétaro,538,280,,80,,17,5,11,226,619,20,639,1167
Querétaro,539,339,,131,,14,6,13,488,991,39,1030,2291
Querétaro,540,360,,41,,6,3,3,331,744,18,762,1541
Querétaro,541,1810,,99,,23,4,25,244,2205,10,2215,2977
Querétaro,542,474,,88,,8,12,15,179,776,22,798,1331
Querétaro,543,202,,43,,6,5,1,249,506,24,530,1029
Querétaro,544,165,,61,,12,7,8,606,859,19,878,1352
Querétaro,545,243,,20,,5,5,4,279,556,27,583,1102
Querétaro,546,513,,54,,6,14,9,456,1052,19,1071,1835
Querétaro,547,491,,72,,10,16,12,352,953,35,988,1673
Querétaro,548,524,,61,,14,5,8,232,844,7,851,1478
Querétaro,549,778,,155,,11,7,21,461,1433,33,1466,2531
Querétaro,550,253,,55,,7,18,6,310,649,25,674,1276
Querétaro,551,2095,,505,,52,34,76,837,3599,33,3632,6613
Querétaro,552,806,,303,,24,10,30,718,1891,41,1932,3531
Querétaro,553,499,,149,,21,12,12,602,1295,31,1326,2622
Querétaro,554,514,,156,,17,15,16,468,1186,26,1212,2078
Querétaro,555,194,,59,,12,21,14,154,454,17,471,828
Querétaro,691,218,,39,,9,4,7,98,375,11,386,693
Querétaro,692,218,,39,,4,4,7,77,349,12,361,687
Querétaro,693,209,,121,,12,10,4,100,456,11,467,759
Querétaro,696,102,,42,,14,4,4,109,275,14,289,415
Querétaro,697,254,,66,,13,5,5,120,463,20,483,850
Querétaro,698,161,,62,,7,9,8,96,343,10,353,613
Querétaro,699,208,,158,,7,3,7,90,473,12,485,906
Querétaro,700,236,,53,,7,1,4,64,365,2,367,531
Querétaro,701,228,,76,,9,17,10,148,488,11,499,874
Querétaro,702,106,,17,,3,3,3,34,166,2,168,244
Querétaro,703,234,,32,,11,1,12,81,371,0,371,544
Querétaro,704,256,,53,,12,2,7,102,432,6,438,699
Querétaro,705,263,,70,,12,6,19,130,500,10,510,806
Querétaro,706,197,,52,,28,3,12,187,479,9,488,801
Querétaro,707,185,,64,,13,2,11,169,444,10,454,845
Querétaro,708,103,,56,,14,4,6,193,376,8,384,723
Querétaro,709,156,,57,,10,6,7,220,456,7,463,791
Querétaro,710,210,,40,,18,4,5,165,442,6,448,843
Querétaro,711,246,,66,,13,2,18,153,498,7,505,797
Querétaro,712,289,,57,,13,9,12,124,504,10,514,828
Querétaro,713,99,,21,,1,1,1,23,146,1,147,214
Querétaro,714,236,,45,,10,5,10,106,412,6,418,607
Querétaro,715,96,,25,,1,3,3,37,165,3,168,271
Querétaro,716,258,,51,,4,6,9,123,451,6,457,695
Querétaro,717,243,,60,,13,6,12,120,454,2,456,742
Querétaro,718,168,,77,,6,5,5,156,417,10,427,753
Querétaro,719,266,,68,,5,1,7,113,460,4,464,750
Querétaro,720,115,,49,,1,1,3,54,223,1,224,344
Querétaro,721,65,,28,,5,9,8,46,161,3,164,278
Querétaro,722,131,,34,,3,2,6,57,233,1,234,300
Querétaro,723,113,,22,,4,1,4,46,190,3,193,264
Querétaro,724,113,,24,,0,2,8,70,217,4,221,301
Querétaro,725,43,,21,,2,31,5,38,140,7,147,196
Querétaro,726,81,,55,,4,27,1,84,252,14,266,491
Querétaro,727,91,,28,,1,8,4,25,157,4,161,256
Querétaro,728,281,,52,,14,2,16,106,471,3,474,733
Querétaro,729,219,,53,,9,6,10,121,418,0,418,667
Querétaro,730,110,,12,,3,3,6,45,179,0,179,235
Querétaro,731,124,,18,,3,2,5,28,180,2,182,276
Querétaro,732,222,,51,,7,4,12,78,374,1,375,573
Querétaro,733,114,,20,,5,1,4,69,213,5,218,381
Querétaro,734,224,,27,,7,1,8,79,346,5,351,581
Querétaro,735,245,,27,,7,4,6,76,365,4,369,581
Querétaro,736,257,,43,,6,3,7,100,416,7,423,667
Querétaro,737,170,,39,,4,2,9,85,309,1,310,549
Querétaro,738,239,,42,,9,1,7,94,392,3,395,636
Querétaro,739,260,,71,,9,6,11,95,452,2,454,770
Querétaro,740,273,,52,,5,5,7,82,424,6,430,727
Querétaro,741,259,,66,,11,1,9,81,427,7,434,727
Querétaro,742,294,,63,,7,2,15,106,487,10,497,768
Querétaro,743,286,,50,,5,6,10,84,441,5,446,677
Querétaro,744,268,,47,,12,3,4,101,435,9,444,697
Querétaro,745,66,,24,,4,2,0,19,115,0,115,168
Querétaro,746,72,,23,,4,4,6,33,142,1,143,202
Querétaro,747,229,,52,,16,5,7,88,397,3,400,605
Querétaro,748,96,,36,,1,3,5,33,174,3,177,278
Querétaro,749,124,,36,,2,2,5,41,210,0,210,336
Querétaro,750,191,,60,,8,2,11,71,343,3,346,533
Querétaro,751,169,,37,,3,2,7,45,263,0,263,390
Querétaro,752,236,,47,,4,1,8,58,354,0,354,504
Querétaro,753,155,,20,,4,2,9,36,226,2,228,318
Querétaro,754,184,,31,,6,2,3,35,261,1,262,381
Querétaro,755,281,,50,,1,1,11,109,453,6,459,762
Querétaro,756,309,,61,,5,6,10,93,484,8,492,775
Querétaro,757,73,,29,,6,2,3,36,149,1,150,256
Querétaro,758,103,,29,,2,0,5,20,159,1,160,308
Querétaro,759,58,,15,,1,1,1,25,101,2,103,182
,,,,,,,,,,,,,
SAN JOAQUIN,556,105,0,26,0,9,19,8,131,298,15,313,527
SAN JOAQUIN,556,102,0,21,0,13,10,5,155,306,24,330,528
SAN JOAQUIN,557,153,0,33,0,6,18,3,219,432,23,455,728
SAN JOAQUIN,557,192,0,31,0,10,26,8,180,447,17,464,728
SAN JOAQUIN,558,102,0,7,0,2,3,2,87,203,8,211,306
SAN JOAQUIN,558,41,0,5,0,1,1,2,237,287,13,300,516
SAN JOAQUIN,559,43,0,3,0,2,1,0,136,185,4,189,421
SAN JOAQUIN,560,71,0,11,0,0,13,12,64,171,7,178,334
SAN JOAQUIN,560,19,0,4,0,0,0,1,53,77,7,84,146
SAN JOAQUIN,560,63,0,5,0,1,7,1,115,192,4,196,335
SAN JOAQUIN,561,20,0,2,0,1,0,1,42,66,6,72,134
SAN JOAQUIN,561,32,0,2,0,2,16,3,18,73,4,77,128
SAN JOAQUIN,562,76,0,3,0,5,1,2,80,167,3,170,253
,,,,,,,,,,,,,
San Juan del Río,563,522,,139,,48,10,19,147,885,17,902,1522
San Juan del Río,564,676,,146,,63,11,30,144,1070,24,1094,1922
San Juan del Río,565,904,,279,,77,33,96,211,1600,23,1623,2679
San Juan del Río,566,3973,,865,,501,101,285,815,6540,74,6614,10685
San Juan del Río,567,588,,186,,89,19,38,184,1104,21,1125,1900
San Juan del Río,568,709,,119,,103,17,45,100,1093,19,1112,1745
San Juan del Río,569,485,,85,,55,22,24,76,747,21,768,1090
San Juan del Río,570,538,,121,,38,16,42,95,850,26,876,1437
San Juan del Río,571,634,,153,,51,20,63,139,1060,9,1069,1708
San Juan del Río,572,495,,102,,43,15,44,126,825,10,835,1184
San Juan del Río,573,482,,58,,38,13,29,89,709,16,725,1033
San Juan del Río,574,559,,130,,66,13,62,88,918,17,935,1692
San Juan del Río,575,355,,90,,65,14,20,63,607,6,613,1083
San Juan del Río,576,484,,117,,69,7,40,87,804,15,819,1384
San Juan del Río,577,507,,135,,34,15,49,115,855,15,870,1266
San Juan del Río,578,335,,85,,30,13,34,107,604,9,613,907
San Juan del Río,579,591,,66,,47,19,20,120,863,16,879,1224
San Juan del Río,580,561,,87,,37,14,47,86,832,10,842,1237
San Juan del Río,581,338,,66,,21,4,38,64,531,7,538,883
San Juan del Río,582,354,,84,,51,12,44,59,604,7,611,1000
San Juan del Río,583,529,,145,,63,17,55,94,903,21,924,1428
San Juan del Río,584,1198,,330,,225,33,114,264,2164,29,2193,3403
San Juan del Río,585,983,,256,,122,29,89,231,1710,29,1739,2880
San Juan del Río,586,1229,,367,,160,25,104,316,2201,51,2252,3871
San Juan del Río,587,369,,124,,50,13,38,101,695,8,703,1275
San Juan del Río,588,354,,72,,33,9,24,100,592,21,613,923
San Juan del Río,589,477,,90,,56,19,40,94,776,26,802,1211
San Juan del Río,590,560,,120,,57,23,33,161,954,20,974,1524
San Juan del Río,591,596,,109,,36,32,49,117,939,17,956,1394
San Juan del Río,592,383,,115,,37,12,36,87,670,25,695,1134
San Juan del Río,593,375,,130,,56,7,36,62,666,14,680,1171
San Juan del Río,594,431,,94,,42,11,38,70,686,29,715,1278
San Juan del Río,595,1228,,282,,189,30,93,290,2112,30,2142,3456
San Juan del Río,596,335,,70,,58,16,37,75,591,11,602,945
San Juan del Río,597,300,,77,,59,6,21,73,536,7,543,862
San Juan del Río,598,424,,106,,72,14,29,111,756,14,770,1206
San Juan del Río,599,956,,279,,160,26,64,164,1649,55,1704,2842
San Juan del Río,600,708,,136,,155,16,45,169,1229,20,1249,1981
San Juan del Río,601,344,,62,,65,11,31,85,598,11,609,930
San Juan del Río,602,443,,103,,50,7,31,91,725,18,743,1154
San Juan del Río,603,320,,88,,60,12,20,95,595,13,608,1148
San Juan del Río,604,376,,97,,41,14,47,117,692,14,706,1086
San Juan del Río,605,612,,182,,50,42,37,138,1061,36,1097,1867
San Juan del Río,606,537,,97,,85,6,25,123,873,20,893,1372
San Juan del Río,607,455,,114,,93,31,35,215,943,25,968,1624
San Juan del Río,608,602,,88,,5,7,34,221,957,50,1007,1740
San Juan del Río,609,602,,118,,7,4,31,220,982,21,1003,1705
San Juan del Río,610,319,,78,,11,11,97,102,618,12,630,1019
San Juan del Río,611,643,,102,,17,25,59,211,1057,42,1099,1867
San Juan del Río,612,509,,283,,26,9,35,250,1112,32,1144,1916
San Juan del Río,613,424,,246,,37,15,36,309,1067,33,1100,2136
San Juan del Río,614,642,,192,,48,13,65,195,1155,56,1211,2406
San Juan del Río,615,297,,48,,13,7,25,372,762,46,808,1997
San Juan del Río,616,640,,121,,32,15,34,226,1068,29,1097,1774
San Juan del Río,617,727,,176,,34,17,189,241,1384,39,1423,2363
San Juan del Río,618,525,,115,,49,13,23,269,994,37,1031,1612
San Juan del Río,619,827,,165,,60,21,27,268,1368,38,1406,2338
San Juan del Río,620,635,,111,,17,10,17,180,970,65,1035,1885
San Juan del Río,621,157,,86,,6,13,5,134,401,28,429,902
San Juan del Río,622,730,,77,,26,7,26,226,1092,34,1126,1813
San Juan del Río,623,711,,243,,67,31,51,180,1283,34,1317,2128
San Juan del Río,624,571,,243,,83,23,59,217,1196,61,1257,2249
San Juan del Río,625,233,,71,,17,17,30,140,508,28,536,1222
San Juan del Río,626,452,,43,,42,8,25,164,734,23,757,1236
San Juan del Río,627,509,,75,,16,10,34,186,830,29,859,1479
San Juan del Río,628,118,,17,,2,3,17,151,308,17,325,694
San Juan del Río,629,226,,103,,11,22,51,265,678,26,704,1483
San Juan del Río,630,239,,116,,12,21,26,178,592,66,658,1348
San Juan del Río,631,339,,65,,13,5,17,141,580,32,612,1040
San Juan del Río,632,659,,180,,57,31,50,268,1245,36,1281,2331
San Juan del Río,633,294,,196,,24,14,23,269,820,28,848,1352
San Juan del Río,634,350,,245,,42,23,41,335,1036,49,1085,1587
San Juan del Río,635,343,,95,,27,9,35,352,861,36,897,1461
San Juan del Río,636,241,,54,,15,14,33,178,535,36,571,1102
San Juan del Río,637,422,,126,,11,9,45,224,837,28,865,1336
San Juan del Río,638,299,,102,,12,8,35,279,735,11,746,1293
San Juan del Río,639,372,,128,,20,19,42,353,934,57,991,1922
San Juan del Río,640,698,,158,,15,10,41,311,1233,34,1267,2106
San Juan del Río,641,365,,42,,13,10,48,409,887,28,915,1516
San Juan del Río,642,482,,107,,87,6,19,311,1012,41,1053,1884
San Juan del Río,643,162,,55,,7,4,60,198,486,24,510,900
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Tequisquiapan,644,144,,27,,47,1,3,65,287,3,290,373
Tequisquiapan,645,192,,318,,93,24,21,133,781,15,796,1096
Tequisquiapan,646,135,,633,,127,24,12,113,1044,23,1067,1458
Tequisquiapan,647,227,,286,,94,40,18,318,983,30,1013,1611
Tequisquiapan,648,219,,248,,145,54,40,267,973,22,995,1511
Tequisquiapan,649,211,,171,,84,52,17,161,696,28,724,987
Tequisquiapan,650,179,,235,,106,58,15,294,887,28,915,1342
Tequisquiapan,651,120,,177,,71,27,17,192,604,11,615,908
Tequisquiapan,652,89,,59,,17,9,4,90,268,1,269,412
Tequisquiapan,653,198,,205,,89,23,20,185,720,26,746,1154
Tequisquiapan,654,169,,201,,103,35,16,195,719,19,738,1153
Tequisquiapan,655,131,,111,,52,21,11,195,521,18,539,813
Tequisquiapan,656,331,,268,,132,59,61,358,1209,26,1235,1823
Tequisquiapan,657,172,,209,,101,34,16,193,725,30,755,1154
Tequisquiapan,658,184,,252,,133,38,19,207,833,24,857,1354
Tequisquiapan,659,214,,329,,263,35,22,203,1066,35,1101,1669
Tequisquiapan,660,334,,250,,99,7,13,287,990,41,1031,1564
Tequisquiapan,661,81,,126,,230,47,13,209,706,40,746,1143
Tequisquiapan,662,88,,50,,202,11,12,161,524,21,545,848
Tequisquiapan,663,94,,217,,69,14,4,88,486,8,494,768
Tequisquiapan,664,110,,26,,23,4,3,53,219,2,221,330
Tequisquiapan,665,218,,356,,128,13,10,177,902,26,928,1302
Tequisquiapan,666,450,,357,,56,17,12,155,1047,40,1087,1581
Tequisquiapan,667,382,,241,,53,19,16,289,1000,27,1027,1627
Tequisquiapan,668,254,,261,,154,26,29,257,981,53,1034,1673
Tequisquiapan,669,132,,189,,44,8,22,255,650,21,671,1045
Tequisquiapan,670,350,,206,,76,34,6,65,737,27,764,1073
Tequisquiapan,671,187,,157,,160,24,7,204,739,33,772,1313
Tequisquiapan,672,331,,292,,75,23,15,223,959,31,990,1537
Tequisquiapan,673,404,,295,,97,23,22,228,1069,21,1090,1666
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Tolimán,674,129,,16,,391,13,7,232,788,31,819,1190
Tolimán,675,197,,20,,269,30,2,190,708,25,733,1062
Tolimán,676,36,,3,,31,24,0,75,169,5,174,256
Tolimán,677,198,,13,,169,40,2,162,584,69,653,1022
Tolimán,678,100,,5,,163,9,0,148,425,12,437,627
Tolimán,679,283,,49,,286,30,16,276,940,93,1033,1613
Tolimán,680,108,,11,,184,19,3,149,474,28,502,723
Tolimán,681,288,,22,,148,3,21,121,603,13,616,911
Tolimán,682,275,,38,,321,40,3,276,953,66,1019,1614
Tolimán,683,197,,40,,307,17,7,274,842,41,883,1300
Tolimán,684,457,,58,,419,48,31,289,1302,69,1371,2306
Tolimán,685,6,,0,,21,8,0,19,54,4,58,74
Tolimán,686,80,,4,,102,3,3,186,378,29,407,633
Tolimán,687,323,,11,,212,97,9,265,917,35,952,1249
