MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PC,PSN,PAS,PD,VALIDOS,No Registrados,Nulos,Total,Comment
GOMEZ PALACIO,531,C,28,207,5,0,0,0,0,0,2,242,0,3,245,
GOMEZ PALACIO,532,B,80,177,6,2,2,0,0,0,4,271,0,5,276,
GOMEZ PALACIO,533,B,55,126,0,0,0,0,0,0,0,181,0,3,184,
GOMEZ PALACIO,533,C,73,108,1,0,1,0,0,0,4,187,1,0,188,
GOMEZ PALACIO,534,B,73,195,6,1,5,0,0,1,5,286,0,1,287,
GOMEZ PALACIO,535,B,125,214,0,2,3,0,0,1,2,347,0,3,350,
GOMEZ PALACIO,535,C,131,206,2,0,2,0,0,0,5,346,0,2,348,
GOMEZ PALACIO,536,B,107,166,3,0,1,0,0,0,7,284,1,3,288,
GOMEZ PALACIO,536,C,117,166,6,0,4,0,0,0,5,298,0,5,303,
GOMEZ PALACIO,537,B,82,111,2,1,0,0,0,0,3,199,0,3,202,
GOMEZ PALACIO,537,C,63,130,5,2,1,0,0,0,3,204,0,4,208,
GOMEZ PALACIO,538,B,61,151,4,1,1,0,0,0,2,220,0,4,224,
GOMEZ PALACIO,538,C,58,152,1,0,0,0,0,0,1,212,0,3,215,
GOMEZ PALACIO,539,B,34,134,6,0,1,0,0,1,1,177,0,4,181,
GOMEZ PALACIO,539,C,32,131,3,2,0,0,0,0,7,175,0,4,179,
GOMEZ PALACIO,540,B,67,209,4,0,0,0,0,0,4,284,0,9,293,
GOMEZ PALACIO,541,B,40,209,6,0,1,0,0,0,3,259,0,0,259,
GOMEZ PALACIO,541,C,58,220,5,0,3,0,0,0,0,286,0,5,291,
GOMEZ PALACIO,541,C,53,205,1,3,0,0,0,3,3,268,0,4,272,
GOMEZ PALACIO,541,C,39,219,2,1,1,0,0,1,4,267,0,5,272,
GOMEZ PALACIO,542,B,45,112,0,0,2,0,0,1,4,164,0,4,168,
GOMEZ PALACIO,542,C,51,121,3,0,0,0,0,1,7,183,0,1,184,
GOMEZ PALACIO,543,B,60,200,4,2,4,0,0,0,4,274,0,1,275,
GOMEZ PALACIO,544,B,32,138,1,0,0,0,1,0,1,173,0,4,177,
GOMEZ PALACIO,544,C,31,135,0,0,1,0,0,0,4,171,0,1,172,
GOMEZ PALACIO,545,B,56,187,0,1,0,0,0,1,4,249,0,1,250,
GOMEZ PALACIO,546,B,113,242,3,0,1,0,0,0,1,360,0,3,363,
GOMEZ PALACIO,547,B,53,258,9,1,7,2,0,0,2,332,0,6,338,
GOMEZ PALACIO,548,B,31,156,3,2,1,0,0,0,0,193,0,2,195,
GOMEZ PALACIO,548,C,21,147,5,4,0,0,0,0,0,177,0,3,180,
GOMEZ PALACIO,549,B,46,153,13,0,1,0,0,0,1,214,0,10,224,
GOMEZ PALACIO,550,B,27,171,3,3,3,0,0,0,1,208,0,3,211,
GOMEZ PALACIO,550,C,37,140,5,0,1,0,0,1,0,184,0,0,184,
GOMEZ PALACIO,551,B,21,167,1,0,1,0,0,0,2,192,0,2,194,
GOMEZ PALACIO,551,C,30,141,2,2,2,0,0,0,3,180,0,3,183,
GOMEZ PALACIO,552,B,101,179,1,2,5,0,0,0,0,288,0,2,290,
GOMEZ PALACIO,552,C,113,177,3,0,3,0,0,1,1,298,0,9,307,
GOMEZ PALACIO,553,B,20,146,4,0,1,0,0,0,3,174,0,2,176,
GOMEZ PALACIO,553,C,22,149,2,2,4,0,0,0,0,179,0,0,179,
GOMEZ PALACIO,554,B,42,194,11,4,4,0,0,0,1,256,0,0,256,
GOMEZ PALACIO,555,B,33,111,4,0,1,0,0,0,2,151,0,1,152,
GOMEZ PALACIO,556,B,15,105,21,1,1,0,0,0,0,143,0,0,143,
GOMEZ PALACIO,557,B,18,32,5,0,0,0,0,0,0,55,0,0,55,
GOMEZ PALACIO,558,B,41,118,3,0,0,0,0,0,1,163,0,2,165,
GOMEZ PALACIO,558,C,27,124,4,1,1,0,0,0,5,162,0,2,164,
GOMEZ PALACIO,559,B,57,137,3,0,0,0,0,0,0,197,1,5,203,
GOMEZ PALACIO,559,C,102,107,5,0,0,0,0,0,1,215,0,0,215,
GOMEZ PALACIO,560,B,40,115,21,1,0,0,0,0,3,180,0,3,183,
GOMEZ PALACIO,560,C,43,102,15,0,0,0,0,0,4,164,0,0,164,
GOMEZ PALACIO,561,B,49,196,24,3,1,0,0,0,13,286,0,5,291,
GOMEZ PALACIO,561,X,110,248,7,1,1,0,0,0,0,367,0,17,384,
GOMEZ PALACIO,562,B,9,129,31,0,2,0,0,0,11,182,0,0,182,
GOMEZ PALACIO,562,C,26,150,20,3,0,0,0,0,1,200,0,1,201,
GOMEZ PALACIO,563,B,23,146,51,0,0,0,0,0,1,221,0,0,221,
GOMEZ PALACIO,564,B,32,109,1,0,1,0,0,0,7,150,0,0,150,
GOMEZ PALACIO,564,C,53,118,4,1,3,0,0,0,0,179,0,2,181,
GOMEZ PALACIO,565,B,73,121,0,1,0,0,0,0,0,195,0,5,200,
GOMEZ PALACIO,565,C,60,156,1,1,1,0,0,0,0,219,0,0,219,
GOMEZ PALACIO,566,B,33,178,5,10,1,0,0,0,1,228,0,8,236,
GOMEZ PALACIO,566,C,16,193,4,17,2,0,0,0,3,235,0,0,235,
GOMEZ PALACIO,567,B,43,151,8,0,2,0,0,0,12,216,0,7,223,
GOMEZ PALACIO,567,C,41,146,10,2,1,0,0,0,6,206,0,8,214,
GOMEZ PALACIO,568,B,39,104,3,1,0,0,0,0,0,147,0,6,153,
GOMEZ PALACIO,569,B,12,167,2,4,2,0,0,0,2,189,0,8,197,
GOMEZ PALACIO,569,C,17,130,3,2,0,0,0,0,2,154,9,2,165,
GOMEZ PALACIO,570,B,85,216,4,2,4,0,0,1,3,315,0,9,324,
GOMEZ PALACIO,571,B,64,241,3,3,7,0,0,0,1,319,0,4,323,
GOMEZ PALACIO,571,X,17,195,8,0,2,0,0,0,0,222,0,2,224,
GOMEZ PALACIO,572,B,25,239,5,1,16,0,0,2,9,297,0,0,297,
GOMEZ PALACIO,573,B,16,115,5,2,1,0,0,1,6,146,0,3,149,
GOMEZ PALACIO,573,X,8,119,3,2,1,0,0,0,0,133,0,1,134,
GOMEZ PALACIO,574,B,13,164,10,0,1,0,0,0,10,198,0,8,206,
GOMEZ PALACIO,574,C,19,134,5,0,1,0,0,0,6,165,0,5,170,
GOMEZ PALACIO,574,C,26,141,4,3,0,0,0,0,8,182,0,6,188,
GOMEZ PALACIO,575,B,79,135,11,2,17,0,0,0,0,244,0,0,244,
GOMEZ PALACIO,576,B,30,0,9,0,0,0,0,0,1,40,0,0,40,
GOMEZ PALACIO,577,B,9,248,11,0,0,0,0,0,1,269,0,0,269,
GOMEZ PALACIO,578,B,24,124,18,8,12,0,0,0,1,187,1,7,195,
GOMEZ PALACIO,579,B,35,145,3,0,28,0,0,0,0,211,6,3,220,
GOMEZ PALACIO,579,X,27,169,4,2,8,0,0,0,0,210,0,3,213,
GOMEZ PALACIO,580,B,93,143,17,0,8,0,0,1,1,263,0,8,271,
GOMEZ PALACIO,581,B,17,166,2,4,0,0,0,0,9,198,1,7,206,
GOMEZ PALACIO,581,C,28,172,3,0,5,0,0,0,6,214,0,0,214,
GOMEZ PALACIO,582,B,23,187,6,0,0,0,0,0,3,219,0,6,225,
GOMEZ PALACIO,582,C,7,172,9,3,0,0,0,0,6,197,0,5,202,
GOMEZ PALACIO,583,B,12,151,2,3,6,0,0,0,0,174,0,4,178,
GOMEZ PALACIO,583,C,15,182,9,4,1,0,0,0,4,215,0,3,218,
GOMEZ PALACIO,584,B,23,165,5,10,0,0,0,0,0,203,0,1,204,
GOMEZ PALACIO,585,B,29,153,17,8,1,0,0,0,3,211,0,31,242,
GOMEZ PALACIO,585,C,33,153,18,11,1,0,0,1,0,217,0,23,240,
GOMEZ PALACIO,586,B,25,138,8,0,5,0,0,0,2,178,0,9,187,
GOMEZ PALACIO,587,B,31,84,9,0,0,0,0,0,6,130,0,0,130,
GOMEZ PALACIO,588,B,32,192,30,5,1,0,0,1,9,270,0,2,272,
GOMEZ PALACIO,588,X,54,198,2,1,4,0,0,0,5,264,0,7,271,
GOMEZ PALACIO,589,B,11,111,18,0,0,0,0,0,8,148,0,5,153,
GOMEZ PALACIO,589,C,7,135,22,1,0,0,0,0,6,171,0,4,175,
GOMEZ PALACIO,590,B,25,180,16,1,0,0,0,0,4,226,0,4,230,
GOMEZ PALACIO,590,C,10,181,10,2,0,0,0,0,2,205,0,3,208,
GOMEZ PALACIO,591,B,27,255,21,0,1,0,0,0,0,304,5,0,309,
GOMEZ PALACIO,592,B,5,108,28,0,0,0,0,1,3,145,0,3,148,
GOMEZ PALACIO,592,C,15,87,35,0,0,0,0,0,0,137,0,1,138,
GOMEZ PALACIO,593,B,20,94,3,0,0,0,0,0,7,124,0,3,127,
GOMEZ PALACIO,594,B,26,175,4,1,1,0,0,0,17,224,0,10,234,
GOMEZ PALACIO,595,B,23,174,1,1,0,0,0,0,7,206,0,5,211,
GOMEZ PALACIO,596,B,22,121,9,6,0,0,0,0,2,160,0,4,164,
GOMEZ PALACIO,597,B,16,151,4,1,1,0,0,0,1,174,0,7,181,
GOMEZ PALACIO,597,C,7,179,1,2,0,0,0,0,2,191,0,10,201,
GOMEZ PALACIO,597,C,5,176,6,0,0,0,0,1,3,191,0,2,193,
GOMEZ PALACIO,598,B,12,201,5,4,1,0,0,0,3,226,0,4,230,
GOMEZ PALACIO,599,B,3,12,0,0,0,0,0,0,0,15,0,0,15,
GOMEZ PALACIO,600,B,36,199,7,0,0,0,0,0,3,245,0,6,251,
GOMEZ PALACIO,600,C,41,196,7,4,1,0,0,0,2,251,0,0,251,
GOMEZ PALACIO,601,B,23,189,32,1,0,0,0,0,6,251,0,7,258,
GOMEZ PALACIO,601,C,29,204,30,1,6,0,0,1,9,280,0,5,285,
GOMEZ PALACIO,602,B,28,120,2,1,0,0,0,0,0,151,0,1,152,
GOMEZ PALACIO,603,B,63,193,6,0,2,0,0,0,2,266,0,0,266,
GOMEZ PALACIO,603,C,63,213,4,3,6,0,0,0,3,292,0,0,292,
GOMEZ PALACIO,604,B,57,197,6,1,0,0,0,0,11,272,0,0,272,
GOMEZ PALACIO,605,B,53,108,1,0,0,0,0,0,3,165,0,6,171,
GOMEZ PALACIO,605,C,38,117,2,0,0,0,0,0,8,165,0,3,168,
GOMEZ PALACIO,606,B,5,29,2,7,0,0,0,0,0,43,0,1,44,
GOMEZ PALACIO,607,B,41,118,5,0,1,0,0,0,2,167,0,0,167,
GOMEZ PALACIO,607,C,32,127,3,0,0,0,0,0,5,167,0,4,171,
GOMEZ PALACIO,608,B,24,158,16,0,4,0,0,0,13,215,0,10,225,
GOMEZ PALACIO,608,C,19,150,12,6,1,0,0,0,2,190,0,3,193,
GOMEZ PALACIO,609,B,36,168,3,1,1,0,0,0,7,216,0,2,218,
GOMEZ PALACIO,610,B,27,121,4,0,1,0,0,0,3,156,0,0,156,
GOMEZ PALACIO,611,B,46,156,3,0,0,0,0,1,0,206,0,2,208,
GOMEZ PALACIO,611,C,32,159,3,1,1,0,0,0,4,200,0,2,202,
,,,,,,,,,,,,,,,,
GUADALUPE VICTORIA,612,B,201,113,6,1,,,,0,68,389,0,225,614,
GUADALUPE VICTORIA,612,C,182,99,12,1,0,0,0,0,73,367,0,13,380,
GUADALUPE VICTORIA,613,B,130,64,12,1,0,0,0,0,67,274,0,6,280,
GUADALUPE VICTORIA,613,C,131,53,8,5,0,0,0,0,49,246,0,0,246,
GUADALUPE VICTORIA,614,B,157,158,18,6,0,0,0,0,64,403,0,4,407,
GUADALUPE VICTORIA,614,C,156,148,16,2,0,0,0,0,81,403,0,6,409,
GUADALUPE VICTORIA,615,B,196,120,8,5,0,0,0,0,42,371,0,2,373,
GUADALUPE VICTORIA,615,C,194,83,12,8,0,0,0,0,37,334,0,1,335,
GUADALUPE VICTORIA,616,B,120,101,1,4,0,0,0,0,39,265,0,0,265,
GUADALUPE VICTORIA,616,C,127,116,3,6,0,0,0,0,31,283,0,2,285,
GUADALUPE VICTORIA,617,B,158,142,11,6,0,0,0,0,139,456,0,4,460,
GUADALUPE VICTORIA,618,B,122,127,13,6,0,0,0,0,109,377,0,10,387,
GUADALUPE VICTORIA,619,B,113,93,6,7,0,0,0,0,57,276,0,2,278,
GUADALUPE VICTORIA,619,C,138,66,13,17,0,0,0,0,56,290,0,2,292,
GUADALUPE VICTORIA,620,B,96,84,2,13,0,0,0,0,51,246,0,5,251,
GUADALUPE VICTORIA,620,C,101,59,4,4,0,0,0,0,75,243,0,4,247,
GUADALUPE VICTORIA,621,B,145,72,3,4,0,0,0,0,59,283,0,2,285,
GUADALUPE VICTORIA,621,C,120,83,2,3,0,0,0,0,57,265,0,0,265,
GUADALUPE VICTORIA,622,B,82,185,3,6,0,0,0,0,77,353,0,0,353,
GUADALUPE VICTORIA,623,B,7,37,1,2,0,0,0,0,18,65,0,0,65,
GUADALUPE VICTORIA,624,B,104,46,1,7,0,0,0,0,51,209,0,7,216,
GUADALUPE VICTORIA,624,C,106,52,0,6,0,0,0,0,51,215,0,4,219,
GUADALUPE VICTORIA,625,B,145,70,1,8,0,0,0,0,33,257,0,15,272,
GUADALUPE VICTORIA,625,C,169,56,5,3,0,0,0,0,24,257,0,9,266,
GUADALUPE VICTORIA,626,B,61,74,2,7,0,0,0,0,57,201,0,9,210,
GUADALUPE VICTORIA,627,B,19,89,6,10,0,0,0,0,45,169,0,11,180,
GUADALUPE VICTORIA,628,B,130,88,5,4,0,0,0,0,59,286,0,6,292,
GUADALUPE VICTORIA,628,C,101,90,6,2,0,0,0,0,72,271,4,8,283,
GUADALUPE VICTORIA,629,B,142,85,4,1,0,0,0,0,46,278,0,6,284,
GUADALUPE VICTORIA,629,C,159,78,1,4,0,0,0,0,42,284,0,9,293,
GUADALUPE VICTORIA,630,B,66,185,3,6,0,0,0,0,115,375,0,12,387,
GUADALUPE VICTORIA,630,C,79,182,2,15,0,0,0,0,100,378,0,10,388,
GUADALUPE VICTORIA,631,B,75,55,2,50,0,0,0,0,25,207,0,11,218,
GUADALUPE VICTORIA,632,B,93,104,2,26,0,0,0,0,150,375,0,18,393,
GUADALUPE VICTORIA,633,B,123,122,4,13,0,0,0,0,103,365,0,15,380,
GUADALUPE VICTORIA,634,B,153,66,0,8,0,0,0,0,30,257,0,5,262,
GUADALUPE VICTORIA,634,C,130,52,1,12,0,0,0,0,30,225,0,6,231,
GUADALUPE VICTORIA,635,B,97,65,1,3,0,0,0,0,27,193,0,14,207,
GUADALUPE VICTORIA,635,C,103,70,3,4,0,0,0,0,40,220,0,5,225,
GUADALUPE VICTORIA,636,B,157,106,1,6,0,0,0,0,32,302,0,18,320,
GUADALUPE VICTORIA,636,C,150,109,2,15,0,0,0,0,37,313,0,7,320,
GUADALUPE VICTORIA,637,B,19,43,1,17,0,0,0,0,28,108,0,10,118,
GUADALUPE VICTORIA,637,X,14,16,0,0,0,0,0,0,5,35,0,1,36,
,,,,,,,,,,,,,,,,
GUANACEVI,638,B,127,89,0,10,0,0,0,0,1,227,0,5,232,
GUANACEVI,638,C,159,74,0,9,0,0,0,0,1,243,0,9,252,
GUANACEVI,639,B,188,100,0,11,0,0,0,0,1,300,0,9,309,
GUANACEVI,640,B,4,58,0,1,0,0,0,0,0,63,0,7,70,
GUANACEVI,641,B,23,118,0,1,0,0,0,0,2,144,1,5,150,
GUANACEVI,641,X,6,51,0,1,0,0,0,0,0,58,0,1,59,
GUANACEVI,642,B,18,51,0,1,0,0,0,0,0,70,0,2,72,
GUANACEVI,642,X,9,78,0,1,0,0,0,0,0,88,0,1,89,
GUANACEVI,643,B,32,87,0,2,0,0,0,0,0,121,0,4,125,
GUANACEVI,644,B,18,142,0,1,0,0,0,0,1,162,0,4,166,
GUANACEVI,644,X,23,44,0,0,0,0,0,0,0,67,0,4,71,
GUANACEVI,644,X,118,74,0,1,0,0,0,0,0,193,0,10,203,
GUANACEVI,645,B,127,13,0,7,0,0,0,0,0,147,0,4,151,
GUANACEVI,646,B,47,28,0,1,0,0,0,0,0,76,0,4,80,
GUANACEVI,647,B,38,17,0,3,0,0,0,0,1,59,0,2,61,
GUANACEVI,648,B,15,27,0,0,0,0,0,0,1,43,0,2,45,
GUANACEVI,649,B,24,32,0,1,0,0,0,0,0,57,0,5,62,
GUANACEVI,650,B,12,29,0,1,0,0,0,0,0,42,0,2,44,
GUANACEVI,651,B,51,40,0,3,0,0,0,0,0,94,0,6,100,
GUANACEVI,652,B,22,17,0,1,0,0,0,0,0,40,0,2,42,
GUANACEVI,653,B,96,52,0,11,0,0,0,0,1,160,0,3,163,
GUANACEVI,654,B,196,195,0,6,0,0,0,0,4,401,0,48,449,
GUANACEVI,655,B,18,131,0,0,0,0,0,0,0,149,0,5,154,
GUANACEVI,656,B,180,89,0,5,0,0,0,0,0,274,0,17,291,
GUANACEVI,657,B,29,19,0,1,0,0,0,0,1,50,0,2,52,
GUANACEVI,658,B,45,50,0,1,0,0,0,0,0,96,6,6,108,
GUANACEVI,659,B,29,106,0,0,0,0,0,0,1,136,0,3,139,
GUANACEVI,660,B,8,38,0,1,0,0,0,0,0,47,0,2,49,
GUANACEVI,661,B,81,148,0,6,0,0,0,0,2,237,0,17,254,
GUANACEVI,662,B,31,51,0,1,0,0,0,0,1,84,0,8,92,
GUANACEVI,663,B,8,62,0,14,0,0,0,0,0,84,0,4,88,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
HIDALGO,664,B,189,170,0,0,4,0,0,0,0,363,0,4,367,
HIDALGO,665,B,31,32,0,0,0,0,0,0,0,63,0,1,64,
HIDALGO,666,B,85,69,0,0,0,0,0,0,0,154,0,2,156,
HIDALGO,667,B,141,69,0,0,0,0,0,0,0,210,0,5,215,
HIDALGO,668,B,209,191,0,0,2,0,0,0,1,403,0,10,413,
HIDALGO,668,X,82,48,0,0,0,0,0,0,0,130,0,3,133,
HIDALGO,669,B,41,29,0,1,0,0,0,0,0,71,0,1,72,
HIDALGO,670,B,127,105,0,0,0,0,0,0,1,233,0,4,237,
HIDALGO,671,B,95,53,0,0,7,0,0,0,0,155,0,6,161,
HIDALGO,671,X,47,80,0,0,0,0,0,0,0,127,0,2,129,
,,,,,,,,,,,,,,,,
INDE,672,B,122,68,0,0,0,0,0,0,0,190,0,3,193,
INDE,673,B,81,43,0,0,0,0,0,0,1,125,0,0,125,
INDE,674,B,79,60,0,0,0,0,0,0,12,151,0,3,154,
INDE,675,B,40,45,0,0,0,0,0,0,26,111,0,12,123,
INDE,676,B,32,31,0,0,0,0,0,0,3,66,0,0,66,
INDE,677,B,37,30,0,0,0,0,0,0,4,71,0,2,73,
INDE,678,B,160,85,0,0,0,0,0,0,3,248,0,4,252,
INDE,679,B,51,60,0,0,0,0,0,0,0,111,0,4,115,
INDE,680,B,33,42,0,0,0,0,0,0,0,75,0,0,75,
INDE,681,B,45,93,0,0,0,0,0,0,1,139,6,4,149,
INDE,682,B,12,40,0,0,0,0,0,0,2,54,0,3,57,
INDE,683,B,16,42,0,0,0,0,0,0,2,60,0,1,61,
INDE,683,X,39,21,0,0,0,0,0,0,1,61,0,0,61,
INDE,684,B,99,70,0,0,0,0,0,0,3,172,3,4,179,
INDE,684,X,22,23,0,0,0,0,0,0,0,45,0,0,45,
INDE,685,B,21,96,0,0,0,0,0,0,3,120,0,3,123,
INDE,686,B,65,74,0,0,0,0,0,0,4,143,0,0,143,
INDE,686,X,40,24,0,0,0,0,0,0,8,72,0,1,73,
INDE,687,B,58,86,0,0,0,0,0,0,2,146,2,2,150,
INDE,687,X,56,27,0,0,0,0,0,0,0,83,0,10,93,
INDE,688,B,34,8,0,0,0,0,0,0,2,44,0,2,46,
,,,,,,,,,,,,,,,,
LERDO,689,B,64,94,6,9,78,,,6,5,262,,4,266,
LERDO,689,C,68,89,4,10,83,0,0,10,11,275,1,4,280,
LERDO,690,B,135,138,12,1,3,0,0,2,16,307,0,6,313,
LERDO,690,C,119,128,9,0,3,0,0,2,6,267,0,4,271,
LERDO,691,B,81,90,0,1,17,0,0,1,2,192,0,7,199,
LERDO,692,B,60,64,2,1,3,0,0,1,3,134,0,1,135,
LERDO,692,C,73,94,1,1,2,0,0,1,3,175,0,1,176,
LERDO,693,B,66,91,6,3,7,0,0,6,3,182,0,3,185,
LERDO,693,C,73,83,2,1,8,0,0,5,1,173,0,0,173,
LERDO,694,B,101,118,2,1,10,0,0,1,6,239,0,3,242,
LERDO,694,C,135,88,0,0,6,0,0,2,5,236,0,0,236,
LERDO,695,B,105,154,3,1,8,0,0,2,9,282,0,3,285,
LERDO,695,C,109,166,3,1,14,0,0,1,5,299,0,4,303,
LERDO,696,B,133,154,2,0,9,0,0,2,5,305,2,4,311,
LERDO,696,C,150,156,4,0,7,0,0,4,3,324,0,9,333,
LERDO,697,B,151,185,8,2,14,0,0,5,9,374,0,2,376,
LERDO,697,C,140,186,7,2,7,0,0,9,7,358,0,3,361,
LERDO,698,B,133,137,12,1,4,0,0,8,13,308,0,3,311,
LERDO,699,B,102,98,4,2,4,0,0,3,1,214,0,3,217,
LERDO,699,C,99,108,3,3,4,0,0,4,12,233,0,3,236,
LERDO,700,B,130,106,4,1,9,0,0,7,16,273,0,1,274,
LERDO,701,B,91,131,5,2,4,0,0,1,5,239,0,6,245,
LERDO,701,C,108,114,4,0,6,0,0,1,8,241,0,5,246,
LERDO,702,B,187,154,10,2,7,0,0,4,12,376,0,9,385,
LERDO,703,B,118,109,1,6,4,0,0,2,2,242,0,4,246,
LERDO,703,C,140,104,1,2,5,0,0,1,2,255,0,2,257,
LERDO,704,B,156,130,9,1,3,0,,3,13,315,0,1,316,
LERDO,704,C,154,137,2,2,5,0,,2,5,307,0,16,323,
LERDO,705,B,138,150,4,4,5,0,,2,10,313,0,3,316,
LERDO,705,C,144,165,2,1,4,0,,4,4,324,0,2,326,
LERDO,705,C,139,173,3,0,15,0,,2,8,340,0,3,343,
LERDO,706,B,62,52,1,0,25,0,,1,8,149,0,1,150,
LERDO,706,C,52,71,1,1,13,0,,4,8,150,0,3,153,
LERDO,707,B,81,103,5,0,4,0,,2,0,195,0,3,198,
LERDO,708,B,60,83,5,2,0,0,,2,1,153,0,2,155,
LERDO,708,C,52,93,3,1,1,0,,2,1,153,0,2,155,
LERDO,709,B,99,177,5,3,10,0,,1,2,297,0,2,299,
LERDO,710,B,60,122,3,1,2,0,,0,2,190,0,7,197,
LERDO,710,C,70,149,5,8,0,0,,4,10,246,0,2,248,
LERDO,711,B,108,175,2,3,1,0,,1,4,294,0,6,300,
LERDO,711,C,113,184,2,1,9,0,,3,4,316,4,0,320,
LERDO,712,B,136,115,1,3,5,0,,1,7,268,0,0,268,
LERDO,712,C,138,128,2,7,5,0,,1,2,283,0,7,290,
LERDO,713,B,117,147,3,2,3,0,,2,1,275,0,3,278,
LERDO,713,C,143,110,0,3,6,0,,1,8,271,0,4,275,
LERDO,714,B,111,93,2,2,5,0,,1,5,219,0,1,220,
LERDO,714,C,128,109,3,0,3,0,,4,6,253,0,1,254,
LERDO,715,B,100,125,8,3,6,0,,1,4,247,0,4,251,
LERDO,715,C,121,103,1,6,3,0,,2,2,238,0,7,245,
LERDO,716,B,145,159,7,1,5,0,,1,17,335,0,6,341,
LERDO,717,B,69,138,23,4,2,0,,0,9,245,0,0,245,
LERDO,718,B,73,87,3,1,6,0,,1,2,173,0,2,175,
LERDO,718,C,99,88,1,2,11,0,,1,1,203,0,1,204,
LERDO,719,B,127,145,2,2,3,0,0,1,7,287,,12,299,
LERDO,719,C,135,138,5,2,8,0,0,1,12,301,,4,305,
LERDO,720,B,121,147,0,1,9,0,0,1,5,284,0,3,287,
LERDO,720,C,107,190,4,1,10,0,0,1,2,315,0,7,322,
LERDO,721,B,109,178,2,2,5,0,0,1,1,298,0,3,301,
LERDO,721,C,93,146,1,2,3,0,0,1,3,249,0,5,254,
LERDO,722,B,110,143,3,1,4,0,0,1,9,271,0,5,276,
LERDO,722,C,127,134,0,2,7,0,0,2,7,279,0,4,283,
LERDO,722,C,119,143,7,5,5,0,0,3,4,286,0,6,292,
LERDO,723,B,180,152,1,3,11,0,0,0,4,351,0,4,355,
LERDO,723,C,151,153,3,5,11,0,0,3,2,328,0,4,332,
LERDO,724,B,128,103,4,5,3,0,0,3,5,251,0,6,257,
LERDO,724,C,124,131,1,2,4,0,0,1,1,264,0,6,270,
LERDO,725,B,81,143,3,15,6,0,0,0,2,250,0,5,255,
LERDO,726,B,70,94,1,0,3,0,0,0,2,170,0,3,173,
LERDO,726,C,79,82,4,2,4,0,0,1,2,174,0,2,176,
LERDO,727,B,86,89,3,6,32,0,0,1,2,219,0,4,223,
LERDO,727,C,102,99,2,3,38,0,0,2,3,249,0,6,255,
LERDO,728,B,7,117,2,4,6,0,0,0,59,195,0,5,200,
LERDO,729,B,41,34,1,1,2,0,0,0,1,80,0,29,109,
LERDO,730,B,75,67,1,5,19,0,0,0,10,177,0,4,181,
LERDO,730,C,69,71,2,2,12,0,0,0,3,159,0,3,162,
LERDO,730,X,67,77,1,1,0,0,0,0,22,168,0,0,168,
LERDO,731,B,80,59,0,0,28,0,0,0,33,200,0,5,205,
LERDO,732,B,64,89,2,4,23,0,0,0,6,188,,9,197,
LERDO,733,B,89,130,1,3,25,0,0,0,2,250,0,2,252,
LERDO,733,C,92,98,3,2,22,0,0,0,2,219,0,4,223,
LERDO,734,B,55,118,8,8,4,0,0,0,1,194,0,10,204,
LERDO,734,C,58,146,2,5,3,0,0,0,0,214,0,3,217,
LERDO,735,B,109,184,7,1,19,0,0,0,1,321,0,7,328,
LERDO,735,C,123,205,6,7,28,0,0,0,2,371,0,9,380,
LERDO,736,B,19,113,6,1,21,0,0,0,5,165,0,0,165,
LERDO,737,B,34,137,16,1,50,0,0,1,5,244,0,4,248,
LERDO,737,C,44,118,9,1,43,0,0,0,5,220,0,0,220,
LERDO,738,B,61,211,23,0,2,0,0,0,19,316,0,2,318,
LERDO,738,C,71,219,29,4,4,0,0,0,12,339,0,4,343,
LERDO,739,B,59,117,6,1,0,0,0,0,0,183,0,0,183,
LERDO,739,C,49,109,9,2,2,0,0,0,0,171,0,1,172,
LERDO,739,X,33,107,7,2,0,0,0,0,3,152,0,1,153,
LERDO,740,B,38,108,20,4,7,0,0,0,1,178,0,4,182,
LERDO,741,B,38,178,8,0,10,0,0,3,3,240,0,0,240,
LERDO,741,C,44,181,4,3,7,0,0,1,2,242,0,6,248,
LERDO,742,B,25,157,3,2,15,0,0,0,1,203,0,0,203,
LERDO,742,C,42,144,6,2,13,0,0,0,5,212,0,4,216,
LERDO,743,B,72,116,3,0,0,0,0,0,3,194,0,4,198,
LERDO,744,B,59,100,1,3,1,0,0,1,14,179,0,3,182,
LERDO,745,B,81,194,4,3,1,0,0,0,3,286,0,0,286,
LERDO,746,B,82,76,6,3,3,0,0,0,5,175,0,0,175,
LERDO,746,C,78,93,1,2,0,0,0,0,0,174,0,1,175,
LERDO,747,B,47,229,0,0,3,0,0,0,7,286,0,6,292,
LERDO,747,C,54,198,2,1,0,0,0,0,2,257,0,1,258,
LERDO,748,B,53,60,26,1,11,0,0,0,9,160,0,4,164,
LERDO,748,C,72,45,17,1,0,0,0,0,16,151,0,2,153,
LERDO,749,B,54,81,6,1,23,0,0,0,2,167,0,0,167,
LERDO,749,C,73,62,8,0,38,0,0,0,0,181,0,1,182,
LERDO,750,B,63,104,7,0,0,0,0,1,13,188,0,1,189,
LERDO,751,B,89,116,6,1,3,0,0,0,13,228,0,8,236,
LERDO,752,B,66,110,22,1,4,0,0,0,8,211,0,2,213,
LERDO,753,B,55,107,2,0,2,0,0,0,4,170,0,0,170,
