ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,42,IXTAPAN DEL ORO 13,5,9,1199,1092,1157,10,100,5,35,181,5,25,,,,,,,,,,,,,,,,,,,3809,0,139,3948,5116,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M042_IXTAPANDELORO_JI_98_2018.pdf
15,MEXICO,43,IXTLAHUACA,48,172,16552,12402,2187,10962,4812,5832,1117,16872,762,,,,,,,,,,,,,,,,,,,,71498,11,3693,75202,107519,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M043.pdf
15,MEXICO,44,XALATLACO,7,30,1660,2647,92,496,4644,53,141,2134,94,91,,,,,,,,,,,,,,,,,,,12052,15,287,12354,18208,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M044.pdf
15,MEXICO,45,JALTENCO 14,14,33,3515,2553,272,275,332,207,180,5841,203,426,,,,,,,,,,,,,,,,,,,13804,6,310,14120,19670,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M045.pdf
15,MEXICO,46,JILOTEPEC,44,116,3532,9989,1248,1011,6162,406,11465,11821,674,257,,,,,,,,,,,,,,,,,,,46565,13,1483,48061,64903,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M046.pdf
15,MEXICO,47,JILOTZINGO,10,25,2293,2330,441,113,2711,80,79,1339,72,1344,,,,,,,,,,,,,,,,,,,10802,2,336,11140,14896,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M047.pdf
15,MEXICO,48,JIQUIPILCO,30,90,1291,13241,633,4794,2193,622,487,7050,706,3227,,,,,,,,,,,,,,,,,,,34244,13,1482,35739,51235,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M048.pdf
15,MEXICO,49,JOCOTITLAN,29,86,11736,12985,636,759,194,422,437,6852,474,179,,,,,,,,,,,,,,,,,,,34674,5,1049,35728,47187,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M049.pdf
15,MEXICO,50,JOQUICINGO,5,17,97,2058,54,261,1767,53,,3238,109,36,,,,,,,,,,,,,,,,,,,7673,1,190,7864,10087,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M050.pdf
15,MEXICO,51,JUCHITEPEC,8,27,330,3303,124,361,78,915,134,7142,277,62,,,,,,,,,,,,,,,,,,,12726,3,332,13061,17550,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M051.pdf
15,MEXICO,52,LERMA,48,169,18558,25825,2776,1413,3419,1062,648,21211,1154,728,,,,,,,,,,,,,,,,,,,76794,55,1730,78579,105497,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M052.pdf
15,MEXICO,53,MALINALCO,16,36,1467,4474,5229,245,260,228,259,1451,79,206,,,,,,,,,,,,,,,,,,,13898,16,498,14412,19224,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M053.pdf
15,MEXICO,54,MELCHOR OCAMPO,16,73,14478,4357,339,425,232,6376,314,5434,283,480,,,,,,,,,,,,,,,,,,,32718,9,825,33552,49097,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M054.pdf
15,MEXICO,55,METEPEC,86,281,29177,35148,2150,7566,4397,1610,1982,44868,2244,2681,,,,,,,,,,,,,,,,,,,131823,78,2678,134579,180279,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M055.pdf
15,MEXICO,56,MEXICALTZINGO 15,4,14,105,1408,36,305,248,268,1324,597,45,1433,,,,,,,,602,,,,,,,,,,,6371,2,114,6487,9479,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M056.pdf
15,MEXICO,57,MORELOS,18,40,822,5944,289,170,216,7181,181,1085,120,35,,,,,,,,,,,,,,,,,,,16043,4,718,16765,21739,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M057.pdf
15,MEXICO,58,NAUCALPAN DE JUAREZ 16,454,1159,138860,73029,10550,12173,10350,7206,6986,151369,10831,7000,,,,,,,,,,,,,,,,,,,428354,414,12626,441394,686477,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M058_NAUCALPANDEJUAREZ_JI_92_2018.pdf
15,MEXICO,59,NEXTLALPAN,10,41,580,3545,327,362,750,265,843,7710,3623,544,,,,,,,,,,,,,,,,,,,18549,8,556,19113,26750,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M059.pdf
15,MEXICO,60,NEZAHUALCOYOTL 17,680,1511,33416,76011,186773,12705,10891,8465,6800,193778,10050,4329,,,,,,,,,,,,,,,,,,,543218,358,13703,557271,865265,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M060_NEZAHUALCOYOTL_JI_119_2018.pdf
15,MEXICO,61,NICOLAS ROMERO,100,430,47609,34442,5092,5430,5151,2738,4895,66306,3577,2384,,,,,,,,,2983,,,,,,,,,,180607,144,4773,185524,284282,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M061.pdf
15,MEXICO,62,NOPALTEPEC,5,13,2274,1345,119,1060,863,124,,94,,146,,,,,,,,,,,,,,,,,,,6025,3,203,6231,7529,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M062.pdf
15,MEXICO,63,OCOYOACAC,22,77,2941,9758,2111,778,2123,4439,,8836,614,2246,,,,,,,,,,,,,,,,,,,33846,40,842,34728,47899,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M063.pdf
15,MEXICO,64,OCUILAN 18,13,38,1171,3944,4619,265,639,102,2289,2476,103,85,,,,,,,,,,,,,,,,,,,15693,2,600,16295,20827,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M064.pdf
15,MEXICO,65,EL ORO,17,53,4146,4849,241,273,122,280,4518,2210,145,951,,,,,,,,,,,,,,,,,,,17735,16,660,18411,25978,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M065.pdf
15,MEXICO,66,OTUMBA,18,46,5149,3766,1391,305,240,243,1630,3223,166,1105,,,,,,,,,,,,,,,,,,,17218,8,487,17713,26374,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M066.pdf
15,MEXICO,67,OTZOLOAPAN,4,11,12,1655,24,1810,,2,,23,0,,,,,,,,,,,,,,,,,,,,3526,0,66,3592,4201,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M067.pdf
15,MEXICO,68,OTZOLOTEPEC,24,87,2976,7176,1120,1214,1983,528,8901,11330,763,1809,,,,,,,,,,,,,,,,,,,37800,49,1100,38949,55239,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M068.pdf
15,MEXICO,69,OZUMBA 19,13,34,241,3616,155,482,1278,90,2599,4817,241,483,,,,,,,,,,,,,,,,,,,14002,7,284,14293,19836,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M069.pdf
15,MEXICO,70,PAPALOTLA,2,6,145,1050,9,64,192,29,,1162,40,420,,,,,,,,,,,,,,,,,,,3111,0,44,3155,3877,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M070.pdf
15,MEXICO,71,LA PAZ,82,306,5896,33426,16246,3658,7814,1800,1896,44465,2888,1600,,,,,,,,,,,,,,,,,,,119689,63,4109,123861,193763,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M071.pdf
15,MEXICO,72,POLOTITLAN 20,10,21,252,2668,56,53,3505,32,1188,505,35,11,,,,,,,,,,,,,,,,,,,8305,0,266,8571,11640,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M072.pdf
15,MEXICO,73,RAYON 21,4,13,139,2432,103,1449,25,434,859,964,48,390,,,,,,,,,,,,,,,,,,,6843,8,152,7003,8778,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M073.pdf
15,MEXICO,74,SAN ANTONIO LA ISLA,4,25,2059,3451,137,289,2751,85,337,2699,115,354,,,,,,,,,,,,,,,,,,,12277,3,239,12519,16927,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M074.pdf
15,MEXICO,75,SAN FELIPE DEL PROGRESO,43,149,4297,22730,1195,2458,1208,804,902,22985,1009,450,,,,,,,,,,,,,,,,,,,58038,33,2845,60916,89327,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M075.pdf
15,MEXICO,76,SAN MARTIN DE LAS PIRAMIDES,14,32,5789,4505,386,172,244,184,145,2455,258,252,,,,,,,,,,,,,,,,,,,14390,6,319,14715,19819,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M076.pdf
15,MEXICO,77,SAN MATEO ATENCO 22,21,95,6595,16217,613,1004,1261,575,3370,14197,673,441,,,,,,,,,,,,,,,,,,,44946,27,1000,45973,62857,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M077_SANMATEOATENCO_JI_111_2018.pdf
