ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,MC,NA,PCPP,PSI,MORENA,ES,PT_MORENA_ES,C_COMUN_PAN_PRD_MC_PCPP_PSI,C_COMUN_PAN_PRD_MC_PCPP,C_COMUN_PAN_PRD_MC_PSI,C_COMUN_PAN_PRD_PCPP_PSI,C_COMUN_PAN_MC_PCPP_PSI,C_COMUN_PRD_MC_CPPP_PSI,C_COMUN_PAN_PRD_MC,C_COMUN_PAN_PRD_PCPP,C_COMUN_PAN_PRD_PSI,C_COMUN_PAN_MC_PCPP,C_COMUN_PAN_MC_PSI,C_COMUN_PAN_PCPP_PSI,C_COMUN_PRD_MC_PCPP,C_COMUN_PRD_MC_PSI,C_COMUN_PRD_PCPP_PSI,C_COMUN_MC_PCPP_PSI,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PAN_PCPP,C_COMUN_PAN_PSI,C_COMUN_PRD_MC,C_COMUN_PRD_PCPP,C_COMUN_PRD_PSI,C_COMUN_MC_PCPP,C_COMUN_MC_PSI,C_COMUN_PCPP_PSI,C_COMUN_PVEM_PCPP_PSI,C_COMUN_PRI_NA,C_COMUN_PVEM_PCPP,C_COMUN_PVEM_PSI,C_COMUN_NA_PCPP,CAN_IND1,CAN_IND2,CAN_IND3,CAN_IND4,CAN_IND5,CAN_IND6,CAN_IND7,CAN_IND8,CAN_IND9,CAN_IND10,CAN_IND11,CAN_IND12,CAN_IND13,CAN_IND14,CAN_IND15,CAN_IND16,CAN_IND17,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,92,JUAN C. BONILLA,6,25,,721,,2136,1717,132,1457,330,,,2814,,,,,,,,,,,,,,,,,1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,10,498,11529,16551,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_08_CME_SAN_MATEO_CUANALA.pdf
21,PUEBLA,93,JUAN GALINDO,5,11,1029,1026,,105,21,,,412,,,1679,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,4381,2,152,4535,5886,
21,PUEBLA,94,JUAN N. MENDEZ,4,8,,647,,236,,622,5,12,,,705,,,,,,,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3067,0,185,3252,3914,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_24_JUAN N MENDEZ ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,97,LA MAGDALENA TLATLAUQUITEPEC,1,1,,191,,,1,,0,,,,61,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,0,7,424,484,
21,PUEBLA,95,LAFRAGUA,8,12,317,1223,,130,1023,1227,,45,,,231,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,4297,0,251,4548,5751,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_06_CME_SALTILLO_LA_FRAGUA.pdf
21,PUEBLA,96,LIBRES,11,39,,2417,1236,2645,,2053,43,,,,2441,,,,,,,,,,,3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,,,,,,,,15425,1,773,16199,23082,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_03_CME_LIBRES.pdf
21,PUEBLA,119,LOS REYES DE JUAREZ,8,26,,4052,,32,65,,11,25,,,2499,,,,,,,,,,,,,,,,,4633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11317,4,440,11761,16873,
21,PUEBLA,98,MAZAPILTEPEC DE JUAREZ,2,4,,0,,0,,,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2092,https://www.ieepuebla.org.mx/2018/computos/ayu_resoluciones/MAZAPILTEPEC-SCM-JRC-0231-2018.pdf
21,PUEBLA,99,MIXTLA,2,3,,471,,32,,,394,59,,,194,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366,0,36,1402,1751,
21,PUEBLA,100,MOLCAXAC,5,8,,876,127,,313,,,596,,,782,,,,,,,,,,,,,,,,,,,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3555,0,129,3684,4886,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_23_CME_MOLCAXAC.pdf
21,PUEBLA,101,NAUPAN,5,13,,1606,,,40,25,,,,,1636,,,,,,,,,,,,,,,,,,,,1296,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,4972,0,233,5205,6762,
21,PUEBLA,102,NAUZONTLA,3,5,,708,,174,4,341,,,,,138,,,,,,,,,,,,,,,,,459,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,2012,0,106,2118,2676,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_04_CME_NAUZONTLA.pdf
21,PUEBLA,103,NEALTICAN,4,13,,734,,36,24,1175,1826,,,,739,,,,,,,,,1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6168,0,263,6431,8559,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_08_CME_NEALTICAN.pdf
21,PUEBLA,104,NICOLAS BRAVO,4,8,,51,,1379,11,57,13,,,,1648,,,,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3396,0,159,3555,4584,
21,PUEBLA,105,NOPALUCAN,7,25,1146,1388,62,2921,1280,998,404,2511,,,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11731,0,649,12380,17323,
21,PUEBLA,106,OCOTEPEC,3,6,440,522,,,,315,17,608,,,327,,,,,,,,,,,,,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,2546,1,121,2668,3594,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_03_CME_OCOTEPEC.pdf
21,PUEBLA,107,OCOYUCAN,10,39,,0,,0,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,23653,https://www.ieepuebla.org.mx/2018/computos/ayu_resoluciones/OCOYUCAN-SCM-JRC-0212-2018.pdf
21,PUEBLA,108,OLINTLA,8,15,,3238,,496,,16,,3,,,216,,2646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6615,0,162,6777,8175,
21,PUEBLA,109,ORIENTAL,8,19,,1223,,38,444,896,495,1494,,,913,,,,,,,,,,,,,,,,,2394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7897,1,394,8292,11637,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_ORIENTAL ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,110,PAHUATLAN,14,28,,1791,,40,,,,,,,2652,,,,,,,3536,,,,,,,,,,,,,,,,,,,1184,,,,,,,,,,,,,,,,,,,,,,,9203,9,684,9896,13693,
21,PUEBLA,111,PALMAR DE BRAVO,15,49,,1851,2652,100,892,71,,2638,,,4727,,,,,,,,,,,,,,,,,,,3611,,,,,,,,,,,,,,,,,,,,,,,1720,,,,,,,18262,6,1490,19758,29236,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_15_CME_PALMAR_DE_BRAVO.pdf
21,PUEBLA,112,PANTEPEC,10,27,,172,,,,78,,,,,776,,,,,,,,,,,,,,,4489,,,5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10926,0,616,11542,13961,
21,PUEBLA,113,PETLALCINGO,6,16,,2547,,,,,,,,,293,,,,,,,,2039,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,4907,1,205,5113,7065,
21,PUEBLA,114,PIAXTLA,5,9,,854,21,,7,,,3,,,960,,,,,,,,,,,,,,,,,,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2488,0,83,2571,4105,
21,PUEBLA,115,PUEBLA,764,2102,,74000,,20542,,7443,9156,6436,,,343098,,,,,,,253384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714059,459,22748,737266,1280473,
21,PUEBLA,116,QUECHOLAC,16,55,,675,724,239,,,,13635,,,4387,,,,,,,,,,,,,1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21200,3,2125,23328,33324,
21,PUEBLA,117,QUIMIXTLAN,10,26,,1843,34,18,,1857,,,,,894,,,,,,,,,,,,,,,,,,,3606,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,10121,0,520,10641,13166,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_CME_QUIMIXTLAN.pdf
21,PUEBLA,118,RAFAEL LARA GRAJALES,7,21,,1197,,604,,1746,,22,,,1493,,3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8323,0,294,8617,13184,
21,PUEBLA,120,SAN ANDRES CHOLULA,38,138,19955,3373,836,1890,1289,1848,454,4244,,,23814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57703,25,1654,59382,91693,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_18_CME_SAN_ANDRES_CHOLULA.pdf
21,PUEBLA,121,SAN ANTONIO CAÑADA,2,6,,756,,214,,,,5,,,236,,,,,,,,,,,,,,,,,,,818,,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,3011,0,141,3152,3769,
21,PUEBLA,122,SAN DIEGO LA MESA TOCHIMILTZINGO,3,3,21,318,,,,,,0,,,12,,,,,,,,,,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,0,19,773,911,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_21_CME_SAN_DIEGO_LA_MESA_TOCHIMITLZINGO.pdf
21,PUEBLA,123,SAN FELIPE TEOTLALCINGO,5,11,,895,,,447,156,,155,,,1310,,,,,,,,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4231,4,147,4382,7353,
21,PUEBLA,124,SAN FELIPE TEPATLAN,3,6,13,699,,345,9,2,3,,,,657,,,,,,,,,,,,,,,,,,,,,,,505,,,,,,,,,,,,,,,,,,,,,,,,,,2233,0,108,2341,2859,
21,PUEBLA,125,SAN GABRIEL CHILAC,6,18,,2699,30,2013,,39,405,155,,,1934,,,,,,,,,,,,,,,,,,1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8523,0,268,8791,10933,
21,PUEBLA,126,SAN GREGORIO ATZOMPA,4,11,,370,,201,1097,,121,888,,,804,,,,,,,,,,,,,,,,,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069,78,164,4311,6953,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/SAN GREGORIO ATZOMPA - RESOLUCION.pdf
21,PUEBLA,127,SAN JERONIMO TECUANIPAN,3,7,,636,558,,,200,,93,,,1017,,,,,,,,,,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2943,1,103,3047,4114,
21,PUEBLA,128,SAN JERONIMO XAYACATLAN,4,7,,1088,,,7,,,,,,160,,,,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230,0,279,2509,3216,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_23_CME_SAN_JERONIMO_XAYACATLAN.pdf
21,PUEBLA,129,SAN JOSE CHIAPA,6,12,1607,271,,244,,192,,,,,1691,,,,,,,,,,,,,,,,,,,,,,404,,,311,,,,,,,,,,,,,,,,,,,,,,,,4720,0,143,4863,6321,
21,PUEBLA,130,SAN JOSE MIAHUATLAN,7,17,,2525,,10,25,,42,8,,,2398,,,,,,,,,,,,,,,,,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6103,0,180,6283,9606,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_26_SAN JOSE MIAHUATLAN ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,131,SAN JUAN ATENCO,4,5,,352,,,,,,5,,,378,,,,,,,,,,,,,,,,,505,,,,,,,871,,,,,,,,,,,,,,,,,,,,,,,,,2111,0,119,2230,2911,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_CME_SAN_JUAN_ATENCO.pdf
21,PUEBLA,132,SAN JUAN ATZOMPA,1,2,,264,,,1,,,0,,,260,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,0,13,628,805,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_23_CME_SAN_JUAN_ATZOMPA.pdf
21,PUEBLA,133,SAN MARTIN TEXMELUCAN,54,177,,9855,,3040,,1929,4981,736,,,26274,,,,,,,16274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63089,69,2520,65678,109573,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_07_CME_SAN_MARTIN_TEXMELUCAN.pdf
21,PUEBLA,134,SAN MARTIN TOTOLTEPEC,1,1,,3,,176,,,0,0,,,207,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,0,9,482,604,
21,PUEBLA,135,SAN MATIAS TLALANCALECA,9,24,2128,2491,,321,,1416,102,1069,,,2148,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,9776,8,376,10160,15019,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_07_CME_SAN_MATIAS_TLALANCALECA.pdf
21,PUEBLA,136,SAN MIGUEL IXITLAN,1,1,,138,,,,,0,1,,,152,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,0,13,397,487,
21,PUEBLA,137,SAN MIGUEL XOXTLA,4,13,,604,,528,,533,,674,,,1321,,,,,,,,,,,,,,,,,,,1369,,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,6112,19,211,6342,8889,
21,PUEBLA,138,SAN NICOLAS BUENOS AIRES,4,12,1117,393,,1494,815,,,7,,,368,,,,,,,,,,,,,,,,,,,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,4898,0,245,5143,7280,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_CME_SAN_NICOLAS_BUENOS_AIRES.pdf
21,PUEBLA,139,SAN NICOLAS DE LOS RANCHOS,5,12,,953,,,,54,1133,5,,,1184,,,,,,,2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5577,0,242,5819,7948,
21,PUEBLA,140,SAN PABLO ANICANO,2,5,,1101,,7,6,,,3,,,337,,,,,,,,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278,0,66,2344,2941,
21,PUEBLA,141,SAN PEDRO CHOLULA,46,164,,6032,979,1290,,1005,2112,1535,,,23777,,,,,,,,,,,,,,,,,,20039,,,,,,,,,,,,,,,,,,,,,,,,,5992,1865,,,,,64626,44,2441,67111,102485,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_18_CME_SAN_PEDRO_CHOLULA.pdf
21,PUEBLA,142,SAN PEDRO YELOIXTLAHUACA,2,5,,673,,,10,592,,7,,,274,,,,,,,,,,,,,,,,,542,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,2199,0,68,2267,2836,
21,PUEBLA,143,SAN SALVADOR EL SECO,10,33,2833,3232,1264,232,,59,,,,,3298,,,,,,,,,,,,,,,,2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13354,4,661,14019,20289,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_SAN SALVADOR EL SECO ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,144,SAN SALVADOR EL VERDE,10,34,1389,1957,1313,1903,,1452,77,,,,2071,,,,,,,,,,,,,,,,,,,,,,,,,3567,,,,,,,,,,,,,,,,,,,,,,,,13729,6,613,14348,22092,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_07_CME_SAN_SALVADOR_EL_VERDE.pdf
21,PUEBLA,145,SAN SALVADOR HUIXCOLOTLA,4,14,,1994,,,31,,,663,,,2004,,,,,,,,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6635,0,289,6924,9289,
21,PUEBLA,177,SAN SEBASTIAN TLACOTEPEC,8,17,,1858,,436,67,181,5,,,,657,,,,,,,,,3017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6221,0,255,6476,8172,
21,PUEBLA,146,SANTA CATARINA TLALTEMPAN,1,1,,241,,,1,,,45,,,,,,,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529,25,21,575,748,
21,PUEBLA,147,SANTA INES AHUATEMPAN,4,7,,1312,,,15,44,2,,,,1267,,,,,,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3331,0,104,3435,4529,
21,PUEBLA,148,SANTA ISABEL CHOLULA,5,13,,263,,1396,,153,8,,,,947,,,,,,,,,,,,,,,,,,,,1774,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,4708,0,311,5019,7645,
21,PUEBLA,149,SANTIAGO MIAHUATLAN,6,27,,1777,,2137,,81,,302,,,4062,,,,,,,,,,,,,,,,,,2176,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,10732,20,417,11169,17231,
21,PUEBLA,150,SANTO TOMAS HUEYOTLIPAN,3,9,,175,,,12,750,1283,286,,,1235,,,,,,,,,,,,,,,,,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4496,1,132,4629,6130,
21,PUEBLA,151,SOLTEPEC,6,15,409,593,529,1589,201,611,301,824,,,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5831,2,401,6234,8814,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_13_CME_SOLTEPEC.pdf
21,PUEBLA,152,TECALI DE HERRERA,9,25,,2000,,138,,459,29,28,,,4995,,,,,,,3093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10742,3,423,11168,15067,
21,PUEBLA,153,TECAMACHALCO,23,85,,3201,,,1427,198,,2359,,,10682,,,,,,,,,,,,,,,,,10011,,,,,,,7115,,,,,,,,,,,,,,,,,,,,,449,,,,35442,11,1653,37106,53689,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_15_CME_TECAMACHALCO.pdf
21,PUEBLA,154,TECOMATLAN,5,10,,1688,,,12,,2,13,,,528,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2394,0,97,2491,4794,
21,PUEBLA,155,TEHUACAN,83,327,,12193,,23369,,1480,,,,,67767,,,,,,,26475,,,,,,,,,,,,,,,,,,,2545,,,,,,,,,,,,,,,,,,,,,,,133829,40,4214,138083,216180,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_24_CME_TEHUACAN.pdf
21,PUEBLA,156,TEHUITZINGO,8,21,,2394,,,,,,,,,2451,,,,,,,,1144,,,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,6250,0,163,6413,9608,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_23_CME_TEHUITZINGO.pdf
21,PUEBLA,157,TENAMPULCO,8,12,,1414,,712,18,242,,1,,,705,,,,,,,,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3999,0,167,4166,5261,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_05_CME_TENAMPULCO.pdf
21,PUEBLA,158,TEOPANTLAN,5,8,,800,,,,,2,7,,,189,,,,,,,1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2372,0,119,2491,3489,
21,PUEBLA,159,TEOTLALCO,4,6,35,463,,9,4,730,,,,,81,,,,,,,,,,,,,,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896,0,71,1967,2559,
21,PUEBLA,160,TEPANCO DE LOPEZ,7,24,,2374,,63,152,,,817,,,1609,,,,,,,,,,,,,,,,,2656,,,,,,,,,,,,,,3004,,,,,,,,,,,,,,,,,,10675,3,654,11332,15051,
21,PUEBLA,161,TEPANGO DE RODRIGUEZ,2,5,302,240,,90,,352,37,463,,,178,,,,,,,,,,,,,,,,,,,,,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129,0,220,2349,2899,
21,PUEBLA,162,TEPATLAXCO DE HIDALGO,7,20,,1090,247,1122,,15,,2484,,,2183,,,,,,,,,,1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8547,7,358,8912,11798,
21,PUEBLA,163,TEPEACA,24,90,,9038,,2345,,314,210,,,,10582,,,13279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35768,4,1549,37321,54888,
21,PUEBLA,164,TEPEMAXALCO,1,2,,130,,322,,,,0,,,32,,,,,,,,,,,,,,,,,,,141,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,0,22,652,880,
21,PUEBLA,165,TEPEOJUMA,6,15,,0,0,0,,,,0,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6715,https://www.ieepuebla.org.mx/2018/computos/ayu_resoluciones/TEPEOJUMA-SCM-JRC-0244-2018.pdf
21,PUEBLA,166,TEPETZINTLA,6,12,1158,1479,,40,,1324,161,491,,,217,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,4910,0,548,5458,7018,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_04_CME_TEPETZINTLA.pdf
21,PUEBLA,167,TEPEXCO,3,8,,1206,,725,13,,,4,,,1167,,,,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3613,2,180,3795,4881,
21,PUEBLA,168,TEPEXI DE RODRIGUEZ,11,26,,3373,,103,,1279,,29,,,2961,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8995,0,476,9471,14383,https://www.ieepuebla.org.mx/2018/computos/ayu_resoluciones/RESOLUCION_TEEPI108TEPEXI.pdf
21,PUEBLA,169,TEPEYAHUALCO,7,21,,2160,273,1117,778,1158,,347,,,811,,,,,,,,,,,,,,,,,,,2370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9014,1,467,9482,12192,
21,PUEBLA,170,TEPEYAHUALCO DE CUAUHTEMOC,1,4,,172,,,,,,974,,,95,,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2106,3,140,2249,2712,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_23_CME_TEPEYAHUALCO_DE_CUAUTEMOC.pdf
21,PUEBLA,171,TETELA DE OCAMPO,15,32,,5991,,32,1208,95,,34,,,1000,,,,,,,,5671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14031,3,856,14890,18777,
21,PUEBLA,172,TETELES DE AVILA CASTILLO,2,7,,436,,265,175,93,,157,,,773,,,,,,,,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3258,1,140,3399,4397,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_05_CME_TETELES_DE_AVILA_CASTILLO.pdf
21,PUEBLA,173,TEZIUTLAN,41,116,,6462,,770,,1210,17084,,,,7111,,,12553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2748,,,47938,52,1586,49576,71760,
21,PUEBLA,174,TIANGUISMANALCO,6,15,1059,557,,530,264,441,,399,,,467,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,4005,3,184,4192,8107,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/TIANGUISMANALCO - RESOLUCION.pdf
21,PUEBLA,175,TILAPA,3,13,,1743,118,,,98,43,,,,848,,,,,,,,,,,1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4478,1,243,4722,6800,
21,PUEBLA,179,TLACHICHUCA,14,38,,2094,,1772,801,988,400,482,,,5232,,,,,,,,,,,,,,,,,2346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14115,2,790,14907,20335,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_CME_TLACHICHUCA.pdf
21,PUEBLA,176,TLACOTEPEC DE BENITO JUAREZ,17,60,,3015,,82,117,1487,2871,4446,,,5863,,,,,,,,,,,,,,,,,4896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22777,3,2201,24981,34998,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_24_TLACOTEPEC DE BENITO JUAREZ ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,178,TLACUILOTEPEC,10,24,,4307,,,,,,26,,,915,,,,,,,,,,,,,,,,,,,1007,,2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,8511,1,475,8987,11719,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_01_CME_TLACUILOTEPEC.pdf
21,PUEBLA,180,TLAHUAPAN,15,46,,4761,,1198,631,1956,2366,604,,,3453,,,,,,,,,,,,,,,,,2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17870,12,950,18832,27932,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_07_CME_TLAHUAPAN.pdf
21,PUEBLA,181,TLALTENANGO,3,8,,227,,,15,,,133,,,975,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,,3099,3,117,3219,4696,
21,PUEBLA,182,TLANEPANTLA,2,6,,780,560,,,,121,10,,,348,,,,,,,,,,,,,,,,,,737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2556,1,94,2651,3403,
21,PUEBLA,183,TLAOLA,9,27,,3148,,25,843,36,8,30,,,1536,,,,,,,,,,,,,,,,,3914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9540,16,416,9972,14179,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/TLAOLA - RESOLUCION.pdf
21,PUEBLA,184,TLAPACOYA,5,10,,718,,,11,1001,,,,,867,,,,,,,,,1215,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,3937,0,93,4030,4755,
21,PUEBLA,185,TLAPANALA,5,11,,537,175,14,1280,714,562,,,,660,,,,,,,,,,,,,,,,,,,,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840,1,221,5062,6723,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_22_CME_TLAPANALA.pdf
