ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,C_COMUN_PRI_PVEM_NVA_ALIANZA,C_COMUN_PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
8,CHIHUAHUA,22,GUACHOCHI,8,BATOPILAS,122,1,54,,,,,2,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,0,255,42,297,643
8,CHIHUAHUA,22,GUACHOCHI,8,BATOPILAS,123,2,47,,,,,2,,,,,,,,,,,,,,,,391,,,,,,,,,,,,,0,440,94,534,930
8,CHIHUAHUA,22,GUACHOCHI,8,BATOPILAS,124,1,18,,,,,1,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,0,182,25,207,469
8,CHIHUAHUA,22,GUACHOCHI,8,BATOPILAS,125,2,59,,,,,0,,,,,,,,,,,,,,,,283,,,,,,,,,,,,,0,342,30,372,1011
8,CHIHUAHUA,22,GUACHOCHI,8,BATOPILAS,126,1,20,,,,,0,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,0,224,23,247,520
8,CHIHUAHUA,13,GUERRERO,9,BOCOYNA,127,1,96,,1,,0,27,,,13,,,,,,,,,,,,22,,,,,,,,,,,,,,0,159,5,164,240
8,CHIHUAHUA,13,GUERRERO,9,BOCOYNA,128,1,207,,2,,1,101,,,50,,,,,,,,,,,,121,,,,,,,,,,,,,,0,482,16,498,711
8,CHIHUAHUA,13,GUERRERO,9,BOCOYNA,129,2,113,,3,,3,268,,,225,,,,,,,,,,,,135,,,,,,,,,,,,,,0,747,23,770,1236
8,CHIHUAHUA,13,GUERRERO,9,BOCOYNA,130,3,212,,8,,5,470,,,164,,,,,,,,,,,,181,,,,,,,,,,,,,,0,1040,32,1072,1641
8,CHIHUAHUA,13,GUERRERO,9,BOCOYNA,131,2,115,,2,,5,196,,,66,,,,,,,,,,,,141,,,,,,,,,,,,,,0,525,11,536,864
