SECCION,TIPO,PRI,PAN,PRD,PT,PVEM,Partido Democrata,PSN,PC,PAS,PCDT,PJS,Nulos,NUM_MUN,MUNICIPIO
180,B,220,64,77,20,16,,,,,0,1,22,13,HUAMANTLA
180,C,251,69,45,21,12,,,,,1,0,22,13,HUAMANTLA
181,B,218,63,96,9,17,,,,,3,0,9,13,HUAMANTLA
181,C,237,40,85,7,11,,,,,4,0,16,13,HUAMANTLA
181,DC,188,67,64,22,17,,,,,8,2,15,13,HUAMANTLA
182,B,148,31,71,9,36,,,,,1,0,6,13,HUAMANTLA
182,C,137,19,83,11,45,,,,,1,1,13,13,HUAMANTLA
183,B,146,37,75,2,35,,,,,0,0,5,13,HUAMANTLA
183,C,118,38,92,6,17,,,,,1,0,3,13,HUAMANTLA
184,B,126,111,115,13,15,,,,,1,1,21,13,HUAMANTLA
185,B,158,44,102,3,11,,,,,2,0,15,13,HUAMANTLA
185,C,134,36,127,7,13,,,,,2,1,8,13,HUAMANTLA
186,B,200,35,143,6,23,,,,,3,1,11,13,HUAMANTLA
186,C,200,57,128,8,11,,,,,1,0,9,13,HUAMANTLA
187,B,232,35,71,5,6,,,,,1,0,21,13,HUAMANTLA
187,C,208,62,61,2,14,,,,,1,3,4,13,HUAMANTLA
187,DC,226,37,80,4,12,,,,,1,0,13,13,HUAMANTLA
188,B,228,47,89,2,19,,,,,0,0,14,13,HUAMANTLA
188,C,182,66,104,7,18,,,,,1,2,8,13,HUAMANTLA
189,B,153,38,68,9,12,,,,,4,0,10,13,HUAMANTLA
189,C,147,58,60,1,9,,,,,2,1,10,13,HUAMANTLA
189,DC,117,62,73,1,10,,,,,1,0,4,13,HUAMANTLA
190,B,152,25,57,9,11,,,,,0,0,7,13,HUAMANTLA
190,C,119,39,78,6,8,,,,,0,0,9,13,HUAMANTLA
191,B,148,41,83,6,13,,,,,2,0,15,13,HUAMANTLA
191,C,154,28,92,13,6,,,,,0,1,7,13,HUAMANTLA
192,B,237,59,92,11,29,,,,,1,0,11,13,HUAMANTLA
192,C,195,40,113,12,22,,,,,0,0,0,13,HUAMANTLA
193,B,53,111,92,5,10,,,,,0,1,26,13,HUAMANTLA
194,B,179,38,85,6,9,,,,,1,1,18,13,HUAMANTLA
194,C,150,42,77,7,15,,,,,0,2,13,13,HUAMANTLA
194,DC,153,37,97,3,10,,,,,2,0,16,13,HUAMANTLA
195,B,133,21,59,13,15,,,,,1,1,9,13,HUAMANTLA
195,C,161,35,32,9,12,,,,,2,1,19,13,HUAMANTLA
196,B,41,125,83,7,7,,,,,0,0,1,13,HUAMANTLA
197,B,24,31,45,2,1,,,,,0,0,2,13,HUAMANTLA
198,B,78,34,69,1,6,,,,,0,0,9,13,HUAMANTLA
199,B,73,66,148,15,12,,,,,0,0,9,13,HUAMANTLA
