CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COALICION_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,278,C01,39,75,76,5,13,36,5,18,5,4,9,3,5,0,293,17,310,730,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,278,C02,39,75,81,2,19,33,5,11,2,6,6,4,3,1,286,23,310,730,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,278,C03,42,54,79,6,24,33,8,14,6,5,3,3,2,0,279,21,300,729,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,279,B,22,91,50,3,20,29,7,18,0,6,18,6,6,0,276,13,289,668,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,279,C01,28,97,97,4,28,29,7,9,3,4,3,7,7,0,323,9,332,668,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,279,C02,17,72,91,9,23,22,7,13,2,2,3,6,5,1,272,16,289,668,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,279,C03,21,71,98,6,10,26,9,17,1,4,4,6,12,0,285,10,295,668,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,279,C04,18,71,95,5,14,42,4,13,2,7,6,5,4,0,286,15,301,667,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,279,C05,41,80,76,5,17,24,12,13,4,2,4,2,5,0,285,12,297,667,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,285,B,28,58,114,9,28,32,10,10,5,2,2,1,7,0,306,16,322,698,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,285,C01,32,58,103,29,29,46,1,6,4,4,8,8,12,0,340,24,364,698,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,285,C02,21,50,87,10,34,58,3,5,2,3,3,6,7,0,289,19,308,697,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,286,B,67,84,48,4,27,31,11,19,6,11,6,1,2,0,317,31,348,674,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,286,C01,73,86,55,2,27,23,5,16,5,14,5,3,2,0,316,27,343,673,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,287,B,51,74,46,4,19,18,10,14,2,11,5,2,1,0,257,21,278,575,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,287,C01,55,72,33,2,29,32,12,8,2,9,2,6,1,0,263,30,293,575,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,287,C02,61,65,43,5,19,17,9,12,8,9,2,4,5,0,259,23,282,575,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,287,SMR01,8,19,9,0,3,3,1,0,2,0,1,0,1,2,47,3,52,0,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,287,SMR02,13,48,17,0,5,3,6,5,1,0,1,1,0,0,100,4,104,0,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,287,SRP01,17,98,36,4,13,12,4,11,5,4,5,0,0,0,209,9,218,0,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,287,SRP02,21,125,56,7,18,22,10,8,2,7,5,3,2,1,286,25,312,0,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,288,B,47,50,12,1,23,16,7,11,3,13,3,0,1,0,187,23,210,420,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,288,C01,42,61,26,1,12,26,7,6,2,10,3,2,0,0,198,27,225,420,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,289,B,41,76,25,1,24,17,7,12,4,6,3,0,0,1,216,16,233,472,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,289,C01,46,71,28,1,21,11,6,10,2,8,1,0,0,0,205,33,238,472,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,298,B,34,79,49,3,29,47,9,15,4,4,7,4,4,0,288,23,311,659,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,298,C01,28,63,62,2,22,28,8,15,5,4,15,0,2,0,254,19,273,659,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,298,C02,32,57,63,6,31,33,8,7,3,6,3,8,2,1,259,24,284,659,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,298,C03,41,89,51,11,26,30,2,9,2,8,2,2,0,0,273,14,287,659,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,299,B,27,82,57,0,0,39,6,6,3,5,5,82,57,0,369,11,380,533,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,299,C01,25,85,55,0,0,34,4,16,2,2,7,0,0,0,230,17,247,532,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,299,C02,23,71,53,7,10,35,2,16,2,4,8,2,0,0,233,0,233,532,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,299,SMR01,6,32,20,3,8,8,0,4,3,1,1,1,0,0,87,3,90,0,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,299,SRP01,38,131,80,8,54,24,9,17,12,14,5,3,3,0,398,88,486,0,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,300,B,31,76,87,6,14,21,6,8,5,7,8,6,4,0,279,17,296,732,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,300,C01,17,73,87,2,30,27,8,9,3,8,0,3,6,0,273,25,298,732,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,300,C02,27,98,81,4,17,27,9,7,2,9,4,6,5,0,296,20,316,731,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,300,C03,22,72,91,4,36,24,8,12,5,3,5,0,0,0,282,0,282,731,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,302,B,72,61,23,1,22,17,4,7,0,8,1,0,2,2,218,13,233,546,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,302,C01,40,61,28,4,22,17,7,8,2,3,3,0,0,0,195,14,209,546,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,302,C02,60,63,29,3,23,14,7,10,3,5,2,0,0,0,219,0,219,546,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,304,B,21,109,70,9,25,44,12,4,1,2,6,6,3,0,312,11,323,670,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,304,C01,14,116,53,4,22,39,10,3,0,3,6,11,2,0,283,14,297,670,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,304,C02,13,120,53,2,29,40,2,4,3,3,10,12,4,1,295,10,306,670,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,304,C03,18,103,74,5,21,41,8,11,2,2,7,7,5,0,304,9,313,669,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,383,B,10,65,63,13,25,16,4,14,2,5,5,8,1,0,231,15,246,609,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,383,C01,17,76,67,9,9,17,3,16,1,3,2,4,7,0,231,17,248,609,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,14,B,25,109,55,3,8,28,1,9,26,9,5,117,58,0,453,20,473,714,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,15,B,22,42,54,9,12,12,7,9,2,3,2,1,6,0,181,14,195,464,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,15,C01,17,53,58,12,3,17,6,11,11,6,0,2,3,0,199,15,214,463,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,16,B,4,75,55,3,10,12,2,11,3,3,1,0,0,0,179,14,193,442,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,16,C01,8,0,0,0,0,14,3,5,3,6,4,92,43,0,178,11,189,441,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,17,B,11,65,54,2,9,14,8,2,9,11,0,4,2,0,191,10,201,531,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,17,C01,14,97,64,64,97,17,4,11,2,11,2,97,61,0,541,21,562,530,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,18,B,14,89,138,6,37,12,3,6,6,3,7,6,4,0,331,20,351,714,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,18,C01,12,80,113,9,25,23,5,7,7,9,0,9,4,0,303,28,331,713,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,19,B,14,78,87,9,14,28,8,12,9,7,6,3,4,1,279,20,300,748,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,19,C01,13,61,93,9,16,25,10,5,4,6,8,0,5,0,255,26,281,747,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,19,C02,20,60,84,10,7,20,10,10,8,7,8,4,10,0,258,29,287,747,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,20,B,14,106,64,5,4,15,3,8,4,4,10,4,4,0,245,10,255,590,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,20,C01,14,92,81,1,3,17,7,10,3,20,7,0,3,0,258,13,271,590,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,21,B,13,55,106,0,0,10,10,15,4,12,4,0,0,0,229,8,237,694,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,21,C01,22,56,92,5,7,15,12,13,10,17,9,0,0,0,258,17,275,694,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,22,B,27,58,120,8,10,31,10,11,2,8,9,0,5,0,299,0,299,640,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,22,C01,16,78,100,5,7,28,20,13,0,8,6,1,4,0,286,17,303,639,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,23,B,13,53,68,1,9,18,11,16,3,5,1,1,0,0,199,15,214,533,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,23,C01,9,53,59,4,7,13,12,11,2,6,4,0,1,1,181,13,195,533,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,23,C02,25,35,80,3,13,6,15,18,7,9,1,0,1,0,213,9,222,533,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,26,B,32,68,74,6,4,24,15,16,10,14,6,2,0,9,271,21,301,660,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,26,C01,23,59,49,4,5,24,16,24,5,23,6,0,2,0,240,19,259,660,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,27,B,21,36,80,6,8,28,8,12,2,13,7,2,1,0,224,12,236,585,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,27,C01,17,49,62,6,3,25,13,9,1,8,3,2,3,0,201,11,212,585,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,27,C02,15,55,65,3,12,28,12,12,2,7,6,2,3,0,222,12,234,584,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,28,B,17,107,74,7,5,37,5,15,4,5,5,8,2,0,291,18,309,617,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,28,C01,10,105,94,8,11,30,12,7,1,5,4,4,3,0,294,15,309,617,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,29,B,19,62,62,3,10,25,16,12,1,6,5,0,2,0,223,16,239,572,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,29,C01,18,75,56,0,10,14,2,15,0,9,5,0,3,0,207,0,207,572,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,29,C02,19,65,63,8,3,23,6,19,10,5,5,2,5,2,233,6,241,571,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,30,B,12,81,45,4,5,17,0,7,2,4,2,0,2,0,181,6,187,573,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,30,C01,11,105,48,3,11,14,5,9,1,10,4,0,0,0,221,9,230,573,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,30,C02,16,73,53,3,3,20,7,6,1,17,1,5,7,0,212,4,216,573,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,B,18,124,83,0,0,18,6,6,3,13,4,0,0,0,275,14,289,727,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C01,24,89,68,7,13,16,5,11,3,7,6,3,3,0,255,12,267,727,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C02,23,94,68,10,13,25,5,17,3,10,2,1,5,0,276,17,293,727,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C03,31,100,70,6,7,17,6,7,1,7,5,6,3,1,266,10,277,726,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C04,11,104,86,3,14,26,4,8,4,7,6,4,1,0,278,19,297,726,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,32,B,13,87,54,5,14,31,5,16,0,8,6,3,1,0,243,0,243,563,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,32,C01,18,70,54,2,16,29,8,17,2,11,0,4,0,0,231,8,239,563,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,33,B,17,67,92,10,13,20,19,16,4,10,1,1,3,0,273,18,291,607,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,33,C01,14,64,105,7,13,28,9,9,6,12,6,2,0,0,275,18,293,606,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,33,C02,20,66,64,6,5,37,9,16,8,5,6,1,4,0,247,22,269,606,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,34,B,11,69,40,8,14,45,6,9,0,7,3,0,2,0,214,17,231,550,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,34,C01,16,65,50,4,9,39,3,21,1,14,1,1,1,0,225,17,242,550,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,35,B,27,58,50,5,7,33,7,8,4,10,1,2,1,0,213,17,230,479,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,35,C01,16,44,59,7,11,26,1,9,4,9,4,0,1,0,191,13,204,478,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,36,B,23,48,65,4,3,25,11,11,2,14,3,0,0,0,209,22,231,562,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,36,C01,25,49,61,3,8,11,13,8,0,5,3,1,4,0,191,9,200,562,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,36,C02,18,68,65,4,7,14,10,10,1,4,6,0,0,2,207,12,221,562,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,37,B,18,65,70,10,6,34,4,14,2,19,6,1,2,0,251,23,274,671,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,37,C01,16,77,63,2,8,17,10,31,4,16,6,2,0,0,252,31,283,670,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,38,B,34,79,42,7,5,21,25,21,8,13,6,0,3,0,264,18,282,642,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,38,C01,24,107,62,0,0,18,15,10,6,24,5,0,0,0,271,17,288,642,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,38,C02,19,87,54,10,11,16,26,13,4,7,5,0,3,0,255,24,279,642,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,39,B,56,65,58,5,15,28,3,19,13,0,4,3,3,1,272,21,294,619,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,39,C01,54,80,61,3,16,25,7,19,8,11,1,2,2,0,289,14,303,618,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,39,C02,58,73,48,5,11,26,11,20,12,14,1,2,2,1,283,22,306,618,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,41,B,20,62,72,5,8,15,7,31,2,5,0,0,0,0,227,22,249,546,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,41,C01,17,53,51,7,6,22,13,20,3,15,7,1,1,0,216,27,243,545,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,41,C02,33,50,51,4,8,19,14,21,6,13,6,1,2,1,228,16,245,545,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,42,B,20,47,51,2,8,23,9,20,5,19,5,2,2,0,213,26,239,553,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,42,C01,18,55,47,2,9,29,5,18,3,15,3,0,1,1,205,16,222,553,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,42,C02,13,66,45,5,7,19,10,19,8,20,3,0,3,1,218,16,235,553,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,43,B,32,75,90,4,11,18,4,17,2,6,6,2,9,0,276,18,294,609,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,43,C01,38,63,57,8,14,19,4,18,2,11,4,1,3,0,242,22,264,608,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,44,B,19,85,64,1,5,15,14,29,3,9,6,5,0,0,255,25,280,567,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,44,C01,35,0,0,0,0,25,9,11,4,5,3,67,59,0,218,21,239,566,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,45,B,21,61,38,8,12,10,13,16,3,7,7,3,0,0,199,13,212,527,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,45,C01,22,93,45,0,0,9,21,18,4,11,4,0,0,0,227,10,237,527,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,46,B,29,55,30,1,5,24,6,8,7,17,8,0,2,0,192,15,207,429,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,46,C01,19,53,45,3,6,20,6,19,7,15,1,0,0,0,194,15,209,429,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,47,B,16,65,45,5,12,14,12,15,2,19,2,0,0,0,207,0,207,547,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,47,C01,29,82,60,5,11,24,7,8,8,17,5,0,1,0,257,16,273,546,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,48,B,38,106,44,18,11,29,9,10,6,13,5,0,0,0,289,21,310,572,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,48,C01,44,93,44,3,11,28,19,15,3,12,1,0,3,0,276,3,279,571,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,48,C02,37,74,47,3,14,28,10,15,8,17,5,0,0,0,258,27,285,571,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,49,B,29,54,67,7,15,28,9,21,8,14,10,2,1,0,265,22,287,614,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,49,C01,37,67,61,3,15,24,7,17,9,10,5,3,3,0,261,25,286,614,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,50,B,17,58,52,5,9,17,4,16,5,14,3,4,4,0,208,20,228,512,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,50,C01,20,85,60,7,10,12,9,7,8,12,2,2,4,0,238,18,256,512,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,50,C02,18,80,60,7,13,18,4,9,5,11,5,2,2,0,234,15,249,512,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,51,B,39,80,57,3,6,22,15,30,6,19,5,0,2,0,284,25,309,608,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,51,C01,51,78,64,4,12,17,21,20,6,22,5,2,2,1,304,25,330,607,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,52,B,35,78,30,1,6,18,4,18,6,12,5,1,1,1,215,20,236,458,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,52,C01,21,81,59,4,6,21,1,19,3,17,2,0,1,0,235,19,254,457,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,53,B,35,74,65,3,7,30,14,18,13,24,6,1,1,0,291,26,317,642,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,53,C01,25,80,60,2,15,27,10,13,13,12,4,1,1,0,263,36,299,641,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,54,B,28,54,41,6,12,25,9,18,5,65,11,2,2,0,278,23,301,647,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,54,C01,31,55,51,1,8,25,17,16,4,46,8,4,1,0,267,17,284,646,Acta Casilla,,,
