uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
13027,2011,PRI,RUPERTO MANILLA VIGUERAS,PVEM,,0.0611257696
13027,2016,PRI,EFRAIN GARCIA GARCIA,PVEM,,0.0431431683
13028,1990,PRI,MANUEL VERA MARTINEZ,PFCRN,,0.3208604302
13028,1993,PRI,MARIA DEL CARMEN LARA GARCIA,PRD,,0.6883911303
13028,1996,PRI,JOSE LUIS FAYAD MEDINA,PAN,,0.3976335266
13028,1999,PRI,CARLOS FAYAD RUIZ,PAN,,0.1267785092
13028,2002,PAN,JOSE ALFREDO SAN ROMAN DUVAL,PRI,,0.109609788
13028,2005,PRD,MARCO ANTONIO RAMOS MOGUEL,PRI,,0.007641196
13028,2008,PAN,ALEJANDRO NAVA SOTO,PRI_PNA,,0.0275209372
13028,2011,CONVE,JOSE ALFREDO SAN ROMAN DUVAL,PRI_PVEM_PNA,,0.0855115606
13028,2016,PES,RAUL VADILLO RAMIREZ,PRI_PVEM_PNA,,0.053568395
13029,1990,PRI,JOSE GARCIA CRAVIOTO,PPS,,0.8789096126
13029,1993,PRI,ALEJANDRO RIVERA CELA,PAN,,0.8654927855
13029,1996,PRI,JOSE A LUGO GIL,PRD,,0.6328507239
13029,1999,PRI,JESUS PACHECO ROJAS,PAN,,0.1514522822
13029,2002,PAN,RODOLFO A MORENO GONZALEZ,PRI,,0.0769965002
13029,2005,PRI,JUAN FRANCISCO MENDOZA GUERRERO,PAN,,0.1095846389
13029,2008,PRI_PNA,GERARDO TORRES STRINHINI,CONVE,,0.3518331128
13029,2011,PVEM,FERNANDO JIMENEZ URIBE,PRI,,0.1058998808
13029,2016,PRI,HUMBERTO ALEJANDRO LUGO GUERRERO,INDEP,,0.0691037358
13030,1990,PRI,ROBERTO PEDRAZA MARTINEZ,PRD,,0.2532984188
13030,1993,PRI,JORGE ROCHA TREJO,PRD,,0.3490432536
13030,1996,PRI,MANUEL HERMILIO BRAVO OLGUIN,PRD,,0.0862107498
13030,1999,PRI,CIRILO HERNANDEZ QUEZADA,PRD,,0.1197615607
13030,2002,PRI,CARLOS FELIPE HERNANDEZ,PAN,,0.5867577882
13030,2005,PRD,JOSE MANUEL ZUÑIGA GUERRRERO,PRI,,0.1450178359
13030,2008,PRI_PNA,HERIBERTO LUGO GONZALEZ,PAN,,0.0413473469
13030,2011,PAN,CIPRIANO CHARREZ PEDRAZA,PRI_PVEM_PNA,,0.020341643
13030,2016,PAN,PASCUAL CHARREZ PEDRAZA,PRI_PVEM_PNA,,0.1873225649
13031,1990,PRI,ARTEMIO ESTRADA OLGUIN,0,,1
13031,1993,PRI,JESUS R AMADOR ZAMUDIO,PAN,,0.9064367816
13031,1996,PRI,JOSAFAT ESTRADA MAYORGA,PRD,,0.7947089947
13031,1999,PRI,LEONEL ROJO MUÑOZ,PRD,,0.4895155459
13031,2002,PRI,JAVIER RUBIO HERNANDEZ,PRD,,0.221006104
13031,2005,PRD,ANTONIO AGUILAR HERNANDEZ,PRI,,0.0840602696
13031,2008,PRD,SALVADOR VIDARTE SANDOVAL,PRI_PNA,,0.0849467992
13031,2011,PRI,CLAUDIO SALAS GARCIA,PAN_PRD,,0.1640661208
13031,2016,PRD,MANUEL RIVERA PABELLO,PRI,,0.0175200121
13032,1990,PRI,IGNACIO LARA RAMIREZ,PFCRN,,0.9051813472
13032,1993,PRI,TELESFORO HERNANDEZ H.,PAN,,0.7972881356
13032,1996,PRI,VALERIANO GARCIA H.,PAN,,0.4826242286
13032,1999,PRI,HERMILO HERNANDEZ M.,PAN,,0.4851977993
13032,2002,PRI,PEDRO ROMAN BECTTO ROMERO,PAN,,0.1545009028
13032,2005,PRD,GUILLERMO AMADOR LARA,PRI,,0.159158521
13032,2008,PRD,CONCEPCION AMADOR LARA,PRI_PNA,,0.0606060606
13032,2011,PRI,HIPOLITO HERNANDEZ AQUINO,PRD,,0.0673920104
13032,2016,PRD,GUILLERMO AMADOR LARA,PRI,,0.190181943
13033,1990,PRI,FAUSTINO SANCHEZ P.,PFCRN,,0.6893667861
13033,1993,PRI,VALENTIN ZAPATA PEREZ,PFCRN,,0.8409703504
13033,1996,PRI,EDGAR SALCEDO RANGEL,PRD,,0.1958847737
13033,1999,PRI,ELMER CESPEDES G.,PRD,,0.0924242424
13033,2002,PRI,HILARIO MARIN HERNANDEZ,PRD,,0.0423728814
13033,2005,PRI,IDALID ZAPATA PEREZ,PRD,,0.0159134309
13033,2008,PRD,NOE ZAPATA SANCHEZ,PRI_PNA,,0.2334754797
13033,2011,PRI,LETICIA SANTOS SALCEDO,PRD,,0.0040816327
13033,2016,PRD,JAZZMIN MONTAÑO DORANTES,PRI,,0.0519287834
13034,1990,PRI,OCTAVIO AUSTRIA R.,PFCRN,,0.9470538002
13034,1993,PRI,LEONARDO ESCUDERO C.,PDM,,0.8404743688
13034,1996,PAN,ALFONSO MARTINEZ S.,PRI,,0.2319889693
13034,1999,PRI,MAGDALENO BARRERA,PAN,,0.6099656357
13034,2002,PRD,MIGUEL ANGEL VARGAS MARTINEZ,PRI_PVEM,,0.0938096537
13034,2005,PRI,ROGELIO MELO VARGAS,PAN,,0.0825943755
13034,2008,PRI,OSVALDO BUSTOS VARGAS,PNA,,0.2999769426
13034,2011,PRI,SABULON MELO VARGAS,PAN_PRD,,0.0434782609
13034,2016,PRI,JORGE BUSTOS BAUTISTA,PAN,,0.0106300734
13035,1990,PRI,GUMERSINDO MORALES F.,PAN,,0.9637161085
13035,1993,PRI,ESTHELA YAÑEZ TENORIO,PAN,,0.4373276126
13035,1996,PRI,FELIX GONZALO TENORIO ORTEGA,PAN,,0.3815929204
13035,1999,PAN,ERNESTO HUAZO FRANCO,PRI,,0.1786580437
13035,2002,PAN,ROBERTO ELIGIO LEYVA SOSA,PRI,,0.0278041825
13035,2005,PRI,JOSE LUIS TENORIO ROMERO,PT,,0.2026355584
13035,2008,PRD,IRINEO ROJAS GUZMAN,PRI,,0.1903445734
13035,2011,PNA,MARCELINO CARBAJAL OLIVER,PRI,,0.1414649992
13035,2016,PRI_PVEM_PNA,ALEJANDRO AMADOR FRANCO,PES,,0.0711823767
13036,1990,PRI,JUAN ELIODORO GOMEZ OLIVARES,PFCRN,,0.9889566986
13036,1993,PRI,JESUS GERARDO CORTES VILLEDA,PAN,,0.9402273561
13036,1996,PRI,MARIA GUADALUPE OLIVARES HERNANDEZ,PAN,,0.3316375199
13036,1999,PAN,CESAR BENITEZ NOCHEBUENA,PRI,,0.0227453055
13036,2002,PRI_PVEM,PEDRO MELECIO OLIVARES ARELLANO,PAN,,0.1108972817
13036,2005,PAN,JOSE MARIA ORDAZ PEREZ,PRD,,0.2063599459
13036,2008,PAN,ROBERTO ORTEGA TELLEZ,PRI_PNA,,0.0228990153
13036,2011,PRI,PEDRO MELECIO OLIVARES ARELLANO,PNA,,0.1015639721
13036,2016,PRI_PVEM_PNA,ALEIDA ORDAZ VARGAS,PES,,0.0559728183
13037,1990,PRI,GAUDENCIO LOPEZ SANCHEZ,PARM,,0.3388960205
13037,1993,PRI,RAFAEL MORALES PEREZ,PRD,,0.4598055105
13037,1996,PRI,MELITON TORRES DURAN,PRD,,0.1035267349
13037,1999,PRI,HORACIO TREJO BADILLO,PRD,,0.0673763832
13037,2002,PRI_PVEM,CRISOFORO TORRES MEJIA,0,,1
13037,2005,PRI,EUTIQUIO BADILLO RUIZ,PRD,,0.02416601
