CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PRI_PVEM_PD_NVA_ALIANZA ,PVEM_PRI_PD_NVA_ALIANZA,PRI,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,2,DURANGO,5,DURANGO,148,C11,215,129,,,21,,,,,13,3,,6,3,,,,,,,,,,,,0,390,2,392,740,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0148C11.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,148,C12,234,119,,,17,,,,,7,9,,9,9,,,,,,,,,,,,0,404,2,406,740,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0148C12.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,149,B,211,106,,,8,,,,,13,1,,6,0,,,,,,,,,,,,10,345,10,365,530,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0149B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,149,C01,203,104,,,12,,,,,10,3,,9,9,,,,,,,,,,,,1,350,3,354,529,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_00149C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,150,B,193,105,,,62,,,,,1,1,,2,2,,,,,,,,,,,,0,366,10,376,676,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0150B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,150,C01,167,130,,,62,,,,,5,1,,5,7,,,,,,,,,,,,0,377,12,389,676,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0150C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,151,B,188,128,,,12,,,,,8,4,,11,6,,,,,,,,,,,,0,357,3,360,591,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0151B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,151,C01,201,119,,,12,,,,,10,6,,6,9,,,,,,,,,,,,0,363,6,369,591,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0151C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,174,B,128,60,,,10,,,,,1,1,,7,3,,,,,,,,,,,,1,210,2,213,399,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0174B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,174,C01,109,67,,,15,,,,,7,0,,3,4,,,,,,,,,,,,0,205,0,205,398,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0174C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,175,B,158,85,,,12,,,,,7,2,,9,6,,,,,,,,,,,,0,279,1,280,448,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_00175B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,175,C01,134,92,,,7,,,,,13,1,,5,6,,,,,,,,,,,,0,258,5,263,447,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0175C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,176,B,155,135,,,17,,,,,8,2,,4,9,,,,,,,,,,,,0,330,10,340,735,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0176B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,176,C01,154,142,,,24,,,,,15,3,,5,6,,,,,,,,,,,,0,349,3,352,734,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/DURANGO_0176C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,177,B,111,82,,,40,,,,,8,2,,2,10,,,,,,,,,,,,0,255,7,262,594,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0177B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,177,C01,131,94,,,33,,,,,5,1,,1,17,,,,,,,,,,,,1,282,4,287,593,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0177C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,178,B,133,107,,,54,,,,,10,0,,4,6,,,,,,,,,,,,0,314,10,324,685,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0178B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,178,C01,122,113,,,71,,,,,7,2,,2,3,,,,,,,,,,,,0,320,8,328,685,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0178C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,179,B,109,103,,,31,,,,,7,3,,2,1,,,,,,,,,,,,0,256,6,262,567,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0179B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,179,C01,135,94,,,27,,,,,4,3,,2,4,,,,,,,,,,,,0,269,7,276,566,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0179C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,180,B,117,107,,,41,,,,,9,5,,1,4,,,,,,,,,,,,0,284,9,293,593,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0180B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,180,C01,138,108,,,31,,,,,5,2,,2,6,,,,,,,,,,,,0,292,6,298,593,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0180C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,181,B,253,144,,,19,,,,,2,0,,9,10,,,,,,,,,,,,0,437,3,440,665,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0181B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,181,C01,259,127,,,19,,,,,12,2,,8,16,,,,,,,,,,,,0,443,5,448,664,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0181C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,181,SMR01,30,45,,,5,,,,,1,1,,0,1,,,,,,,,,,,,0,83,2,85,0,Acta casilla,,,
1,10,DURANGO,2,DURANGO,5,DURANGO,304,B,241,123,,,23,,,,,5,5,,10,9,,,,,,,,,,,,0,416,3,419,648,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0304B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,304,C01,240,112,,,20,,,,,10,1,,10,3,,,,,,,,,,,,0,396,2,398,648,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0304C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,304,C02,266,119,,,11,,,,,10,0,,8,15,,,,,,,,,,,,0,429,2,431,648,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0304C2.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,304,C03,261,119,,,16,,,,,4,9,,9,11,,,,,,,,,,,,0,429,3,432,647,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0304C3.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,354,B,77,149,,,4,,,,,6,0,,2,2,,,,,,,,,,,,0,240,7,247,402,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/DURANGO_0354B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,354,C01,79,131,,,5,,,,,2,1,,3,0,,,,,,,,,,,,0,221,11,232,402,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/DURANGO_0354C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,355,B,132,131,,,23,,,,,4,1,,3,0,,,,,,,,,,,,0,294,11,305,515,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0355B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,355,C01,130,106,,,20,,,,,10,4,,5,2,,,,,,,,,,,,0,277,11,288,514,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/DURANGO_0355C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,356,B,109,129,,,18,,,,,13,2,,0,1,,,,,,,,,,,,0,272,5,277,478,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0356B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,362,B,52,107,,,8,,,,,4,4,,0,2,,,,,,,,,,,,0,177,3,180,394,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_00362B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,362,C01,63,123,,,9,,,,,2,1,,0,0,,,,,,,,,,,,0,198,5,203,394,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/DURANGO_0362C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,363,B,146,193,,,9,,,,,2,5,,1,2,,,,,,,,,,,,0,358,5,363,738,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0363B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,364,B,126,152,,,10,,,,,8,3,,4,1,,,,,,,,,,,,0,304,7,311,655,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/DURANGO_0364B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,365,B,119,103,,,4,,,,,0,0,,0,1,,,,,,,,,,,,0,227,4,231,541,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0365B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,366,B,65,66,,,12,,,,,0,1,,0,0,,,,,,,,,,,,0,144,6,150,300,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/DURANGO_0366B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,368,B,77,90,,,13,,,,,0,0,,0,2,,,,,,,,,,,,0,182,1,183,352,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0368B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,369,B,131,103,,,20,,,,,6,4,,2,3,,,,,,,,,,,,0,269,6,275,621,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0369B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,369,C01,105,99,,,20,,,,,6,1,,0,6,,,,,,,,,,,,0,237,5,242,621,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0369C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,369,C02,108,96,,,14,,,,,1,0,,3,2,,,,,,,,,,,,0,224,5,229,621,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0369C2.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,377,B,119,183,,,28,,,,,6,1,,2,1,,,,,,,,,,,,0,340,9,349,656,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0377B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,377,C01,95,195,,,34,,,,,3,1,,2,3,,,,,,,,,,,,0,333,8,341,655,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0377C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,378,B,118,159,,,7,,,,,3,0,,2,0,,,,,,,,,,,,0,289,6,295,597,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0378B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,378,C01,118,147,,,13,,,,,6,1,,0,1,,,,,,,,,,,,0,286,6,292,597,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/DURANGO_378C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,379,B,110,124,,,12,,,,,5,0,,0,0,,,,,,,,,,,,0,251,2,253,599,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0379B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,379,C01,112,103,,,16,,,,,7,0,,0,0,,,,,,,,,,,,0,238,6,244,599,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0379C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,380,B,98,121,,,27,,,,,17,1,,2,3,,,,,,,,,,,,0,269,6,275,489,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0380B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,380,C01,87,141,,,17,,,,,10,2,,0,2,,,,,,,,,,,,0,259,5,264,488,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0380C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,381,B,159,171,,,21,,,,,14,1,,2,2,,,,,,,,,,,,0,370,12,382,684,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0381B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,381,C01,168,145,,,44,,,,,12,12,,0,1,,,,,,,,,,,,0,382,17,399,684,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0381C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,382,B,165,90,,,34,,,,,12,1,,0,2,,,,,,,,,,,,0,304,5,309,469,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0382B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,383,B,133,102,,,15,,,,,5,1,,8,0,,,,,,,,,,,,0,264,5,269,570,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0383B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,383,C01,141,134,,,9,,,,,5,3,,0,1,,,,,,,,,,,,0,293,5,298,569,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_0383C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,419,B,26,15,,,15,,,,,0,0,,0,0,,,,,,,,,,,,0,56,3,59,113,Acta casilla,,,
1,10,DURANGO,2,DURANGO,5,DURANGO,1394,B,156,81,,,30,,,,,5,3,,6,13,,,,,,,,,,,,0,294,6,300,580,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1394B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1394,C01,153,82,,,18,,,,,4,2,,0,6,,,,,,,,,,,,6,265,5,276,579,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1394C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1395,B,115,72,,,25,,,,,6,0,,4,11,,,,,,,,,,,,0,233,3,236,547,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1395B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1395,C01,131,64,,,26,,,,,5,5,,7,9,,,,,,,,,,,,0,247,8,255,547,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1395C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1396,B,86,73,,,15,,,,,7,4,,5,4,,,,,,,,,,,,0,194,6,200,430,Grupo de Recuento,,,
1,10,DURANGO,2,DURANGO,5,DURANGO,1396,C01,94,73,,,17,,,,,3,2,,2,4,,,,,,,,,,,,0,195,4,199,430,Grupo de Recuento,,,
1,10,DURANGO,2,DURANGO,5,DURANGO,1397,B,131,92,,,25,,,,,3,6,,2,7,,,,,,,,,,,,0,266,5,271,604,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1397B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1397,C01,151,86,,,18,,,,,6,2,,4,4,,,,,,,,,,,,0,271,3,274,604,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1397C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1398,B,143,89,,,13,,,,,8,1,,5,16,,,,,,,,,,,,0,275,3,278,504,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1398B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1398,C01,162,84,,,8,,,,,5,6,,2,11,,,,,,,,,,,,0,278,3,281,503,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1398C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1399,B,116,68,,,15,,,,,2,2,,2,4,,,,,,,,,,,,0,209,0,209,409,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1399B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1399,C01,104,79,,,7,,,,,5,2,,1,4,,,,,,,,,,,,0,202,1,203,409,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1399C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1400,B,101,74,,,8,,,,,7,0,,4,6,,,,,,,,,,,,0,200,8,208,456,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1400B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1400,C01,110,78,,,12,,,,,7,0,,4,6,,,,,,,,,,,,0,217,2,219,455,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1400C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1401,B,103,68,,,15,,,,,2,7,,7,2,,,,,,,,,,,,0,204,6,210,489,Grupo de Recuento,,,
1,10,DURANGO,2,DURANGO,5,DURANGO,1401,C01,115,87,,,15,,,,,7,4,,4,8,,,,,,,,,,,,0,240,5,245,488,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1401C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1402,B,135,80,,,15,,,,,7,2,,8,5,,,,,,,,,,,,0,252,3,255,457,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1402B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1402,C01,131,91,,,17,,,,,8,1,,5,11,,,,,,,,,,,,0,264,3,267,456,Acta casilla,,,
1,10,DURANGO,2,DURANGO,5,DURANGO,1403,B,159,110,,,10,,,,,8,1,,4,7,,,,,,,,,,,,0,299,6,305,529,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1403B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1403,C01,139,117,,,14,,,,,6,7,,7,0,,,,,,,,,,,,0,290,3,293,529,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1403C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1404,B,176,72,,,12,,,,,4,8,,4,6,,,,,,,,,,,,1,282,17,300,568,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1404B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1404,C01,197,93,,,14,,,,,10,0,,5,9,,,,,,,,,,,,0,328,6,334,567,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1404C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1405,B,122,83,,,15,,,,,6,1,,2,12,,,,,,,,,,,,0,241,4,245,441,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1405B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1405,C01,130,75,,,16,,,,,6,3,,3,4,,,,,,,,,,,,0,237,0,237,440,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/CONSTANCIAS DE RECUENTO/DURANGO_1405C1.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1406,B,152,92,,,21,,,,,5,3,,3,6,,,,,,,,,,,,0,282,2,284,585,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS%20DE%20ESCRUTINIO/DURANGO_AEC_AYU_1406B.pdf
1,10,DURANGO,2,DURANGO,5,DURANGO,1406,C01,152,88,,,20,,,,,5,4,,3,7,,,,,,,,,,,,0,279,3,282,584,Grupo de Recuento,,,
1,10,DURANGO,2,DURANGO,5,DURANGO,1407,B,166,124,,,17,,,,,5,0,,8,9,,,,,,,,,,,,0,329,3,332,592,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/AYUNTAMIENTO/ACTAS DE ESCRUTINIO/DURANGO_AEC_AYU_1407B.pdf
