CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1065,2,77,156,11,14,7,260,20,28,19,19,3,,0,614,20,634,1303
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1066,2,67,112,7,19,2,234,10,16,7,15,3,,0,492,23,515,1084
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1067,1,56,143,4,0,7,130,9,12,7,3,143,,0,514,12,526,727
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1068,2,85,123,13,17,15,219,13,19,11,18,6,,1,539,16,556,1014
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1069,1,51,78,3,8,3,182,8,14,13,10,0,,1,370,10,381,749
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1070,2,88,122,9,16,5,212,18,19,6,15,1,,7,511,31,549,1165
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1071,2,96,95,10,12,5,226,11,19,11,18,1,,0,504,15,519,938
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1072,2,108,74,8,14,6,166,10,14,10,14,3,,1,427,14,442,841
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1073,1,42,60,5,15,2,125,11,11,6,8,2,,0,287,7,294,562
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1074,2,55,117,12,15,6,170,13,21,5,12,1,,0,427,17,444,841
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1075,2,209,72,11,12,7,235,16,20,8,29,0,,1,619,20,640,1032
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1076,1,71,63,9,12,1,99,9,7,7,9,5,,1,292,12,305,614
1,14,JALISCO,12,GUADALAJARA,41,GUADALAJARA,1077,2,131,137,11,39,13,193,11,15,13,21,8,,4,592,15,611,1136
