ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND6,PRI_PVEM,CC_PRD_PT_PH_ES,CC_PRD_PT_PH,CC_PRD_PT_ES,CC_PT_PH_ES,CC_PRD_PT,CC_PRD_ES,CC_PRD_NVA_ALIANZA,CC_PT_ES,CC_PAN_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
16,MICHOACAN,28,CHURINTZIO,8,13,78,1280,1281,36,14,5,9,141,4,2,0,4,36,0,0,0,0,0,0,0,0,0,2890,59,2949,5908,0.4992
16,MICHOACAN,29,CHURUMUCO,13,23,65,4140,3723,14,16,29,11,18,0,9,0,24,0,0,0,0,0,0,0,0,3,0,8052,135,8187,10823,0.7564
16,MICHOACAN,30,ECUANDUREO,13,23,2243,3236,630,68,70,19,33,50,11,14,0,33,10,0,0,0,0,0,0,0,0,2,6417,160,6579,11256,0.5845
16,MICHOACAN,31,EPITACIO HUERTA,11,21,414,2314,2796,48,82,1684,35,65,24,27,0,33,0,0,0,0,30,0,0,0,0,0,7552,315,7867,11807,0.6663
16,MICHOACAN,32,ERONGARÍCUARO,10,19,2636,2359,1810,139,111,82,132,188,0,141,0,35,0,0,0,0,72,0,0,0,0,1,7705,405,8111,10865,0.7465
16,MICHOACAN,33,GABRIEL ZAMORA,13,28,273,3458,4344,47,128,44,157,993,0,20,0,38,0,0,0,0,0,2,0,0,6,3,9510,306,9819,15259,0.6435
16,MICHOACAN,34,HIDALGO,72,149,3575,4551,6260,1922,1423,134,1715,359,0,328,0,0,0,0,0,0,0,0,228,0,0,9,20495,970,21474,83492,0.2572
16,MICHOACAN,35,LA HUACANA,28,50,624,8302,5202,401,86,87,55,181,0,41,0,53,0,0,0,0,0,3,0,0,1,4,15036,506,15546,23796,0.6533
16,MICHOACAN,36,HUANDACAREO,10,18,1589,1195,2145,86,391,0,91,125,0,71,0,8,0,0,0,0,0,0,0,0,0,5,5701,335,6041,9494,0.6363
16,MICHOACAN,37,HUANIQUEO,11,14,587,624,2247,73,127,48,137,267,0,42,0,4,0,0,19,0,0,0,0,0,0,2,4175,464,4641,7447,0.6232
16,MICHOACAN,38,HUETAMO,45,65,299,4972,9619,1163,207,203,563,272,61,28,0,59,0,0,0,0,0,3,0,0,0,1,17449,823,18273,32069,0.5698
16,MICHOACAN,39,HUIRAMBA,4,11,420,1979,1313,104,103,37,22,87,0,55,0,70,0,0,0,0,35,0,0,0,0,0,4225,193,4418,6036,0.7319
16,MICHOACAN,40,INDAPARAPEO,13,24,539,3152,2908,156,170,56,78,308,0,59,0,107,0,0,0,0,155,0,0,0,0,2,7688,334,8024,12641,0.6348
16,MICHOACAN,41,IRIMBO,8,19,296,636,1676,87,87,7,366,55,0,31,0,0,0,0,0,0,0,0,41,0,0,1,3282,143,3426,11613,0.295
16,MICHOACAN,42,IXTLÁN,12,20,526,2076,2294,934,92,28,36,447,24,19,0,16,0,14,0,0,0,0,0,0,0,2,6506,172,6680,11053,0.6044
16,MICHOACAN,43,JACONA,27,76,3686,5041,2134,685,1443,5287,788,667,248,1898,0,21,0,24,0,0,0,0,0,0,0,28,21922,996,22946,47355,0.4846
16,MICHOACAN,44,JIMÉNEZ,14,23,352,1910,2642,438,792,64,80,206,0,47,0,10,0,0,22,0,0,0,0,0,0,0,6563,284,6847,11655,0.5875
16,MICHOACAN,45,JIQUILPAN,30,62,1864,5569,2805,138,2992,226,326,657,0,116,0,307,0,0,116,0,0,0,0,0,0,5,15116,732,15853,30699,0.5164
16,MICHOACAN,46,JOSÉ SIXTO VERDUZCO,18,37,465,3609,4594,2472,202,0,1321,340,0,387,0,15,0,0,0,0,0,0,0,0,0,12,13405,499,13916,20775,0.6698
16,MICHOACAN,47,JUÁREZ,12,20,337,2223,1980,108,58,2235,42,58,28,201,0,27,0,0,0,0,0,1,0,0,0,0,7298,251,7549,10053,0.7509
16,MICHOACAN,48,JUNGAPEO,15,26,120,1371,1963,50,95,4,109,22,0,21,0,0,0,0,0,0,0,0,194,0,0,1,3949,163,4113,14071,0.2923
