CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,3,TEPOZTLAN,26,TLAYACAPAN,768,B,1,0,B,3,9,216,5,21,1,86,94,12,0,1,0,,5,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,0,18,477,747,Grupo de recuento,,,
4,17,MORELOS,3,TEPOZTLAN,26,TLAYACAPAN,768,C,1,0,C01,2,4,200,1,12,0,114,95,7,0,0,0,,6,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,0,15,459,746,Grupo de recuento,,,
4,17,MORELOS,3,TEPOZTLAN,26,TLAYACAPAN,768,C,2,0,C02,5,0,223,2,9,2,104,101,7,2,2,0,,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,0,18,485,746,Grupo de recuento,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,769,B,1,0,B,8,24,29,32,0,1,187,16,1,3,51,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,415,0,10,425,574,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,769,C,1,0,C01,2,49,32,34,2,1,171,15,3,2,76,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,439,0,11,450,573,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,769,C,2,0,C02,7,31,33,22,2,0,180,23,1,1,36,0,4,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,416,0,19,435,573,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,769,C,3,0,C03,4,36,28,26,3,2,178,12,1,2,45,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,405,0,11,416,573,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,770,B,1,0,B,6,26,22,38,3,0,188,7,1,2,40,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,375,0,15,390,508,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,770,C,1,0,C01,2,34,20,35,2,0,194,15,2,0,43,0,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,400,0,6,406,508,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,770,C,2,0,C02,3,37,30,24,1,0,167,16,3,1,26,0,3,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,389,0,8,397,507,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,771,B,1,0,B,14,30,48,28,4,2,165,14,2,2,53,1,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,439,0,9,448,573,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,771,C,1,0,C01,7,37,32,29,1,1,173,14,1,1,45,0,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,421,0,10,431,573,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,771,C,2,0,C02,14,40,30,22,3,0,169,9,3,0,43,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,425,0,10,435,573,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,772,B,1,0,B,16,5,27,8,4,1,81,21,1,0,7,2,3,5,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,196,0,6,202,260,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,773,B,1,0,B,22,12,32,102,9,1,59,62,3,1,15,0,1,7,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,388,0,9,397,532,Grupo de recuento,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,773,C,2,0,C02,7,17,24,145,9,0,55,44,5,1,10,0,7,5,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,396,0,10,406,531,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,773,C,1,0,C01,15,10,34,157,9,0,56,30,8,1,11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,401,0,7,408,532,Acta casilla,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,774,B,1,0,B,12,9,38,10,4,3,90,40,5,2,20,1,1,5,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,297,0,11,308,381,Grupo de recuento,,,
4,17,MORELOS,3,TEPOZTLAN,27,TOTOLAPAN,775,B,1,0,B,3,8,11,23,7,0,57,22,3,0,17,0,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,206,0,4,210,232,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,12,B,1,0,B,18,5,25,7,61,32,11,26,6,4,116,2,3,3,1,0,1,,,,,,,,,5,87,50,,,,,,,,,,,,,,,,,,,,,,,,,,,463,0,8,471,629,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,12,C,2,0,C02,22,7,18,0,55,45,4,28,3,5,114,2,4,2,2,0,0,,,,,,,,,20,82,33,,,,,,,,,,,,,,,,,,,,,,,,,,,446,0,10,456,629,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,12,C,1,0,C01,14,14,21,1,46,54,10,28,6,3,106,1,4,8,0,1,0,,,,,,,,,8,106,32,,,,,,,,,,,,,,,,,,,,,,,,,,,463,0,7,470,629,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,12,C,3,0,C03,12,5,16,6,65,33,7,32,4,8,125,4,1,1,0,1,0,,,,,,,,,22,73,37,,,,,,,,,,,,,,,,,,,,,,,,,,,452,1,13,466,628,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,13,B,1,0,B,29,16,7,4,96,46,2,42,3,0,94,4,1,3,1,1,0,,,,,,,,,19,64,49,,,,,,,,,,,,,,,,,,,,,,,,,,,481,0,5,486,614,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,13,C,1,0,C01,15,6,7,2,83,41,3,39,7,4,118,1,1,4,1,0,0,,,,,,,,,23,69,39,,,,,,,,,,,,,,,,,,,,,,,,,,,463,0,10,473,614,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,13,C,2,0,C02,21,13,12,2,69,38,2,22,7,2,124,2,1,2,0,0,1,,,,,,,,,17,98,38,,,,,,,,,,,,,,,,,,,,,,,,,,,471,0,10,481,614,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,14,B,1,0,B,26,14,14,6,60,37,3,32,9,7,167,1,1,3,1,0,0,,,,,,,,,16,85,49,,,,,,,,,,,,,,,,,,,,,,,,,,,531,1,9,541,716,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,14,C,1,0,C01,31,6,9,4,76,47,5,43,9,0,138,5,1,4,0,0,0,,,,,,,,,8,85,45,,,,,,,,,,,,,,,,,,,,,,,,,,,516,1,9,526,715,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,15,B,1,0,B,14,6,9,25,62,46,4,39,6,4,111,1,0,3,0,1,2,,,,,,,,,6,79,54,,,,,,,,,,,,,,,,,,,,,,,,,,,472,1,17,490,736,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,15,C,2,0,C02,31,5,7,15,43,30,5,47,4,1,125,3,1,5,0,0,1,,,,,,,,,15,82,43,,,,,,,,,,,,,,,,,,,,,,,,,,,463,1,23,487,735,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,15,C,1,0,C01,25,10,10,23,63,48,4,35,3,1,130,1,0,3,3,0,1,,,,,,,,,6,75,27,,,,,,,,,,,,,,,,,,,,,,,,,,,468,0,15,483,735,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,16,B,1,0,B,27,5,6,5,21,64,9,19,5,3,36,5,0,0,2,0,0,,,,,,,,,5,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,250,0,9,259,385,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,16,C,1,0,C01,24,2,14,11,16,53,7,24,3,2,42,3,2,3,0,0,2,,,,,,,,,15,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,269,0,7,276,384,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,17,B,1,0,B,47,4,18,15,40,81,7,21,2,0,85,1,2,7,1,2,0,,,,,,,,,5,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,387,0,14,401,505,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,17,C,1,0,C01,32,4,16,17,51,69,10,33,1,3,53,1,2,4,0,0,1,,,,,,,,,8,56,19,,,,,,,,,,,,,,,,,,,,,,,,,,,380,0,7,387,505,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,17,C,2,0,C02,32,7,15,14,40,79,4,18,4,0,63,8,2,6,1,0,0,,,,,,,,,4,55,12,,,,,,,,,,,,,,,,,,,,,,,,,,,364,0,10,374,505,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,18,B,1,0,B,18,3,15,7,59,27,11,37,4,1,67,2,4,4,0,3,0,,,,,,,,,2,69,68,,,,,,,,,,,,,,,,,,,,,,,,,,,401,0,11,412,557,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,18,C,1,0,C01,21,13,7,9,68,23,11,24,5,3,87,2,0,4,1,1,1,,,,,,,,,8,51,46,,,,,,,,,,,,,,,,,,,,,,,,,,,385,0,13,398,556,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,19,B,1,0,B,26,7,23,7,43,45,7,53,3,4,85,2,1,4,1,1,0,,,,,,,,,3,69,44,,,,,,,,,,,,,,,,,,,,,,,,,,,428,0,21,449,726,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,19,C,4,0,C04,21,8,18,13,63,37,8,53,10,3,106,2,2,4,1,0,0,,,,,,,,,3,55,35,,,,,,,,,,,,,,,,,,,,,,,,,,,442,0,22,464,725,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,19,C,1,0,C01,34,7,12,10,78,45,12,51,12,4,98,5,2,3,2,2,4,,,,,,,,,10,61,32,,,,,,,,,,,,,,,,,,,,,,,,,,,484,0,13,497,725,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,19,C,2,0,C02,30,9,16,2,66,51,12,41,9,2,121,3,2,4,0,1,1,,,,,,,,,12,44,29,,,,,,,,,,,,,,,,,,,,,,,,,,,455,0,15,470,725,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,19,C,3,0,C03,17,6,20,5,59,49,18,40,10,2,98,3,0,3,2,1,1,,,,,,,,,4,63,46,,,,,,,,,,,,,,,,,,,,,,,,,,,447,0,13,460,725,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,20,B,1,0,B,93,27,10,18,13,9,12,58,4,0,31,0,1,1,0,0,0,,,,,,,,,4,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,301,0,6,307,462,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,21,B,1,0,B,116,34,4,17,24,5,26,56,4,1,21,1,0,0,1,0,2,,,,,,,,,1,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,339,0,12,351,515,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,22,B,1,0,B,145,45,8,25,33,17,13,62,2,1,14,1,0,2,1,0,0,,,,,,,,,4,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,399,0,18,417,667,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,2,ATLATLAHUCAN,23,B,1,0,B,81,19,7,18,13,11,9,30,2,1,14,1,0,3,0,0,1,,,,,,,,,1,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,228,0,3,231,337,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,97,B,1,0,B,86,20,32,11,21,96,9,90,12,6,7,13,2,6,0,2,3,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,451,0,16,467,704,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,97,C,1,0,C01,69,16,36,8,18,91,13,107,15,5,7,9,3,4,0,0,3,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,451,0,12,463,703,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,97,C,5,0,C05,82,23,48,12,9,95,10,93,10,4,6,6,8,8,2,1,5,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,457,0,9,466,703,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,97,C,2,0,C02,84,27,37,20,11,67,6,94,7,9,8,11,2,6,0,0,1,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,425,0,15,440,703,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,97,C,3,0,C03,67,25,51,13,12,77,16,86,8,10,7,7,2,3,1,0,0,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,435,0,5,440,703,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,97,C,4,0,C04,92,16,45,15,13,101,9,88,11,7,6,10,2,10,1,1,0,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,455,0,10,465,703,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,98,B,1,0,B,52,16,39,5,9,89,7,95,12,5,3,6,0,3,0,0,1,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,369,0,9,378,528,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,98,C,1,0,C01,56,32,36,8,11,68,17,86,7,2,5,3,0,1,0,0,2,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,356,0,11,367,528,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,99,B,1,0,B,68,15,57,5,13,123,19,82,13,7,3,11,2,1,2,1,0,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,472,0,15,487,686,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,99,C,2,0,C02,63,19,42,8,18,120,29,101,12,0,8,6,0,3,2,0,0,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,463,0,13,476,685,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,99,C,1,0,C01,77,21,37,6,12,89,11,126,8,6,6,6,1,3,0,0,0,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,442,0,13,455,686,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,100,B,1,0,B,62,15,43,11,16,93,10,111,8,7,7,10,2,11,0,0,6,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,434,0,24,458,668,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,100,C,2,0,C02,51,9,28,13,18,70,7,114,14,7,10,9,0,5,4,1,2,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,383,0,12,395,668,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,100,C,3,0,C03,46,10,31,8,19,94,13,103,12,4,5,7,2,4,2,2,3,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,389,0,15,404,668,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,100,C,1,0,C01,41,17,34,11,18,85,11,92,6,3,8,7,1,7,1,1,0,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,377,0,18,395,668,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,101,B,1,0,B,76,24,21,6,15,82,12,102,8,6,3,12,3,8,1,1,2,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,400,0,16,416,577,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,101,C,1,0,C01,61,17,31,5,13,79,11,120,1,7,10,5,1,5,1,0,1,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,399,0,14,413,577,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,102,B,1,0,B,80,22,41,8,18,53,4,106,15,8,3,10,1,9,0,0,5,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,424,1,18,443,747,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,102,C,3,0,C03,64,20,44,13,17,38,4,119,14,15,9,1,1,7,1,0,2,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,404,0,21,425,746,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,102,C,2,0,C02,73,19,45,14,14,60,9,111,20,9,2,5,4,5,1,1,5,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,428,0,20,448,747,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,102,C,4,0,C04,75,17,37,5,17,46,8,116,17,11,3,16,1,9,2,0,0,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,417,0,12,429,746,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,102,C,1,0,C01,80,30,47,14,17,61,6,116,16,10,4,9,3,5,0,0,1,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,452,0,15,467,747,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,181,B,1,0,B,29,24,59,12,21,21,6,112,5,16,5,3,9,6,2,0,0,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,362,0,22,384,661,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,181,C,2,0,C02,23,9,63,14,11,24,8,123,6,13,7,1,3,8,0,0,3,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,350,0,18,368,661,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,181,C,1,0,C01,26,20,70,12,28,25,9,105,10,12,4,1,2,6,1,1,3,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,383,0,16,399,661,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,6,CUAUTLA,181,C,3,0,C03,20,26,53,10,9,33,4,71,10,22,13,4,6,7,2,3,3,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,321,2,20,343,661,Acta casilla,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,569,B,1,0,B,21,0,110,44,3,63,53,10,2,16,210,9,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,0,11,570,693,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,569,C,1,0,C01,23,2,177,49,4,34,38,17,3,10,197,6,16,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,0,10,588,692,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,569,C,2,0,C02,20,5,120,54,6,37,50,25,2,6,196,6,17,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551,0,5,556,692,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,570,B,1,0,B,11,0,118,32,0,23,25,12,2,8,132,5,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,0,2,385,447,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,570,C,1,0,C01,10,0,90,40,3,20,28,9,0,16,121,2,11,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,0,12,364,447,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,571,B,1,0,B,36,0,78,17,0,90,41,4,1,4,146,11,16,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,0,5,451,554,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,571,C,1,0,C01,29,2,90,25,1,69,37,6,1,4,141,15,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,0,8,454,554,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,572,B,1,0,B,12,1,54,239,1,2,19,11,2,3,211,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,0,12,572,648,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,572,C,1,0,C01,2,1,72,215,1,5,18,2,3,1,252,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,0,4,581,648,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,573,B,1,0,B,12,0,49,171,4,14,24,17,1,1,70,1,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,0,16,384,493,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,573,C,1,0,C01,12,1,44,215,5,12,16,10,1,0,83,1,4,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,0,12,418,493,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,574,B,1,0,B,24,1,32,106,0,56,72,2,3,2,57,7,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,0,9,377,426,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,574,C,1,0,C01,20,2,61,69,1,26,75,4,1,2,89,9,10,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,0,17,387,425,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,575,B,1,0,B,0,0,37,340,0,0,17,1,0,2,43,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,0,14,457,564,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,575,C,1,0,C01,0,0,47,303,0,1,12,1,0,3,48,2,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,0,6,439,564,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,575,C,2,0,C02,4,1,35,340,0,2,12,2,1,3,49,1,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,0,10,470,563,Grupo de recuento,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,576,B,1,0,B,1,1,45,373,2,2,8,2,1,0,111,1,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,0,15,571,724,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,576,C,1,0,C01,3,1,34,384,0,1,9,5,91,3,2,9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,0,24,566,724,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,577,B,1,0,B,23,1,60,98,2,52,264,9,3,1,85,5,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,0,4,611,739,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,578,B,1,0,B,18,0,47,122,2,27,96,15,2,1,111,3,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,0,12,463,640,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,578,C,1,0,C01,31,0,77,103,1,29,107,10,0,2,121,6,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,0,0,493,640,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,16,OCUITUCO,578,C,2,0,C02,23,1,41,104,3,48,111,17,4,4,85,8,9,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,0,16,475,640,Acta levantada en consejo,,,
4,17,MORELOS,4,YECAPIXTLA,22,TETELA DEL VOLCAN,695,B,1,0,B,2,2,135,0,155,0,9,127,33,0,1,0,,24,5,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0,10,514,617,Acta casilla,,,
