"coalitions","components_1","components_2","components_3","components_4","components_5","components_6","components_7"
"PT_PRD_PSD","PT","PRD","PSD",NA,NA,NA,NA
"PT_PRD","PT","PRD",NA,NA,NA,NA,NA
"PRI_PANAL_PES","PRI","PANAL","PES",NA,NA,NA,NA
"PRI_PANAL_PH_PES","PRI","PANAL","PH","PES",NA,NA,NA
"PRI_PES","PRI","PES",NA,NA,NA,NA,NA
"PRI_PH","PRI","PH",NA,NA,NA,NA,NA
"PRI_PH_PES","PRI","PH","PES",NA,NA,NA,NA
"PRI_PVEM_PANAL_PES","PRI","PVEM","PANAL","PES",NA,NA,NA
"PRI_PVEM_PANAL_PH","PRI","PVEM","PANAL","PH",NA,NA,NA
"PRI_PVEM_PANAL_PH_PES","PRI","PVEM","PANAL","PH","PES",NA,NA
"PRI_PVEM_PES","PRI","PVEM","PES",NA,NA,NA,NA
"PRI_PVEM_PH_PES","PRI","PVEM","PH","PES",NA,NA,NA
