Distrito,CONS.,SECCION,CASILLA,PAN-PC,PRI-PVEM,PRD-PT,VOTOS NULOS,VOTOS VÁLIDOS,VOTOS TOTALES,
X,37,32,032-C,43,96,122,9,261,270,
X,38,33,033-B,15,93,74,4,182,186,
X,39,33,033-C,16,90,67,5,173,178,
X,40,34,034-B,35,121,106,8,262,270,
X,41,34,034-C,36,120,98,4,254,258,
X,42,35,035-B,29,144,113,6,286,292,
X,43,35,035-C,40,131,109,14,280,294,
X,44,36,036-B,40,138,166,12,344,356,
X,45,36,036-C,57,133,157,13,347,360,
X,46,37,037-B,18,92,109,7,219,226,
X,47,37,037-C,27,91,86,4,204,208,
X,48,38,038-B,45,105,124,10,274,284,
X,49,38,038-C,37,107,122,8,266,274,
X,50,39,039-B,56,58,90,4,204,208,
X,51,39,039-C,49,62,92,4,203,207,
X,52,40,040-B,32,111,149,10,292,302,
X,53,40,040-C,23,119,115,13,257,270,
X,54,85,085-B,42,126,85,5,253,258,
X,55,85,085-C,39,96,91,6,226,232,
X,56,86,086-B,38,113,95,6,246,252,
X,57,86,086-C,36,112,92,9,240,249,
X,58,87,087-B,29,102,80,8,211,219,
X,59,87,087-C,36,82,95,44,213,257,
X,60,88,088-B,31,71,83,6,185,191,
X,61,88,088-C,25,67,73,5,165,170,
X,62,89,089-B,64,139,99,6,302,308,
X,63,90,090-B,80,148,111,6,339,345,
X,64,90,090-C,74,162,86,8,322,330,
X,65,91,091-B,66,133,111,9,310,319,
X,66,91,091-C,72,143,108,5,323,328,
X,67,92,092-B,40,147,82,16,269,285,
X,68,92,092-C,39,165,70,6,274,280,
X,69,93,093-B,51,100,104,0,255,255,
X,70,93,093-C,46,93,105,1,244,245,
X,71,94,094-B,64,161,139,7,364,371,
X,72,94,094-C,62,149,131,4,342,346,
X,73,95,095-B,63,177,143,7,383,390,
X,74,96,096-B,23,98,60,3,181,184,
X,75,96,096-C,31,76,61,4,168,172,
X,76,97,097-B,25,81,64,2,170,172,
X,77,97,097-C,19,77,61,6,157,163,
X,78,114,114-B,42,159,118,9,319,328,
X,79,115,115-B,35,81,66,2,182,184,
X,80,115,115-C,71,202,270,0,543,543,
X,81,116,116-B,41,143,63,5,247,252,
X,82,116,116-C,45,154,67,6,266,272,
X,83,117,117-B,58,134,118,11,310,321,
X,84,117,117-C,54,126,112,6,292,298,
X,85,119,119-B,102,159,30,6,291,297,
X,86,136,136-B,98,179,42,0,319,319,
X,87,137,137-B,108,204,39,5,351,356,
X,88,144,144-B,59,93,31,5,183,188,
X,89,144,144-C,49,95,26,4,170,174,
X,90,144,144-S,0,0,0,0,0,0,
X,91,169,169-B,74,172,22,3,268,271,
X,92,170,170-B,83,181,36,4,300,304,
X,93,170,170-C,96,145,33,1,274,275,
X,94,179,179-B,50,212,77,8,339,347,
X,95,179,179-C01,60,202,64,10,326,336,
X,96,179,179-C02,49,219,75,9,343,352,
X,97,179,179-C03,40,209,65,8,314,322,
X,98,180,180-B,39,154,46,6,239,245,
X,99,180,180-C,34,171,31,8,236,244,
,,,,,,,,,,
XI,1,1,001-B,56,128,189,9,373,382,
XI,2,1,001-C01,49,111,217,8,377,385,
XI,3,1,001-C02,37,101,225,18,363,381,
XI,4,1,001-C03,56,89,208,14,353,367,
XI,5,1,001-C04,39,84,213,14,336,350,
XI,6,1,001-C05,44,75,222,6,341,347,
XI,7,1,001-C06,31,108,230,6,369,375,
XI,8,1,001-C07,36,102,209,10,347,357,
XI,9,1,001-C08,39,88,222,13,349,362,
XI,10,2,002-B,42,108,209,0,359,359,
XI,11,2,002-C01,33,115,179,8,327,335,
XI,12,2,002-C02,40,111,180,7,331,338,
XI,13,2,002-C03,43,101,201,0,345,345,
XI,14,2,002-C04,41,117,189,7,347,354,
XI,15,2,002-C05,38,97,193,8,328,336,
XI,16,2,002-C06,35,94,204,21,333,354,
XI,17,2,002-C07,43,82,198,14,323,337,
XI,18,2,002-C08,112,283,559,21,954,975,
XI,19,2,002-C09,32,105,178,16,315,331,
XI,20,2,002-C10,40,111,186,7,337,344,
XI,21,2,002-C11,35,111,203,10,349,359,
XI,22,2,002-C12,27,121,174,11,322,333,
XI,23,2,002-C13,44,106,174,13,324,337,
XI,24,11,011-B,44,125,205,8,374,382,
XI,25,11,011-C01,31,136,193,0,360,360,
XI,26,11,011-C02,29,131,194,7,354,361,
XI,27,11,011-C03,30,135,176,8,341,349,
XI,28,11,011-C04,34,139,193,7,366,373,
XI,29,11,011-C05,37,135,180,10,352,362,
XI,30,11,011-C06,31,120,191,0,342,342,
XI,31,11,011-C07,38,138,175,9,351,360,
XI,32,11,011-C08,30,142,194,9,366,375,
XI,33,11,011-C09,23,133,196,7,352,359,
XI,34,11,011-C10,34,122,196,6,352,358,
XI,35,11,011-C11,19,118,178,0,315,315,
XI,36,11,011-C12,41,129,171,0,341,341,
XI,37,11,011-C13,46,119,192,7,357,364,
XI,38,11,011-C14,34,111,184,8,329,337,
XI,39,11,011-C15,35,104,196,4,335,339,
XI,40,11,011-C16,35,117,203,1,355,356,
XI,41,11,011-C17,30,101,176,12,307,319,
XI,42,11,011-C18,41,93,219,0,353,353,
XI,43,11,011-C19,31,120,222,4,373,377,
XI,44,11,011-C20,25,117,197,4,339,343,
XI,45,11,011-C21,57,112,167,1,336,337,
XI,46,11,011-C22,37,118,214,6,369,375,
XI,47,11,011-C23,37,141,172,6,350,356,
XI,48,11,011-C24,38,114,182,8,334,342,
XI,49,11,011-C25,38,123,190,12,351,363,
XI,50,11,011-C26,43,118,187,3,348,351,
XI,51,11,011-C27,36,131,132,10,299,309,
XI,52,11,011-C28,45,117,181,5,343,348,
XI,53,11,011-C29,45,136,185,6,366,372,
XI,54,11,011-C30,34,103,188,6,325,331,
XI,55,11,011-C31,41,136,187,6,364,370,
XI,56,11,011-C32,30,119,180,4,329,333,
XI,57,11,011-C33,46,129,173,3,348,351,
XI,58,11,011-C34,45,132,172,9,349,358,
XI,59,11,011-C35,41,154,199,11,394,405,
XI,60,11,011-C36,37,123,186,9,346,355,
XI,61,11,011-C37,28,130,192,7,350,357,
XI,62,22,022-B,39,106,110,3,255,258,
XI,63,22,022-C,27,105,109,6,241,247,
XI,64,23,023-B,35,121,78,5,234,239,
XI,65,23,023-C,46,107,71,4,224,228,
XI,66,24,024-B,36,168,102,3,306,309,
XI,67,24,024-C,47,125,108,11,280,291,
XI,68,25,025-B,38,90,86,3,214,217,
XI,69,25,025-C,49,76,82,3,207,210,
XI,70,26,026-B,31,106,102,8,239,247,
XI,71,26,026-C,32,99,106,0,237,237,
XI,72,27,027-B,33,138,131,10,302,312,
XI,73,27,027-C,43,102,141,11,286,297,
XI,74,28,028-B,35,135,158,19,328,347,
XI,75,28,028-C,47,122,172,10,341,351,
XI,76,29,0029-B,38,120,127,4,285,289,
XI,77,29,029-C,27,126,126,6,279,285,
XI,78,30,030-B,16,66,102,4,184,188,
XI,79,30,030-C,22,80,89,3,191,194,
XI,80,31,031-B,18,100,87,6,205,211,
XI,81,31,031-C,40,100,90,5,230,235,
XI,82,41,041-B,33,68,70,3,171,174,
XI,83,41,041-C,23,79,67,3,169,172,
XI,84,42,042-B,26,79,78,0,183,183,
XI,85,42,042-C,26,94,79,5,199,204,
XI,86,43,043-B,43,98,104,0,245,245,
XI,87,43,043-C,37,106,115,0,258,258,
XI,88,44,044-B,55,149,133,9,337,346,
XI,89,44,044-C,56,135,121,5,312,317,
XI,90,58,058-B,86,224,90,10,400,410,
XI,91,59,059-B,50,101,57,,208,208,
XI,92,59,059-C,61,114,61,7,236,243,
XI,93,60,060-B,49,162,169,7,380,387,
XI,94,60,060-C,57,166,127,14,350,364,
XI,95,61,061-B,55,117,122,4,294,298,
XI,96,61,061-C,50,116,106,11,272,283,
XI,97,62,062-B,44,100,91,10,235,245,
XI,98,62,062-C,45,80,100,8,225,233,
XI,99,63,063-B,38,95,90,3,223,226,
XI,100,63,063-C,46,82,108,5,236,241,
XI,101,64,064-B,28,117,113,4,258,262,
XI,102,64,064-C,25,136,73,,234,234,
XI,103,65,065-B,33,121,133,10,287,297,
XI,104,65,065-C,45,124,158,5,327,332,
XI,105,66,066-B,30,57,98,5,185,190,
XI,106,66,066-C,40,59,90,14,189,203,
XI,107,67,067-B,13,61,81,6,155,161,
XI,108,67,067-C,15,67,80,5,162,167,
XI,109,68,068-B,30,81,80,7,191,198,
XI,110,68,068-C,39,96,91,7,226,233,
XI,111,69,069-B,3,56,72,3,131,134,
XI,112,69,069-C,15,67,60,2,142,144,
XI,113,77,077-B,54,101,84,8,239,247,
XI,114,77,077-C,49,95,70,4,214,218,
XI,115,78,078-B,53,103,86,5,242,247,
XI,116,78,078-C01,45,72,75,4,192,196,
XI,117,79,079-B,44,113,105,4,262,266,
XI,118,79,079-C,51,102,122,5,275,280,
XI,119,80,080-B,49,97,72,0,218,218,
XI,120,80,080-C,44,111,70,2,225,227,
XI,121,81,081-B,39,100,109,9,248,257,
XI,122,81,081-C,44,108,107,10,259,269,
XI,123,82,082-B,35,101,97,6,233,239,
XI,124,82,082-C,29,106,82,8,217,225,
XI,125,83,083-B,40,114,77,8,231,239,
XI,126,83,083-C01,14,78,80,4,172,176,
XI,127,83,083-C02,21,103,86,5,210,215,
XI,128,84,084-B,30,122,101,8,253,261,
XI,129,84,084-C,48,96,97,7,241,248,
XI,130,98,098-B,44,102,84,7,230,237,
XI,131,98,098-C,34,114,77,3,225,228,
XI,132,99,099-B,32,94,63,8,189,197,
XI,133,99,099-C,22,92,65,9,179,188,
XI,134,100,100-B,31,89,57,2,177,179,
XI,135,100,100-C,29,75,56,9,160,169,
XI,136,110,110-B,42,75,73,11,190,201,
XI,137,110,110-C,41,97,61,1,199,200,
XI,138,111,111-B,50,116,104,4,270,274,
XI,139,112,112-B,39,137,118,,294,294,
XI,140,113,113-B,35,77,70,6,182,188,
XI,141,113,113-C,26,63,67,5,156,161,
XI,142,118,118-B,29,126,101,5,256,261,
XI,143,120,120-B,25,95,55,3,175,178,
XI,144,120,120-C,46,129,44,2,219,221,
XI,145,120,120-S,0,0,0,0,0,0,
XI,146,121,121-B,54,82,67,3,203,206,
XI,147,121,121-C,51,102,48,4,201,205,
XI,148,122,122-B,107,186,82,9,375,384,
XI,149,123,123-B,96,223,90,9,409,418,
XI,150,131,131-B,50,100,74,10,224,234,
XI,151,131,131-C,60,122,64,7,246,253,
XI,152,132,132-B,53,76,62,6,191,197,
XI,153,132,132-C,55,97,60,205,212,417,
XI,154,133,133-B,86,141,51,9,278,287,
XI,155,133,133-C,79,156,56,5,291,296,
XI,156,134,134-B,49,89,47,5,185,190,
XI,157,134,134-C,48,89,44,3,181,184,
XI,158,135,135-B,39,101,48,5,188,193,
XI,159,135,135-C,43,94,40,4,177,181,
XI,160,138,138-B,102,195,79,7,376,383,
XI,161,139,139-B,61,101,40,5,202,207,
XI,162,139,139-C1,70,85,58,4,213,217,
XI,163,143,143-B,46,99,56,5,201,206,
XI,164,143,143-C,44,104,52,7,200,207,
XI,165,145,145-B,120,171,50,5,341,346,
XI,166,161,161-B,121,203,34,10,358,368,
XI,167,161,161-C01,106,181,31,9,318,327,
XI,168,161,161-C2,123,199,40,6,362,368,
XI,169,162,162-B,80,113,30,2,223,225,
XI,170,173,173-B,42,156,98,,296,296,
XI,171,173,173-C01,37,127,95,22,259,281,
XI,172,173,173-C02,31,124,111,11,266,277,
XI,173,173,173-C03,7,135,95,4,237,241,
XI,174,174,174-B,47,141,79,7,267,274,
XI,175,174,174-C01,39,117,82,7,238,245,
XI,176,174,174-C02,33,139,68,12,240,252,
XI,177,175,175-B,52,167,95,8,314,322,
XI,178,175,175-C01,42,187,94,16,323,339,
XI,179,175,175-C02,57,181,89,15,327,342,
XI,180,175,175-C03,56,153,115,5,324,329,
XI,181,175,175-C04,52,164,86,11,302,313,
,,,,,,,,,,
XII,1,18,018-B,31,95,142,251,268,519,
XII,2,18,018-C01,29,106,110,8,245,253,
XII,3,18,018-C02,33,106,131,2,270,272,
XII,4,19,019-B,41,118,134,5,293,298,
XII,5,19,019-C01,36,100,141,14,277,291,
XII,6,19,019-C2,38,112,131,11,281,292,
XII,7,20,020-B,41,88,106,5,235,240,
XII,8,20,020-C,36,95,109,1,240,241,
XII,9,21,021-B,61,136,98,8,295,303,
XII,10,21,021-C,56,132,97,8,285,293,
XII,11,45,045-B,87,190,123,6,400,406,
XII,12,45,045-C,78,164,127,4,369,373,
XII,13,46,046-B,48,108,116,13,272,285,
XII,14,46,046-C01,31,113,108,13,252,265,
XII,15,46,046-C2,47,96,120,6,263,269,
XII,16,55,055-B,35,129,120,10,284,294,
XII,17,55,055-C,0,0,0,0,0,0,Anulada
XII,18,56,056-B,39,111,115,5,265,270,
XII,19,56,056-C,33,81,129,9,243,252,
XII,20,57,057-B,68,142,125,10,335,345,
XII,21,57,057-C,78,167,114,7,359,366,
XII,22,74,074-B,45,123,127,5,295,300,
XII,23,74,074-C01,39,116,122,4,277,281,
XII,24,74,074-C02,35,116,130,6,281,287,
XII,25,75,075-B,37,95,156,6,288,294,
XII,26,75,075-C,0,0,0,0,0,0,Anulada
XII,27,76,076-B,62,133,82,4,277,281,
XII,28,76,076-C01,63,157,73,3,293,296,
XII,29,76,076-C02,75,138,79,4,292,296,
XII,30,101,101-B,27,80,126,5,233,238,
XII,31,101,101-C,32,78,110,8,220,228,
XII,32,103,103-B,61,143,55,7,259,266,
XII,33,104,104-B,90,174,85,233,349,582,
XII,34,104,104-C,94,153,80,7,327,334,
XII,35,105,105-B,94,153,80,9,327,336,
XII,36,105,105-C,0,0,0,0,0,0,Anulada
XII,37,106,106-B,63,131,60,9,254,263,
XII,38,106,106-C,49,114,59,6,222,228,
XII,39,107,107-B,28,106,92,9,226,235,
XII,40,107,107-C01,44,108,104,0,256,256,
XII,41,107,107-C02,39,90,105,5,234,239,
XII,42,108,108-B,46,110,110,10,266,276,
XII,43,108,108-C,52,110,117,9,279,288,
XII,44,109,109-B,51,138,105,8,294,302,
XII,45,109,109-C,49,151,107,10,307,317,
XII,46,124,124-B,54,104,56,4,214,218,
XII,47,124,124-C,57,92,53,8,202,210,
XII,48,125,125-B,57,127,80,0,264,264,
XII,49,125,125-C,51,130,81,6,262,268,
XII,50,126,126-B,75,152,81,3,308,311,
XII,51,126,126-C01,80,165,79,11,324,335,
XII,52,126,126-C02,72,155,64,6,291,297,
XII,53,126,126-C03,74,197,73,5,344,349,
XII,54,126,126-C04,92,155,68,7,315,322,
XII,55,127,127-B,42,138,164,14,344,358,
XII,56,127,127-C01,52,167,174,7,393,400,
XII,57,127,127-C02,35,124,217,8,376,384,
XII,58,128,128-B,80,150,62,5,292,297,
XII,59,128,128-C,66,129,68,4,263,267,
XII,60,129,129-B,85,98,27,3,210,213,
XII,61,130,130-B,114,138,64,8,316,324,
XII,62,140,140-B,102,133,57,9,292,301,
XII,63,141,141-B,88,172,59,5,319,324,
XII,64,142,142-B,112,177,57,11,346,357,
XII,65,146,146-B,148,201,47,8,396,404,
XII,66,146,146-C01,129,184,47,8,360,368,
XII,67,146,146-C02,137,202,30,13,369,382,
XII,68,146,146-S,0,0,0,0,0,0,
XII,69,147,147-B,116,215,60,11,391,402,
XII,70,147,147-C01,116,181,75,11,372,383,
XII,71,147,147-C02,139,184,77,9,400,409,
XII,72,147,147-C03,115,165,88,4,368,372,
XII,73,147,147-C04,109,161,79,0,349,349,
XII,74,147,147-C05,126,181,72,14,379,393,
XII,75,147,147-C06,114,193,69,8,376,384,
XII,76,148,148-B,0,0,0,0,0,0,Anulada
XII,77,148,148-C,55,142,143,5,340,345,
XII,78,149,149-B,47,73,111,3,231,234,
XII,79,149,149-C,64,84,105,2,253,255,
XII,80,150,150-B,10,11,13,1,34,35,
XII,81,156,156-B,66,138,115,6,319,325,
XII,82,156,156-C,83,139,111,10,333,343,
XII,83,157,157-B,64,136,134,7,334,341,
XII,84,157,157-C,54,128,164,10,346,356,
XII,85,158,158-B,37,128,133,10,298,308,
XII,86,158,158-C01,34,127,145,5,306,311,
XII,87,159,159-B,55,148,143,27,346,373,
XII,88,159,159-C,39,157,164,18,360,378,
XII,89,160,160-B,388,485,340,16,1213,1229,
XII,90,160,160-C01,103,194,83,7,380,387,
XII,91,160,160-C02,96,174,94,5,364,369,
XII,92,160,160-C03,128,185,97,5,410,415,
XII,93,160,160-C04,118,149,81,11,348,359,
XII,94,160,160-C05,111,179,82,0,372,372,
XII,95,160,160-C06,109,176,93,10,378,388,
XII,96,160,160-C07,111,166,80,0,357,357,
XII,97,160,160-C08,95,150,83,10,328,338,
XII,98,160,160-C09,109,153,89,5,351,356,
XII,99,160,160-C10,130,157,79,7,366,373,
XII,100,160,160-C11,121,160,85,8,366,374,
XII,101,160,160-C12,96,178,84,6,358,364,
XII,102,160,160-C13,124,167,77,9,368,377,
XII,103,163,163-B,51,162,148,11,361,372,
XII,104,163,163-C01,71,130,141,9,342,351,
XII,105,163,163-C02,55,141,146,4,342,346,
XII,106,165,165-B,28,106,142,7,276,283,
XII,107,165,165-C,33,120,119,7,272,279,
XII,108,166,166-B,45,137,145,7,327,334,
XII,109,166,166-C01,38,170,138,4,346,350,
XII,110,166,166-C02,40,129,149,2,318,320,
XII,111,166,166-C03,39,137,137,4,313,317,
XII,112,167,167-B,53,156,159,14,368,382,
XII,113,167,167-C,37,136,175,12,348,360,
XII,114,168,168-B,57,146,130,7,333,340,
XII,115,168,168-C01,47,157,140,6,344,350,
XII,116,168,168-C02,47,117,151,9,315,324,
XII,117,168,168-C03,55,134,139,13,328,341,
XII,118,168,168-C04,66,142,141,8,349,357,
,,,,,,,,,,
XIII,1,12,012-B,51,146,132,4,329,333,
XIII,2,12,012-C01,65,140,118,342,323,665,
XIII,3,12,012-C02,51,107,130,4,288,292,
XIII,4,12,012-C03,62,134,140,12,336,348,
XIII,5,12,012-C04,53,149,119,12,321,333,
XIII,6,12,012-C05,54,125,138,5,317,322,
XIII,7,12,012-C06,71,116,141,7,328,335,
XIII,8,12,012-C07,55,140,130,5,325,330,
XIII,9,13,013-B,37,130,140,10,307,317,
XIII,10,13,013-C01,34,108,117,8,259,267,
XIII,11,13,013-C02,27,150,131,11,308,319,
XIII,12,14,014-B,34,75,113,7,222,229,
XIII,13,14,014-C,24,83,120,9,227,236,
XIII,14,15,015-B,26,115,113,11,254,265,
XIII,15,15,015-C01,30,117,133,8,280,288,
XIII,16,15,015-C02,39,116,102,8,257,265,
XIII,17,16,016-B,36,105,142,6,283,289,
XIII,18,16,016-C01,43,124,159,15,326,341,
XIII,19,16,016-C02,47,117,143,5,307,312,
XIII,20,16,016-C03,50,101,136,3,287,290,
XIII,21,17,017-B,57,139,127,5,323,328,
XIII,22,17,017-C01,47,109,135,5,291,296,
XIII,23,17,017-C02,55,100,137,11,292,303,
XIII,24,17,017-C03,33,154,150,5,337,342,
XIII,25,17,017-C04,44,119,143,9,306,315,
XIII,26,47,047-B,38,154,154,5,346,351,
XIII,27,47,047-C,37,119,179,6,335,341,
XIII,28,48,048-B,48,128,153,8,329,337,
XIII,29,48,048-C,52,143,137,12,332,344,
XIII,30,49,049-B,47,147,132,11,326,337,
XIII,31,49,049-C,48,137,130,12,315,327,
XIII,32,50,050-B,40,150,160,11,350,361,
XIII,33,50,050-C01,37,114,152,8,303,311,
XIII,34,50,050-C02,64,149,147,10,360,370,
XIII,35,51,051-B,40,146,108,12,294,306,
XIII,36,51,051-C,42,125,116,6,283,289,
XIII,37,52,052-B,35,147,157,15,339,354,
XIII,38,52,052-C,54,141,176,4,371,375,
XIII,39,53,053-B,53,137,149,,339,339,
XIII,40,53,053-C01,62,95,148,11,305,316,
XIII,41,53,053-C02,46,104,169,6,319,325,
XIII,42,53,053-C03,56,103,146,10,305,315,
XIII,43,54,054-B,29,135,158,4,322,326,
XIII,44,54,054-C01,42,119,150,9,311,320,
XIII,45,54,054-C02,43,134,141,12,318,330,
XIII,46,54,054-C03,24,133,151,3,308,311,
XIII,47,70,070-B,41,126,104,8,271,279,
XIII,48,70,070-C,33,148,117,,298,298,
XIII,49,71,071-B,45,147,134,6,326,332,
XIII,50,71,071-C,59,126,164,,349,349,
XIII,51,72,072-B,58,167,159,12,384,396,
XIII,52,72,072-C01,45,170,155,,370,370,
XIII,53,72,072-C02,53,189,156,9,398,407,
XIII,54,73,073-B,62,162,168,10,392,402,
XIII,55,73,073-C01,58,140,164,11,362,373,
XIII,56,73,073-C02,48,147,147,6,342,348,
XIII,57,102,102-B,0,0,0,0,0,0,Anulada
XIII,58,102,102-C01,66,106,99,2,271,273,
XIII,59,102,102-C02,50,104,90,9,244,253,
XIII,60,151,151-B,80,159,136,3,375,378,
XIII,61,151,151-C01,0,0,0,0,0,0,Anulada
XIII,62,151,151-C02,83,143,134,10,360,370,
XIII,63,151,151-C03,95,138,127,5,360,365,
XIII,64,152,152-B,45,101,119,5,265,270,
XIII,65,152,152-C01,37,90,117,6,244,250,
XIII,66,152,152-C02,45,98,124,,267,267,
XIII,67,153,153-B,68,145,165,3,378,381,
XIII,68,153,153-C,64,145,178,9,387,396,
XIII,69,154,154-B,69,119,161,5,349,354,
XIII,70,154,154-C01,53,104,154,10,311,321,
XIII,71,154,154-C02,67,126,161,10,354,364,
XIII,72,154,154-C03,49,135,158,5,342,347,
XIII,73,154,154-C04,47,104,160,4,311,315,
XIII,74,154,154-C05,44,104,137,15,285,300,
XIII,75,154,154-C06,48,135,149,6,332,338,
XIII,76,154,154-C07,44,121,150,2,315,317,
XIII,77,154,154-C08,54,120,159,12,333,345,
XIII,78,154,154-C09,56,128,154,10,338,348,
XIII,79,154,154-C10,55,133,141,,329,329,
XIII,80,154,154-C11,59,125,149,7,333,340,
XIII,81,154,154-C12,59,117,130,9,306,315,
XIII,82,154,154-C13,68,122,147,,337,337,
XIII,83,154,154-C14,43,149,163,10,355,365,
XIII,84,154,154-C15,49,113,161,7,323,330,
XIII,85,155,155-B,43,114,119,5,276,281,
XIII,86,155,155-C,37,127,132,16,296,312,
XIII,87,164,164-B,51,154,166,13,371,384,
XIII,88,164,164-C01,45,142,153,8,340,348,
XIII,89,164,164-C02,65,148,170,0,383,383,
XIII,90,164,164-C03,58,139,52,5,249,254,
XIII,91,171,171-B,1,16,9,0,26,26,
XIII,92,172,172-B,6,14,65,3,85,88,
XIII,93,177,177-B,48,233,130,5,411,416,
XIII,94,177,177-C01,44,189,115,15,348,363,
XIII,95,177,177-C02,39,158,134,46,331,377,
XIII,96,178,178-B,46,176,115,16,337,353,
XIII,97,178,178-C,32,147,111,36,290,326,
XIII,98,181,181-B,63,118,140,9,321,330,
XIII,99,181,181-C01,58,97,136,5,291,296,
XIII,100,181,181-C02,33,120,151,0,304,304,
XIII,101,181,181-C03,59,112,159,7,330,337,
,,,,,,,,,,
XIV,1,252,252-B,89,181,29,10,299,309,
XIV,2,252,252-C,98,195,25,6,318,324,
XIV,3,253,253-B,103,135,31,9,269,278,
XIV,4,253,253-C,107,139,44,10,290,300,
XIV,5,253,253-S,0,0,0,0,0,0,
XIV,6,254,254-B,121,220,50,6,391,397,
XIV,7,255,255-B,153,224,55,9,432,441,
XIV,8,255,255-C,146,211,57,8,414,422,
XIV,9,256,256-B,67,173,24,5,264,269,
XIV,10,256,256-C,84,128,24,7,236,243,
XIV,11,257,257-B,102,137,39,138,278,416,
XIV,12,257,257-C,106,119,45,8,270,278,
XIV,13,258,258-B,173,241,79,11,493,504,
XIV,14,258,258-C01,173,257,88,12,518,530,
XIV,15,258,258-C02,163,250,83,10,496,506,
XIV,16,259,259-B,184,136,43,6,363,369,
XIV,17,260,260-B,22,35,15,2,72,74,
XIV,18,261,261-B,44,126,118,7,288,295,
XIV,19,261,261-C01,44,124,125,8,293,301,
XIV,20,261,261-C02,51,136,105,10,292,302,
,,,,,,,,,,
XV,1,284,284-B,127,143,10,13,280,293,
XV,2,284,284-C,123,245,6,7,374,381,
XV,3,285,285-B,75,265,30,16,370,386,
XV,4,285,285-C,73,270,19,17,362,379,
XV,5,286,286-B,108,291,31,19,430,449,
XV,6,286,286-C01,159,272,26,14,457,471,
XV,7,286,286-C02,129,284,49,0,462,462,
XV,8,287,287-B,160,169,19,1,348,349,
XV,9,287,287-C,122,163,34,12,319,331,
XV,10,288,288-B,87,197,66,36,350,386,
XV,11,288,288-X,270,228,63,32,561,593,
XV,12,289,289-B,84,158,114,18,356,374,
XV,13,290,290-B,15,168,148,9,331,340,
XV,14,290,290-C,23,174,137,13,334,347,
XV,15,290,290-X,10,72,63,4,145,149,
XV,16,291,291-B,33,106,94,19,233,252,
XV,17,291,291-X,18,173,109,11,300,311,
XV,18,292,292-B,40,165,169,18,374,392,
XV,19,292,292-C,58,174,149,25,381,406,
XV,20,292,292-S,0,0,0,0,0,0,
XV,21,293,293-B,45,136,210,12,391,403,
XV,22,293,293-C,58,139,197,14,394,408,
XV,23,294,294-B,51,166,225,28,442,470,
XV,24,295,295-B,46,186,168,24,400,424,
XV,25,296,296-B,23,149,249,25,421,446,
XV,26,296,296-X,19,77,80,8,176,184,
XV,27,297,297-B,3,136,127,4,266,270,
