Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PRI_PVEM,CC_PT_PCP_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PRI_PVEM,PT_PCP_PMC,CC_1,CC_2
15,37,TAMAZUNCHALE ,1393,C01,579,33,66,37,16,2,1,30,108,17,11,1,322,39,361,85,58,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1394,B01,573,95,41,15,8,5,2,6,150,7,7,0,336,48,384,53,23,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1395,B01,521,31,79,9,27,0,5,7,143,14,7,32,354,1,355,93,46,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1395,C01,520,43,94,3,29,3,4,7,147,7,7,0,344,26,370,104,47,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1395,C02,520,33,104,4,23,4,3,7,155,23,4,0,360,17,377,131,37,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1396,B01,511,48,95,4,9,4,2,1,151,17,1,0,332,21,353,116,13,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1396,C01,511,49,101,7,4,7,1,5,136,27,2,0,339,32,371,135,12,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1397,B01,379,10,44,22,8,3,0,5,123,8,1,1,225,20,245,55,14,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1397,C01,379,5,35,33,4,4,0,8,111,7,2,0,209,24,233,46,14,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1398,B01,524,42,85,16,1,3,2,9,106,7,7,0,278,39,317,95,19,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1398,C01,523,27,92,5,7,7,2,9,93,18,5,0,265,39,304,117,23,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1398,C02,523,35,73,9,9,5,3,13,120,11,6,0,284,41,325,89,31,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1399,B01,552,40,39,66,6,4,0,3,174,3,5,0,340,55,395,46,14,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1400,B01,679,75,146,13,0,0,0,0,113,0,28,3,378,38,416,146,28,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1401,B01,427,9,52,25,6,0,4,17,88,8,4,0,213,20,233,60,31,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1401,C01,426,16,51,19,11,6,3,7,79,14,3,1,210,21,231,71,24,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1402,B01,469,7,57,4,9,2,0,23,118,12,14,1,247,30,277,71,46,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1402,C01,468,10,69,10,11,1,6,25,102,12,10,0,256,19,275,82,52,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1403,B01,411,56,34,19,6,1,3,2,136,5,2,1,265,17,282,40,13,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1404,B01,564,50,77,8,7,8,2,7,88,20,2,0,269,40,309,105,18,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1404,C01,563,59,79,14,7,5,2,17,89,18,4,0,294,53,347,102,30,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1405,B01,749,100,65,22,20,6,4,51,153,10,16,0,447,53,500,81,91,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1406,B01,596,38,113,27,31,10,5,13,101,9,6,3,356,41,397,132,55,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1407,B01,393,41,50,10,2,6,0,4,67,6,4,0,190,40,230,62,10,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1407,C01,393,44,31,14,7,4,0,4,99,3,8,0,214,54,268,38,19,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1408,B01,622,48,178,10,8,4,1,10,99,22,5,0,385,28,413,204,24,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1409,B01,528,76,37,29,9,0,0,11,87,18,9,0,276,53,329,55,29,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1409,C01,528,46,41,30,10,0,2,14,107,10,7,0,267,37,304,51,33,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1409,C02,527,71,50,24,0,9,0,27,88,0,0,0,269,28,297,59,27,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1410,B01,504,19,86,39,5,11,4,9,77,0,4,0,254,25,279,97,22,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1410,C01,504,3,58,30,3,1,1,12,99,7,1,0,215,23,238,66,17,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1410,C02,503,13,67,21,5,1,0,19,81,9,1,0,217,60,277,77,25,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1411,B01,636,77,87,22,15,10,1,19,158,19,7,0,415,14,429,116,42,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1411,C01,635,52,92,20,23,11,2,18,147,20,7,0,392,18,410,123,50,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1411,C02,635,54,98,17,8,8,2,18,176,20,6,0,407,9,416,126,34,PRI_PVEM,PT_PCP_PMC
