CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,82,3,90,177,286,178,242,2,29,27,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1053,30,1083,1559
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,83,2,61,184,191,174,206,2,26,8,37,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,889,28,917,1274
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,84,2,32,235,191,134,296,3,41,5,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,945,16,961,1314
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,85,2,32,98,115,526,53,2,23,15,29,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,893,30,925,1380
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,86,3,57,110,213,597,63,6,18,43,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1125,56,1181,1899
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,87,1,21,32,33,43,7,1,0,6,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,147,1,148,195
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,88,3,41,181,282,409,176,2,16,156,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1282,27,1309,1921
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,89,2,40,115,282,297,97,2,3,90,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,945,16,961,1387
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,90,1,8,60,66,69,8,1,20,8,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,241,7,248,325
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,91,1,3,102,8,76,3,2,1,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,199,4,203,237
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,92,3,75,270,281,413,2,0,27,48,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1129,18,1147,1676
