"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","FRANCISCO MACIAS BELTRAN","NO REGISTRADO","NULO"
"Mineral De La Reforma","1717","BASICA","121","83","8","8","5","26","7","29","19","0","0","1","0","17","0","10"
"Mineral De La Reforma","1717","CONTIGUA 1","146","83","14","3","8","19","4","28","17","0","1","0","0","16","0","6"
"Mineral De La Reforma","1717","CONTIGUA 2","133","59","13","1","3","30","11","26","14","0","0","0","0","16","0","9"
"Mineral De La Reforma","1719","BASICA","168","106","5","5","3","99","4","14","7","0","2","0","0","6","0","6"
"Mineral De La Reforma","1720","BASICA","88","74","8","2","2","22","5","23","12","1","1","0","0","6","1","9"
"Mineral De La Reforma","1721","BASICA","157","59","13","3","2","24","9","26","9","0","0","0","0","12","0","2"
"Mineral De La Reforma","1722","BASICA","118","69","11","6","2","20","9","28","7","0","0","0","0","13","1","9"
"Mineral De La Reforma","1723","BASICA","95","76","13","4","4","41","5","12","10","0","0","1","0","13","0","11"
"Mineral De La Reforma","1724","BASICA","135","67","14","4","5","35","7","21","10","0","0","0","0","8","1","1"
"Mineral De La Reforma","1725","BASICA","117","62","13","1","3","36","11","21","9","1","0","0","0","17","0","0"
"Mineral De La Reforma","1726","BASICA","102","67","7","1","2","25","5","41","7","0","0","0","0","15","0","5"
"Mineral De La Reforma","1727","BASICA","144","102","13","1","6","27","1","39","10","1","0","0","0","15","2","9"
"Mineral De La Reforma","1728","BASICA","104","64","7","3","5","34","7","23","8","1","1","0","0","13","1","4"
"Mineral De La Reforma","1729","BASICA","118","66","8","9","6","50","13","25","6","0","0","1","0","6","0","4"
"Mineral De La Reforma","1730","BASICA","100","66","7","18","4","16","7","24","5","1","1","0","0","0","0","7"
"Mineral De La Reforma","1731","BASICA","85","57","7","0","0","13","3","21","5","0","0","0","0","0","4","3"
"Mineral De La Reforma","1732","BASICA","75","62","9","26","1","14","10","21","9","0","0","0","0","0","9","8"
"Mineral De La Reforma","1733","BASICA","161","53","15","7","4","40","8","36","6","0","0","0","0","11","0","4"
"Mineral De La Reforma","1734","BASICA","85","51","6","3","2","21","10","17","3","0","0","0","0","17","1","5"
"Mineral De La Reforma","1735","BASICA","125","99","12","1","5","18","23","39","12","0","0","0","1","8","0","6"
"Mineral De La Reforma","1736","BASICA","113","96","11","10","6","38","14","34","16","8","0","0","0","16","0","12"
"Mineral De La Reforma","1737","BASICA","125","129","14","2","7","33","19","16","12","1","0","0","0","5","0","0"
"Mineral De La Reforma","1738","BASICA","133","87","10","3","5","24","24","28","9","2","0","0","0","18","0","7"
"Mineral De La Reforma","1739","BASICA","90","72","2","9","2","15","6","19","13","1","0","0","0","15","8","7"
"Mineral De La Reforma","1740","BASICA","123","74","17","11","6","13","17","26","14","0","0","0","0","0","0","0"
"Mineral De La Reforma","1741","BASICA","128","96","16","4","5","28","16","37","11","0","0","0","1","0","28","4"
"Mineral De La Reforma","1742","BASICA","110","83","14","8","7","18","9","26","10","0","0","0","0","12","0","6"
"Mineral De La Reforma","1743","BASICA","94","81","11","1","2","29","16","31","5","0","0","0","0","12","0","2"
"Mineral De La Reforma","1744","BASICA","151","108","16","2","8","20","22","22","7","0","1","0","0","14","0","6"
"Mineral De La Reforma","1745","BASICA","116","76","21","4","6","30","6","52","11","5","0","0","0","0","0","11"
"Mineral De La Reforma","1746","BASICA","86","54","7","5","3","11","6","17","8","1","0","0","0","0","0","6"
"Mineral De La Reforma","1747","BASICA","103","52","15","1","0","22","12","30","12","0","1","1","0","11","0","3"
"Mineral De La Reforma","1748","BASICA","105","72","15","7","4","21","6","41","9","0","0","0","0","8","0","7"
"Mineral De La Reforma","1749","BASICA","88","75","13","3","3","19","6","25","10","1","0","0","0","10","0","5"
"Mineral De La Reforma","1750","BASICA","150","97","6","2","4","23","10","14","5","2","0","0","0","17","1","3"
"Mineral De La Reforma","1750","CONTIGUA 1","158","84","4","1","0","22","11","17","6","1","0","0","0","5","0","3"
"Mineral De La Reforma","1751","BASICA","94","55","4","2","1","17","6","8","7","0","0","0","0","0","0","2"
"Mineral De La Reforma","1751","CONTIGUA 1","80","49","11","5","0","17","5","11","6","1","0","0","0","5","0","7"
"Mineral De La Reforma","1752","BASICA","135","62","5","0","1","7","3","10","1","2","0","0","0","4","2","3"
"Mineral De La Reforma","1752","CONTIGUA 1","132","54","4","2","3","14","6","6","3","2","0","0","0","5","0","3"
"Mineral De La Reforma","1753","BASICA","286","137","1","1","0","4","2","13","2","0","0","1","0","4","0","5"
"Mineral De La Reforma","1753","ESPECIAL 1","152","70","5","2","0","17","4","17","6","1","0","1","0","7","0","6"
"Mineral De La Reforma","1754","BASICA","67","50","14","3","5","13","4","27","5","0","0","0","0","7","0","9"
"Mineral De La Reforma","1754","CONTIGUA 1","76","57","17","6","2","16","5","29","4","1","0","0","0","4","0","3"
"Mineral De La Reforma","1755","BASICA","90","60","10","2","8","23","7","23","6","0","0","0","0","14","1","6"
"Mineral De La Reforma","1755","CONTIGUA 1","90","45","9","1","4","27","8","22","3","1","0","0","0","0","8","7"
"Mineral De La Reforma","1756","BASICA","124","92","10","6","4","26","3","23","5","0","0","0","0","12","0","5"
"Mineral De La Reforma","1757","BASICA","116","74","15","5","5","24","5","22","9","0","0","0","0","0","13","8"
"Mineral De La Reforma","1757","CONTIGUA 1","103","58","12","7","4","26","10","20","8","1","0","0","0","8","0","1"
"Mineral De La Reforma","1758","BASICA","140","107","14","3","4","33","10","39","13","1","0","0","1","13","2","5"
"Mineral De La Reforma","1759","BASICA","53","58","7","3","1","17","9","19","4","0","0","0","0","12","0","5"
"Mineral De La Reforma","1759","CONTIGUA 1","71","54","7","2","4","21","7","15","7","1","0","0","0","13","1","3"
"Mineral De La Reforma","1760","BASICA","51","48","12","0","1","12","6","21","5","1","0","0","0","7","0","3"
"Mineral De La Reforma","1760","CONTIGUA 1","61","66","5","2","1","22","1","14","6","0","0","0","0","2","0","4"
"Mineral De La Reforma","1761","BASICA","78","59","13","4","1","30","9","19","5","0","0","0","0","0","8","7"
"Mineral De La Reforma","1761","CONTIGUA 1","79","42","8","0","3","28","5","22","13","0","0","0","0","0","0","3"
"Mineral De La Reforma","1762","BASICA","104","66","9","0","7","33","3","33","22","0","0","0","0","9","1","4"
"Mineral De La Reforma","1762","CONTIGUA 1","82","61","16","2","2","30","6","33","14","1","2","0","0","10","0","8"
"Mineral De La Reforma","1763","BASICA","93","84","22","4","8","29","10","24","10","1","0","0","0","0","18","8"
"Mineral De La Reforma","1764","BASICA","72","60","11","2","2","18","8","17","7","0","0","0","0","0","8","3"
"Mineral De La Reforma","1764","CONTIGUA 1","63","66","9","3","4","21","2","19","6","0","0","0","0","12","12","6"
"Mineral De La Reforma","1765","BASICA","63","53","14","2","6","22","12","13","11","0","0","0","0","9","2","3"
"Mineral De La Reforma","1765","CONTIGUA 1","60","53","24","3","1","19","9","21","7","1","0","1","0","0","0","8"
"Mineral De La Reforma","1766","BASICA","75","38","10","4","3","19","6","22","13","2","0","0","0","6","0","3"
"Mineral De La Reforma","1766","CONTIGUA 1","69","35","12","6","4","11","7","17","7","0","1","0","0","6","0","5"
