"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","JULIO RAMÓN MENCHACA SALAZAR","NO REGISTRADO","NULO"
"Pachuca de Soto","934","EXTRAORDINARIA 1 CONTIGUA 1","175","107","4","2","0","31","2","9","0","0","0","0","0","67","0","8"
"Pachuca de Soto","934","EXTRAORDINARIA 1 CONTIGUA 2","166","122","3","0","2","60","4","11","6","0","0","0","0","76","0","1"
"Pachuca de Soto","934","EXTRAORDINARIA 1 CONTIGUA 3","169","91","2","0","1","44","3","14","6","0","0","0","0","63","0","10"
"Pachuca de Soto","935","BASICA","117","66","25","3","7","12","8","28","11","0","1","0","0","13","0","11"
"Pachuca de Soto","935","CONTIGUA 1","121","71","18","9","2","21","9","21","3","0","0","0","0","12","0","2"
"Pachuca de Soto","935","CONTIGUA 2","124","24","26","4","3","11","10","28","7","0","0","1","0","0","0","0"
"Pachuca de Soto","935","CONTIGUA 3","112","59","20","6","3","20","6","28","9","0","2","0","0","15","0","10"
"Pachuca de Soto","935","CONTIGUA 4","114","72","15","2","3","19","3","25","3","0","0","0","0","21","0","12"
"Pachuca de Soto","935","CONTIGUA 5","122","57","37","6","5","10","6","22","10","0","0","0","0","11","0","5"
"Pachuca de Soto","936","BASICA","113","70","19","1","4","48","11","32","3","0","0","0","1","17","0","9"
"Pachuca de Soto","939","BASICA","179","75","13","2","4","62","14","24","4","0","1","2","0","28","0","10"
"Pachuca de Soto","939","CONTIGUA 1","172","104","13","5","3","52","7","19","7","0","0","0","0","31","0","9"
"Pachuca de Soto","939","CONTIGUA 2","164","83","13","3","4","66","5","20","13","1","0","0","0","37","0","6"
"Pachuca de Soto","939","CONTIGUA 3","172","85","8","7","4","50","12","28","12","0","1","1","0","31","0","0"
"Pachuca de Soto","940","BASICA","136","75","13","12","7","41","11","17","7","0","0","0","0","26","0","6"
"Pachuca de Soto","940","CONTIGUA 1","128","70","16","2","5","33","11","9","8","1","0","0","0","15","0","19"
"Pachuca de Soto","940","CONTIGUA 2","112","82","12","7","4","47","23","21","9","0","21","0","0","0","0","10"
"Pachuca de Soto","940","CONTIGUA 3","149","74","9","10","6","41","21","19","5","1","1","0","0","35","0","5"
"Pachuca de Soto","941","BASICA","92","67","7","2","4","25","11","7","3","1","0","0","0","15","0","8"
"Pachuca de Soto","941","CONTIGUA 1","104","65","11","4","5","25","5","11","4","0","0","0","0","19","0","2"
"Pachuca de Soto","942","BASICA","134","72","7","2","3","40","14","9","6","0","0","0","0","34","0","9"
"Pachuca de Soto","942","CONTIGUA 1","109","70","13","3","0","56","7","21","7","0","0","0","0","25","2","13"
"Pachuca de Soto","943","BASICA","149","69","8","1","2","62","8","17","4","0","0","0","0","40","0","10"
"Pachuca de Soto","943","CONTIGUA 1","141","76","1","0","4","66","14","19","2","0","0","0","0","39","0","7"
"Pachuca de Soto","944","BASICA","94","60","16","2","5","51","10","21","13","0","1","0","0","33","0","8"
"Pachuca de Soto","944","CONTIGUA 1","126","74","9","3","1","37","2","20","9","0","1","0","0","18","0","9"
"Pachuca de Soto","944","CONTIGUA 2","97","81","12","0","2","41","8","16","11","0","0","0","0","29","0","3"
"Pachuca de Soto","944","CONTIGUA 3","87","62","16","3","2","90","6","23","9","0","0","0","0","40","0","2"
"Pachuca de Soto","945","BASICA","147","88","11","5","4","37","5","37","16","1","0","0","0","29","0","9"
"Pachuca de Soto","946","BASICA","103","43","9","4","1","32","1","14","6","0","1","0","0","26","0","3"
"Pachuca de Soto","946","CONTIGUA 1","84","38","6","1","3","35","2","21","10","0","1","1","0","34","0","4"
"Pachuca de Soto","947","BASICA","75","45","4","4","0","36","4","14","6","0","0","0","0","13","0","8"
"Pachuca de Soto","947","CONTIGUA 1","87","51","4","2","33","5","16","4","0","0","0","0","0","15","0","1"
"Pachuca de Soto","948","BASICA","142","73","8","2","0","59","15","16","9","0","1","1","1","22","0","11"
"Pachuca de Soto","948","CONTIGUA 1","141","67","7","1","2","59","16","35","5","1","0","0","0","28","4","2"
"Pachuca de Soto","948","CONTIGUA 2","162","63","5","1","4","64","17","28","1","1","0","0","0","32","0","5"
"Pachuca de Soto","948","CONTIGUA 3","142","80","4","3","2","77","17","20","3","1","1","0","0","36","0","10"
"Pachuca de Soto","948","CONTIGUA 4","164","67","5","5","2","64","18","27","9","0","0","0","0","30","0","4"
"Pachuca de Soto","949","BASICA","118","60","2","2","3","37","9","14","7","2","1","1","0","26","0","8"
"Pachuca de Soto","949","CONTIGUA 1","132","54","6","1","3","44","4","18","8","0","0","0","0","19","0","6"
"Pachuca de Soto","950","BASICA","116","68","11","4","2","59","7","19","10","0","0","0","0","16","0","12"
"Pachuca de Soto","950","CONTIGUA 1","135","69","9","1","1","56","8","24","0","0","0","0","0","30","0","3"
"Pachuca de Soto","950","ESPECIAL 1","35","12","4","0","1","8","2","7","0","0","0","0","0","13","0","1"
"Pachuca de Soto","951","BASICA","156","76","12","5","6","65","10","28","3","0","0","0","0","37","0","12"
"Pachuca de Soto","951","CONTIGUA 1","138","77","7","0","1","0","6","30","5","0","0","0","1","39","0","8"
"Pachuca de Soto","951","CONTIGUA 2","133","72","9","6","5","64","6","24","10","0","0","0","0","38","0","5"
"Pachuca de Soto","951","CONTIGUA 3","150","73","6","5","4","57","14","27","12","0","0","0","0","47","0","0"
"Pachuca de Soto","952","BASICA","118","64","12","3","5","42","12","32","8","3","0","0","0","34","1","6"
"Pachuca de Soto","952","CONTIGUA 1","118","70","17","1","8","33","12","30","0","0","0","0","0","31","0","8"
"Pachuca de Soto","952","CONTIGUA 2","120","66","7","0","5","46","15","35","4","1","0","0","0","20","3","6"
"Pachuca de Soto","952","CONTIGUA 3","129","65","8","4","5","34","9","28","7","1","0","0","0","31","0","8"
"Pachuca de Soto","952","CONTIGUA 4","133","72","9","2","3","44","17","26","10","0","0","0","0","34","1","6"
"Pachuca de Soto","953","BASICA","102","62","8","5","0","39","16","23","5","0","0","0","0","23","0","10"
"Pachuca de Soto","953","CONTIGUA 1","98","61","8","2","5","42","12","31","9","0","0","0","0","27","0","7"
"Pachuca de Soto","953","CONTIGUA 2","111","60","4","1","5","28","10","22","8","0","0","0","0","24","0","8"
"Pachuca de Soto","954","BASICA","137","66","7","2","4","40","11","26","9","0","0","0","0","35","2","2"
"Pachuca de Soto","954","CONTIGUA 1","129","65","12","4","6","65","8","23","9","0","1","0","0","20","0","7"
"Pachuca de Soto","954","CONTIGUA 2","114","64","6","3","1","46","9","24","5","0","0","0","0","27","0","7"
"Pachuca de Soto","954","CONTIGUA 3","134","63","14","6","3","50","9","26","13","1","1","0","0","35","0","6"
"Pachuca de Soto","954","CONTIGUA 4","121","77","7","0","2","51","8","22","5","0","0","0","0","1","1","9"
"Pachuca de Soto","954","CONTIGUA 5","141","68","11","4","6","53","9","6","0","0","0","0","0","39","0","7"
"Pachuca de Soto","954","CONTIGUA 6","120","53","7","12","3","68","2","26","8","0","0","0","1","32","0","9"
"Pachuca de Soto","954","CONTIGUA 7","131","58","8","5","5","47","7","20","10","0","0","1","0","39","1","12"
"Pachuca de Soto","954","CONTIGUA 8","142","53","14","2","5","49","8","30","7","0","2","0","0","33","0","7"
"Pachuca de Soto","954","CONTIGUA 9","125","60","14","2","0","56","6","22","4","0","0","0","0","26","0","1"
"Pachuca de Soto","955","BASICA","129","59","11","5","4","54","6","78","18","0","0","0","0","31","0","6"
"Pachuca de Soto","955","CONTIGUA 1","121","79","5","0","6","57","14","21","10","0","0","1","0","29","0","5"
"Pachuca de Soto","955","CONTIGUA 2","145","59","12","0","2","42","11","29","8","0","1","0","0","34","0","10"
"Pachuca de Soto","955","CONTIGUA 3","119","77","8","2","2","46","7","35","4","0","2","1","0","28","0","6"
"Pachuca de Soto","955","CONTIGUA 4","140","55","7","6","6","53","9","28","14","0","1","0","0","41","0","7"
"Pachuca de Soto","955","CONTIGUA 5","128","80","18","4","5","53","11","19","11","0","0","0","0","21","0","13"
"Pachuca de Soto","955","CONTIGUA 6","131","79","11","4","3","41","9","29","13","0","0","0","0","36","0","4"
"Pachuca de Soto","956","BASICA","183","83","10","4","3","22","7","12","2","0","0","0","0","17","0","16"
"Pachuca de Soto","956","CONTIGUA 1","169","81","4","6","6","23","13","11","0","0","0","0","0","0","14","8"
"Pachuca de Soto","956","CONTIGUA 2","140","0","16","4","0","17","0","14","0","100","0","0","0","16","0","5"
"Pachuca de Soto","956","EXTRAORDINARIA 1","92","103","10","2","6","8","7","8","2","1","1","0","0","6","0","18"
"Pachuca de Soto","956","EXTRAORDINARIA 1 CONTIGUA 1","83","96","10","2","2","11","7","5","4","1","0","0","0","6","0","2"
"Pachuca de Soto","957","BASICA","149","86","18","6","5","14","5","26","3","0","0","0","0","18","0","0"
"Pachuca de Soto","957","CONTIGUA 1","159","92","22","6","4","21","9","32","10","0","1","0","0","17","0","7"
"Pachuca de Soto","957","CONTIGUA 2","170","90","17","1","8","14","5","30","4","1","0","0","0","14","0","6"
"Pachuca de Soto","957","CONTIGUA 3","182","75","13","4","8","25","9","28","8","0","3","1","0","11","0","7"
"Pachuca de Soto","957","CONTIGUA 4","145","88","26","6","5","22","14","26","6","0","0","0","0","12","1","6"
"Pachuca de Soto","957","CONTIGUA 5","120","68","23","0","9","20","8","36","6","1","0","0","0","23","0","10"
"Pachuca de Soto","957","CONTIGUA 6","126","77","12","3","6","25","4","29","3","0","0","0","0","18","0","3"
"Pachuca de Soto","958","BASICA","120","83","11","5","2","19","11","20","8","2","0","0","0","23","0","7"
"Pachuca de Soto","958","CONTIGUA 1","116","79","15","6","3","21","4","20","5","1","1","0","0","20","0","0"
"Pachuca de Soto","958","CONTIGUA 2","102","60","7","7","3","18","5","36","9","0","0","0","0","24","0","9"
"Pachuca de Soto","958","CONTIGUA 3","117","63","8","5","8","18","7","19","11","0","1","1","0","29","0","5"
"Pachuca de Soto","958","CONTIGUA 4","98","65","10","6","6","14","10","33","4","0","0","0","0","33","0","4"
"Pachuca de Soto","959","BASICA","134","38","10","5","7","47","7","42","6","1","1","0","0","21","0","6"
"Pachuca de Soto","959","CONTIGUA 1","126","61","14","4","8","34","5","31","6","0","0","0","0","13","2","7"
"Pachuca de Soto","959","CONTIGUA 2","124","47","17","5","5","35","8","50","7","0","0","2","0","0","0","0"
"Pachuca de Soto","959","CONTIGUA 3","107","70","12","4","6","49","9","49","8","0","0","0","0","20","0","4"
"Pachuca de Soto","959","CONTIGUA 4","114","42","21","7","4","34","17","37","5","0","0","0","0","22","0","9"
"Pachuca de Soto","959","CONTIGUA 5","104","59","19","4","3","41","18","28","9","0","0","0","0","29","0","7"
"Pachuca de Soto","960","BASICA","49","59","10","5","1","34","10","21","14","2","1","0","0","31","0","0"
"Pachuca de Soto","960","CONTIGUA 1","97","67","10","3","4","35","8","29","10","0","0","0","0","24","0","12"
"Pachuca de Soto","960","CONTIGUA 2","114","78","11","1","0","35","7","32","8","0","0","1","0","25","0","14"
"Pachuca de Soto","960","CONTIGUA 3","108","65","15","1","3","35","10","42","12","0","1","0","0","20","0","16"
"Pachuca de Soto","960","CONTIGUA 4","105","56","10","2","4","43","5","29","7","0","0","0","0","33","0","8"
"Pachuca de Soto","960","CONTIGUA 5","90","70","13","3","2","32","12","31","7","1","0","0","0","22","0","3"
"Pachuca de Soto","960","CONTIGUA 6","115","67","13","2","4","37","10","31","13","0","0","0","0","29","0","6"
"Pachuca de Soto","960","CONTIGUA 7","93","81","10","7","2","34","11","30","7","0","0","0","0","28","0","9"
"Pachuca de Soto","960","CONTIGUA 8","97","78","15","5","1","32","6","36","7","0","0","0","0","20","1","4"
"Pachuca de Soto","961","BASICA","191","110","3","2","1","64","8","20","6","0","1","0","0","90","0","6"
"Pachuca de Soto","961","CONTIGUA 1","179","102","6","2","5","74","13","17","5","1","2","0","0","46","0","6"
"Pachuca de Soto","1718","BASICA","121","86","13","3","6","78","12","37","4","0","0","0","0","36","0","9"
