CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,27,TABASCO,2,CARDENAS,2,CARDENAS,48,3,14,45,176,7,20,11,712,9,3,0,0,3,12,6,1,3,1,1023,2,47,1072,1684
,27,TABASCO,2,CARDENAS,2,CARDENAS,49,2,4,44,117,3,2,2,457,4,0,0,0,0,3,0,0,2,7,645,0,25,670,987
,27,TABASCO,2,CARDENAS,2,CARDENAS,50,3,17,90,184,13,7,6,700,5,2,1,0,1,4,1,0,3,15,1049,0,34,1083,1613
,27,TABASCO,2,CARDENAS,2,CARDENAS,51,3,15,62,174,14,19,0,661,15,1,1,1,2,10,3,2,0,25,1005,0,42,1047,1611
,27,TABASCO,2,CARDENAS,2,CARDENAS,52,2,20,64,163,10,13,4,556,3,3,1,0,1,3,3,0,5,11,860,0,48,908,1411
,27,TABASCO,2,CARDENAS,2,CARDENAS,53,3,17,90,189,19,16,2,870,7,0,0,0,1,10,3,0,3,20,1247,0,53,1300,1951
,27,TABASCO,2,CARDENAS,2,CARDENAS,54,2,14,58,132,11,9,4,490,7,0,3,0,2,10,2,0,3,11,756,0,25,781,1251
,27,TABASCO,2,CARDENAS,2,CARDENAS,55,5,50,176,350,31,25,15,1583,11,7,1,0,0,37,6,2,4,18,2316,1,81,2398,3665
,27,TABASCO,2,CARDENAS,2,CARDENAS,56,2,18,41,116,19,13,4,490,5,4,1,0,0,9,3,0,1,9,733,0,9,742,1095
,27,TABASCO,2,CARDENAS,2,CARDENAS,57,1,8,34,50,10,5,1,241,4,1,0,0,0,1,4,0,0,11,370,0,8,378,617
,27,TABASCO,2,CARDENAS,2,CARDENAS,58,2,8,48,78,4,8,3,356,3,4,0,0,1,4,3,0,1,9,530,3,11,544,754
,27,TABASCO,2,CARDENAS,2,CARDENAS,59,2,9,63,86,7,6,6,456,1,2,2,0,2,1,2,0,1,8,652,0,18,670,920
,27,TABASCO,2,CARDENAS,2,CARDENAS,60,2,13,56,120,14,8,6,479,5,3,0,0,2,9,4,1,2,6,728,0,17,745,999
,27,TABASCO,2,CARDENAS,2,CARDENAS,61,1,7,30,34,5,6,2,282,5,0,0,0,0,5,0,0,1,11,388,0,14,402,640
,27,TABASCO,2,CARDENAS,2,CARDENAS,62,2,12,51,84,4,9,3,381,2,2,0,0,2,5,1,0,1,11,568,0,15,583,823
,27,TABASCO,2,CARDENAS,2,CARDENAS,63,4,17,110,243,17,16,303,941,8,6,3,2,7,20,4,1,1,12,1711,0,48,1759,2539
,27,TABASCO,2,CARDENAS,2,CARDENAS,64,2,14,82,108,6,5,3,623,12,1,0,0,1,8,1,0,1,14,879,0,29,908,1318
,27,TABASCO,2,CARDENAS,2,CARDENAS,65,2,9,83,64,6,4,1,483,2,5,2,0,0,7,3,1,3,6,679,0,20,699,995
,27,TABASCO,2,CARDENAS,2,CARDENAS,66,1,7,85,59,6,1,2,305,2,2,0,0,0,7,0,0,2,3,481,0,16,497,697
,27,TABASCO,2,CARDENAS,2,CARDENAS,67,1,14,47,61,8,3,1,247,3,1,2,0,1,3,3,0,1,7,402,0,15,417,600
,27,TABASCO,2,CARDENAS,2,CARDENAS,68,1,3,55,80,13,6,1,281,6,2,0,0,1,5,2,1,0,10,466,0,9,475,665
,27,TABASCO,2,CARDENAS,2,CARDENAS,69,1,6,20,67,5,7,0,306,4,2,0,0,0,4,1,0,0,5,427,0,7,434,643
,27,TABASCO,2,CARDENAS,2,CARDENAS,70,3,20,76,173,22,17,1,907,10,3,0,0,1,11,4,0,1,15,1261,0,23,1284,1745
,27,TABASCO,2,CARDENAS,2,CARDENAS,71,6,63,180,397,23,39,21,1798,9,6,9,0,8,21,12,0,2,32,2620,0,126,2746,4314
,27,TABASCO,2,CARDENAS,2,CARDENAS,72,3,17,86,142,12,18,18,761,4,64,1,0,1,8,2,0,2,9,1145,1,18,1164,1145
,27,TABASCO,2,CARDENAS,2,CARDENAS,73,2,13,35,85,4,11,5,354,3,3,0,0,0,9,3,0,2,14,541,0,10,551,819
,27,TABASCO,2,CARDENAS,2,CARDENAS,74,2,12,84,69,12,14,6,560,4,1,0,1,0,1,5,1,3,15,788,0,17,805,698
,27,TABASCO,2,CARDENAS,2,CARDENAS,75,2,14,50,102,9,12,10,631,1,4,0,0,1,6,4,0,0,7,851,0,16,867,1255
,27,TABASCO,2,CARDENAS,2,CARDENAS,76,2,8,71,62,6,6,3,374,2,2,0,0,2,5,2,0,1,5,549,0,17,566,799
,27,TABASCO,2,CARDENAS,2,CARDENAS,77,2,12,48,108,9,13,5,503,4,1,0,0,0,8,1,0,0,9,721,0,15,736,975
,27,TABASCO,2,CARDENAS,2,CARDENAS,78,2,10,72,110,9,13,4,464,1,0,2,0,0,9,1,0,3,12,710,7,13,730,985
,27,TABASCO,2,CARDENAS,2,CARDENAS,79,2,10,90,138,7,10,3,383,2,6,0,0,0,5,4,0,0,11,669,0,14,683,1071
,27,TABASCO,2,CARDENAS,2,CARDENAS,80,1,8,35,63,9,5,3,284,0,2,1,0,0,1,1,2,2,1,417,0,15,432,678
,27,TABASCO,2,CARDENAS,2,CARDENAS,81,3,19,100,239,20,20,4,838,4,5,3,0,1,11,7,0,4,14,1289,0,33,1322,1958
,27,TABASCO,2,CARDENAS,2,CARDENAS,82,2,16,34,149,11,13,7,412,3,1,1,1,2,3,7,6,2,15,683,0,30,713,1032
,27,TABASCO,2,CARDENAS,2,CARDENAS,83,2,16,64,137,9,11,3,593,6,1,0,1,1,5,2,0,6,16,871,0,13,884,1229
,27,TABASCO,2,CARDENAS,2,CARDENAS,84,3,13,73,143,14,22,12,721,6,3,0,0,0,8,2,0,2,18,1037,3,31,1071,1530
,27,TABASCO,2,CARDENAS,2,CARDENAS,85,2,84,118,54,2,3,7,618,0,0,0,0,0,5,2,0,4,12,909,0,23,932,1340
,27,TABASCO,2,CARDENAS,2,CARDENAS,86,5,28,137,275,16,18,10,1085,14,4,2,0,4,24,1,0,2,20,1640,0,44,1684,3243
,27,TABASCO,2,CARDENAS,2,CARDENAS,87,4,24,67,245,18,21,7,926,12,0,0,0,2,9,4,3,0,12,1350,0,29,1379,2282
,27,TABASCO,2,CARDENAS,2,CARDENAS,88,3,22,90,200,17,9,7,959,14,2,4,1,0,9,4,0,4,22,1364,0,27,1391,1908
,27,TABASCO,2,CARDENAS,2,CARDENAS,89,3,29,63,245,16,29,8,813,5,2,0,0,2,12,6,0,3,10,1243,2,53,1298,2076
,27,TABASCO,2,CARDENAS,2,CARDENAS,160,3,18,57,203,17,21,1,666,4,1,0,0,0,10,6,0,3,9,1016,0,46,1062,1615
