CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,737,1,4,46,178,12,5,4,0,235,10,1,2,0,0,,,,,,8,,,,505,0,21,526,747
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,738,4,6,254,393,38,26,22,10,826,7,6,1,0,0,,,,,,19,,,,1608,1,83,1692,2298
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,739,1,3,52,208,3,3,0,2,117,3,2,1,0,1,,,,,,1,,,,396,0,26,422,603
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,740,1,0,18,54,1,1,2,0,37,0,0,0,0,0,,,,,,1,,,,114,0,5,119,151
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,741,3,8,344,376,10,26,27,8,522,8,7,1,0,5,,,,,,11,,,,1353,0,91,1444,1958
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,742,3,5,247,284,3,19,3,8,520,25,4,2,1,0,,,,,,11,,,,1132,6,63,1201,1650
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,743,3,10,173,390,28,19,15,13,719,19,3,4,0,3,,,,,,18,,,,1414,0,111,1525,2158
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,744,3,11,134,395,9,14,11,4,360,6,8,1,0,1,,,,,,3,,,,957,0,64,1021,1439
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,745,1,5,68,129,3,3,4,1,170,5,3,1,0,1,,,,,,2,,,,395,0,0,395,635
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,746,3,8,213,289,10,12,14,7,429,8,0,1,0,1,,,,,,4,,,,996,0,50,1046,1510
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,747,4,11,231,340,14,30,14,11,916,15,5,1,0,2,,,,,,40,,,,1630,0,73,1703,2456
,27,TABASCO,16,HUIMANGUILLO,8,HUIMANGUILLO,748,3,11,136,319,9,23,12,11,720,12,2,3,0,1,,,,,,18,,,,1277,0,76,1353,1903
