SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,CDEM,PSN,PAS,NO REGISTRADOS,NULOS,VTOTAL
40,040B,19,53,78,7,68,6,0,2,0,6,239
40,040C,0,0,0,0,0,0,0,0,0,0,0
41,041B,31,70,62,6,71,7,0,2,0,4,253
42,042B,0,0,0,0,0,0,0,0,0,0,0
43,043B,14,62,54,2,40,4,0,0,0,0,176
43,043C,15,60,54,1,41,2,0,0,0,0,173
44,044B,15,65,75,2,56,9,0,5,0,4,231
44,044C,22,58,62,3,64,9,0,3,0,4,225
45,045B,35,75,57,8,64,39,0,5,0,10,293
45,045C,30,72,49,5,59,43,1,4,0,5,268
46,046B,16,76,89,3,68,0,0,2,0,9,263
46,046C,20,74,86,1,89,3,0,2,0,12,287
47,047B,26,87,87,6,49,10,0,1,0,8,274
47,047C,37,71,77,0,62,13,0,1,0,8,269
48,048B,12,54,89,3,56,18,0,2,0,7,241
48,048C,16,66,75,1,59,25,0,2,0,11,255
49,049B,22,70,77,3,56,13,0,2,0,12,255
49,049C,20,25,69,3,62,16,0,1,0,12,208
50,050B,16,56,83,2,70,4,0,0,0,9,240
50,050C1,21,54,67,1,71,5,0,0,1,1,221
50,050C2,24,68,85,5,88,13,0,0,0,6,289
51,051B,17,77,53,3,89,6,0,2,0,5,252
51,051C,9,61,88,3,66,6,0,0,0,6,239
52,052B,17,75,89,3,81,9,0,0,0,6,280
52,052C,15,68,69,3,90,5,0,2,0,8,260
53,053B,13,99,94,4,94,16,0,2,0,10,332
53,053C1,14,83,101,3,60,12,0,1,0,6,280
53,053C2,19,98,88,5,85,11,0,5,0,12,323
54,054B,0,0,0,0,0,0,0,0,0,0,0
54,054C1,24,77,94,2,74,6,0,1,0,9,287
54,054C2,0,0,0,0,0,0,0,0,0,0,0
55,055B,30,77,65,1,53,8,0,1,0,10,245
55,055C,31,64,69,2,56,8,0,0,0,0,230
56,056B,15,67,52,2,53,7,0,2,0,2,200
56,056C,20,51,48,2,57,8,0,1,0,6,193
57,057B,34,57,40,2,80,8,0,1,0,3,225
57,057C,34,69,40,5,70,13,0,0,0,3,234
58,058B,0,0,0,0,0,0,0,0,0,0,0
59,059B,0,0,0,0,0,0,0,0,0,0,0
59,059C,28,33,26,1,46,3,0,0,0,2,139
60,060B,0,0,0,0,0,0,0,0,0,0,0
60,060C,0,0,0,0,0,0,0,0,0,0,0
61,061B,20,54,51,3,61,11,0,3,0,0,203
61,061C,0,0,0,0,0,0,0,0,0,0,0
62,062B,13,52,47,5,39,3,0,2,0,4,165
62,062C,23,47,52,1,37,9,1,0,0,5,175
63,063B,18,33,46,1,34,2,1,0,0,2,137
63,063C,23,49,46,6,53,5,1,0,0,1,184
64,064B,21,64,58,3,37,10,0,0,0,11,204
64,064C,25,85,42,5,30,4,0,0,0,2,193
65,065B,19,44,67,6,58,5,0,0,0,0,199
65,065C,0,0,0,0,0,0,0,0,0,0,0
66,066B,13,42,33,3,45,4,0,0,0,4,144
66,066C,21,34,55,0,37,8,0,0,0,3,158
67,067B,10,25,43,2,30,4,0,0,0,2,116
67,067C,0,0,0,0,0,0,0,0,0,0,0
68,068B,12,69,34,5,38,16,0,0,0,6,180
68,068C,21,53,46,3,45,4,0,1,0,5,178
69,069B,0,0,0,0,0,0,0,0,0,0,0
69,069C,19,50,22,2,22,3,0,0,0,0,118
70,070B,12,64,64,3,54,2,0,1,0,11,211
70,070C,10,66,59,7,43,7,0,1,0,3,196
71,071B,16,88,85,2,59,6,0,2,0,4,262
71,071C,14,83,100,1,53,7,0,0,0,6,264
72,072B,0,0,0,0,0,0,0,0,0,0,0
72,072C1,21,89,84,5,50,7,0,1,0,0,257
72,072C2,24,82,93,5,55,4,0,2,0,6,271
73,073B,23,95,77,3,61,16,0,2,0,0,277
73,073C1,28,73,70,4,67,11,0,2,0,5,260
73,073C2,25,79,74,2,65,12,0,0,0,7,264
74,074B,21,75,88,3,76,12,0,3,0,0,278
74,074C,26,89,98,4,78,13,0,0,0,8,316
75,075B,30,41,53,4,51,6,0,0,0,6,191
75,075C,24,65,56,2,56,7,0,0,0,3,213
76,076B,50,65,62,9,92,14,0,2,0,4,298
76,076C,51,64,67,4,93,13,0,2,0,2,296
77,077B,52,39,35,2,88,16,2,1,0,2,237
78,078B,34,78,60,3,95,15,0,0,0,11,296
79,079B,18,60,52,3,53,5,0,0,0,5,196
79,079C,21,59,41,3,42,11,0,0,0,5,182
80,080B,23,43,39,5,48,0,0,0,0,6,164
80,080C,24,55,49,0,53,13,0,0,0,1,195
81,081B,19,62,65,5,47,4,0,1,0,7,210
81,081C,14,56,64,7,57,8,0,6,0,5,217
82,082B,24,41,32,1,43,10,0,0,0,5,156
82,082C,14,60,35,2,37,5,0,1,0,4,158
83,083B,23,66,54,2,64,11,0,3,0,3,226
83,083C,0,0,0,0,0,0,0,0,0,0,0
84,084B,20,46,57,4,49,5,0,0,0,1,182
84,084C,29,44,62,1,41,7,0,0,0,0,184
85,085B,23,50,43,3,55,6,0,2,0,12,194
85,085C,15,64,43,7,56,12,0,0,0,4,201
86,086B,20,78,47,2,45,10,0,0,0,4,206
86,086C,0,0,0,0,0,0,0,0,0,0,0
87,087B,13,59,36,3,43,10,0,3,0,3,170
87,087C,19,44,30,3,46,6,1,0,0,4,153
88,088B,0,0,0,0,0,0,0,0,0,0,0
88,088C,0,0,0,0,0,0,0,0,0,0,0
89,089B,27,86,37,3,59,8,0,2,0,0,222
90,090B,51,60,43,13,99,18,0,1,0,0,285
90,090C,0,0,0,0,0,0,0,0,0,0,0
91,091B,38,65,53,11,64,10,0,1,0,1,243
91,091C,0,0,0,0,0,0,0,0,0,0,0
92,092B,45,58,40,3,45,7,0,2,1,6,207
92,092C,0,0,0,0,0,0,0,0,0,0,0
93,093B,13,53,37,1,48,5,0,0,0,2,159
93,093C,19,41,52,2,53,12,0,0,0,3,182
94,094B,28,85,62,5,75,11,0,1,0,15,282
94,094C,19,71,71,4,88,12,1,3,0,5,274
95,095B,20,115,46,3,72,23,0,0,0,9,288
96,096B,0,0,0,0,0,0,0,0,0,0,0
96,096C,0,0,0,0,0,0,0,0,0,0,0
97,097B,0,0,0,0,0,0,0,0,0,0,0
97,097C,12,33,26,1,35,4,0,1,1,6,119
98,098B,16,57,47,2,43,9,0,0,1,12,187
98,098C,0,0,0,0,0,0,0,0,0,0,0
99,099B,13,50,21,2,53,8,0,0,0,0,147
99,099C,19,43,28,1,41,12,0,1,0,4,149
100,100B,51,51,58,7,68,13,0,1,0,4,253
101,101B,32,69,92,4,84,3,0,0,0,5,289
102,102B,0,0,0,0,0,0,0,0,0,0,0
102,102C,48,57,54,7,76,14,0,1,0,3,260
103,103B,36,60,34,5,54,18,0,1,0,4,212
104,104B,42,77,44,6,81,15,0,0,1,3,269
104,104C,45,79,61,6,58,12,0,0,0,4,265
105,105B,36,80,48,5,81,18,0,1,0,2,271
105,105C,41,68,38,4,58,19,0,0,0,4,232
106,106B,61,97,88,4,94,26,0,1,0,4,375
107,107B,26,79,61,5,56,11,0,0,0,6,244
107,107C,24,75,74,2,77,13,0,0,0,5,270
108,108B,22,41,50,3,62,13,1,0,0,7,199
108,108C,20,39,45,4,62,17,0,1,0,8,196
109,109B,23,75,52,5,63,7,0,1,0,11,237
109,109C,21,63,58,4,66,7,0,0,0,7,226
110,110B,0,0,0,0,0,0,0,0,0,0,0
110,110C,0,0,0,0,0,0,0,0,0,0,0
111,111B,0,0,0,0,0,0,0,0,0,0,0
112,112B,19,85,56,3,62,5,0,2,0,3,235
113,113B,29,47,32,3,43,3,1,0,0,2,160
113,113C,15,39,19,3,38,3,0,0,0,1,118
114,114B,29,99,41,2,43,13,0,1,0,2,230
115,115B,11,51,18,3,46,6,0,1,0,0,136
115,115C,15,41,32,7,39,3,1,1,0,3,142
116,116B,0,0,0,0,0,0,0,0,0,0,0
116,116C,38,71,30,8,51,17,0,0,0,3,218
117,117B,0,0,0,0,0,0,0,0,0,0,0
117,117C,37,62,44,6,73,8,0,1,0,2,233
118,118B,0,0,0,0,0,0,0,0,0,0,0
119,119B,100,49,17,7,55,16,0,1,2,4,251
120,120B,0,0,0,0,0,0,0,0,0,0,0
120,120C,27,62,36,4,40,13,0,0,0,3,185
121,121B,26,40,29,4,43,5,0,0,0,3,150
121,121C,19,48,25,6,30,3,0,0,0,0,131
122,122B,63,87,38,4,69,17,0,2,0,1,281
123,123B,98,77,42,9,88,23,0,0,1,4,342
124,124B,53,21,20,7,50,14,0,0,0,1,166
124,124C,31,31,33,5,55,7,0,1,0,3,166
125,125B,28,45,26,5,63,10,0,1,0,3,181
125,125C,34,58,34,7,48,17,0,2,1,3,204
126,126B,39,47,41,5,86,9,0,1,0,5,233
126,126C1,52,34,27,8,83,18,1,1,0,5,229
126,126C2,59,52,29,5,78,6,0,1,0,5,235
126,126C3,63,36,37,7,76,16,0,1,0,0,236
127,127B,0,0,0,0,0,0,0,0,0,0,0
127,127C1,23,66,101,1,74,9,0,0,0,3,277
127,127C2,31,90,87,7,77,8,0,2,1,0,303
128,128B,53,36,23,2,74,18,0,1,0,1,208
128,128C,38,36,24,2,51,24,0,1,0,2,178
129,129B,58,28,16,7,60,3,0,2,0,1,175
130,130B,94,54,33,8,53,12,0,4,0,5,263
131,131B,27,57,31,6,57,23,0,0,0,1,202
131,131C,25,54,31,3,61,14,0,0,1,2,191
132,132B,0,0,0,0,0,0,0,0,0,0,0
132,132C,31,38,24,8,50,16,0,0,0,2,169
133,133B,41,62,34,8,51,28,0,0,0,7,231
133,133C,51,51,26,5,57,19,0,0,0,4,213
134,134B,42,57,33,1,38,9,0,1,0,2,183
134,134C,30,49,29,8,40,12,0,0,0,3,171
135,135B,29,36,18,3,54,12,1,1,0,2,156
135,135C,24,33,23,9,36,14,0,1,0,4,144
136,136B,73,58,25,4,70,11,0,1,1,8,251
137,137B,47,33,18,6,39,8,0,0,0,1,152
137,137C,76,29,15,2,35,8,0,0,1,3,169
138,138B,58,84,44,10,79,16,0,3,0,3,297
139,139B,19,47,34,1,55,12,0,0,0,5,173
139,139C,37,38,23,3,63,22,0,0,0,1,187
