DISTRITO,CABECERA,CODIGO MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PC,PT,PVEM,PPS,PDM
18,CD. OBREGON SUR,18,CAJEME,973,B,74,121,334,1,5,0,1,0
18,CD. OBREGON SUR,18,CAJEME,972,B,26,132,188,0,3,0,3,0
18,CD. OBREGON SUR,18,CAJEME,971,B,57,151,432,5,22,3,1,0
18,CD. OBREGON SUR,18,CAJEME,970,B,95,165,228,1,8,0,2,0
18,CD. OBREGON SUR,18,CAJEME,969,B,91,194,228,0,4,6,3,0
18,CD. OBREGON SUR,18,CAJEME,968,B,89,188,203,0,25,1,2,1
18,CD. OBREGON SUR,18,CAJEME,967,B,110,126,188,8,2,0,0,0
18,CD. OBREGON SUR,18,CAJEME,966,B,121,265,511,0,0,0,1,0
18,CD. OBREGON SUR,18,CAJEME,965,B,13,148,350,2,3,2,1,0
18,CD. OBREGON SUR,18,CAJEME,964,B,41,187,464,0,7,2,0,1
18,CD. OBREGON SUR,18,CAJEME,963,B,7,80,121,1,0,0,0,0
18,CD. OBREGON SUR,18,CAJEME,962,B,55,113,150,3,2,1,0,0
18,CD. OBREGON SUR,18,CAJEME,976,B,133,201,317,1,4,2,0,0
18,CD. OBREGON SUR,18,CAJEME,977,B,82,194,444,0,5,8,0,2
18,CD. OBREGON SUR,18,CAJEME,978,B,111,152,384,0,12,6,0,0
