SECCION,CASILLA,NO_DTTO,CABECERA,NMpioIEEP,Municipio,PAN,PRI,PRD,PT,PVEM,CDPPN,PSN,PAS,NOREG,NULOS,VOTACIONTOTAL,LISTANOMINAL,OBS
0082,C2,15,AJALPAN,95,AJALPAN,168,124,63,0,0,0,0,0,0,3,358,547,
0083,B,15,AJALPAN,95,AJALPAN,217,92,24,0,0,0,0,0,0,3,336,503,
0083,C1,15,AJALPAN,95,AJALPAN,224,90,33,0,0,0,0,0,0,0,347,503,
0083,C2,15,AJALPAN,95,AJALPAN,249,72,35,0,0,0,0,0,0,9,365,504,
0084,B,15,AJALPAN,95,AJALPAN,235,105,65,0,0,0,0,0,0,10,415,587,
0084,C1,15,AJALPAN,95,AJALPAN,235,110,76,0,0,0,0,0,0,0,421,588,
0084,C2,15,AJALPAN,95,AJALPAN,200,119,77,0,0,0,0,0,0,15,411,588,
0085,B,15,AJALPAN,95,AJALPAN,163,126,53,0,0,0,0,0,0,4,346,567,
0085,C1,15,AJALPAN,95,AJALPAN,139,140,89,0,0,0,0,0,0,26,394,568,
0085,C2,15,AJALPAN,95,AJALPAN,147,134,86,0,0,0,0,0,0,7,374,568,
0086,B,15,AJALPAN,95,AJALPAN,68,57,108,0,0,0,0,0,0,8,241,411,
0147,B,20,TLATLAUQUITEPEC,151,ATEMPAN,42,62,0,40,0,0,0,0,0,11,155,237,
0148,B,13,TEPEXI DE RODRIGUEZ,73,ATEXCAL,184,282,4,281,0,0,0,0,0,10,761,613,
0149,B,13,TEPEXI DE RODRIGUEZ,73,ATEXCAL,44,100,0,0,0,0,0,0,0,8,152,185,
0150,B,13,TEPEXI DE RODRIGUEZ,73,ATEXCAL,91,32,1,0,0,0,0,0,5,11,140,226,
0151,B,13,TEPEXI DE RODRIGUEZ,73,ATEXCAL,121,63,0,0,0,0,0,0,0,12,196,275,
0152,B,13,TEPEXI DE RODRIGUEZ,73,ATEXCAL,77,171,11,0,0,0,0,0,0,0,259,392,
0153,B,13,TEPEXI DE RODRIGUEZ,73,ATEXCAL,25,159,1,0,0,0,0,0,0,3,188,208,
0154,B,9,ATLIXCO,19,ATLIXCO,188,96,3,0,0,9,0,0,0,3,299,706,
0154,C1,9,ATLIXCO,19,ATLIXCO,174,102,11,0,0,12,0,0,0,4,303,707,
0155,B,9,ATLIXCO,19,ATLIXCO,105,44,3,0,0,6,0,0,0,1,159,296,
0156,B,9,ATLIXCO,19,ATLIXCO,59,43,0,0,0,0,3,0,0,0,105,213,
0157,B,9,ATLIXCO,19,ATLIXCO,169,112,8,0,0,13,0,0,0,4,306,637,
0158,B,9,ATLIXCO,19,ATLIXCO,97,75,0,0,0,5,0,0,0,1,178,452,
0158,C1,9,ATLIXCO,19,ATLIXCO,85,88,2,0,0,6,0,0,0,7,188,452,
0159,B,9,ATLIXCO,19,ATLIXCO,181,96,9,0,0,7,0,0,0,8,301,554,
0159,C1,9,ATLIXCO,19,ATLIXCO,164,92,7,0,0,8,0,0,0,4,275,554,
0160,B,9,ATLIXCO,19,ATLIXCO,150,63,3,0,0,3,0,0,0,0,219,462,
0160,C1,9,ATLIXCO,19,ATLIXCO,123,59,4,0,0,0,0,0,0,3,189,462,
0160,X1,9,ATLIXCO,19,ATLIXCO,123,72,4,0,0,5,0,0,0,3,207,427,
0160,X2,9,ATLIXCO,19,ATLIXCO,126,83,6,0,0,4,0,0,0,2,221,428,
0161,B,9,ATLIXCO,19,ATLIXCO,204,109,5,0,0,7,0,0,0,7,332,603,
0161,C1,9,ATLIXCO,19,ATLIXCO,188,112,7,0,0,8,0,0,0,3,318,604,
0162,B,9,ATLIXCO,19,ATLIXCO,251,131,5,0,0,4,0,0,0,8,399,679,
0162,C1,9,ATLIXCO,19,ATLIXCO,224,128,6,0,0,5,0,0,0,6,369,679,
0163,B,9,ATLIXCO,19,ATLIXCO,0,0,0,0,0,0,0,0,0,0,0,591,Sin Acta
0163,C1,9,ATLIXCO,19,ATLIXCO,0,0,0,0,0,0,0,0,0,0,0,591,Sin Acta
0163,C2,9,ATLIXCO,19,ATLIXCO,118,85,14,0,0,4,0,0,0,4,225,591,
0163,C3,9,ATLIXCO,19,ATLIXCO,132,53,9,0,0,1,0,0,0,4,199,591,
0163,X1,9,ATLIXCO,19,ATLIXCO,61,40,4,0,0,0,0,0,0,6,111,192,
0164,B,9,ATLIXCO,19,ATLIXCO,166,91,4,0,0,4,0,0,0,3,268,632,
0164,C1,9,ATLIXCO,19,ATLIXCO,166,81,3,0,0,5,0,0,0,8,263,632,
0164,C2,9,ATLIXCO,19,ATLIXCO,172,87,4,0,0,3,0,0,0,6,272,632,
0165,B,9,ATLIXCO,19,ATLIXCO,140,81,7,0,0,3,0,0,0,1,232,528,
0165,C1,9,ATLIXCO,19,ATLIXCO,134,63,5,0,0,5,0,0,0,3,210,528,
0165,C2,9,ATLIXCO,19,ATLIXCO,135,88,4,0,0,3,0,0,0,11,241,528,
0166,B,9,ATLIXCO,19,ATLIXCO,167,58,3,0,0,5,0,0,0,3,236,506,
0166,C1,9,ATLIXCO,19,ATLIXCO,131,71,10,0,0,5,0,0,0,5,222,506,
0166,C2,9,ATLIXCO,19,ATLIXCO,172,77,5,0,0,5,0,0,0,6,265,507,
0167,B,9,ATLIXCO,19,ATLIXCO,178,129,7,0,0,2,0,0,0,7,323,604,
0167,C1,9,ATLIXCO,19,ATLIXCO,164,116,7,0,0,5,0,0,0,4,296,604,
0168,B,9,ATLIXCO,19,ATLIXCO,125,78,3,0,0,1,0,0,0,3,210,528,
0168,C1,9,ATLIXCO,19,ATLIXCO,124,72,4,0,0,5,0,0,0,3,208,529,
0168,C2,9,ATLIXCO,19,ATLIXCO,113,109,5,0,0,7,0,0,0,5,239,529,
0169,B,9,ATLIXCO,19,ATLIXCO,191,127,5,0,0,0,0,0,0,5,328,644,
0169,X1,9,ATLIXCO,19,ATLIXCO,203,96,6,0,0,5,0,0,0,3,313,641,
0170,B,9,ATLIXCO,19,ATLIXCO,121,73,4,0,0,4,0,0,0,8,210,494,
0170,C1,9,ATLIXCO,19,ATLIXCO,133,76,3,0,0,5,0,0,0,1,218,495,
0170,X1,9,ATLIXCO,19,ATLIXCO,53,65,3,0,0,2,0,0,0,4,127,289,
0171,B,9,ATLIXCO,19,ATLIXCO,156,88,3,0,0,11,0,0,0,3,261,540,
0172,B,9,ATLIXCO,19,ATLIXCO,53,28,1,0,0,0,0,0,0,2,84,203,
0173,B,9,ATLIXCO,19,ATLIXCO,73,76,6,0,0,1,0,0,0,0,156,484,
0173,C1,9,ATLIXCO,19,ATLIXCO,61,92,7,0,0,4,0,0,0,0,164,485,
0174,B,9,ATLIXCO,19,ATLIXCO,0,0,0,0,0,0,0,0,0,0,0,562,Sin Acta
0174,C1,9,ATLIXCO,19,ATLIXCO,75,112,5,0,0,1,0,0,0,2,195,563,
0174,C2,9,ATLIXCO,19,ATLIXCO,81,103,6,0,0,4,0,0,0,0,194,563,
0175,B,9,ATLIXCO,19,ATLIXCO,125,67,5,0,0,2,0,0,0,4,203,453,
0175,C1,9,ATLIXCO,19,ATLIXCO,139,59,5,0,0,2,0,0,0,5,210,453,
0176,B,9,ATLIXCO,19,ATLIXCO,157,49,5,0,0,2,0,0,0,2,215,395,
0176,C1,9,ATLIXCO,19,ATLIXCO,154,40,4,0,0,6,0,0,0,5,209,395,
0177,B,9,ATLIXCO,19,ATLIXCO,169,101,12,0,0,5,0,0,0,3,290,540,
0177,C1,9,ATLIXCO,19,ATLIXCO,134,102,11,0,0,5,0,0,0,3,255,540,
0177,C2,9,ATLIXCO,19,ATLIXCO,170,87,8,0,0,5,0,0,0,3,273,541,
0178,B,9,ATLIXCO,19,ATLIXCO,210,131,6,0,0,4,0,0,0,4,355,661,
0178,C1,9,ATLIXCO,19,ATLIXCO,203,112,6,0,0,8,0,0,0,2,331,661,
0179,B,9,ATLIXCO,19,ATLIXCO,93,86,4,0,0,4,0,0,0,14,201,378,
0179,C1,9,ATLIXCO,19,ATLIXCO,121,57,10,0,0,4,0,0,0,4,196,379,
