SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_morena_na_es,config_cc_morena_na,config_cc_morena_es,config_cc_na_es,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
652,C3,5,7,38,0,101,33,39,6,43,4,15,1,1,17,8,7,18,2,4,1,1,9,0,2,0,0,0,0,24,386,743
916,B1,2,36,2,1,29,11,34,1,12,1,2,3,2,2,5,19,3,0,17,1,2,6,0,4,0,1,0,0,9,205,536
916,C1,1,33,7,6,42,10,26,3,10,6,1,0,2,7,7,26,5,0,11,0,0,7,1,7,0,1,0,0,13,232,536
916,C2,0,16,1,0,45,14,42,0,17,2,1,0,0,1,12,23,3,0,22,1,0,2,1,2,0,1,0,0,12,218,535
917,B1,5,19,13,5,88,11,53,3,6,2,1,1,7,12,3,4,5,3,0,1,0,1,4,2,0,0,2,0,7,258,685
917,C1,6,15,17,11,82,25,52,0,10,8,2,1,4,9,4,6,6,0,6,1,0,5,1,1,1,0,0,0,5,278,685
917,C2,5,12,16,9,80,15,44,0,14,3,0,3,5,9,1,4,4,1,0,0,0,2,1,5,0,3,0,0,12,248,685
917,C3,4,21,13,11,82,9,61,0,8,2,2,1,5,11,1,3,5,2,1,1,0,3,2,4,0,4,2,1,9,268,684
Totales,,2785,2404,829,849,9376,2582,6596,204,2438,1337,212,241,782,1805,751,1149,719,172,525,380,150,1346,151,289,46,157,66,19,1464,39824,89775
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,C,A,N,D,I,D,A,T,O,,,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_morena_na_es,,,,no_registrados,num_votos_nulos,Tot.Votos,
,,2785,2404,829,849,9376,2582,,204,2438,1337,212,241,,,751,1149,719,172,525,380,150,1346,151,9741,,,,19,1464,39824,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,P,A,R,T,I,D,O,S,,,,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,,,,,no_registrados,num_votos_nulos,Tot.Votos,
,,2785,2404,829,849,9376,2582,6795,204,2438,1337,212,241,934,2012,751,1149,719,172,525,380,150,1346,151,,,,,19,1464,39824,
,,6.99%,6.04%,2.08%,2.13%,23.54%,6.48%,17.06%,0.51%,6.12%,3.36%,0.53%,0.61%,2.35%,5.05%,1.89%,2.89%,1.81%,0.43%,1.32%,0.95%,0.38%,3.38%,0.38%,,,,,0.05%,3.68%,100%,
