SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
144,C1,24,16,1,2,2,53,52,13,1,2,32,0,5,0,4,0,22,0,4,0,1,1,0,1,0,4,240,460
145,B1,25,38,5,3,2,44,52,35,4,0,38,3,1,0,3,0,8,2,4,2,5,5,0,0,0,8,287,491
145,C1,30,22,3,4,6,26,65,31,4,5,23,5,3,1,1,1,11,8,2,1,1,4,3,0,0,7,267,490
146,B1,27,27,3,0,3,44,57,25,5,3,32,2,2,0,4,0,10,1,2,0,0,0,3,1,1,8,260,497
146,C1,25,23,5,7,5,57,46,24,3,8,29,2,1,0,1,0,7,1,2,0,2,1,0,0,0,7,256,496
147,B1,24,22,5,2,6,40,102,32,3,7,48,1,3,0,2,1,13,0,5,0,2,3,3,0,0,14,338,692
147,C1,26,39,6,0,6,43,82,30,8,7,37,1,2,0,2,2,8,0,6,0,3,3,0,3,0,14,328,691
148,B1,28,22,2,5,1,49,101,24,6,4,25,8,2,0,3,2,8,2,1,1,0,0,1,0,0,16,311,633
148,C1,29,21,5,1,6,39,131,16,5,8,18,6,2,0,4,0,5,2,2,0,2,2,1,0,0,7,312,633
149,B1,9,18,1,2,5,25,48,14,4,2,32,2,1,0,5,5,8,0,1,2,1,0,3,0,1,6,195,394
149,C1,12,14,6,4,10,28,58,24,7,4,22,1,0,0,4,1,9,0,1,0,0,0,15,0,0,7,227,393
150,B1,35,29,5,1,8,32,78,10,3,4,21,5,1,0,0,0,9,3,4,0,0,0,0,1,0,5,254,652
150,C1,32,19,1,1,3,43,88,6,3,2,13,2,0,0,5,0,16,0,10,1,0,0,3,0,0,9,257,651
150,C2,27,16,1,1,9,40,76,14,1,7,16,3,1,0,1,0,16,1,2,0,0,2,0,0,0,7,241,651
150,C3,22,19,3,0,2,20,98,14,3,5,33,5,4,1,2,1,13,0,2,0,1,1,1,0,0,14,264,651
150,C4,39,14,2,4,4,42,99,11,3,2,15,5,0,0,0,0,11,1,5,0,2,0,0,0,0,8,267,651
151,B1,47,36,6,2,4,26,67,24,8,8,19,5,4,0,2,2,22,0,2,2,2,0,0,2,0,11,301,692
151,C1,40,39,3,4,8,31,76,15,3,6,27,6,2,0,1,0,8,1,3,1,1,0,4,2,1,7,289,692
151,C2,52,32,7,6,8,22,78,26,1,2,26,4,1,0,1,1,12,0,5,0,1,1,0,1,0,8,295,691
151,C3,41,28,1,5,15,20,70,16,8,3,12,3,1,1,2,1,8,1,2,1,1,1,2,2,1,7,253,691
151,C4,28,51,3,1,12,38,71,22,2,9,20,1,1,0,4,2,18,0,4,1,0,1,1,0,0,8,298,691
151,C5,46,51,3,2,12,28,82,25,4,4,11,8,2,0,2,0,8,0,1,2,0,0,3,0,0,15,309,691
151,C6,51,38,2,4,9,23,67,30,2,3,24,3,0,0,3,2,13,0,2,1,1,1,1,0,0,9,289,691
152,B1,31,38,7,0,4,34,60,17,6,0,19,1,2,1,1,0,6,2,4,0,1,0,1,0,0,15,250,527
152,C1,41,37,4,5,8,36,46,13,3,4,25,5,1,1,3,1,8,2,2,1,1,2,2,1,0,7,259,527
152,C2,32,39,1,3,4,27,62,19,5,2,19,1,0,0,4,2,12,3,8,0,1,2,5,0,0,12,263,527
153,B1,24,21,5,2,9,39,77,19,3,6,22,2,4,3,3,2,11,0,4,0,1,2,0,0,0,12,271,568
153,C1,15,13,0,2,8,38,98,27,3,9,12,3,0,0,4,0,15,0,3,0,1,0,1,0,0,9,261,567
154,B1,23,33,4,2,10,29,69,17,9,3,17,5,4,0,10,3,15,0,3,0,4,2,2,0,1,3,268,473
154,C1,20,38,1,2,11,27,76,12,6,12,11,7,2,0,5,1,11,0,4,0,1,2,5,0,0,8,262,472
155,B1,24,21,2,2,4,49,103,25,11,14,13,3,2,0,2,2,13,0,1,0,0,0,0,0,1,11,303,552
155,C1,12,26,2,6,8,53,95,21,24,9,11,1,1,2,3,2,9,1,0,1,2,0,0,0,0,4,293,552
156,B1,21,17,8,0,5,75,50,7,9,4,14,2,0,0,1,0,3,0,0,0,2,2,0,1,0,8,229,444
156,C1,26,14,2,1,3,67,42,22,11,1,16,6,5,0,2,0,14,1,1,0,1,1,2,1,1,9,249,443
157,B1,25,28,5,2,5,73,65,25,10,8,43,0,3,0,10,1,14,3,1,0,4,0,0,0,0,3,328,653
158,B1,24,35,6,1,3,37,24,21,1,10,27,4,1,0,0,0,10,1,2,1,13,0,1,0,0,2,224,385
159,B1,16,24,7,1,11,64,57,38,3,4,29,2,4,0,7,1,9,1,0,0,0,3,0,0,0,5,286,540
159,C1,20,39,15,2,14,50,76,26,7,0,16,7,1,0,5,1,11,0,3,2,1,1,0,0,0,8,305,539
159,C2,20,16,7,3,5,65,52,19,6,4,26,7,2,0,5,1,13,0,0,1,3,2,1,1,0,6,265,539
160,B1,37,24,3,3,5,39,37,49,6,6,26,7,10,1,2,1,21,1,0,0,1,0,1,1,0,8,289,553
161,B1,22,30,2,4,6,34,48,14,4,2,24,3,3,0,3,0,14,0,0,0,1,0,0,0,0,6,220,393
162,B1,29,30,3,2,4,31,53,28,3,11,15,3,1,0,2,2,9,0,1,1,0,0,0,0,2,5,235,469
162,C1,31,40,5,3,9,28,49,28,9,13,18,2,2,0,3,1,17,3,3,0,0,0,2,0,1,5,272,468
163,B1,18,28,1,2,4,15,52,22,4,4,21,0,3,0,3,1,17,2,1,1,7,1,0,0,0,8,215,399
164,B1,19,11,2,0,3,16,48,32,14,2,10,4,1,0,2,0,17,0,1,0,1,1,0,1,0,7,192,334
165,B1,28,32,2,0,3,71,57,17,8,6,29,6,2,0,2,1,8,0,0,0,0,8,0,2,0,6,288,611
165,C1,40,33,3,2,3,66,83,11,3,4,16,11,2,0,4,0,11,0,0,1,5,6,0,0,0,13,317,610
166,B1,17,17,2,4,5,54,45,26,18,3,20,3,1,0,2,2,14,0,2,1,2,1,1,2,0,12,254,580
166,C1,27,27,2,3,3,53,75,22,14,2,25,4,1,0,2,0,14,0,1,4,0,0,0,0,0,14,293,579
166,C2,23,27,5,7,16,48,69,31,13,1,29,0,4,0,6,0,13,1,0,0,1,0,0,0,0,11,305,579
167,B1,38,33,7,0,12,42,69,49,7,9,28,3,2,0,2,1,33,4,1,2,1,0,3,1,0,10,357,686
168,B1,22,29,3,1,10,65,87,47,5,10,45,6,5,1,2,10,17,0,4,3,2,5,1,0,0,9,389,713
169,B1,31,33,2,4,9,52,85,50,12,15,37,5,1,1,9,3,20,2,0,0,1,8,2,1,1,6,390,707
169,C1,29,24,2,4,1,59,83,38,13,8,52,3,2,1,3,0,31,3,0,1,3,1,6,0,0,10,377,707
170,B1,8,23,3,2,15,29,37,17,10,4,30,4,1,0,0,1,6,1,2,0,1,1,2,1,0,6,204,402
170,C1,22,16,0,2,14,20,48,31,4,5,31,2,6,1,4,2,1,1,3,0,1,1,1,0,0,6,222,401
171,B1,21,9,1,6,5,41,51,14,14,5,28,2,1,0,1,5,10,0,0,0,2,0,0,1,0,1,218,432
172,B1,37,21,3,2,4,19,58,16,8,6,25,1,2,0,3,0,20,1,0,0,0,0,1,2,0,7,236,443
172,C1,32,24,0,1,6,21,75,12,5,5,22,3,0,0,3,2,28,0,0,0,0,0,2,1,0,14,256,442
173,B1,25,16,9,2,12,64,68,12,12,7,27,6,0,0,6,3,27,1,0,0,1,0,4,0,2,10,314,706
173,C1,45,24,2,0,14,72,67,33,8,10,36,0,1,0,3,1,28,1,0,1,0,1,2,0,0,6,355,705
174,B1,20,30,3,2,12,40,71,22,9,5,23,0,1,1,1,0,9,0,0,0,0,1,0,1,4,5,260,477
174,C1,28,26,3,2,10,36,53,30,9,7,15,1,0,0,2,2,17,1,1,0,0,0,1,0,0,1,245,476
175,B1,7,20,6,0,4,34,106,38,3,14,18,2,1,1,2,0,7,2,1,0,0,0,1,0,0,7,274,561
175,C1,13,28,6,1,6,19,98,27,6,19,13,10,3,0,1,0,12,1,1,0,2,0,0,0,0,6,272,561
175,C2,17,23,2,1,3,26,83,32,7,8,18,2,5,0,1,2,12,2,5,0,0,0,1,0,1,7,258,561
