ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,177,SAN SEBASTIAN TLACOTEPEC,8,17,2733,1705,63,460,244,56,24,15,713,52,13,0,0,0,0,0,2,0,2,0,1,2,0,0,1,0,12,4,3,3,0,0,0,0,0,0,34,11,3,11,6167,0,333,6500,8172,
21,PUEBLA,146,SANTA CATARINA TLALTEMPAN,1,1,149,197,2,17,10,4,10,21,113,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,1,0,1,540,0,34,574,748,
21,PUEBLA,147,SANTA INES AHUATEMPAN,4,7,703,980,32,175,41,34,15,18,926,48,4,2,1,0,0,0,2,0,1,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,30,13,2,8,3043,0,110,3153,4529,
21,PUEBLA,148,SANTA ISABEL CHOLULA,5,13,1027,648,103,239,814,76,59,40,1295,92,33,2,3,5,3,0,5,4,5,3,3,8,0,1,0,1,12,6,3,13,4,0,1,0,1,0,138,12,7,40,4706,2,298,5006,7645,
21,PUEBLA,149,SANTIAGO MIAHUATLAN,6,27,3506,1222,167,958,990,183,249,157,2734,113,52,5,14,4,23,1,9,12,1,8,2,0,0,0,0,1,24,23,13,3,2,7,3,4,4,4,126,56,8,34,10722,1,428,11151,17231,
21,PUEBLA,150,SANTO TOMAS HUEYOTLIPAN,3,9,890,546,49,223,174,57,340,117,1899,65,20,0,2,1,0,1,0,4,0,2,0,1,0,0,0,3,7,1,8,1,0,1,0,1,0,1,64,13,3,24,4518,1,160,4679,6130,
21,PUEBLA,151,SOLTEPEC,6,15,564,1036,142,497,680,119,142,171,1755,118,5,2,0,0,0,0,0,2,1,2,0,3,0,0,1,1,3,6,2,1,1,0,1,1,3,1,69,24,4,28,5385,1,430,5816,8814,
21,PUEBLA,152,TECALI DE HERRERA,9,25,2569,1950,213,459,494,155,128,43,3939,217,45,7,7,8,5,0,20,7,5,5,3,4,0,0,2,1,20,25,15,4,1,1,0,2,0,2,200,57,7,85,10705,4,423,11132,15067,
21,PUEBLA,153,TECAMACHALCO,23,85,7587,3205,690,1975,1644,885,2464,805,13476,707,312,24,23,14,23,3,27,40,7,29,15,17,11,4,5,13,233,63,116,22,17,16,9,91,13,25,749,208,42,268,35877,10,1528,37415,53689,
21,PUEBLA,154,TECOMATLAN,5,10,173,1681,40,127,33,18,4,4,390,50,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,3,1,0,0,0,0,0,0,0,28,8,1,7,2579,0,124,2703,4794,
