CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRD,PT,PVEM,MC,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,502,1,22,55,4,,23,1,88,1,6,33,,,,,0,233,18,251,311
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,503,1,23,12,3,,9,3,15,10,3,17,,,,,0,95,0,95,133
4,29,TLAXCALA,2,TLAXCO,34,TLAXCO,504,1,33,15,8,,3,5,46,9,8,45,,,,,0,172,4,176,208
4,29,TLAXCALA,3,XALOZTOC,9,CUAXOMULCO,117,2,266,57,42,56,13,109,48,66,9,,189,,,,1,856,71,927,1254
4,29,TLAXCALA,3,XALOZTOC,9,CUAXOMULCO,118,2,122,70,27,38,35,70,43,44,9,,253,,,,1,712,55,767,979
4,29,TLAXCALA,3,XALOZTOC,9,CUAXOMULCO,119,1,78,41,13,18,7,10,25,28,1,,84,,,,0,305,28,333,538
4,29,TLAXCALA,3,XALOZTOC,9,CUAXOMULCO,120,1,45,9,4,12,0,9,4,27,2,,68,,,,0,180,10,190,226
4,29,TLAXCALA,3,XALOZTOC,9,CUAXOMULCO,121,2,153,100,34,60,8,101,58,59,6,,271,,,,0,850,37,887,1137
4,29,TLAXCALA,3,XALOZTOC,30,TERRENATE,398,3,451,35,77,27,6,92,346,113,5,,419,,,,0,1571,59,1630,2208
4,29,TLAXCALA,3,XALOZTOC,30,TERRENATE,399,2,317,17,78,16,8,41,187,46,1,,361,,,,0,1072,67,1139,1495
4,29,TLAXCALA,3,XALOZTOC,30,TERRENATE,403,2,269,11,39,82,4,19,115,20,0,,279,,,,0,838,32,870,1196
4,29,TLAXCALA,3,XALOZTOC,30,TERRENATE,404,4,469,32,68,78,45,68,369,51,12,,388,,,,0,1580,99,1679,2282
4,29,TLAXCALA,3,XALOZTOC,30,TERRENATE,405,1,55,8,10,16,1,5,48,1,1,,52,,,,0,197,9,206,244
4,29,TLAXCALA,3,XALOZTOC,30,TERRENATE,406,1,103,7,20,16,9,13,93,12,1,,49,,,,0,323,27,350,438
4,29,TLAXCALA,3,XALOZTOC,30,TERRENATE,407,1,255,5,6,19,2,9,63,17,3,,127,,,,0,506,15,521,662
4,29,TLAXCALA,3,XALOZTOC,30,TERRENATE,408,2,61,10,18,21,3,5,57,11,1,,684,,,,0,871,29,900,1197
4,29,TLAXCALA,3,XALOZTOC,35,TOCATLAN,505,4,269,71,133,73,13,26,377,61,10,,650,,,,0,1683,58,1741,2312
