CASILLAS,CASILLAS_NUM,CASILLAS_TIPO,DISTRITO,MUNICIPIO,LISTA NOMINAL,P.A.N,P.R.I.,P.R.D.,P.C.,P.T.,P.V.E.M.,P.P.S.,P.D.M.,NO REG.,NULOS,TOTAL
12,1,B,1,COLIMA,471,99,69,184,1,0,3,0,1,0,1,358
13,1,B,1,COLIMA,763,206,107,237,0,2,3,1,0,0,2,558
14,1,B,1,COLIMA,393,94,70,87,2,0,3,1,1,0,11,269
14,2,C,1,COLIMA,393,71,64,114,0,6,1,1,2,0,10,269
15,1,B,1,COLIMA,585,121,100,174,2,3,2,1,3,0,10,416
16,1,B,1,COLIMA,672,133,148,200,0,4,4,2,0,0,10,501
17,1,B,1,COLIMA,419,108,71,103,1,0,2,1,3,0,6,295
17,2,C,1,COLIMA,418,95,68,111,1,6,6,2,2,0,11,302
18,1,B,1,COLIMA,574,144,109,143,1,2,5,1,0,0,9,414
18,2,C,1,COLIMA,574,139,104,153,1,3,1,1,2,0,12,416
19,1,B,1,COLIMA,573,121,125,157,4,6,1,1,1,1,11,428
19,2,C,1,COLIMA,573,95,130,189,4,0,5,0,3,0,12,438
20,1,B,1,COLIMA,524,97,103,168,1,0,5,1,2,0,10,387
20,2,C,1,COLIMA,525,127,112,167,0,0,4,1,2,0,6,419
21,1,B,1,COLIMA,537,103,113,172,0,1,5,1,0,0,11,406
21,2,C,1,COLIMA,538,116,95,186,0,0,4,0,1,0,5,407
22,1,B,1,COLIMA,656,126,161,135,6,3,3,0,6,0,19,459
23,1,B,2,COLIMA,316,42,72,72,1,0,2,0,1,0,3,193
24,1,B,2,COLIMA,725,121,132,181,7,6,3,1,2,0,31,484
25,1,B,1,COLIMA,542,129,89,128,1,1,8,0,1,0,13,370
25,2,C,1,COLIMA,542,104,89,156,3,1,2,1,3,0,11,370
26,1,B,1,COLIMA,521,121,79,137,0,2,6,1,0,0,16,362
26,2,C,1,COLIMA,522,110,108,128,2,4,5,0,0,0,22,379
27,1,B,1,COLIMA,413,90,84,110,4,3,3,1,1,0,9,305
27,2,C,1,COLIMA,412,95,85,112,1,0,2,1,1,0,8,305
28,1,B,1,COLIMA,613,105,132,179,0,6,4,2,2,0,12,442
28,3,E,1,COLIMA,766,0,0,0,,0,0,0,0,,0,0
29,1,B,1,COLIMA,445,84,88,128,0,1,2,3,5,0,8,319
29,2,C,1,COLIMA,446,88,113,125,0,0,4,1,1,0,6,338
30,1,B,1,COLIMA,674,161,113,182,10,2,4,1,2,0,13,488
31,1,B,1,COLIMA,611,118,118,186,1,0,5,1,1,0,13,443
31,2,C,1,COLIMA,611,177,167,99,0,7,10,7,2,0,14,483
32,1,B,1,COLIMA,666,120,163,159,4,3,4,1,3,0,15,472
32,2,C,1,COLIMA,666,129,122,189,1,1,7,1,0,0,17,467
33,1,B,1,COLIMA,683,130,157,225,1,4,5,1,3,1,4,531
33,2,C,1,COLIMA,683,136,148,219,2,12,4,2,4,0,9,536
34,1,B,1,COLIMA,488,62,91,220,0,2,0,0,0,0,4,379
34,2,C,1,COLIMA,488,69,112,194,0,1,4,2,1,0,8,391
35,1,B,1,COLIMA,546,104,120,123,3,2,7,1,2,0,18,380
35,2,C,1,COLIMA,547,112,99,133,0,3,2,0,5,0,9,363
36,1,B,2,COLIMA,754,131,171,172,2,2,4,0,3,0,24,509
37,1,B,2,COLIMA,401,69,78,93,3,0,2,1,3,0,17,266
