CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI,PRI_PVEM,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,PH,ES,BS,FACA,JLCM,JRM,ISRM,MARM,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,191,2,236,155,,33,9,5,42,14,29,,38,14,,,,4,7,1,0,2,589,15,604,943
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,192,1,168,81,,44,9,6,39,9,64,,14,11,,,,3,4,1,0,0,453,20,473,735
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,193,2,202,177,,52,9,9,45,9,33,,16,22,,,,15,10,1,0,1,601,32,633,896
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,194,1,116,96,,17,6,7,34,11,32,,14,5,,,,4,8,0,0,0,350,8,358,552
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,195,1,113,91,,35,6,5,36,12,26,,13,13,,,,1,7,0,0,1,359,16,375,651
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,196,2,241,132,,33,8,7,30,14,31,,14,9,,,,6,2,0,0,2,529,17,546,908
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,197,3,374,210,,67,18,18,80,26,63,,42,22,,,,11,7,1,0,2,941,27,968,1565
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,198,1,186,76,,31,11,11,17,9,12,,19,5,,,,4,4,0,0,0,385,19,404,681
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,199,1,156,93,,31,2,2,28,9,23,,15,6,,,,4,4,0,0,0,373,8,381,600
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,200,1,114,103,,29,7,8,30,12,28,,21,10,,,,1,4,1,1,1,370,20,390,633
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,201,1,111,58,,35,4,7,13,8,11,,12,8,,,,4,0,0,0,0,271,8,279,506
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,202,2,359,198,,61,12,9,73,19,48,,41,11,,,,5,5,1,0,0,842,34,876,1339
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,203,2,210,75,,42,8,10,27,10,34,,14,15,,,,3,1,0,0,1,450,14,464,818
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,204,2,209,87,,35,7,4,18,13,33,,19,13,,,,2,1,0,0,1,442,26,468,865
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,205,1,159,51,,27,7,4,27,6,43,,12,4,,,,5,3,1,0,1,350,17,367,667
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,206,4,427,257,,132,15,12,66,19,169,,43,13,,,,4,13,1,0,0,1171,35,1206,2494
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,226,2,342,112,,60,10,18,63,40,25,,,,,,,3,3,1,0,3,680,20,700,1060
