uniqueid,year,incumbent_party_Horacio
32041,2013,PVEM
32041,2016,PRI_PVEM
32041,2018,NA
32042,1998,PRI
32042,2001,PAN
32042,2004,PRD
32042,2007,PRI
32042,2010,PRI_PVEM_PANAL
32042,2013,PAN_PRD
32042,2016,PAN_PRD
32042,2018,NA
32043,1998,PRI
32043,2001,PRI
32043,2004,PT
32043,2007,PRI
32043,2010,PRI_PVEM_PANAL
32043,2013,MORENA
32043,2016,MORENA
32043,2018,NA
32044,1998,PAN
32044,2001,PRI
32044,2004,PRD
32044,2007,PRI
32044,2010,PAN
32044,2013,PAN_PRD
32044,2016,PAN_PRD
32044,2018,NA
32045,1998,PRI
32045,2001,PRI
32045,2004,PRI
32045,2007,PRD_MC
32045,2010,PRI_PVEM_PANAL
32045,2013,PRI
32045,2016,PAN_PRD
32045,2018,NA
32046,1998,PRI
32046,2001,PRI
32046,2004,PRI
32046,2007,PRI
32046,2010,PRI_PVEM_PANAL
32046,2013,NA
32046,2016,PRI_PVEM
32046,2018,NA
32047,1998,PRI
32047,2001,PRI
32047,2004,NA
32047,2007,PRD_MC
32047,2010,PRI_PVEM_PANAL
32047,2013,PAN_PRD
32047,2016,PRI_PVEM
32047,2018,NA
32048,1998,PRD
32048,2001,PRD
32048,2004,PRD
32048,2007,PAN
32048,2010,PAN
32048,2013,PRI
32048,2016,PAN_PRD
32048,2018,NA
32049,1998,PRI
32049,2001,PRI
32049,2004,PRI
32049,2007,PRD_MC
32049,2010,PRI_PVEM_PANAL
32049,2013,PAN_PRD
32049,2016,PRI_PVEM
32049,2018,NA
32050,1998,PT
32050,2001,PT
32050,2004,PRD
32050,2007,PT
32050,2010,PAN
32050,2013,PRI
32050,2016,PRI_PVEM
32050,2018,NA
32051,1998,PRD
32051,2001,PAN
32051,2004,PRD
32051,2007,PT
32051,2010,PT
32051,2013,NA
32051,2016,PRI_PVEM
32051,2018,NA
32052,1998,PRI
32052,2001,PRD
32052,2004,PRD
32052,2007,PRI
32052,2010,PRI_PVEM_PANAL
32052,2013,PRI
32052,2016,MC
32052,2018,NA
32053,1998,PRI
32053,2001,PRI
32053,2004,PRD
32053,2007,PRI
32053,2010,PAN
32053,2013,PRI
32053,2016,PAN_PRD
32053,2018,NA
32054,1998,PRD
32054,2001,PRD
32054,2004,PRI
32054,2007,PRD_MC
32054,2010,PRI_PVEM_PANAL
32054,2013,PAN_PRD
32054,2016,PRI_PVEM
32054,2018,NA
32055,1998,PRI
32055,2001,PRD
32055,2004,PRI_PT_PVEM
32055,2007,PRI
32055,2010,PRD_MC
32055,2013,PAN_PRD
32055,2016,PRI_PVEM_PANAL
32055,2018,NA
32056,1998,PRD
32056,2001,PRD
32056,2004,PRD
32056,2007,PAN
32056,2010,PRI_PVEM_PANAL
32056,2013,PRI
32056,2016,PRI_PVEM_PANAL
32056,2018,NA
32057,2001,PRD
32057,2004,PRI
32057,2007,PAN
32057,2010,PT
32057,2013,PAN_PRD
32057,2016,PAN_PRD
32057,2018,NA
32058,2007,PRI
32058,2010,PAN
32058,2013,PAN_PRD
32058,2016,NA
32058,2018,NA
